Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,139.51,141.72,139.51,141.46,2696684,31616,140.98118
2021-01-04,141.46,141.86,138.1912,139.91,4078892,40275,139.588417
2021-01-05,139.7,140.68,136.44,136.68,3532741,42657,137.413331
2021-01-06,136.84,139.62,135.58,137.99,3966868,48109,137.897519
2021-01-07,137.68,138.99,135.47,135.77,4984054,48372,136.765478
2021-01-08,135.32,138.72,135.32,138.66,6412444,56740,137.919678
2021-01-11,136.89,139.675,135.82,136.06,4036162,35517,137.626477
2021-01-12,136.06,136.9,132.86,133.63,3783939,39421,134.034263
2021-01-13,134.31,135.26,130.79,130.94,7738764,64832,131.854352
2021-01-14,131.44,131.47,128.79,129.19,11846496,68519,129.690414
2021-01-15,128.56,130.42,126.0,129.73,6515202,51385,129.12471
2021-01-19,130.35,130.84,127.94,128.06,3886558,42035,128.759373
2021-01-20,128.62,131.5968,127.56,131.09,3646846,40389,130.317391
2021-01-21,130.75,134.0,130.5,133.6,4439357,44921,133.287714
2021-01-22,132.68,132.92,129.06,129.08,5505244,42742,130.466301
2021-01-25,128.88,129.54,125.88,127.81,5320149,50078,127.778203
2021-01-26,128.58,129.72,126.54,128.16,4342958,38176,128.499552
2021-01-27,126.71,126.95,121.88,122.53,6258941,55947,123.434886
2021-01-28,123.44,127.26,122.66,125.32,4705877,47259,125.677532
2021-01-29,125.25,125.49,123.13,123.46,4543750,42777,123.913677
2021-02-01,126.64,130.26,126.0,129.23,6562407,54193,129.13288
2021-02-02,130.55,134.97,130.0,132.32,4847025,47654,133.057726
2021-02-03,130.06,133.37,130.06,131.57,2480629,29424,131.870496
2021-02-04,132.4,134.12,132.16,132.78,2214214,25203,133.050702
2021-02-05,133.33,134.61,131.71,132.23,2829884,28914,132.943347
2021-02-08,133.28,134.24,131.55,133.43,3691189,38343,132.699448
2021-02-09,127.3,133.68,125.61,132.87,7567998,65875,131.126437
2021-02-10,133.5,133.98,131.42,133.36,4995201,48698,132.934529
2021-02-11,133.77,135.5,133.07,135.15,4044978,36769,134.436681
2021-02-12,135.22,136.63,134.68,135.6,4128242,40140,135.650032
2021-02-16,136.24,136.27,132.4,133.11,5258730,43464,133.172728
2021-02-17,133.08,133.62,130.69,132.99,2813857,30529,132.763151
2021-02-18,131.97,135.0,131.97,134.26,2736375,28482,134.140775
2021-02-19,134.4,134.53,130.9,130.99,5532672,41780,131.845617
2021-02-22,131.68,136.03,129.55,135.53,4368411,48088,134.437374
2021-02-23,135.71,138.7,135.3,136.72,5471342,57716,136.971181
2021-02-24,136.58,141.0,136.06,139.44,6780419,50076,139.507658
