Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,112.56,113.96,112.32,113.86,2052236,20170,113.40777
2021-01-04,114.0,114.0,109.57,111.92,4326396,58018,111.384914
2021-01-05,113.31,114.11,112.04,112.36,4036093,47020,112.735589
2021-01-06,111.9,115.99,111.5304,114.18,3166462,44925,114.441538
2021-01-07,114.98,115.599,114.0,114.43,4053572,40862,114.673496
2021-01-08,114.48,117.27,114.48,116.79,3859860,45630,116.33555
2021-01-11,116.25,117.1,114.3,115.05,2730322,35752,115.281373
2021-01-12,114.04,115.44,109.52,111.2,6062899,64061,111.440909
2021-01-13,111.11,112.33,109.18,110.24,6099370,63030,110.156912
2021-01-14,110.83,111.01,107.87,107.98,6471870,54392,108.710909
2021-01-15,106.6,109.01,106.17,108.2,7128866,65339,107.696084
2021-01-19,109.42,109.44,107.26,107.67,3855396,43655,107.998865
2021-01-20,107.86,109.97,107.6,109.14,5003516,40935,109.092285
2021-01-21,109.35,109.915,108.46,108.95,3715831,41867,109.100881
2021-01-22,107.72,108.65,106.85,107.28,3858083,33306,107.421313
2021-01-25,106.56,106.76,103.78,106.71,7804021,75570,105.345218
2021-01-26,107.05,107.99,105.94,106.21,5365214,47966,107.157199
2021-01-27,104.06,104.79,100.36,103.22,9201213,93559,103.009925
2021-01-28,104.4,106.29,103.9201,105.25,7737476,63696,104.739786
2021-01-29,104.74,104.95,102.31,102.69,5523573,52574,103.157304
2021-02-01,103.94,107.55,103.0901,106.5,5445938,59499,106.269686
2021-02-02,107.96,111.1,107.24,110.02,4621691,55698,110.06871
2021-02-03,110.12,111.11,109.55,110.2,4551469,43018,110.527103
2021-02-04,111.72,113.08,110.2,112.24,3515299,35067,112.247091
2021-02-05,112.87,113.74,111.98,112.22,2656229,30899,112.475193
2021-02-08,113.01,114.37,112.5625,113.4,3876956,34787,113.330428
2021-02-09,112.65,114.06,111.22,113.45,3774683,39892,113.234001
2021-02-10,113.95,114.35,108.59,109.42,7297114,75408,110.743825
2021-02-11,110.69,110.69,107.66,108.48,6702251,60505,108.468348
2021-02-12,108.79,110.71,108.19,109.99,3605870,36946,109.942441
2021-02-16,110.99,110.99,108.6,110.2,3768711,38061,110.191092
2021-02-17,109.72,111.88,109.58,111.07,3774156,37868,111.081747
2021-02-18,111.8,113.56,111.26,113.05,6336855,52880,112.674378
2021-02-19,113.41,113.845,110.25,111.36,5864825,51787,111.559143
2021-02-22,110.75,114.5,109.87,113.36,4778909,52935,112.900649
2021-02-23,113.11,116.2,112.23,115.6,5073599,57745,114.612402
