Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,131.31,131.715,129.4,129.49,537024,0.0
2020-12-07,129.28,130.23,128.75,130.05,754075,0.0
2020-12-08,129.5,130.27,129,130.16,601253,0.0
2020-12-09,130.77,131.06,128.93,129.74,381644,0.0
2020-12-10,128.65,130.51,128.6,130.25,545881,0.0
2020-12-11,128.86,130.39,128.73,129.67,509380,0.0
2020-12-14,131.36,131.49,129.2,129.26,483012,0.0
2020-12-15,130.54,134.21,130.29,134.16,772581,0.0
2020-12-16,134.19,135.78,133.53,135.25,992327,0.0
2020-12-17,135.49,138.33,134.61,138.1,722971,0.0
2020-12-18,138.16,138.3,134.915,135.77,1058244,0.0
2020-12-21,135.87,136.64,133.075,135.76,699816,0.0
2020-12-22,136.22,137.845,135.57,136.65,520529,0.0
2020-12-23,137.59,140.56,137.22,140.46,509817,0.0
2020-12-24,140.5,140.81,139.125,140.51,146672,0.0
2020-12-28,141.98,143.23,140.7363,142.68,504470,0.0
2020-12-29,142.45,143.01,141.03,142.4,579142,0.0
2020-12-30,142.88,145.02,142.615,144.78,597962,0.0
2020-12-31,144.87,147.24,143.71,146.88,424795,0.0
2021-01-04,147.25,147.935,144.03,147.22,847380,0.0
2021-01-05,146.73,149.16,145.8,148.67,691894,0.0
2021-01-06,152,157.27,151.67,156.16,1413207,0.0
2021-01-07,158.12,161.16,158.12,160.15,948544,0.0
2021-01-08,160.08,162.16,159.08,161.86,664623,0.0
2021-01-11,160.38,163.99,158.66,163.63,698088,0.0
2021-01-12,164.22,164.92,161.96,163.3,2169190,0.0
2021-01-13,162.66,162.84,160.64,161.55,3473780,0.0
2021-01-14,164.42,166.82,157.35,158.12,1565127,0.0
2021-01-15,155.52,156.47,151.65,153.8,971416,0.0
2021-01-19,153.97,156.15,153.32,154.91,1204490,0.0
2021-01-20,154.87,155.8,153.68,155.44,755623,0.0
2021-01-21,155.66,155.725,153.45,154.09,691124,0.0
2021-01-22,152.71,156.75,152.71,156.52,740095,0.0
2021-01-25,155.12,156.65,153.47,156.49,711936,0.0
2021-01-26,156.98,157.73,152.72,152.74,342032,0.0
2021-01-27,149.91,150.77,146.26,147.05,701721,0.0
2021-01-28,148.22,150.09,147.53,147.67,871544,0.0
2021-01-29,147.32,148.145,144.13,144.94,734795,0.0
2021-02-01,146.61,146.96,144.96,146.22,680029,0.0
2021-02-02,147.73,152.38,147.34,152.14,619184,0.0
2021-02-03,151.63,153.47,150.93,152.81,744567,0.0
2021-02-04,153.13,157.02,153.13,156.18,698805,0.0
2021-02-05,157.1,157.89,155.77,155.8,367948,0.0
2021-02-08,156.83,156.83,154.34,156.34,533776,0.0
2021-02-09,155.88,156.76,155.11,155.2946,577560,0.0
2021-02-10,155.78,158.36,154.49,155.79,578836,0.0
2021-02-11,156.34,157.4,153.56,155,484502,0.0
2021-02-12,155.4,156.12,154.37,155.4,514798,0.0
2021-02-16,157.27,163.57,157.26,163.19,801008,0.0
2021-02-17,162.47,164.445,161.67,163.19,874176,0.0
2021-02-18,162.3,164.571,161.59,161.72,697408,0.0
2021-02-19,162.32,167.45,162.1,166.93,1485965,0.0
2021-02-22,166.94,170.03,166.4884,169.8,777719,0.0
2021-02-23,171.48,173.84,169.97,172.73,1039037,0.0
2021-02-24,173.83,178.46,172.87,178.14,1090101,0.0
2021-02-25,179.59,180.35,172.26,172.89,1320954,0.0
2021-02-26,171.39,172.38,164.56,164.79,1341029,0.0
2021-03-01,167.48,173.3375,165.89,172.52,759079,0.0
2021-03-02,166.4,167.81,165,165.43,1809594,0.0
2021-03-03,166.92,167.49,164.66,165,1183251,0.0
2021-03-04,164.7,168.74,163.345,166.59,1364527,0.0
2021-03-05,170,170.32,163.33,166.97,1092150,0.0
2021-03-08,169.03,176.5,168.43,172.58,1192418,0.0
2021-03-09,172.25,172.67,166.89,169.82,639637,0.0
2021-03-10,170.06,174,169.8,170.77,639363,0.0
2021-03-11,169.42,171.29,169.26,171.01,619308,0.0
2021-03-12,173.5,174.94,172.42,174.16,583495,0.0
2021-03-15,174.1,174.2054,169.1,170.51,607729,0.0
2021-03-16,170.82,170.88,168.19,170.47,766266,0.0
2021-03-17,171.88,172.28,167.49,170.07,580336,0.0
2021-03-18,172.57,174.31,169.7207,170.61,755285,0.0
2021-03-19,168.88,170.82,166.08,168.77,959001,0.0
2021-03-22,168.45,168.45,165.5,166.9,731855,0.0
2021-03-23,165.34,167.73,163.88,164.88,777595,0.0
2021-03-24,166.8,168.709,165.39,165.55,577083,0.0
2021-03-25,165.68,169.195,163.38,168.11,483055,0.0
2021-03-26,170.14,170.54,168.04,170.19,666431,0.0
2021-03-29,167.24,168.72,165.0938,166,714025,0.0
2021-03-30,166.93,169.88,166.83,168.07,482985,0.0
2021-03-31,167.9,168.895,166.4704,166.72,517379,0.0
2021-04-01,166.2,167.98,165.55,167.98,486038,0.0
2021-04-05,170.31,170.35,166.42,167.39,358545,0.0
2021-04-06,167.99,169.71,167.44,169.05,388374,0.0
2021-04-07,169.87,169.87,168.14,169.01,332633,0.0
2021-04-08,168.04,171.52,167.435,170.21,566261,0.0
2021-04-09,172.14,173.5481,171.08,171.62,446217,0.0
2021-04-12,171.99,174.03,171.84,173.24,652518,0.0
2021-04-13,171.99,172.715,169.68,169.96,914164,0.0
2021-04-14,168.11,174.84,167.52,173.08,726783,0.0
2021-04-15,172.6,176.91,170.55,176.84,696193,0.0
2021-04-16,178,180.26,178,179.8,721235,0.0
2021-04-19,179.49,180.98,175.26,175.78,492973,0.0
2021-04-20,174.26,175.51,171.34,172.65,634012,0.0
2021-04-21,171.85,174.91,171.45,174.71,557794,0.0
2021-04-22,174.54,175.42,172.29,172.63,505131,0.0
2021-04-23,172.24,180.31,172.24,179.13,531783,0.0
2021-04-26,179.84,182.51,180.21,181.27,416392,0.0
2021-04-27,181.46,182.38,179.71,182.1,393759,0.0
2021-04-28,182.38,184.1,181.8,183.07,419746,0.0
