Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,93.01,93.58,92.03,93.16,423940,0.0
2020-12-07,92.62,92.62,89.79,90.29,447881,0.0
2020-12-08,89.45,91.71,89.31,89.63,302662,0.0
2020-12-09,90.07,90.88,89.32,90.65,474921,0.0
2020-12-10,89.14,91.81,89.14,91.44,648876,0.0
2020-12-11,90.51,91.12,88.4,90.09,381209,0.0
2020-12-14,91.08,91.94,88.32,88.89,461786,0.0
2020-12-15,89.73,93.37,88.4,93.34,649507,0.0
2020-12-16,93.24,93.74,89.9,90.73,461424,0.0
2020-12-17,91.25,91.5,89.61,90.72,366595,0.0
2020-12-18,90.67,91.12,87.28,88.34,616201,0.0
2020-12-21,86.51,87.115,84.83,85.9,754724,0.0
2020-12-22,86.47,86.87,85,86.01,417884,0.0
2020-12-23,86.87,87.6,85.85,86.12,295484,0.0
2020-12-24,86.57,87.01,85.32,86.43,208623,0.0
2020-12-28,86.6,87.82,86.02,86.77,417274,0.0
2020-12-29,87.01,88.18,85.12,85.46,395174,0.0
2020-12-30,85.61,87.75,85.33,85.93,608882,0.0
2020-12-31,84.65,85.24,83.1,85.11,632448,0.0
2021-01-04,85.15,86.25,81.99,82.26,781564,0.0
2021-01-05,82.91,84.275,82.44,82.61,536356,0.0
2021-01-06,83.5,86.41,83.28,85.99,942038,0.0
2021-01-07,85.99,86.03,83.85,84.66,402891,0.0
2021-01-08,85.02,85.3,83.945,84.54,299988,0.0
2021-01-11,83.8,84.245,81.85,82.61,405461,0.0
2021-01-12,82.42,84.91,82.04,84.8,871888,0.0
2021-01-13,84.85,86.91,84.56,86.3,1245482,0.0
2021-01-14,87.04,87.8,86.38,86.79,400294,0.0
2021-01-15,86.53,87.58,84.752,87.28,669209,0.0
2021-01-19,87.51,87.54,85.07,87.2,586503,0.0
2021-01-20,87.82,89.42,86.38,88.25,676348,0.0
2021-01-21,87.77,88.015,85.39,86.98,411515,0.0
2021-01-22,86.14,88.9,85.535,88.53,625943,0.0
2021-01-25,87.55,90.97,86.12,88.95,762903,0.0
2021-01-26,89.6,89.88,87.3,88.77,701573,0.0
2021-01-27,87.98,89.888,87.54,88.44,698002,0.0
2021-01-28,88.74,90.85,87.45,87.53,834998,0.0
2021-01-29,87,89.59,85.91,87.38,1033938,0.0
2021-02-01,88.22,88.49,84.38,87.04,590382,0.0
2021-02-02,87.43,87.705,85.83,87.23,424057,0.0
2021-02-03,86.57,88.18,85.8124,87.88,325258,0.0
2021-02-04,88.27,91.17,87.86,90.35,478928,0.0
2021-02-05,91.21,91.66,90.32,91.21,321459,0.0
2021-02-08,91.26,91.45,90.16,91.34,354995,0.0
2021-02-09,91.92,93.09,91.45,93.01,411833,0.0
2021-02-10,96.01,97.42,94.48,95.75,1122868,0.0
2021-02-11,95.2,98.08,94.31,98.07,1092661,0.0
2021-02-12,97.65,102.3,97.0311,102.28,1129179,0.0
2021-02-16,102.36,103.26,100.2,101.69,1133777,0.0
2021-02-17,101.54,102.28,100.12,102.22,879755,0.0
2021-02-18,101.64,102.4199,100.2,100.8,789283,0.0
2021-02-19,100.72,101.73,99.69,99.72,558382,0.0
2021-02-22,99.58,103.565,99.21,100.61,878915,0.0
2021-02-23,101.66,103.73,101.51,103.21,841442,0.0
2021-02-24,103.34,106.245,102.9,106.01,851634,0.0
2021-02-25,106.19,106.8989,102.03,102.92,736024,0.0
2021-02-26,102.79,103.65,100.47,101.17,697205,0.0
2021-03-01,103.19,105.57,102.345,104.01,797669,0.0
2021-03-02,104.06,104.49,101.05,101.55,582271,0.0
2021-03-03,102.09,105.82,101.9,105.44,638416,0.0
2021-03-04,105.69,106.7,102.33,103.69,700172,0.0
2021-03-05,104.83,106,102.01,105.77,512445,0.0
2021-03-08,106.85,110.13,105.53,109.21,632053,0.0
2021-03-09,108.57,108.95,106.12,106.15,451147,0.0
2021-03-10,106.27,108.76,105.78,107.45,439665,0.0
2021-03-11,107.4,109.55,106.71,108.67,481852,0.0
2021-03-12,109.05,110.61,108.42,110.37,505398,0.0
2021-03-15,109.38,110.66,107.7,109.6,465275,0.0
2021-03-16,109.23,109.23,105.85,106.43,384717,0.0
2021-03-17,106.05,106.96,103.86,104.7,1033745,0.0
2021-03-18,104.74,105.78,102.39,102.99,561261,0.0
2021-03-19,102.95,103.37,100.86,100.98,922282,0.0
2021-03-22,101.09,101.09,99.4,100.62,452896,0.0
2021-03-23,100.14,100.63,97.87,98.67,414259,0.0
2021-03-24,98.97,102.26,98.83,100.33,556601,0.0
2021-03-25,99.69,102.86,98.8401,102.56,465849,0.0
2021-03-26,103.42,105.05,102.52,104.32,401225,0.0
2021-03-29,103.86,103.97,100.78,102.48,409588,0.0
2021-03-30,102.81,104.01,101.9,103.37,397270,0.0
2021-03-31,102.7,103.05,100.81,101.46,598123,0.0
2021-04-01,102.18,104.07,101.45,104.07,497960,0.0
2021-04-05,104.44,104.83,102.43,103.87,545772,0.0
2021-04-06,103.71,105.27,103.12,105.11,640695,0.0
2021-04-07,105.3,106.265,103.84,105.03,469900,0.0
2021-04-08,104.1,105.65,103.78,105.09,503385,0.0
2021-04-09,105.62,105.63,104.815,105.42,422150,0.0
2021-04-12,105.4,105.79,102.64,104.86,468602,0.0
2021-04-13,104.49,106.1,104.3215,105.83,367159,0.0
2021-04-14,106.21,106.45,104.11,104.3,585824,0.0
2021-04-15,104.34,105.97,104.39,105.55,715680,0.0
2021-04-16,106.28,107.71,105.465,106.97,1186072,0.0
2021-04-19,107.21,107.7,105.62,107.09,332800,0.0
2021-04-20,106.99,108.12,106.3,107.1,282327,0.0
2021-04-21,107.11,109.53,106.49,109.31,378061,0.0
2021-04-22,109.66,111.6,108.95,109.37,692254,0.0
2021-04-23,109.28,110.46,108.34,109.84,468919,0.0
2021-04-26,110.75,111.59,109.04,109.88,561656,0.0
2021-04-27,110.13,112.2803,109.79,111.84,799688,0.0
2021-04-28,112.01,113.06,111.08,111.64,626403,0.0
2021-04-29,112.95,114.78,111.9,113.02,457937,0.0
2021-04-30,112.57,113.43,111.66,112.84,547627,0.0
2021-05-03,113.66,114.4,111.94,112.99,375809,0.0
2021-05-04,113.31,114.23,112.09,112.58,475158,0.0
2021-05-05,111.98,112.01,109.62,110.05,561118,0.0
2021-05-06,115.16,116.08,112.86,114.01,1334369,0.0
2021-05-07,113.6,117.17,113.6,116.37,582773,0.0
2021-05-10,117.2,118.5,116.16,116.23,360244,0.0
2021-05-11,114.99,115.4,113.155,114.19,406171,0.0
2021-05-12,114.82,114.82,110.19,110.48,434209,0.0
2021-05-13,110.58,112.1,109.89,111.49,397027,0.0
2021-05-14,111.64,113.27,111.47,112.48,315398,0.0
2021-05-17,113.19,113.76,112.25,112.97,338762,0.0
2021-05-18,112.78,113.9,111.67,112.68,294919,0.0
2021-05-19,111.78,112.29,109.95,112.27,228349,0.0
2021-05-20,112.51,113.22,111.58,112.65,285166,0.0
2021-05-21,112.51,113.054,112.15,112.51,229738,0.0
2021-05-24,113.13,113.87,112.2106,113.11,305379,0.0
2021-05-25,113.05,113.97,112.32,112.78,301477,0.0
