Date,Estimate,Actual
2022-05-03,None,None
2022-02-09,None,None
2021-11-03,None,None
2021-05-05,0.19,0.6
2021-02-11,0.29,1.22
2020-11-05,0.36,-0.41
2020-08-05,0.55,0.11
2020-05-06,0.72,0.7
2020-02-10,0.82,1.92
2019-10-30,0.81,0.84
2019-08-01,0.82,1.05
2019-05-02,0.75,0.78
2019-02-13,0.77,0.71
2018-10-31,0.79,0.82
2018-08-01,0.77,0.84
2018-05-02,0.78,0.81
2018-02-13,0.73,0.67
2017-11-01,0.72,1.47
2017-08-02,0.8,1.05
2017-05-03,0.78,0.78
2017-02-13,0.78,0.8
2016-11-02,0.76,0.82
2016-08-04,0.76,0.78
2016-05-04,0.71,1.1
2016-02-09,0.76,0.97
2015-11-04,0.74,0.75
2015-08-05,0.52,0.63
2015-05-07,0.59,0.67
2015-02-10,0.65,0.51
2014-10-30,0.62,0.69
2014-08-07,0.58,0.64
2014-05-08,0.58,0.57
2014-02-11,0.61,0.42
2013-10-31,0.6,0.57
2013-08-01,0.52,0.55
2013-05-01,0.58,0.53
2013-02-12,0.59,0.58
2012-11-01,0.54,0.6
2012-08-01,0.48,0.51
2012-05-07,0.5,0.67
2012-02-15,0.55,0.48
2011-11-03,0.53,0.74
2011-08-03,0.54,0.55
2011-05-05,0.52,0.5
2011-02-15,0.52,0.53
2010-11-03,0.47,0.48
2010-08-04,0.5,0.5
2010-05-04,0.47,0.47
2010-02-17,0.41,0.52
2009-11-04,0.42,0.45
2009-08-04,0.49,0.48
2009-05-06,0.51,0.18
2009-02-18,0.54,0.57
2008-10-29,0.52,0.63
2008-07-30,0.54,0.49
2008-05-07,0.5,0.51
2008-02-12,0.45,0.45
2007-10-31,0.46,0.45
2007-08-01,0.45,0.43
2007-05-02,0.43,0.41
2007-02-13,0.37,0.32
2006-11-06,0.39,0.41
2006-08-02,0.37,0.66
2006-05-03,0.38,0.53
2006-02-21,0.34,0.61
2005-10-31,0.32,0.52
2005-07-28,0.32,0.41
2005-05-04,0.28,0.4
2005-02-16,0.25,0.27
2004-07-28,0.31,0.29
2004-05-05,0.28,0.28
2004-02-17,0.31,0.41
2003-11-03,0.28,0.3
2003-07-30,0.26,0.28
2003-05-07,0.2,0.26
2003-02-12,0.48,None
2002-08-12,0.28,0.27
2002-02-13,0.34,0.35
2001-11-01,0.34,0.33
2001-07-30,0.35,0.51
1993-08-12,0.39,0.1
