Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-15,145.11,154.48,144.52,153.09,2354786,0.0
2020-06-16,158.69,159.48,154.1505,156.13,2489806,0.0
2020-06-17,156.57,158.85,156.25,157.05,2260892,0.0
2020-06-18,156,160.56,155.3699,159.07,2860284,0.0
2020-06-19,161.79,161.79,156.52,157.6,3419568,0.0
2020-06-22,155.73,156.63,153.2,153.74,1101349,0.0
2020-06-23,154.1,155.33,152.49,152.76,873885,0.0
2020-06-24,151,151,145.9,146.51,1603058,0.0
2020-06-25,145,147.09,143.681,146.96,1426806,0.0
2020-06-26,146.48,147.3196,144.52,145.91,1220554,0.0
2020-06-29,148.22,149.39,147.06,149.39,846467,0.0
2020-06-30,148.13,150.21,147.7,149.36,1096162,0.0
2020-07-01,149,150.61,146.91,147.08,803644,0.0
2020-07-02,149.64,150.86,147.06,147.29,606810,0.0
2020-07-06,149.51,149.66,147.02,148.44,818986,0.0
2020-07-07,148,149.196,145.01,145.24,838400,0.0
2020-07-08,145.52,145.81,143.055,143.9,998555,0.0
2020-07-09,142.98,143.89,137.82,138.03,1145266,0.0
2020-07-10,138.2,142.06,138.2,141.99,847085,0.0
2020-07-13,142.92,144.43,141.35,142.83,1056967,0.0
2020-07-14,142.25,143.93,141.11,143.34,836385,0.0
2020-07-15,146.85,146.85,145.21,145.78,1682000,0.0
2020-07-16,145.52,149.59,144.56,148.72,1473531,0.0
2020-07-17,149.4,149.64,148.03,148.91,755506,0.0
2020-07-20,147.85,148.4699,145.35,145.41,776566,0.0
2020-07-21,146.66,149.76,146.3,147.81,753437,0.0
2020-07-22,146.92,151.58,146.617,151.53,996186,0.0
2020-07-23,152.2,152.92,150.11,151.01,552840,0.0
2020-07-24,151.62,153.26,149.52,150.14,618099,0.0
2020-07-27,149.47,149.507,147.51,147.97,577968,0.0
2020-07-28,147.5,150.65,147.0982,148.59,1570799,0.0
2020-07-29,147.23,149.65,144.58,149.45,3537480,0.0
2020-07-30,147.02,149.685,146.8,148.86,2579528,0.0
2020-07-31,148.225,148.225,144.76,146.74,2702988,0.0
2020-08-03,145.66,148.3664,144.32,147.71,2024218,0.0
2020-08-04,148.12,149.04,146.75,147.22,3814093,0.0
2020-08-05,148.7,149.89,148.08,149.16,2149366,0.0
2020-08-06,148.99,149.65,148.33,149.13,1501388,0.0
2020-08-07,149.11,152.98,148.51,152.96,2841356,0.0
2020-08-10,154.82,156.77,154.44,156.6,1749180,0.0
2020-08-11,159.48,160.84,157.95,158.86,2999426,0.0
2020-08-12,160.37,160.68,154.69,156.4,2342076,0.0
2020-08-13,154.32,156.5,153.74,154.93,1571658,0.0
2020-08-14,154.11,157.655,153.65,156.43,550124,0.0
2020-08-17,156.52,156.79,153.35,153.73,2047876,0.0
2020-08-18,153.28,154.1,152.72,153.12,1042312,0.0
2020-08-19,152.96,154.5613,152.09,152.49,1183706,0.0
2020-08-20,151.25,151.95,150.49,150.94,1316420,0.0
2020-08-21,150,151.35,149.03,149.8,2295421,0.0
2020-08-24,150.49,153.39,149.75,153.27,1598094,0.0
2020-08-25,154.3,154.73,150.865,151.47,1353116,0.0
2020-08-26,150.92,151.49,149.42,150.47,1401386,0.0
2020-08-27,150.61,153.53,150.4,152.44,1975128,0.0
2020-08-28,152.84,152.99,150.734,152.27,1152092,0.0
2020-08-31,152.07,152.4,148.95,149.32,1772208,0.0
2020-09-01,147.8,150.3165,147.36,150.19,1745686,0.0
2020-09-02,150.06,154.5,149.92,153.88,2296397,0.0
2020-09-03,155,156.56,150.61,151.95,2380780,0.0
2020-09-04,153.5,154.376,149.79,151.7,1873636,0.0
2020-09-08,149.78,150.55,146.6,146.9,2724732,0.0
2020-09-09,147.28,147.79,145.15,146.15,2240983,0.0
2020-09-10,146.99,147.01,142.41,142.5,2357173,0.0
2020-09-11,144.1,146.2,142.62,145.36,1871355,0.0
2020-09-14,146.46,148.52,145.75,147.5,1251766,0.0
2020-09-15,147.39,148.11,144.98,145.14,675410,0.0
2020-09-16,145.25,148.55,144.3,146.83,859345,0.0
2020-09-17,140.65,144.91,139.51,144.57,1147450,0.0
2020-09-18,143.01,145.63,142.73,142.97,738893,0.0
2020-09-21,141.35,141.49,137.43,138.33,1154579,0.0
2020-09-22,138.36,140.2515,137.355,139.44,669684,0.0
2020-09-23,140.07,141.8201,136.19,136.51,790552,0.0
2020-09-24,136.22,138.45,135.16,136.89,720227,0.0
2020-09-25,135.7705,138.77,135.56,138.21,541593,0.0
2020-09-28,139.7,142.395,139.7,140.95,610272,0.0
2020-09-29,140.43,140.58,137.89,138.56,1787146,0.0
2020-09-30,139.16,140.14,137.07,138.41,1718102,0.0
2020-10-01,138.89,140.08,136.8,138.17,1419099,0.0
2020-10-02,133.72,140.9411,133.6,140.5,2285148,0.0
2020-10-05,141.98,143.35,141.11,142.73,1689763,0.0
2020-10-06,144.08,146.97,142.03,142.29,2307966,0.0
2020-10-07,143.67,145.65,143.53,144.79,2107247,0.0
2020-10-08,145,145.66,143.6,145,1570442,0.0
2020-10-09,146.11,146.11,143.53,143.59,2325126,0.0
2020-10-12,144.8,146.72,143.8401,144.77,2288813,0.0
2020-10-13,144.6,144.98,141.66,143.29,2061590,0.0
2020-10-14,142.8,145.4,142.7,142.9,2246227,0.0
