Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,36.0,36.0643,35.63,36.0,3562911,25986,35.893194
2021-01-04,36.05,36.23,34.805,34.92,4999759,41711,35.184415
2021-01-05,34.96,35.855,34.91,35.67,4775028,39120,35.457723
2021-01-06,36.2,37.565,36.0,36.9,5470530,48469,36.995855
2021-01-07,37.26,37.46,36.71,36.98,4477937,33557,37.005506
2021-01-08,37.13,37.23,36.56,36.95,4144959,29711,36.912048
2021-01-11,36.55,37.6069,36.4,37.54,5624383,35237,37.297536
2021-01-12,37.63,38.04,37.2854,37.46,3860485,31011,37.603884
2021-01-13,37.4,37.46,37.02,37.17,2763704,27836,37.219484
2021-01-14,37.87,38.75,37.48,38.03,5223447,41856,38.220513
2021-01-15,37.76,38.0316,37.2,37.8,4854332,33465,37.752193
2021-01-19,38.22,38.73,38.11,38.53,4017626,29228,38.493579
2021-01-20,38.57,38.84,38.12,38.45,3220316,26978,38.563044
2021-01-21,38.5,38.6,37.94,37.94,2823873,21782,38.106083
2021-01-22,37.5,37.8389,37.275,37.6,4314938,32833,37.610548
2021-01-25,37.74,38.525,37.55,38.46,4799961,42130,38.24321
2021-01-26,38.74,38.75,37.12,37.17,5583175,42402,37.554659
2021-01-27,36.15,36.96,35.03,35.23,9009521,67315,35.743654
2021-01-28,36.08,36.9,35.93,36.44,5475958,41211,36.515725
2021-01-29,36.2,36.47,35.5516,35.87,5565846,43163,35.987635
2021-02-01,36.3,36.39,35.6,35.9,3455266,31838,35.899611
2021-02-02,36.42,36.69,36.03,36.33,4356989,35859,36.356114
2021-02-03,36.12,36.59,35.61,36.34,3891915,27336,36.190567
2021-02-04,36.7,37.375,36.56,37.28,3636915,32742,37.185912
2021-02-05,37.46,37.68,37.35,37.42,2226541,21473,37.499166
2021-02-08,37.5,37.885,37.48,37.68,2295359,21881,37.654397
2021-02-09,37.65,37.78,36.28,36.33,7023608,38481,36.687503
2021-02-10,36.46,37.115,36.41,36.94,3898101,31950,36.877295
2021-02-11,37.04,37.04,36.25,36.76,3536923,24651,36.616368
2021-02-12,36.42,36.96,36.3,36.88,2865517,21544,36.760827
2021-02-16,38.67,39.16,38.35,38.6,8140572,50314,38.700452
2021-02-17,38.41,38.77,37.87,37.89,5868608,39571,38.177817
