Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,97.19,98.3,97.135,98.28,457771,0.0
2020-12-07,97.73,98.44,97.24,98.26,632765,0.0
2020-12-08,97.7,98.16,96.44,96.66,650076,0.0
2020-12-09,96.9,98.02,96.2,97.94,730495,0.0
2020-12-10,97.75,98.05,96.17,97.06,472005,0.0
2020-12-11,96.69,97.79,96.195,97.05,680932,0.0
2020-12-14,97.86,98.9,95.79,95.82,435681,0.0
2020-12-15,96.21,96.9,95.06,96.56,492698,0.0
2020-12-16,96.73,97.69,95.98,96.56,511013,0.0
2020-12-17,96.99,97.87,96.06,96.9,547339,0.0
2020-12-18,97.04,97.93,96.32,97.58,875459,0.0
2020-12-21,95.77,97.545,94.09,97.37,502314,0.0
2020-12-22,97.15,99.06,96.99,98.64,480610,0.0
2020-12-23,98.97,100.33,98.55,99.45,495127,0.0
2020-12-24,99.8,99.87,98.39,99.52,119079,0.0
2020-12-28,100.28,101.48,99.83,100,371821,0.0
2020-12-29,100.04,100.54,98.5,98.77,365050,0.0
2020-12-30,99.05,100.425,98.795,99.67,324514,0.0
2020-12-31,99.64,100.53,99.05,100.43,396671,0.0
2021-01-04,101.08,101.08,97.28,98.48,649384,0.0
2021-01-05,98.41,99.85,97.68,99.34,504883,0.0
2021-01-06,99.49,103.65,98.9,103.34,819843,0.0
2021-01-07,103.51,103.99,102.028,103.66,609817,0.0
2021-01-08,104.07,104.17,102.17,103.38,609282,0.0
2021-01-11,102.48,105.62,102.1438,105.08,783559,0.0
2021-01-12,104.87,108.55,104.41,108.29,1548079,0.0
2021-01-13,107.8,108.185,105.45,105.88,1274739,0.0
2021-01-14,106.38,106.84,104.92,104.95,453978,0.0
2021-01-15,104.84,104.85,101.69,102.15,925422,0.0
2021-01-19,102.33,102.715,99.1,99.54,610579,0.0
2021-01-20,99.26,100.73,98.25,100.01,757079,0.0
2021-01-21,99.92,102.5,99.92,102.16,705226,0.0
2021-01-22,101.29,101.9,100.27,101.64,529440,0.0
2021-01-25,101.48,102.26,100,101.2,859555,0.0
2021-01-26,101.49,102.05,100,101.51,550044,0.0
2021-01-27,100.07,100.485,96.2,98.8,1102528,0.0
2021-01-28,99.65,100.33,96.87,96.89,798130,0.0
2021-01-29,96.74,97.58,93.62,93.87,1178834,0.0
2021-02-01,94.15,95.45,93.66,94.69,599638,0.0
2021-02-02,95.18,98,94.87,97.39,626836,0.0
2021-02-03,96.96,98.92,96.43,98.42,413927,0.0
2021-02-04,99,100.46,98.3952,100.4,617758,0.0
2021-02-05,101,101.74,100.18,101.68,452721,0.0
2021-02-08,102,103.63,101.74,103.61,625454,0.0
2021-02-09,103.65,104.28,102.97,103.69,543180,0.0
2021-02-10,104.13,104.29,102.43,103.16,451200,0.0
2021-02-11,103.11,103.23,100.4,100.53,519555,0.0
2021-02-12,99.62,101.23,98.66,99.31,774075,0.0
2021-02-16,100.08,102.63,99.69,102.01,768563,0.0
2021-02-17,101.25,101.4,98.23,98.83,912650,0.0
2021-02-18,98.24,101.66,98.24,101.09,875208,0.0
2021-02-19,101.77,102.9,100.325,102.49,811352,0.0
2021-02-22,101.46,105.05,101.43,104.57,608942,0.0
2021-02-23,105,106.38,104.24,104.83,854340,0.0
2021-02-24,104.85,107.06,104.36,106.29,546866,0.0
2021-02-25,106.31,107.12,104.84,105.36,480010,0.0
2021-02-26,106.2,107.07,104.87,105.35,1164969,0.0
2021-03-01,106.39,109.14,106.16,108.3,902773,0.0
2021-03-02,108.11,109.92,106.56,109.24,726759,0.0
2021-03-03,109.55,112.71,109.28,110.26,877122,0.0
2021-03-04,109.1,110.92,105.853,107.58,886258,0.0
2021-03-05,108.74,113.17,108.15,112.75,742469,0.0
2021-03-08,113.43,118.8385,112.64,116.88,1282709,0.0
2021-03-09,116.66,117,113.46,113.49,990962,0.0
2021-03-10,113.94,115.75,112.79,115.19,486124,0.0
2021-03-11,114.43,115.47,113.33,113.65,592371,0.0
2021-03-12,114.86,115.72,113.9566,114.59,505358,0.0
2021-03-15,114.14,116.06,112.96,115.97,574929,0.0
2021-03-16,115.33,115.33,113.08,114.48,470515,0.0
2021-03-17,115.02,116.15,114.4,114.58,463722,0.0
2021-03-18,114.64,117.53,114.5,115.93,603419,0.0
2021-03-19,115.66,118,114.02,117.28,1108393,0.0
2021-03-22,116.84,116.89,114.46,115.34,714969,0.0
2021-03-23,115.07,116.5,114.08,114.72,537079,0.0
2021-03-24,114.75,116.38,114.74,114.74,558276,0.0
2021-03-25,115.2,117.18,113.64,117.02,553488,0.0
2021-03-26,117.69,118.62,116.95,118.54,471232,0.0
2021-03-29,117.5,118.51,116.8,117.16,428837,0.0
2021-03-30,117.26,117.86,116.66,117.58,450523,0.0
2021-03-31,116.57,117.15,115.22,115.68,659858,0.0
2021-04-01,115.97,116.67,115.19,116.66,372390,0.0
2021-04-05,117.5,118.26,116.39,117.28,362354,0.0
2021-04-06,117.1,118.1299,116.5,117.55,464738,0.0
2021-04-07,117.15,117.82,116.15,116.73,376492,0.0
2021-04-08,116.15,116.5655,115.27,115.75,475348,0.0
2021-04-09,116.46,116.97,115.3201,116.9,726115,0.0
2021-04-12,117.5,118.02,116.82,117.75,333099,0.0
2021-04-13,116.67,116.75,115.19,115.99,469325,0.0
2021-04-14,115.66,118.16,115.66,117.73,461667,0.0
2021-04-15,118.16,118.53,117.46,118.43,362113,0.0
2021-04-16,119.38,120.56,118.99,120.02,519654,0.0
2021-04-19,119.68,119.98,118.86,119.415,575082,0.0
2021-04-20,119.53,120,118.565,119.24,753216,0.0
2021-04-21,119.92,121.92,118.92,121.25,667960,0.0
2021-04-22,120.95,123.22,118.59,119.36,929790,0.0
2021-04-23,120.71,122.94,119.52,122.39,652120,0.0
2021-04-26,123.01,123.23,121.46,122.22,592515,0.0
2021-04-27,122.67,123.345,121.59,123.14,683076,0.0
2021-04-28,123.16,124.75,122.8885,124.71,897741,0.0
2021-04-29,125.33,127.44,125.33,125.74,982349,0.0
2021-04-30,125.68,125.74,124.5235,124.98,645335,0.0
2021-05-03,126,128.46,125.705,127.19,498786,0.0
2021-05-04,127.76,130.35,127.01,130.35,749829,0.0
2021-05-05,130.24,132.4,129.56,131.66,676786,0.0
2021-05-06,132.61,132.8727,131.145,132.46,510147,0.0
2021-05-07,131.39,133.965,130.89,133.39,469378,0.0
2021-05-10,134.31,135.93,133.5,133.51,536204,0.0
2021-05-11,132.86,133.54,130.71,131.22,618638,0.0
2021-05-12,131.13,131.555,127.34,127.48,685640,0.0
2021-05-13,127.88,131.46,127.82,130.94,777404,0.0
2021-05-14,131.23,132.24,130.14,131.91,493072,0.0
2021-05-17,132.73,133.34,131.4,132.36,502496,0.0
2021-05-18,132.43,133,131.06,131.18,781575,0.0
2021-05-19,129.55,130.3,128.44,129.64,1199642,0.0
2021-05-20,129.66,131.1,128.72,130.86,626399,0.0
2021-05-21,130.94,133.31,130.94,131.44,823333,0.0
2021-05-24,132,132.165,131,131.42,475934,0.0
2021-05-25,131.25,131.83,129.77,130,836832,0.0
2021-05-26,130.68,131.52,129.625,130.85,575307,0.0
2021-05-27,132.04,132.49,130.37,130.46,894028,0.0
2021-05-28,130.55,131.77,130.11,131.12,501024,0.0
2021-06-01,132,133.08,131.39,132.09,578973,0.0
2021-06-02,132.51,132.51,130.515,130.86,492694,0.0
2021-06-03,129.54,130.01,128.35,129.14,535741,0.0
2021-06-04,129.56,129.96,128.33,129.95,368936,0.0
2021-06-07,130.17,130.19,127.61,127.83,357711,0.0
2021-06-08,127.31,129.715,127.31,129.43,543199,0.0
2021-06-09,129.09,129.69,128.06,128.39,492162,0.0
2021-06-10,129.29,129.6,127.61,127.69,373819,0.0
2021-06-11,128.25,129.3,128.05,129.06,385874,0.0
2021-06-14,128.6,128.73,126.81,127.61,563327,0.0
2021-06-15,127.21,127.345,126.01,127.22,572224,0.0
2021-06-16,126.92,127.38,125.65,125.86,622255,0.0
2021-06-17,125.92,126.06,121.85,122.88,651285,0.0
2021-06-18,120.85,121.48,120.07,121.11,1102813,0.0
2021-06-21,122.43,124.71,122.07,124.42,493197,0.0
2021-06-22,124.52,125.52,123.09,124.93,463093,0.0
2021-06-23,125.24,126.215,124.4,125.3,474758,0.0
2021-06-24,126.01,126.62,125.25,126.19,338733,0.0
2021-06-25,126.5,127.92,126.5,127.71,377574,0.0
2021-06-28,127.24,127.285,125.15,125.57,341095,0.0
2021-06-29,126.31,127.57,126.31,126.71,296460,0.0
2021-06-30,126.6,127.21,125.84,126.55,304794,0.0
2021-07-01,126.99,128.46,126.54,128.33,416176,0.0
2021-07-02,128.66,129.39,128.17,129.11,321873,0.0
2021-07-06,128.92,129.16,126.385,127.41,352953,0.0
2021-07-07,126.82,129.195,126.68,128.7,307078,0.0
2021-07-08,126.85,128.55,126.4677,127.19,576539,0.0
2021-07-09,129.11,129.745,128.19,129.58,555041,0.0
2021-07-12,128.76,130,128.02,129.56,416862,0.0
2021-07-13,128.77,129.22,127.47,127.66,423857,0.0
2021-07-14,128.48,128.88,127.35,128.84,440378,0.0
2021-07-15,128.05,129.61,128.05,129.06,366734,0.0
2021-07-16,129.99,129.89,127.38,127.6,308014,0.0
2021-07-19,126.05,126.655,124.62,125.7,492435,0.0
2021-07-20,126.45,129.31,125.4,128.35,579345,0.0
2021-07-21,128.95,129.95,128.525,129.18,502960,0.0
2021-07-22,132.15,132.15,125.995,126.37,854598,0.0
2021-07-23,127.31,129.575,126.77,129.1,528541,0.0
2021-07-26,128.65,129.93,127.84,128.72,479473,0.0
2021-07-27,127.97,129.1,127.095,128.88,464707,0.0
2021-07-28,129.04,129.27,126.02,126.04,484361,0.0
2021-07-29,127.04,128.31,126.51,127.92,484773,0.0
2021-07-30,127.51,128.5036,126.38,126.92,834865,0.0
2021-08-02,127.87,128.94,126.05,126.49,414414,0.0
2021-08-03,127.16,128.63,126,128.22,431296,0.0
2021-08-04,127.22,127.66,124.88,124.88,311646,0.0
2021-08-05,125.59,126.22,123.29,124.19,434169,0.0
2021-08-06,125.41,125.765,123.71,124.31,457301,0.0
2021-08-09,123.74,124.43,123.32,123.97,346572,0.0
2021-08-10,123.77,125.28,123.6,124.76,330566,0.0
2021-08-11,124.78,125.92,123.98,125.73,255320,0.0
2021-08-12,125.92,126.03,124.59,125.3,254927,0.0
2021-08-13,125.25,125.33,124.27,124.69,318784,0.0
2021-08-16,124.2,126.065,123.105,125.93,359613,0.0
2021-08-17,125,125,122.3,123.73,359021,0.0
2021-08-18,123.145,125.29,123,123.55,360884,0.0
2021-08-19,122.42,123.76,121.8,122.47,356511,0.0
2021-08-20,122.61,124.23,122.5,123.82,311837,0.0
2021-08-23,124.57,124.57,122.52,122.58,255408,0.0
2021-08-24,122.52,123.92,122.39,123.22,359043,0.0
2021-08-25,123.19,125.57,122.97,124.78,326398,0.0
2021-08-26,124.06,124.55,122.67,122.73,265301,0.0
2021-08-27,122.87,123.945,122.63,123.64,287291,0.0
2021-08-30,124.08,124.48,123.5308,123.66,198683,0.0
2021-08-31,123.94,124,121.72,122.18,496137,0.0
2021-09-01,122.64,123.2,121.04,122.97,466941,0.0
2021-09-02,122.32,122.84,121.47,122.52,446275,0.0
2021-09-03,122.3,122.94,121.69,122.18,364808,0.0
2021-09-07,121.89,121.97,120.05,120.13,366841,0.0
2021-09-08,120.05,120.79,119.265,119.84,384410,0.0
2021-09-09,119.4,120.92,119.01,119.19,632265,0.0
2021-09-10,119.86,120.09,118.18,118.34,706952,0.0
2021-09-13,119.37,120.17,118.59,119.23,426221,0.0
2021-09-14,119,120.09,117.72,119.97,554653,0.0
2021-09-15,119.74,124.59,119.18,124.23,799619,0.0
2021-09-16,124.25,125.11,123.55,124.19,476465,0.0
2021-09-17,123.67,124.31,121.92,121.99,410239,0.0
2021-09-20,120.16,120.86,119.06,120.49,430165,0.0
2021-09-21,121.54,122.19,120.25,121.05,332793,0.0
2021-09-22,122.11,123.4,121.28,122.32,351195,0.0
2021-09-23,123.19,124.39,123.07,123.38,442866,0.0
2021-09-24,122.91,123.84,122.55,123.02,259488,0.0
2021-09-27,123.73,124.68,122.86,124.64,339140,0.0
2021-09-28,125.23,125.42,122.825,123.2,303818,0.0
2021-09-29,123.8,124.78,123.35,124.13,239968,0.0
2021-09-30,124.5,124.5,121.19,121.19,488008,0.0
2021-10-01,121.65,122.87,118.62,121.85,368627,0.0
2021-10-04,122.08,124.16,121.46,122.37,442585,0.0
2021-10-05,122.43,124.51,121.5886,123.68,448640,0.0
2021-10-06,122.27,123.4,120.87,123.19,375967,0.0
2021-10-07,124.31,125.985,124.31,125.41,332238,0.0
2021-10-08,125.37,126.71,125.02,126.05,256167,0.0
2021-10-11,126.1,127.45,125.715,126.19,277796,0.0
2021-10-12,126.1,126.93,124.825,125.11,277261,0.0
2021-10-13,124.96,125.5,123.4,124.16,326753,0.0
2021-10-14,125.16,127.51,124.76,127.37,289194,0.0
2021-10-15,128.34,128.75,127.11,127.21,244063,0.0
2021-10-18,126.45,127.91,126,126.78,286912,0.0
2021-10-19,127.7,128.46,127.2552,127.81,306620,0.0
2021-10-20,128.04,129.94,128.04,129.72,513024,0.0
2021-10-21,129.5,135.5494,129.09,134.48,1004960,0.0
2021-10-22,135.15,137.15,132.55,133.02,681878,0.0
2021-10-25,133.48,133.99,132.16,133.57,501489,0.0
2021-10-26,134.07,135.345,133.11,134.56,496594,0.0
2021-10-27,134.56,134.56,132.375,132.45,396511,0.0
2021-10-28,132.67,133.29,130.33,131.64,427498,0.0
2021-10-29,131.64,132.21,130.07,131.1,450537,0.0
2021-11-01,131.93,131.93,130.57,131.73,399131,0.0
2021-11-02,132,134.525,131.72,133.89,403443,0.0
2021-11-03,133.8,135.04,133.57,134.21,246548,0.0
2021-11-04,134.76,135.79,133.055,133.74,370292,0.0
2021-11-05,135.11,136.73,135.11,136.39,418397,0.0
2021-11-08,137.03,137.03,134.71,135.12,333753,0.0
2021-11-09,134.54,135.69,134.2,134.79,357510,0.0
2021-11-10,134.41,135.8,133.94,134.24,328956,0.0
2021-11-11,134.2,135.5256,134.1625,135.11,250426,0.0
2021-11-12,135.4,136.26,134.97,135.93,224264,0.0
2021-11-15,136.6,137.16,135.7,136.99,325361,0.0
2021-11-16,136.89,138.23,136.55,136.88,296347,0.0
2021-11-17,137.15,137.21,135.67,136.74,321289,0.0
