Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-04,7.5,7.97,7.33,7.945,10175591,0.0
2020-05-05,8.1,8.445,7.43,7.44,10305436,0.0
2020-05-06,7.66,7.76,7.115,7.17,11126917,0.0
2020-05-07,7.27,7.83,7.27,7.42,8886621,0.0
2020-05-08,7.67,8.16,7.66,8.1,10597832,0.0
2020-05-11,7.94,7.97,7.44,7.6781,9896676,0.0
2020-05-12,7.75,8.01,7.31,7.31,7789647,0.0
2020-05-13,7.26,7.27,6.78,6.93,9192132,0.0
2020-05-14,6.71,7.49,6.535,7.17,12556726,0.0
2020-05-15,7.01,7.74,6.92,7.61,10843904,0.0
2020-05-18,8.03,8.3,7.705,7.81,17269240,0.0
2020-05-19,7.67,7.898,7.19,7.605,10342765,0.0
2020-05-20,7.76,7.79,7.215,7.35,10761568,0.0
2020-05-21,7.34,8.39,7.28,8.19,16670505,0.0
2020-05-22,8.21,8.6,7.95,8.2,11963025,0.0
2020-05-26,8.88,9.13,8.68,8.92,13237546,0.0
2020-05-27,9.55,10.595,9.31,10.56,19932405,0.0
2020-05-28,10.68,10.8,9.5101,9.5801,13781297,0.0
2020-05-29,9.39,9.435,8.805,8.91,14276339,0.0
2020-06-01,9.38,10.23,9.33,9.9,19363646,0.0
2020-06-02,10.11,10.715,9.84,10.65,14877227,0.0
2020-06-03,10.97,12.1,10.97,11.95,19428170,0.0
2020-06-04,11.31,12.19,11.23,12.14,20869735,0.0
2020-06-05,12.79,12.82,11.16,12.32,28769115,0.0
2020-06-08,12.57,13.75,12.55,13.65,19000765,0.0
2020-06-09,13.2,13.39,12.21,12.47,16470877,0.0
2020-06-10,12.23,12.3,10.84,11.025,22526334,0.0
2020-06-11,10,10.43,9.66,10.16,16709789,0.0
2020-06-12,10.98,11.06,10.1201,10.125,4491187,0.0
2020-06-15,9.8,10.66,9.63,10.49,11413312,0.0
2020-06-16,11.72,11.73,10.8,11.39,16060614,0.0
2020-06-17,11.22,11.25,10.71,10.75,11001270,0.0
2020-06-18,10.5,11.1899,10.32,10.92,10723900,0.0
2020-06-19,11.17,11.25,10.39,10.66,13380462,0.0
2020-06-22,11.15,11.73,11.03,11.54,21806006,0.0
2020-06-23,11.63,11.74,11.19,11.495,9526491,0.0
2020-06-24,11.2,11.24,10.305,10.41,9860369,0.0
2020-06-25,10.1,10.49,9.95,10.16,9706260,0.0
2020-06-26,12.53,14.4481,11.82,12.07,128470590,0.0
2020-06-29,12.89,12.89,12.085,12.52,35471340,0.0
2020-06-30,12.38,12.84,12.1099,12.62,16440116,0.0
2020-07-01,12.51,13.24,12.45,12.47,15977961,0.0
2020-07-02,12.85,12.99,12.03,12.29,14238163,0.0
2020-07-06,12.62,12.79,12.285,12.5101,12322218,0.0
2020-07-07,12.29,12.34,11.82,11.97,15729991,0.0
2020-07-08,11.83,12.45,11.555,12.33,13601437,0.0
2020-07-09,12.3,12.3,11.63,11.78,12494481,0.0
2020-07-10,11.74,11.93,11.51,11.65,8151662,0.0
2020-07-13,11.66,11.85,11.06,11.185,11618258,0.0
2020-07-14,11,11.425,10.81,11.16,8396070,0.0
2020-07-15,11.91,12.62,11.89,12.56,16321030,0.0
2020-07-16,12.27,13.14,12.11,13.11,14122487,0.0
2020-07-17,13.06,13.2581,12.84,12.89,9271824,0.0
2020-07-20,12.64,12.64,11.9201,12.41,11618559,0.0
2020-07-21,12.5,12.95,12.4604,12.775,11018108,0.0
2020-07-22,12.52,12.85,12.49,12.82,7892246,0.0
2020-07-23,12.63,13.33,12.61,13.04,7241551,0.0
2020-07-24,12.95,13.09,12.52,12.62,7877121,0.0
2020-07-27,12.62,12.905,12.36,12.86,9338294,0.0
2020-07-28,12.84,13.25,12.83,13.07,14185269,0.0
2020-07-29,13.27,14.54,13.2,14.15,33191420,0.0
2020-07-30,13.87,14.04,13.32,13.64,17451482,0.0
2020-07-31,13.63,13.87,13.175,13.36,12769396,0.0
2020-08-03,13.22,13.26,12.95,13.11,9928635,0.0
2020-08-04,13.05,13.51,13.05,13.45,14040514,0.0
2020-08-05,13.75,14.28,13.58,13.88,21254777,0.0
2020-08-06,13.74,13.95,13.505,13.67,11061586,0.0
2020-08-07,13.65,14.11,13.47,14.08,12085895,0.0
2020-08-10,14.37,14.9,14.295,14.64,17640956,0.0
2020-08-11,14.94,15.63,14.91,15.015,31697096,0.0
2020-08-12,15.24,15.5,14.725,15.15,12661804,0.0
2020-08-13,14.97,15.04,14.59,14.83,6423068,0.0
2020-08-14,14.74,15.32,14.57,15.08,7368487,0.0
2020-08-17,15.24,15.78,15.185,15.39,22946876,0.0
2020-08-18,14.8,15.17,14.25,14.96,22275984,0.0
2020-08-19,14.78,15.19,14.58,14.88,14042848,0.0
2020-08-20,14.81,15.13,14.55,14.58,13582495,0.0
2020-08-21,14.64,14.87,14.38,14.435,10867710,0.0
2020-08-24,14.49,15.53,14.49,15.5,20449894,0.0
2020-08-25,16.2,17.2,16.07,17.1181,56864155,0.0
2020-08-26,17.26,17.53,16.95,17.03,21635752,0.0
2020-08-27,17.12,17.88,17.11,17.39,33020428,0.0
2020-08-28,17.38,17.95,16.87,17.54,37999061,0.0
2020-08-31,17.42,17.85,17.302,17.39,15198086,0.0
2020-09-01,17.23,17.935,16.975,17.78,15139052,0.0
2020-09-02,17.87,18.46,17.87,18.37,14946614,0.0
2020-09-03,18.05,18.16,17.505,17.67,15578746,0.0
2020-09-04,17.99,18.05,17.18,17.51,14678676,0.0
2020-09-08,17.24,17.705,17.1,17.3,15547808,0.0
2020-09-09,17.3,17.6,17.1005,17.47,10183303,0.0
2020-09-10,17.72,17.99,16.92,16.99,19933961,0.0
2020-09-11,17.13,17.13,16.55,16.64,14281111,0.0
2020-09-14,16.97,17.35,16.87,17.31,10905955,0.0
2020-09-15,17.47,17.48,16.86,16.88,5266028,0.0
2020-09-16,17.08,17.53,16.86,17.25,6151804,0.0
2020-09-17,16.92,17.1786,16.68,16.9,3675996,0.0
2020-09-18,16.89,17.13,16.48,16.8,6176986,0.0
2020-09-21,16.315,16.725,15.995,16.4,5999906,0.0
2020-09-22,16.565,16.81,16.45,16.7,4209030,0.0
2020-09-23,16.92,17.37,16.53,16.55,4562425,0.0
2020-09-24,16.28,16.73,15.76,16.3,6225286,0.0
2020-09-25,16.26,16.45,15.965,16.28,4815409,0.0
2020-09-28,16.72,17.45,16.64,17.21,8232378,0.0
2020-09-29,17.19,17.19,16.43,16.7,12271881,0.0
2020-09-30,16.89,17.45,16.86,17.015,16651189,0.0
2020-10-01,17.17,17.99,17.12,17.87,15026821,0.0
2020-10-02,17.31,18.47,17.23,18.35,13484784,0.0
2020-10-05,18.55,19.36,18.55,19.23,15879474,0.0
2020-10-06,19.52,19.69,18.57,18.63,15374629,0.0
2020-10-07,19.3,19.875,19.21,19.78,17847310,0.0
2020-10-08,20,20.07,19.24,19.83,22103188,0.0
2020-10-09,20,20.055,19.31,19.82,16031107,0.0
2020-10-12,19.88,20.34,19.24,19.28,16614651,0.0
2020-10-13,19.26,19.57,19.05,19.33,10942270,0.0
2020-10-14,19.48,19.82,18.6,19.61,9994221,0.0
2020-10-15,19.29,19.865,19.02,19.855,9332198,0.0
2020-10-16,20.03,20.12,19.22,19.33,10028593,0.0
2020-10-19,19.53,19.9828,19.03,19.1,12358517,0.0
