Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,119.19,119.8,118.69,119.66,324274,6076,119.392835
2021-01-04,119.79,120.65,117.87,118.8,785017,13969,118.949929
2021-01-05,118.13,118.93,117.21,118.56,715570,12752,118.342029
2021-01-06,118.69,119.67,117.9205,119.48,921150,18039,118.935532
2021-01-07,119.77,122.75,119.65,121.56,662880,15621,121.752533
2021-01-08,122.44,122.935,120.7107,121.98,564142,9211,121.847405
2021-01-11,121.39,122.44,120.79,121.23,489895,9518,121.502272
2021-01-12,121.33,122.2299,120.86,122.02,508808,9892,121.835159
2021-01-13,122.22,122.36,120.38,120.79,546362,9828,120.934347
2021-01-14,122.04,122.04,120.3,120.88,518113,10389,121.077982
2021-01-15,120.43,121.59,119.84,121.01,1004407,10337,120.92711
2021-01-19,121.4,123.36,120.68,122.69,687922,13600,122.359615
2021-01-20,122.89,125.0,122.69,123.98,708034,11963,124.232065
2021-01-21,124.16,124.63,123.08,123.78,481690,9335,123.944458
2021-01-22,123.01,124.14,122.35,123.83,462815,8032,123.627314
2021-01-25,123.92,124.81,122.39,123.52,504365,10657,123.405834
2021-01-26,123.44,123.5,121.26,121.41,479778,9179,121.849726
2021-01-27,120.68,120.68,116.48,117.31,775792,14681,117.890681
2021-01-28,117.09,119.38,116.81,117.47,621282,11465,118.136369
2021-01-29,117.16,117.16,113.59,114.86,1069461,15315,114.914457
2021-02-01,115.29,117.57,115.12,117.36,659362,12458,116.706011
2021-02-02,118.41,119.29,117.67,118.87,787425,13531,118.604664
2021-02-03,118.7,119.65,118.12,118.94,443991,9956,119.045224
2021-02-04,119.5,119.99,118.55,119.27,461183,8331,119.287517
2021-02-05,119.87,120.94,119.44,120.33,480266,9280,120.364942
2021-02-08,120.36,124.98,119.79,124.14,1218612,18665,123.557256
2021-02-09,124.67,127.15,123.21,126.12,1255394,17638,125.457891
2021-02-10,127.57,129.2625,126.31,128.12,997926,15122,128.122334
2021-02-11,128.95,130.36,128.295,129.43,719108,11229,129.164166
2021-02-12,130.11,131.4,129.5,130.7,692036,10947,130.460891
2021-02-16,131.37,133.43,131.05,132.48,1334757,19296,132.55734
2021-02-17,132.2,132.96,128.47,129.51,1584239,21162,130.29205
2021-02-18,129.55,131.42,126.7362,127.6,1296126,18854,128.046707
2021-02-19,128.03,128.905,127.66,128.01,886414,13376,128.169773
2021-02-22,127.99,128.22,127.33,127.65,771449,15331,127.773038
2021-02-23,126.08,127.1,124.25,126.03,1032455,16918,125.789477
2021-02-24,125.49,129.24,125.17,128.45,626795,12642,128.11524
2021-02-25,128.24,128.44,123.89,124.34,552396,12246,125.39183
2021-02-26,124.17,125.56,123.515,124.02,939782,13168,124.256024
2021-03-01,125.19,129.03,125.07,128.27,894189,14939,128.043333
2021-03-02,128.35,128.7,126.57,127.01,819395,12413,127.260791
2021-03-03,126.58,126.97,123.71,123.82,851293,15472,124.81924
2021-03-04,123.43,126.4167,117.7407,119.86,803421,14876,120.386879
2021-03-05,121.16,122.78,117.7612,122.42,844620,17487,120.900127
2021-03-08,122.89,123.9654,121.43,122.52,603662,12068,122.928469
2021-03-09,123.5,126.64,122.685,125.23,835395,14323,125.640933
2021-03-10,125.94,127.68,125.86,126.89,619598,12845,126.932185
2021-03-11,127.8,128.81,127.06,127.72,693431,12142,127.991286
2021-03-12,127.0,127.57,126.5901,127.46,499585,9538,127.380253
2021-03-15,127.65,128.22,126.86,128.11,519579,10738,127.886787
2021-03-16,128.95,129.48,126.67,128.28,695345,12890,128.131776
2021-03-17,127.78,127.78,124.66,126.43,658795,10778,126.198741
2021-03-18,126.24,126.625,124.89,125.45,540781,11141,125.753217
2021-03-19,125.42,126.46,124.1,125.71,1280049,11225,125.560035
2021-03-22,126.62,128.025,126.4095,127.58,767461,12091,127.35006
2021-03-23,127.84,128.31,125.92,126.16,517858,9186,126.722583
2021-03-24,127.11,128.1,126.67,126.78,761827,13718,127.240231
2021-03-25,126.88,127.6,124.65,127.55,684347,12562,126.883014
2021-03-26,126.99,128.45,124.11,128.37,597628,12393,126.928153
2021-03-29,128.15,130.23,127.78,129.97,954413,13243,129.714225
2021-03-30,129.49,131.05,129.29,130.73,640925,12222,130.475997
2021-03-31,131.25,132.25,130.73,131.85,920549,14453,131.803223
2021-04-01,131.9,132.64,130.38,132.51,684254,14094,131.847309
2021-04-05,133.15,136.4,132.63,135.93,862560,13414,135.589744
2021-04-06,136.0,137.1,135.26,136.52,660816,12829,136.415875
2021-04-07,136.74,136.99,134.78,135.32,621063,10670,135.35178
2021-04-08,135.15,135.81,134.47,135.63,640204,11754,135.263816
2021-04-09,135.87,137.7,135.5,137.65,454253,10128,137.161564
2021-04-12,137.97,138.43,136.76,137.88,350191,9131,137.66764
2021-04-13,138.17,138.82,137.03,138.68,394533,9372,138.094035
2021-04-14,138.2,139.23,137.23,137.61,446677,11556,137.763966
2021-04-15,138.23,138.6,137.57,138.6,347644,9768,138.225538
2021-04-16,138.94,141.73,138.94,140.39,1073297,13001,140.522936
2021-04-19,140.33,140.68,139.14,140.58,479284,10788,140.024438
2021-04-20,140.32,140.72,137.9521,138.21,383481,9703,138.623217
2021-04-21,138.7,139.39,138.32,138.94,412199,9869,138.814014
2021-04-22,138.9,139.8699,138.14,139.16,622564,10818,139.031143
2021-04-23,140.14,141.88,140.0,141.355,620234,10410,141.349011
2021-04-26,142.23,142.485,141.03,141.65,601369,9228,141.650954
2021-04-27,142.19,142.94,141.09,141.12,678075,11037,141.548476
2021-04-28,139.0,139.11,135.66,137.38,900286,15310,137.203589
2021-04-29,139.54,139.9,137.66,138.68,538123,12312,138.755775
2021-04-30,138.33,138.3896,136.91,137.24,660357,13029,137.50995
2021-05-03,138.46,138.67,137.02,137.89,495029,10608,137.704276
2021-05-04,137.32,137.58,135.3275,137.26,553403,11603,136.704563
2021-05-05,138.13,139.745,137.66,139.6,649490,11696,139.214288
2021-05-06,139.92,141.4,139.04,141.34,485742,11285,140.437991
2021-05-07,141.58,143.765,141.26,143.56,509329,12098,143.027216
2021-05-10,143.99,145.2,142.33,142.38,462068,12261,143.902063
2021-05-11,139.81,141.87,139.09,140.59,606212,13253,140.512093
2021-05-12,139.77,140.54,135.78,136.15,622202,15356,137.159057
2021-05-13,136.47,139.2,136.415,138.06,481169,12902,138.268731
2021-05-14,139.59,141.27,139.24,140.38,384180,10644,140.454532
2021-05-17,139.72,140.97,139.59,140.1,574626,13300,140.156386
2021-05-18,140.79,141.61,139.62,140.27,733319,16203,140.543135
2021-05-19,138.35,138.8249,137.14,138.17,836611,16420,137.920813
2021-05-20,139.07,139.815,137.92,139.28,614360,14242,139.157482
2021-05-21,139.7,141.39,139.33,139.84,858086,13340,140.113703
2021-05-24,140.97,140.97,139.76,139.99,588206,12039,140.214071
2021-05-25,141.1,141.89,140.32,140.87,836999,14821,140.973713
2021-05-26,141.87,142.58,141.25,141.58,805926,14266,141.727946
2021-05-27,142.03,143.45,141.72,142.38,1681298,17292,142.544135
2021-05-28,142.84,143.51,142.185,142.24,600582,11271,142.500981
2021-06-01,144.0,144.545,141.92,142.92,802977,16503,142.881379
2021-06-02,143.18,143.29,141.17,141.88,849871,15029,142.00932
2021-06-03,140.77,142.48,138.97,142.22,761405,14899,141.14931
2021-06-04,142.67,143.85,142.12,143.64,505368,10199,143.257575
2021-06-07,144.12,145.0,142.65,143.27,616331,12166,143.304812
2021-06-08,144.13,144.13,141.78,142.55,567846,12430,142.677171
2021-06-09,143.24,143.24,141.76,142.17,476698,9308,142.254724
2021-06-10,142.3,143.27,141.65,142.6,369365,9266,142.632283
2021-06-11,143.17,144.76,142.84,144.76,459119,11303,144.208018
2021-06-14,143.66,143.99,142.03,142.68,437597,10470,142.512217
2021-06-15,142.96,143.7,142.27,143.39,437133,10183,143.128465
2021-06-16,143.37,143.37,141.26,141.82,544526,12242,142.12313
2021-06-17,141.44,141.76,139.61,141.0,654265,13616,140.911885
2021-06-18,140.2,141.18,138.605,139.54,1041794,15888,139.595271
2021-06-21,139.87,142.41,139.8,142.01,555772,14547,141.848279
2021-06-22,141.14,142.79,140.13,142.36,638818,19170,142.182693
2021-06-23,142.36,142.77,141.26,141.87,696026,11696,142.232365
2021-06-24,142.8,143.39,141.99,143.04,410740,8799,142.894807
2021-06-25,143.93,144.71,143.794,144.37,448027,10279,144.327124
2021-06-28,144.7,144.7,143.66,144.27,675837,9470,144.250539
2021-06-29,144.62,145.828,144.53,145.38,399342,11979,145.293091
2021-06-30,145.63,145.78,143.91,144.64,528572,10006,144.528004
2021-07-01,145.27,146.2,144.41,146.09,515737,12089,145.597764
2021-07-02,146.79,147.3,146.22,147.0,506543,11831,146.89285
2021-07-06,147.3,147.335,145.16,146.64,653797,13383,146.365734
2021-07-07,146.65,147.99,146.31,147.83,530325,12412,147.442962
2021-07-08,145.71,147.45,144.85,146.74,459791,11772,146.333509
2021-07-09,147.0,149.05,147.0,148.81,521100,10713,148.545905
2021-07-12,148.51,149.9,148.27,149.89,392444,10422,149.531649
2021-07-13,149.89,149.99,148.8,149.09,321965,8394,149.194854
2021-07-14,149.63,149.895,148.51,149.37,448129,10762,149.198775
2021-07-15,148.99,149.72,148.17,149.11,402283,11189,148.950235
2021-07-16,149.11,149.92,148.67,149.39,648251,9099,149.401313
2021-07-19,148.2,148.71,146.61,147.63,542531,13015,147.505391
2021-07-20,148.1,150.17,146.91,149.81,546394,11649,149.577086
2021-07-21,150.31,152.49,150.05,151.97,506346,11164,151.610638
2021-07-22,152.22,152.22,150.45,151.07,311735,9385,150.963106
2021-07-23,151.35,154.615,151.15,154.13,433825,9897,153.724764
2021-07-26,154.1,154.99,152.84,153.29,402695,8723,153.293411
2021-07-27,153.14,153.66,151.08,152.04,615208,14270,152.234393
2021-07-28,152.38,156.8,151.62,156.09,1078754,18820,155.422708
2021-07-29,157.44,158.35,156.24,157.82,660147,14082,157.543118
2021-07-30,157.28,158.8,156.6,157.2,746042,13052,157.553632
2021-08-02,158.01,159.405,156.98,157.85,461317,10591,158.173466
2021-08-03,158.97,161.06,157.92,160.98,633633,13118,160.110693
2021-08-04,161.19,163.2,161.04,162.28,603864,13454,162.35108
2021-08-05,163.0,164.0599,162.02,163.89,529674,12229,163.279435
2021-08-06,164.3,166.25,164.225,165.73,587837,11296,165.585796
2021-08-09,165.51,166.13,163.96,165.46,582067,11215,165.422183
2021-08-10,165.9,166.565,165.26,165.66,395484,9907,165.754851
2021-08-11,166.0,168.3,165.1,167.23,575564,11924,166.86725
2021-08-12,166.99,167.99,165.34,165.95,553838,12620,165.959815
2021-08-13,166.41,167.61,165.91,167.52,298947,8998,167.108949
2021-08-16,167.27,169.12,166.8,168.85,462418,10660,168.255609
2021-08-17,168.72,168.72,165.85,166.97,418823,11500,166.815586
2021-08-18,166.41,167.49,164.55,164.64,473612,11911,165.731146
2021-08-19,163.69,166.88,162.438,166.8,502452,13464,165.988093
2021-08-20,167.14,171.31,166.93,170.43,799967,18461,170.00567
2021-08-23,170.61,172.43,170.43,171.35,436453,11546,171.607172
2021-08-24,171.72,173.57,170.75,173.43,545020,13791,172.911006
2021-08-25,173.53,175.2,172.33,172.61,815931,17435,173.538493
2021-08-26,172.21,173.14,170.5,172.92,567186,12514,172.279036
2021-08-27,173.5,176.25,173.5,175.86,617688,11495,175.358555
2021-08-30,176.24,178.58,175.56,178.38,506120,11419,177.837217
2021-08-31,178.63,178.805,172.62,174.43,923632,19587,174.304301
2021-09-01,174.46,176.06,173.005,175.5,607497,15971,175.208696
2021-09-02,175.67,176.15,175.15,175.68,583183,13491,175.639725
2021-09-03,175.58,176.89,174.61,176.11,652983,12877,176.250074
2021-09-07,176.08,176.6,173.36,174.5,607376,12750,174.464131
2021-09-08,173.67,174.145,172.75,173.11,627601,13228,173.411751
2021-09-09,172.33,174.24,172.24,173.11,505319,12657,173.436009
2021-09-10,174.3,174.89,172.485,172.59,440273,11123,173.520382
2021-09-13,173.9,174.31,170.05,171.25,827654,18004,171.255367
2021-09-14,171.6,172.11,169.0474,169.47,605687,14420,170.213844
