Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-12,183.89,184.3,176.75,177.23,3094928,0.0
2020-05-13,175.66,176.88,170.76,171.74,3040939,0.0
2020-05-14,169.04,174.78,165.36,174.45,3826080,0.0
2020-05-15,173.48,174.09,170.58,171.95,2512852,0.0
2020-05-18,177.71,183.1,175.24,181.74,4018161,0.0
2020-05-19,180.56,182.185,177.72,177.8,2014895,0.0
2020-05-20,180.95,183.83,180.3,181.38,2343322,0.0
2020-05-21,180.2,181.17,177.68,180.13,1846908,0.0
2020-05-22,180.03,180.64,178.06,179.98,2018260,0.0
2020-05-26,185.63,197.1,185.22,196.06,5637831,0.0
2020-05-27,203,210.71,200.01,209.71,7577399,0.0
2020-05-28,210.84,211.31,201.22,201.2725,4209272,0.0
2020-05-29,197.23,200.92,194.65,196.62,3183809,0.0
2020-06-01,197.31,201.77,195.12,199.93,2078710,0.0
2020-06-02,203.77,206.5,201.32,204.08,3770914,0.0
2020-06-03,208.49,211.93,206.43,210.61,3077287,0.0
2020-06-04,208.79,214.99,207.96,214.9,3277920,0.0
2020-06-05,222,222.98,217.66,218.19,4179743,0.0
2020-06-08,220.02,222.2646,218.24,220.69,2523959,0.0
2020-06-09,215.74,220.02,215.16,218.305,2209976,0.0
2020-06-10,217.39,219.8499,212.8,213.61,2754575,0.0
2020-06-11,204.7,206.9,194.02,194.2985,4215427,0.0
2020-06-12,200.62,202.94,197.84,198.01,1044984,0.0
2020-06-15,195.73,206.9932,195.15,206.33,3164898,0.0
2020-06-16,214.98,214.98,203.73,209.63,2705520,0.0
2020-06-17,210,210.51,205.44,206.11,1554519,0.0
2020-06-18,203.99,207.26,202.67,203.84,1854716,0.0
2020-06-19,207.05,207.4228,200.97,201.89,4238572,0.0
2020-06-22,200.99,204.58,200,203.36,1582905,0.0
2020-06-23,206.5,207.51,203.64,204.8,2030384,0.0
2020-06-24,202.34,202.61,197.3801,198.11,2344184,0.0
2020-06-25,197.86,207.39,197.61,207,2902507,0.0
2020-06-26,199,200.2441,188.5075,189.19,8674774,0.0
2020-06-29,191.38,193.9,188.66,193.59,3430508,0.0
2020-06-30,193.84,198.41,193.62,197.51,2586331,0.0
2020-07-01,198.88,199.74,195.52,197.67,2449013,0.0
2020-07-02,202.5,203,197.13,197.47,2374343,0.0
2020-07-06,201.335,207.7896,201.13,207.25,3188098,0.0
2020-07-07,205.5,205.71,199.19,199.34,2548697,0.0
2020-07-08,199.54,203.25,199.02,202.24,2603151,0.0
2020-07-09,202.11,202.5,195,196.82,2972986,0.0
2020-07-10,196.87,206.3199,196.83,205.65,3839468,0.0
2020-07-13,209,212.98,207,208.83,4005624,0.0
2020-07-14,211.43,214.3,207.01,214,4614168,0.0
2020-07-15,224.37,225.2399,214.69,216.98,11310679,0.0
2020-07-16,213.51,220.455,213.5,214.75,5513711,0.0
2020-07-17,214.9,215.17,211.25,211.41,3223782,0.0
2020-07-20,210.73,213.165,210.25,211.66,2039435,0.0
2020-07-21,212.25,213.81,210.39,212.06,3084941,0.0
2020-07-22,210.5,211,205.35,206.01,4621074,0.0
2020-07-23,205.1,206.0221,202.05,203.01,3847513,0.0
2020-07-24,204.63,204.8,201.32,201.47,2494259,0.0
2020-07-27,200.1,204.18,199.59,203.09,2280726,0.0
2020-07-28,201.91,203.6,201.09,201.58,3180722,0.0
2020-07-29,201.7,203.89,199.62,202.55,4827946,0.0
2020-07-30,199.5,199.99,196.3,199.58,5720327,0.0
2020-07-31,199.84,199.84,196.51,198,3932956,0.0
2020-08-03,198.49,199.88,196.53,199.39,4222375,0.0
2020-08-04,199.35,201.72,198.475,201.65,3688146,0.0
2020-08-05,203.17,204.8075,203.01,204.48,4088479,0.0
2020-08-06,205,206.29,203.83,204.25,3316362,0.0
2020-08-07,203.48,208.8,202.45,208.27,5694814,0.0
2020-08-10,209.59,210.64,208.04,209.38,4435900,0.0
2020-08-11,212.72,216.95,210.53,210.99,7159312,0.0
2020-08-12,214.7,215.95,209.27,212.07,4081218,0.0
2020-08-13,210.41,212.2,207.69,208.26,2093072,0.0
2020-08-14,207.46,209.48,206.61,208.08,2003481,0.0
2020-08-17,207,207.85,202.53,202.92,6477687,0.0
2020-08-18,203.45,203.58,201.1,201.32,5231408,0.0
2020-08-19,202.4,206.1,201.77,203.15,4227417,0.0
2020-08-20,200.76,203.28,200.34,201.88,3161220,0.0
2020-08-21,200.11,203.35,199.82,202.46,3253524,0.0
2020-08-24,203.72,207.43,202.86,207.34,4206729,0.0
2020-08-25,209.99,210.49,205.17,205.95,4925509,0.0
2020-08-26,205.89,207.28,205.03,207.21,3752932,0.0
2020-08-27,206.68,213,206.41,210.09,6836485,0.0
2020-08-28,211.89,212,207.09,207.63,5194488,0.0
2020-08-31,205.5,206.41,203.63,204.62,5412970,0.0
2020-09-01,203.6,206.71,203.01,205.51,4416258,0.0
2020-09-02,205.79,210.93,205.37,210.02,5708404,0.0
2020-09-03,211.75,215.23,205.83,207.51,6146236,0.0
2020-09-04,210.89,213.35,205.32,210.97,6559674,0.0
2020-09-08,209.51,209.96,201.27,202.44,7899995,0.0
2020-09-09,204.19,204.83,202.03,202.45,5843725,0.0
2020-09-10,204.49,205.17,199.55,199.97,3905817,0.0
2020-09-11,200.24,201.91,198.95,200.9,4265243,0.0
2020-09-14,203.3,203.3,200.67,201.35,4737809,0.0
2020-09-15,202.2776,202.585,197.98,198,2873683,0.0
2020-09-16,198.54,203.8,198.07,200.69,3103397,0.0
2020-09-17,198.21,199.89,194.51,194.9,2958341,0.0
2020-09-18,195.01,196.65,192.3848,194.79,4368010,0.0
2020-09-21,189.9,194.17,187.47,194.09,3446945,0.0
2020-09-22,193.94,196.14,188.43,191.62,2850365,0.0
2020-09-23,192,192.915,185.865,186.15,2406578,0.0
2020-09-24,188.98,197.4594,187.05,195.11,4642483,0.0
2020-09-25,192.45,195.39,189.6085,194.99,2418304,0.0
2020-09-28,197.78,201.865,197.15,199.28,2673274,0.0
2020-09-29,198.16,198.77,195.43,196.76,3483914,0.0
2020-09-30,198.68,203.08,198.36,200.94,5179029,0.0
2020-10-01,201.53,203.13,197.8738,198.61,3938668,0.0
2020-10-02,195.34,200.6999,195.29,199.9,3795923,0.0
2020-10-05,201.93,202.84,199.59,201.92,4426958,0.0
2020-10-06,204.25,206.09,199.93,201.09,4715042,0.0
2020-10-07,203.9,205,201.17,203.59,3875967,0.0
2020-10-08,205.15,208.16,204.11,207.94,3937129,0.0
2020-10-09,208.76,209.81,206.07,207.54,3681163,0.0
2020-10-12,207.41,214.89,207.41,214.13,6304899,0.0
2020-10-13,212.945,213.87,209.18,210.8,5496477,0.0
2020-10-14,213.88,214.45,210.27,211.09,12893802,0.0
2020-10-15,209.58,210.73,206.9,208.62,7493669,0.0
2020-10-16,208.32,209.995,205.81,206.18,5809544,0.0
2020-10-19,207.39,207.91,204.59,205.69,5121031,0.0
2020-10-20,206.7,211.38,206.465,208.03,5243168,0.0
2020-10-21,207.39,207.95,202.01,202.84,4174201,0.0
2020-10-22,203.2,206.365,202.2,205.52,3726174,0.0
2020-10-23,206.76,208.21,204.02,205.08,3600730,0.0
2020-10-26,202.49,202.81,198.51,201.29,5335557,0.0
2020-10-27,200,200.59,195.44,195.76,6053427,0.0
2020-10-28,191.09,193.365,188.94,189.8529,6588018,0.0
2020-10-29,189.8,192.35,186.9,190,6184640,0.0
2020-10-30,189.51,190.4,185.52,189.12,6065061,0.0
2020-11-02,192,192.7,188.23,190.24,3766353,0.0
2020-11-03,193.94,199,193.22,197.69,8091608,0.0
2020-11-04,196.25,200.82,194.9,197.91,6348448,0.0
2020-11-05,199.65,204.12,199.06,202.96,4880911,0.0
2020-11-06,204.34,204.39,200.42,201.26,4092137,0.0
2020-11-09,214.49,218,209.37,214.98,12208664,0.0
2020-11-10,215.25,218.38,211.18,217.47,7172593,0.0
2020-11-11,218.64,219.92,215.03,218.18,4389329,0.0
2020-11-12,215.22,216.86,212.4,214.53,4270867,0.0
2020-11-13,215.85,220.96,215.41,219.27,3932972,0.0
2020-11-16,223.53,224.6,220.03,222.37,5266464,0.0
2020-11-17,220.02,224.85,218.33,224.72,4852767,0.0
2020-11-18,225,227.72,223.51,224.3,4853143,0.0
2020-11-19,224.3,224.94,222.11,224.57,2697274,0.0
2020-11-20,223,224.81,222.63,223.22,3113567,0.0
2020-11-23,226.06,230,225.73,228.83,5866526,0.0
2020-11-24,231.1,238.116,230.63,237.87,6272636,0.0
2020-11-25,235,237.45,232.43,236.74,3411257,0.0
2020-11-27,237,237.3,233.785,235.59,1920802,0.0
2020-11-30,232.05,235,230.36,230.58,2111945,0.0
2020-12-01,231.96,234.8704,231.35,232.09,1875447,0.0
2020-12-02,232.08,238.13,231.5822,237.75,1783965,0.0
2020-12-03,237.29,238.85,234.64,235.62,1701862,0.0
2020-12-04,237.7,239.75,236.95,239.55,2115250,0.0
2020-12-07,238.54,239.85,235.45,238.49,1358122,0.0
2020-12-08,237.01,239.19,236.58,238.85,1066235,0.0
2020-12-09,240,245.36,239.53,242.62,3228510,0.0
2020-12-10,240,245.1799,239.5138,244.4,1971872,0.0
2020-12-11,240.81,241.2,237.1,240,1785672,0.0
2020-12-14,243.28,243.5,237.39,237.51,1558016,0.0
2020-12-15,239.5,243.61,237.19,242.43,1987288,0.0
2020-12-16,243.56,243.9,241.12,243.77,1592443,0.0
2020-12-17,245,245.93,243,244.55,1892283,0.0
2020-12-18,245.39,245.39,240.56,242.17,3112249,0.0
2020-12-21,250.29,260.85,248.76,256.83,6847745,0.0
2020-12-22,256.86,257.7,249.8,250.09,2991963,0.0
2020-12-23,251.5,260.575,251.3,256.54,3087187,0.0
2020-12-24,257.04,257.62,253.75,256.18,884089,0.0
2020-12-28,257.81,262.655,257,259.67,2442009,0.0
2020-12-29,260.26,260.8606,256.5,258.01,1302866,0.0
2020-12-30,258.81,260.65,257.83,259.61,1374200,0.0
2020-12-31,258.8,263.93,258.0001,263.39,1772564,0.0
2021-01-04,267,267.58,260.16,265.06,3166533,0.0
