Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,405.72,408.85,402.31,408.34,223516,6647,406.900122
2021-01-04,410.44,411.49,391.17,393.72,432715,12751,395.420573
2021-01-05,392.93,398.75,392.93,394.86,381783,12288,395.925184
2021-01-06,395.9,401.21,394.45,397.17,377897,11981,397.5484
2021-01-07,398.25,400.89,391.4,400.01,319950,9409,396.607429
2021-01-08,403.47,404.16,388.325,396.68,418428,13881,395.28685
2021-01-11,393.74,395.815,391.08,391.71,336639,8909,393.018559
2021-01-12,393.62,402.58,390.84,401.66,350615,11014,399.695356
2021-01-13,401.47,402.16,387.41,388.49,400384,11117,392.303652
2021-01-14,389.57,392.08,382.01,383.4,323143,9458,385.570958
2021-01-15,382.0,390.26,378.37,388.66,852540,11211,387.69438
2021-01-19,391.53,395.43,388.66,394.49,340250,9826,392.835288
2021-01-20,396.06,396.06,388.33,392.96,307883,9188,392.383992
2021-01-21,392.0,395.93,389.72,391.15,316551,6565,391.806816
2021-01-22,389.71,395.84,386.57,393.49,248440,7719,393.37881
2021-01-25,393.45,394.78,386.69,387.94,306466,9162,388.852041
2021-01-26,388.02,389.715,376.505,376.69,346307,8363,379.5416
2021-01-27,373.82,374.57,360.97,370.46,636444,13084,369.066882
2021-01-28,371.19,376.7,368.8101,371.91,862490,15646,369.388841
2021-01-29,369.8,374.0,360.94,364.39,460794,10786,365.373687
2021-02-01,367.19,372.64,366.28,370.32,395511,10459,369.526563
2021-02-02,374.8,378.34,369.98,373.11,419483,11106,373.757084
2021-02-03,368.75,371.95,356.23,366.11,661702,13794,363.89209
2021-02-04,368.42,378.36,366.0,372.0,491456,12102,373.326918
2021-02-05,371.51,373.0836,364.72,367.9,431679,10706,367.577389
2021-02-08,369.44,381.92,369.44,378.81,395319,10118,377.840202
2021-02-09,378.0,379.22,372.85,374.69,325259,7459,376.036428
2021-02-10,375.78,377.81,373.0,376.25,357118,9276,375.820316
2021-02-11,379.16,381.15,372.04,374.15,207634,6172,375.201353
2021-02-12,372.44,375.87,370.43,372.08,206272,6108,372.234431
2021-02-16,373.62,374.81,369.64,369.65,222126,7492,371.866232
2021-02-17,367.81,373.54,367.0,372.18,209592,7219,370.780843
2021-02-18,369.66,377.33,369.66,375.79,200572,6327,374.715283
2021-02-19,377.32,383.56,377.005,379.4,228647,6641,380.477451
2021-02-22,378.9,381.07,375.44,377.34,191929,6718,378.187054
2021-02-23,379.36,380.43,369.26,379.58,284337,8435,376.097771
2021-02-24,379.87,387.36,378.5,385.57,314749,8384,384.501096
2021-02-25,385.03,389.19,379.16,379.96,239420,8633,382.925478
2021-02-26,381.35,382.42,372.71,372.71,368922,9357,374.678895
2021-03-01,376.12,390.93,376.12,387.82,256862,8195,387.585365
2021-03-02,386.26,387.55,382.65,385.66,205248,7910,385.547113
2021-03-03,386.78,393.43,386.19,387.77,280733,10613,390.214211
2021-03-04,390.15,390.205,375.495,378.95,390978,11428,382.044037
2021-03-05,381.63,399.98,377.71,399.11,489185,16288,392.453932
2021-03-08,399.86,406.2,397.1,398.48,357058,12745,400.749148
2021-03-09,401.25,402.275,387.86,388.45,404422,11242,393.888183
2021-03-10,390.77,398.97,386.6,395.91,299349,9125,395.56522
2021-03-11,395.91,395.91,386.11,386.67,338876,12129,388.787031
2021-03-12,386.87,395.48,386.3665,395.01,298182,8535,392.852803
2021-03-15,395.1,400.155,393.04,399.74,231610,9204,397.705306
2021-03-16,399.19,399.69,387.6,389.46,285047,9075,391.255925
2021-03-17,391.2,400.86,388.71,400.05,320018,8264,397.64732
2021-03-18,400.37,408.74,399.6,404.61,316097,11838,405.596742
2021-03-19,405.53,405.53,393.68,400.54,681948,9417,400.815413
2021-03-22,401.57,401.67,394.435,399.71,312516,6375,399.113407
2021-03-23,397.59,402.74,392.11,394.31,215238,7508,395.730652
2021-03-24,396.39,400.73,394.72,395.39,236446,9712,396.95811
2021-03-25,395.68,399.65,390.08,397.59,222727,8824,396.660149
2021-03-26,398.87,400.09,394.98,399.37,378065,11951,398.023436
2021-03-29,399.16,404.04,397.06,400.17,229659,7331,400.803095
2021-03-30,399.25,402.19,397.67,398.67,189657,7518,399.541431
2021-03-31,398.24,402.95,395.04,400.93,426731,12723,400.372961
2021-04-01,402.21,407.31,396.22,406.35,258780,9218,403.325549
2021-04-05,407.69,408.0602,403.14,407.65,258033,8065,406.548786
2021-04-06,406.2,415.28,406.2,408.43,260932,8053,410.652376
2021-04-07,410.64,410.64,397.75,398.74,269726,7948,401.220523
2021-04-08,398.02,402.27,396.41,397.91,317285,11833,398.838596
2021-04-09,399.97,401.62,396.1463,401.62,304541,7047,399.644241
2021-04-12,401.62,406.98,401.62,405.97,145010,7138,404.804068
2021-04-13,403.47,404.41,397.31,400.15,226905,6357,401.146705
2021-04-14,399.07,406.145,398.87,400.46,134673,6698,402.87458
2021-04-15,401.05,404.56,399.44,404.45,123071,6462,403.113249
2021-04-16,406.95,408.26,401.51,406.88,175197,6785,405.269016
2021-04-19,406.0,409.05,404.56,408.98,145314,6521,407.395101
2021-04-20,410.82,414.06,409.27,413.7,301323,9905,412.056013
2021-04-21,415.0,427.77,415.0,424.04,388073,12620,423.704796
2021-04-22,425.98,426.485,418.66,419.12,331422,8910,421.046401
2021-04-23,420.0,425.51,418.51,423.56,169537,5680,423.221535
2021-04-26,423.95,426.85,419.41,419.79,186365,6415,421.318221
2021-04-27,420.0,423.87,416.4,423.32,191427,6329,421.788163
2021-04-28,424.72,427.49,421.54,422.22,267516,8105,424.111001
2021-04-29,425.52,430.65,423.9,429.9,266901,8098,428.440454
2021-04-30,440.0,452.82,432.02,433.54,647102,15843,439.983017
2021-05-03,438.56,446.0,437.67,443.88,247318,8371,443.168508
2021-05-04,446.67,456.88,443.7,456.34,310674,10423,453.877931
2021-05-05,456.35,460.97,452.755,460.56,291036,7767,458.70088
2021-05-06,462.61,463.44,454.37,459.0,269907,9568,457.716211
2021-05-07,455.0,467.58,453.72,465.64,225794,8102,463.365696
2021-05-10,468.43,479.87,468.43,474.22,290397,8518,475.821149
2021-05-11,472.19,472.85,460.0,462.7,272391,9427,464.88332
2021-05-12,464.28,464.28,453.6,454.2,244328,8173,457.058878
2021-05-13,454.2,467.055,454.2,465.1,210355,7706,463.303624
2021-05-14,467.04,467.55,463.12,467.06,204302,6639,465.897753
2021-05-17,467.0,469.49,462.12,467.07,238910,6799,465.359323
2021-05-18,466.14,467.065,454.42,454.77,228997,8972,458.384025
2021-05-19,452.59,456.81,447.1,456.21,256872,7093,453.615138
2021-05-20,455.25,458.79,453.88,454.74,186110,7056,455.495453
2021-05-21,456.62,460.77,455.53,456.43,408895,6681,456.900144
2021-05-24,458.82,461.87,455.34,460.01,152420,5074,459.563945
2021-05-25,460.26,461.69,458.73,460.82,180978,6959,460.348563
2021-05-26,460.12,463.425,456.96,460.64,160043,6090,460.290518
2021-05-27,465.0,465.7,458.85,459.12,393802,8867,460.052674
2021-05-28,462.0,464.34,461.64,462.16,144019,5684,462.611197
2021-06-01,467.33,469.44,461.39,462.66,166944,6206,463.607002
2021-06-02,462.57,466.47,460.27,461.64,185704,6352,462.754805
2021-06-03,460.0,464.695,457.315,463.46,156935,5475,462.652614
2021-06-04,465.9,466.78,461.09,464.65,153471,6443,463.765291
2021-06-07,465.0,465.0,459.05,459.81,254577,6117,460.533528
2021-06-08,459.79,463.57,456.0906,462.48,123533,6115,461.285172
2021-06-09,463.74,463.74,458.54,458.55,140070,4298,459.520562
2021-06-10,461.22,462.72,458.45,459.55,133109,5254,459.990575
2021-06-11,461.32,462.74,458.05,459.2,140588,5995,459.474157
2021-06-14,455.44,459.06,451.11,454.8,191345,7051,454.602255
2021-06-15,454.63,458.88,451.08,458.72,156196,7156,457.359131
2021-06-16,459.54,459.54,448.69,448.94,191038,7160,451.43862
2021-06-17,449.72,449.86,437.0,440.97,249565,8730,441.082908
2021-06-18,434.21,439.18,433.0,436.53,366867,8772,436.748129
2021-06-21,439.31,447.11,439.31,445.09,200401,8556,444.397875
2021-06-22,445.0,445.72,440.58,442.57,197315,6893,443.277115
2021-06-23,441.91,447.85,438.37,444.43,261572,7491,444.697299
2021-06-24,446.1,446.46,440.59,441.61,226114,7172,442.707748
2021-06-25,443.63,446.2525,442.38,442.94,313544,6629,443.483975
2021-06-28,442.7,444.86,440.0,443.76,141619,6901,443.221908
2021-06-29,444.1,448.77,443.53,448.31,161331,6043,447.555972
2021-06-30,449.01,450.38,436.76,438.0,502512,10199,439.707009
2021-07-01,442.62,445.79,439.79,444.84,278288,9819,443.869106
2021-07-02,444.66,449.17,443.13,446.71,187967,5521,446.897843
2021-07-06,449.73,451.71,438.79,447.37,306313,7740,445.952912
2021-07-07,445.48,459.44,445.48,459.0,214283,7634,456.029251
2021-07-08,454.2,456.14,447.75,449.7,189330,7033,450.358233
2021-07-09,455.77,457.87,453.48,456.83,154721,5114,456.287181
2021-07-12,453.62,458.38,452.865,457.7,144145,5856,456.548772
2021-07-13,457.38,459.24,453.39,455.18,201783,6861,455.444883
2021-07-14,457.56,459.21,453.59,457.19,199745,7452,456.634048
2021-07-15,456.36,461.0,454.805,457.71,211840,7310,458.111671
2021-07-16,459.23,459.75,452.3,453.19,173713,5904,454.909917
2021-07-19,448.47,451.09,445.92,449.52,211259,8498,448.833437
2021-07-20,451.88,460.24,451.88,459.53,179884,7112,458.751372
2021-07-21,461.17,464.19,456.04,457.73,189241,7394,457.849966
2021-07-22,457.86,459.92,453.335,454.43,118459,4893,455.144028
2021-07-23,458.15,459.33,453.86,458.66,147375,5409,457.721589
2021-07-26,456.94,458.14,453.13,456.72,225108,6255,456.492359
2021-07-27,456.09,458.78,451.96,456.18,170200,6983,455.595207
2021-07-28,456.02,457.75,448.435,454.08,192370,7635,453.589958
2021-07-29,456.84,461.75,454.7701,461.23,287128,10147,460.045827
2021-07-30,445.2,453.21,431.69,444.58,506572,12216,446.626213
2021-08-02,439.87,444.15,438.84,440.16,290704,11507,441.197823
2021-08-03,444.29,447.9,439.39,445.95,308291,9721,445.329947
2021-08-04,443.88,444.99,437.41,439.35,257753,8644,440.399243
2021-08-05,442.48,444.34,438.04,439.26,306062,9255,440.010562
2021-08-06,440.21,441.69,435.07,438.69,195997,7185,438.096468
2021-08-09,436.97,438.25,435.345,437.73,165691,6331,437.155238
2021-08-10,439.2,445.375,437.35,442.74,182446,7316,442.775826
2021-08-11,443.29,446.8,441.72,445.39,209080,9107,444.413024
2021-08-12,446.8,446.8,437.91,438.07,213044,7051,439.739999
2021-08-13,438.19,441.23,437.36,438.69,166502,6962,439.025496
2021-08-16,436.24,442.845,434.29,440.08,181276,6461,439.74177
2021-08-17,437.54,438.245,432.88,435.94,216090,6990,435.796908
2021-08-18,433.37,437.22,427.88,428.36,238337,10004,430.57901
2021-08-19,424.46,432.37,423.36,429.66,191860,7032,429.38081
2021-08-20,431.73,435.46,430.78,430.99,527883,8467,431.728594
2021-08-23,433.41,435.87,431.66,432.35,233732,7220,433.592802
2021-08-24,433.28,435.725,430.76,430.99,199865,5534,432.700075
2021-08-25,430.92,436.83,430.75,435.82,181539,6082,435.45632
2021-08-26,434.78,434.78,428.31,428.81,336505,10194,429.642203
2021-08-27,431.46,433.82,430.8,432.13,139737,6245,431.978914
2021-08-30,432.52,438.52,432.3,434.6,161347,7353,436.317926
2021-08-31,434.58,436.98,431.68,433.7,397494,8735,434.096721
2021-09-01,434.0,434.0,424.66,429.23,305593,10281,429.698121
