Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,19.03,19.12,18.83,18.9,6940700,34027,18.953811
2021-01-04,19.21,19.47,18.57,18.83,8898853,56618,18.845467
2021-01-05,19.21,20.99,19.01,20.41,15912302,90449,20.404947
2021-01-06,20.93,21.04,20.51,20.82,16165092,95151,20.81173
2021-01-07,20.97,21.21,20.2,20.35,13680484,86575,20.625768
2021-01-08,20.68,20.68,19.87,20.12,8344528,54380,20.217433
2021-01-11,19.38,20.69,19.27,20.57,11413381,62334,20.319342
2021-01-12,20.89,22.23,20.67,22.13,15816250,90744,21.878776
2021-01-13,21.97,21.99,21.39,21.57,10586575,56023,21.603052
2021-01-14,21.63,22.19,21.56,21.76,10215376,56260,21.84311
2021-01-15,21.29,21.45,20.44,20.74,12252399,67922,20.808221
2021-01-19,21.11,21.35,20.3,20.54,16808936,90374,20.699023
2021-01-20,21.2,21.39,19.81,20.08,13376051,72014,20.134076
2021-01-21,19.97,20.39,19.23,19.41,12081856,76365,19.647762
2021-01-22,18.9,19.29,18.455,19.24,14149594,84068,18.863905
2021-01-25,18.99,19.14,18.24,18.63,12581767,79596,18.568334
2021-01-26,18.88,19.12,18.195,18.2,9965627,55532,18.381418
2021-01-27,17.8,18.23,17.23,17.28,16088447,96610,17.689571
2021-01-28,17.5,18.5,17.5,18.27,11646767,79294,18.233516
2021-01-29,18.12,18.31,17.51,17.63,11373156,65430,17.813551
2021-02-01,18.02,18.185,17.57,17.86,8551823,51015,17.838844
2021-02-02,18.49,18.63,18.02,18.02,8862827,50862,18.223981
2021-02-03,18.15,18.835,18.1,18.81,9751508,50941,18.595625
2021-02-04,18.98,19.14,18.54,19.11,8888770,46906,18.948392
2021-02-05,19.55,19.67,18.96,18.98,12027510,58483,19.221049
2021-02-08,19.26,20.105,19.15,20.04,9163879,48160,19.811853
2021-02-09,19.82,20.09,19.2901,19.79,14852724,48943,19.680014
2021-02-10,19.92,20.31,19.59,20.26,9761013,53509,20.096639
2021-02-11,20.06,20.07,19.03,19.43,9644296,53108,19.470265
2021-02-12,19.29,20.27,19.15,20.17,9487850,55181,20.006615
2021-02-16,20.59,20.9,20.355,20.6,10700649,59484,20.631917
2021-02-17,20.9,20.95,20.01,20.55,9253120,46880,20.481078
2021-02-18,20.34,20.37,19.385,19.57,11382406,62005,19.64071
2021-02-19,19.57,20.3,19.5,20.2,7533359,41271,20.085839
2021-02-22,20.2,21.712,19.4,21.13,12612294,71450,21.272817
2021-02-23,21.26,21.33,19.77,20.94,10615317,72451,20.6704
2021-02-24,21.1,22.545,20.93,22.27,14926449,86349,22.101935
2021-02-25,22.55,22.73,21.72,22.03,13896270,91189,22.151653
2021-02-26,21.82,22.13,20.87,21.83,12612822,81166,21.694614
2021-03-01,22.33,23.03,22.16,23.01,12628572,75288,22.717567
2021-03-02,22.84,23.43,22.26,22.28,9704588,62241,22.672938
2021-03-03,22.5,22.89,22.16,22.28,12317137,80707,22.579497
2021-03-04,22.54,22.99,21.08,22.08,17516131,121415,22.113039
2021-03-05,22.85,23.9,22.045,23.84,16439024,111839,23.136073
2021-03-08,23.95,24.74,23.75,24.36,14469613,94348,24.323632
2021-03-09,24.07,24.33,23.45,23.47,11555613,72272,23.767743
2021-03-10,23.42,24.275,23.32,24.14,8827056,69673,23.832499
2021-03-11,24.17,24.695,23.79,23.84,9177849,58068,24.163458
2021-03-12,23.85,24.255,23.675,24.02,7245346,47671,23.969709
2021-03-15,24.09,24.43,23.665,23.97,8186512,54065,23.930329
2021-03-16,23.44,23.53,22.63,22.87,11014091,68221,22.936552
2021-03-17,22.61,23.43,22.56,23.35,11645323,63449,23.108814
2021-03-18,23.13,23.4,22.04,22.17,11327092,71121,22.623546
2021-03-19,22.03,22.42,21.7101,21.79,23242064,92276,22.018693
2021-03-22,21.75,21.82,21.28,21.54,11003912,65969,21.532483
2021-03-23,21.0,21.445,20.57,20.81,11882492,77218,20.965182
2021-03-24,21.29,21.725,21.155,21.3,9751828,69790,21.453649
2021-03-25,20.71,21.255,20.03,21.2,11137274,79981,20.779743
2021-03-26,21.71,21.81,21.23,21.79,9763513,66897,21.546096
2021-03-29,21.58,21.58,20.88,21.24,6864150,49444,21.245102
2021-03-30,21.0,21.68,20.96,21.5,7878549,52579,21.479993
2021-03-31,21.58,21.795,21.28,21.46,6526774,41934,21.483632
2021-04-01,21.66,21.95,21.255,21.92,7409435,51992,21.673934
2021-04-05,21.92,21.95,21.11,21.32,7559106,47268,21.352943
2021-04-06,21.48,22.0,21.23,21.26,7131494,49569,21.536444
2021-04-07,21.35,21.6,21.135,21.42,5851027,37999,21.405071
2021-04-08,21.14,21.49,20.6715,21.35,7043550,49228,21.200563
2021-04-09,21.4,21.62,20.93,21.07,4681885,35231,21.140253
2021-04-12,21.28,21.4953,20.8,21.02,4411952,37018,21.060589
2021-04-13,20.98,21.03,20.54,20.68,4535278,32391,20.749666
2021-04-14,20.98,21.985,20.91,21.66,8883564,59636,21.617158
2021-04-15,21.68,21.86,20.95,21.08,5786202,43903,21.156145
2021-04-16,21.26,21.35,20.545,20.69,7216442,50654,20.79273
2021-04-19,20.62,21.05,20.58,20.67,6072324,43021,20.708539
2021-04-20,20.5,20.6,19.58,19.81,9860868,70525,19.832658
2021-04-21,18.51,19.44,18.35,19.1,19062196,108003,18.955754
2021-04-22,19.27,19.53,18.91,19.22,11102151,71371,19.264166
2021-04-23,19.27,19.36,18.89,19.06,12319138,59327,19.061103
2021-04-26,19.07,19.68,19.03,19.43,9376054,63519,19.403371
2021-04-27,19.4,19.52,18.64,19.32,9341994,53321,19.1803
2021-04-28,19.5,20.24,19.455,20.14,9131653,59229,20.026875
2021-04-29,20.55,20.61,19.9,20.36,9402932,57647,20.257801
2021-04-30,20.06,20.39,19.51,19.56,8407317,49143,19.763871
2021-05-03,20.13,20.79,19.96,20.66,9528754,53271,20.543274
2021-05-04,20.77,21.095,20.425,20.96,9890827,59622,20.880496
