Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,13.08,13.2,13.02,13.11,7189104,0.0
2020-12-07,13.0162,13.04,12.805,13.01,4996907,0.0
2020-12-08,12.83,13.045,12.81,12.91,5643243,0.0
2020-12-09,12.999,13.225,12.83,12.9,8486924,0.0
2020-12-10,12.75,13.05,12.63,13.03,7162176,0.0
2020-12-11,12.84,13,12.78,12.93,7673493,0.0
2020-12-14,12.9,12.95,12.15,12.51,35703136,0.0
2020-12-15,12.7,12.71,12.365,12.59,15064682,0.0
2020-12-16,12.6,12.65,12.385,12.51,12554374,0.0
2020-12-17,12.31,12.44,12,12.34,16203463,0.0
2020-12-18,12.34,12.43,12.115,12.415,18369459,0.0
2020-12-21,12.38,12.62,12.205,12.265,20097361,0.0
2020-12-22,12.3169,12.435,12.11,12.11,10530917,0.0
2020-12-23,12.24,12.47,12.19,12.45,15217968,0.0
2020-12-24,12.51,12.51,12.16,12.345,4350877,0.0
2020-12-28,12.39,12.525,12.21,12.46,10000538,0.0
2020-12-29,12.46,12.465,12.26,12.32,11264974,0.0
2020-12-30,12.36,12.59,12.33,12.56,9312321,0.0
2020-12-31,12.52,12.68,12.43,12.62,7991787,0.0
2021-01-04,12.75,12.82,12.415,12.55,12605288,0.0
2021-01-05,12.71,12.9371,12.6,12.83,10800447,0.0
2021-01-06,13.23,14.2,13.17,14.09,21232828,0.0
2021-01-07,14.32,14.7079,14.2,14.44,16345457,0.0
2021-01-08,14.4,14.5,14.185,14.43,10986171,0.0
2021-01-11,14.32,14.74,14.08,14.72,11259968,0.0
2021-01-12,14.81,15.06,14.69,14.905,9654416,0.0
2021-01-13,14.84,14.98,14.7,14.87,10674418,0.0
2021-01-14,14.99,15.12,14.85,14.99,9865436,0.0
2021-01-15,14.72,14.91,14.57,14.775,12337621,0.0
2021-01-19,14.82,14.94,14.625,14.88,9420261,0.0
2021-01-20,14.84,14.84,14.61,14.68,12499984,0.0
2021-01-21,14.76,14.76,14.4733,14.52,10755773,0.0
2021-01-22,14.08,14.37,13.74,13.85,30855117,0.0
2021-01-25,13.63,13.7,13.08,13.47,23264861,0.0
2021-01-26,13.6,13.72,13.3925,13.51,11727026,0.0
2021-01-27,13.25,13.49,13.19,13.29,17596242,0.0
2021-01-28,13.41,13.7,13.32,13.58,12727521,0.0
2021-01-29,13.54,13.72,13.04,13.225,17023135,0.0
2021-02-01,13.27,13.31,13.02,13.21,12314557,0.0
2021-02-02,13.45,13.575,13.305,13.525,8942735,0.0
2021-02-03,13.55,13.7,13.44,13.62,8884617,0.0
2021-02-04,13.66,14.22,13.61,14.13,8076625,0.0
2021-02-05,14.27,14.3057,14.03,14.07,7171513,0.0
2021-02-08,14.24,14.2573,14.04,14.22,6634606,0.0
2021-02-09,14.22,14.355,14.071,14.27,5970692,0.0
2021-02-10,14.31,14.525,14.2,14.32,6171553,0.0
2021-02-11,14.33,14.4255,14.04,14.32,6928681,0.0
2021-02-12,14.32,14.575,14.25,14.46,5851928,0.0
2021-02-16,14.6211,15.1,14.62,15.05,9202104,0.0
2021-02-17,15.1,15.18,14.87,14.96,6863338,0.0
2021-02-18,14.77,14.94,14.64,14.805,7360549,0.0
2021-02-19,14.92,15.349,14.89,15.31,9580278,0.0
2021-02-22,15.29,15.68,15.23,15.57,6344741,0.0
2021-02-23,15.65,15.75,15.43,15.72,11968318,0.0
2021-02-24,15.77,16.28,15.73,16.22,10452691,0.0
2021-02-25,16.38,16.49,15.65,15.7,10778063,0.0
2021-02-26,15.53,15.643,15.1107,15.33,11822368,0.0
2021-03-01,15.71,15.93,15.625,15.84,8603008,0.0
2021-03-02,15.77,15.98,15.72,15.73,8517980,0.0
2021-03-03,15.9,16.41,15.85,15.92,10003230,0.0
2021-03-04,16.21,16.38,15.485,15.785,15259478,0.0
2021-03-05,16.14,16.34,15.565,16.23,10032808,0.0
2021-03-08,16.39,16.83,16.27,16.6,10278975,0.0
2021-03-09,16.28,16.39,15.88,16.05,10655667,0.0
2021-03-10,16.06,16.41,16.01,16.35,8933947,0.0
2021-03-11,16.1,16.41,16.06,16.32,8564382,0.0
2021-03-12,16.62,16.76,16.48,16.725,12150433,0.0
2021-03-15,16.66,16.75,16.305,16.51,10529619,0.0
2021-03-16,16.34,16.35,15.91,16.095,9024422,0.0
2021-03-17,16.09,16.29,15.88,16.095,8109563,0.0
2021-03-18,16.33,16.91,16.265,16.35,11546998,0.0
2021-03-19,16.06,16.28,15.77,15.98,15154647,0.0
2021-03-22,15.97,16.178,15.55,15.745,9668189,0.0
2021-03-23,15.6,15.72,15.19,15.31,8338469,0.0
2021-03-24,15.65,15.85,15.305,15.31,11202065,0.0
2021-03-25,15.26,15.895,15.085,15.83,9819432,0.0
2021-03-26,16.02,16.165,15.77,16.08,9259967,0.0
2021-03-29,15.84,15.885,15.36,15.61,11896359,0.0
2021-03-30,15.8,16.115,15.8,16.005,7645612,0.0
2021-03-31,15.87,16.09,15.7,15.71,9363446,0.0
2021-04-01,15.76,16.025,15.64,15.98,7778360,0.0
2021-04-05,16.31,16.4,15.99,16.11,10357273,0.0
2021-04-06,16.12,16.13,15.88,16.11,8145166,0.0
2021-04-07,16.15,16.29,16.04,16.14,4605892,0.0
2021-04-08,16,16.135,15.76,16.06,6415322,0.0
2021-04-09,16.24,16.285,16.11,16.27,5940431,0.0
2021-04-12,16.3,16.5,16.29,16.485,7081950,0.0
2021-04-13,16.15,16.28,15.925,16.135,8346516,0.0
2021-04-14,16.1335,16.535,16.07,16.345,7895882,0.0
2021-04-15,16.32,16.32,15.8239,16.1,8722973,0.0
2021-04-16,16.29,16.46,16.09,16.18,13799965,0.0
2021-04-19,16.22,16.26,15.78,15.875,12845762,0.0
2021-04-20,15.67,15.68,15.14,15.175,15959063,0.0
2021-04-21,15.11,15.58,14.88,15.5,13931331,0.0
2021-04-22,15.41,15.445,14.43,14.44,30901680,0.0
2021-04-23,14.4,14.985,14.3,14.895,25425529,0.0
2021-04-26,15,15.26,14.98,15.2,14491807,0.0
2021-04-27,15.22,15.33,15.025,15.2,12489131,0.0
2021-04-28,15.23,15.4,15.195,15.295,17257661,0.0
2021-04-29,15.5,15.645,15.4,15.5,9923075,0.0
2021-04-30,15.44,15.62,15.29,15.315,11600282,0.0
2021-05-03,15.48,15.55,15.245,15.34,9151134,0.0
2021-05-04,15.29,15.48,15.09,15.48,10991123,0.0
2021-05-05,15.48,15.7,15.295,15.56,5525277,0.0
2021-05-06,15.67,15.73,15.41,15.72,6072421,0.0
2021-05-07,15.38,15.82,15.3199,15.79,7099046,0.0
2021-05-10,15.97,16.04,15.755,15.765,8649898,0.0
2021-05-11,15.67,16,15.6,15.65,11911362,0.0
2021-05-12,15.85,15.945,15.17,15.22,9724859,0.0
2021-05-13,15.16,15.64,15.07,15.52,16655619,0.0
2021-05-14,15.67,15.88,15.6,15.85,11316311,0.0
2021-05-17,15.78,15.97,15.72,15.91,8757710,0.0
2021-05-18,15.97,16.08,15.7,15.715,10444885,0.0
2021-05-19,15.66,15.66,15.275,15.62,12554507,0.0
2021-05-20,15.57,15.61,15.32,15.51,8620211,0.0
2021-05-21,15.55,15.81,15.54,15.73,9979249,0.0
2021-05-24,15.76,15.785,15.59,15.64,7637088,0.0
2021-05-25,15.68,15.86,15.34,15.365,8361110,0.0
2021-05-26,15.435,15.54,15.32,15.48,11440655,0.0
2021-05-27,15.69,15.86,15.64,15.82,25597842,0.0
2021-05-28,15.72,15.91,15.58,15.86,11938146,0.0
2021-06-01,15.97,16.19,15.955,16.07,18474505,0.0
2021-06-02,16.11,16.12,15.84,15.87,12700366,0.0
2021-06-03,15.89,15.955,15.75,15.82,15542742,0.0
2021-06-04,15.84,15.86,15.37,15.62,13909412,0.0
2021-06-07,15.71,15.75,15.49,15.59,13213719,0.0
2021-06-08,15.46,15.47,15.04,15.19,54586566,0.0
2021-06-09,15.06,15.19,14.94,15,19286090,0.0
2021-06-10,15.19,15.19,14.44,14.5,23526456,0.0
2021-06-11,14.57,14.67,14.45,14.48,20831042,0.0
2021-06-14,14.51,14.585,14.27,14.39,17878924,0.0
2021-06-15,14.43,14.57,14.255,14.46,15398660,0.0
2021-06-16,14.24,14.49,14,14.36,17121134,0.0
2021-06-17,14.46,14.51,13.51,13.53,25133315,0.0
2021-06-18,13.34,13.39,13.01,13.27,27144953,0.0
2021-06-21,13.41,13.72,13.305,13.685,18280594,0.0
2021-06-22,13.68,13.73,13.425,13.69,13385791,0.0
2021-06-23,13.82,14.035,13.82,13.87,15322482,0.0
2021-06-24,13.92,14.27,13.84,14.21,16280204,0.0
2021-06-25,14.29,14.64,14.225,14.63,19451946,0.0
2021-06-28,14.52,14.54,14.17,14.325,15684337,0.0
2021-06-29,14.46,14.55,14.17,14.28,11171010,0.0
2021-06-30,14.24,14.35,14.11,14.27,10836278,0.0
2021-07-01,14.4,14.5,14.255,14.43,9150867,0.0
