Date,Estimate,Actual
2021-07-29,0.38,None
2021-05-05,0.08,0.02
2021-02-17,0.03,-0.1
2020-11-04,-0.02,0.06
2020-08-06,-0.31,-0.61
2020-05-07,0.57,0.74
2020-02-11,0.96,1
2019-10-23,1.02,1.05
2019-07-24,1.01,1.06
2019-05-01,0.76,0.8
2019-02-13,0.69,0.79
2018-10-24,0.76,0.77
2018-07-25,0.7,0.7
2018-04-26,0.51,0.55
2018-02-14,0.45,0.54
2017-10-26,0.5,0.56
2017-07-26,0.5,0.52
2017-05-02,0.28,0.38
2017-02-15,0.65,0.7
2016-10-26,0.68,0.69
2016-07-27,0.78,0.75
2016-04-27,0.48,0.51
2016-02-26,0.65,0.66
2015-10-28,0.68,0.69
2015-07-29,0.68,0.75
2015-04-29,0.37,0.36
2015-02-18,0.54,0.51
2014-10-31,0.17,0.18
2014-08-01,0.57,0.63
2014-05-09,0.26,0.39
2014-02-27,0.49,0.33
