Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,65.63,66.94,65.425,66.86,401120,5419,66.525686
2021-01-04,68.21,68.6,66.225,66.49,903090,11368,66.924799
2021-01-05,66.68,68.24,66.075,67.78,971343,8177,67.721219
2021-01-06,68.24,69.95,67.77,69.56,1384673,13270,69.09524
2021-01-07,69.28,70.74,68.94,70.01,775806,9182,70.02779
2021-01-08,70.74,72.27,70.51,72.1,969414,11253,71.766212
2021-01-11,71.81,72.755,71.53,72.38,643151,8013,72.24317
2021-01-12,72.05,74.83,71.91,73.79,732459,9797,73.801954
2021-01-13,73.72,74.89,73.05,73.88,619515,7801,74.022357
2021-01-14,73.7,74.0,72.7,73.03,623332,9681,73.255392
2021-01-15,72.52,72.96,71.02,71.46,725580,8916,71.612198
2021-01-19,72.14,72.14,69.605,70.43,605410,7994,70.366511
2021-01-20,70.41,70.56,69.12,70.18,731890,8338,69.879112
2021-01-21,70.32,70.36,68.17,68.44,534069,7394,68.772623
2021-01-22,68.27,69.4073,68.095,69.13,584570,7462,68.966695
2021-01-25,68.63,69.57,68.27,69.31,655290,9092,68.99305
2021-01-26,69.84,70.0,68.8,69.11,491114,6705,69.27649
2021-01-27,68.2,68.98,67.03,68.17,1414814,15308,67.993532
2021-01-28,68.43,69.19,67.0,67.75,576566,8517,68.234093
2021-01-29,67.41,67.75,64.7,65.85,680174,9324,65.852048
2021-02-01,66.32,67.81,65.52,67.46,748435,8831,67.352758
2021-02-02,68.0,69.24,67.42,67.43,719186,9135,68.120786
2021-02-03,67.12,68.51,66.81,67.79,753190,9771,67.860927
2021-02-04,67.7,69.96,67.61,69.83,628490,9217,69.513086
2021-02-05,70.22,70.51,69.61,70.13,586563,6837,70.14119
2021-02-08,70.53,71.77,70.0,70.78,473739,7706,70.947284
2021-02-09,71.16,71.77,69.957,70.61,572128,7791,70.813129
2021-02-10,71.33,71.59,70.11,70.74,959107,9921,70.8096
2021-02-11,71.09,71.63,69.58,69.62,550421,7966,70.000627
2021-02-12,69.75,70.16,69.29,69.46,666624,8407,69.56646
2021-02-16,70.0,70.69,69.14,70.58,1245043,14629,70.173229
2021-02-17,65.29,67.43,63.5001,64.87,3463549,34166,66.104967
2021-02-18,64.17,64.91,63.2875,64.575,2761835,21577,63.988043
2021-02-19,64.86,65.78,63.53,63.75,1303807,14032,64.291847
2021-02-22,64.0,66.39,63.52,65.97,2539879,19629,64.923231
2021-02-23,66.32,66.56,64.51,65.62,1086853,15763,65.547916
2021-02-24,65.18,66.66,64.9,65.01,1174599,13024,65.503005
2021-02-25,64.46,64.63,61.68,61.89,2937657,26132,62.505975
2021-02-26,62.3,62.92,61.36,61.85,2094698,16747,61.977158
2021-03-01,62.53,64.98,62.29,64.55,1114285,14883,64.309073
2021-03-02,64.63,64.86,62.7,62.92,1409263,14000,63.390358
2021-03-03,62.97,63.2757,61.69,62.71,868880,11902,62.695952
2021-03-04,62.44,63.14,60.96,61.5,908115,11175,61.898959
2021-03-05,62.36,63.0,60.7,62.57,1050602,11565,62.31107
2021-03-08,63.2,66.06,62.625,64.79,1018829,13947,65.005558
2021-03-09,64.89,66.94,64.76,65.18,1165236,15511,65.663734
2021-03-10,65.6,67.519,65.46,65.91,1107301,13924,66.422246
2021-03-11,65.76,66.81,65.55,65.88,1041059,13217,65.962766
2021-03-12,65.92,67.56,65.92,67.19,1050568,12302,66.940986
2021-03-15,66.85,68.88,66.3725,68.22,1090186,11490,68.323537
2021-03-16,68.38,68.77,66.559,67.03,880418,12495,67.126734
2021-03-17,66.27,68.2,66.27,67.78,989520,14177,67.581301
2021-03-18,67.64,69.435,67.45,67.69,1419135,16528,68.273052
2021-03-19,67.58,67.865,66.43,66.81,1525401,13129,67.00006
2021-03-22,66.69,66.9,65.7288,66.3,823877,12271,66.369866
2021-03-23,66.58,66.76,64.98,65.07,937820,13000,65.332417
2021-03-24,65.25,66.755,65.25,65.66,1084675,13961,65.948075
2021-03-25,65.61,66.94,65.01,66.81,817428,12267,66.399277
2021-03-26,67.96,67.99,66.39,67.98,1935727,21192,67.211774
2021-03-29,67.8,70.2,66.91,69.74,1550546,19141,69.503608
2021-03-30,69.16,69.56,68.04,68.97,897457,11837,68.854633
2021-03-31,68.67,69.81,68.09,69.24,961941,11645,69.228306
2021-04-01,69.13,69.4,67.35,68.67,969933,12443,68.439393
2021-04-05,69.43,69.6,68.81,68.98,496704,7022,69.102716
2021-04-06,68.33,69.59,68.23,69.0,651146,10207,69.011654
2021-04-07,69.16,69.16,68.29,68.66,879861,12173,68.682337
2021-04-08,68.52,69.0,67.97,68.67,946356,13444,68.639355
2021-04-09,69.0,69.455,68.77,69.39,694227,8286,69.118656
2021-04-12,69.2,70.3495,69.2,70.02,580137,10266,69.962186
2021-04-13,70.0,70.06,69.12,69.59,688254,9309,69.499176
2021-04-14,69.5,70.35,69.14,70.01,648584,10563,69.923855
2021-04-15,70.04,71.02,69.86,70.91,520478,8934,70.699512
2021-04-16,71.26,71.42,70.705,71.15,580604,9111,71.107875
2021-04-19,71.12,71.12,70.01,70.64,678106,10178,70.463713
2021-04-20,70.52,71.0,70.38,70.49,607058,8382,70.63718
2021-04-21,70.86,72.385,70.3,72.3,634373,8668,71.836108
2021-04-22,72.38,73.24,71.91,72.73,1025760,13818,72.772067
2021-04-23,72.77,74.51,72.39,74.22,1201164,13196,73.742661
2021-04-26,74.48,74.81,73.26,73.38,651018,8629,73.691069
2021-04-27,72.82,73.67,71.79,73.14,718836,8406,73.126274
2021-04-28,72.9545,73.21,71.84,72.72,751091,11372,72.770126
2021-04-29,73.27,73.97,72.79,73.07,926740,12468,73.231876
2021-04-30,73.6,73.865,72.27,72.5,1513391,14974,72.592993
2021-05-03,73.43,74.48,73.155,74.01,2179014,19941,74.016891
2021-05-04,72.61,80.09,72.6,79.87,2266606,28163,77.97353
2021-05-05,79.56,79.9,77.37,78.91,1772281,16702,78.843391
2021-05-06,78.27,79.98,78.02,79.9799,1071597,17273,79.216008
2021-05-07,82.71,82.71,80.58,80.61,1036448,14678,81.24982
2021-05-10,80.53,83.45,80.245,82.97,1036514,16488,82.716256
2021-05-11,81.74,83.1,79.99,80.39,1040800,18030,80.87637
2021-05-12,80.06,80.79,78.52,78.62,653324,12716,79.289858
2021-05-13,78.4,80.37,78.29,80.1,592441,11642,79.797486
2021-05-14,80.44,81.19,79.91,80.66,693060,12678,80.645085
2021-05-17,80.64,81.005,79.95,80.5,518320,9518,80.590022
2021-05-18,79.99,80.4,79.02,79.35,810712,14739,79.433208
2021-05-19,79.17,79.26,78.23,78.76,814327,12292,78.656877
2021-05-20,78.54,79.69,78.06,79.41,1000248,11733,79.293023
2021-05-21,79.16,80.49,78.17,78.31,1082989,13012,78.939997
2021-05-24,78.45,78.45,77.32,77.59,762725,13326,77.682067
2021-05-25,77.41,77.7373,76.17,76.26,785084,12961,76.641786
2021-05-26,76.54,77.12,75.97,76.85,1218307,18193,76.719411
2021-05-27,77.03,77.065,76.11,76.39,1935026,13587,76.440542
2021-05-28,77.06,77.4,75.96,76.04,930627,12190,76.397516
2021-06-01,75.81,76.455,75.2774,76.07,1006419,13768,75.957733
2021-06-02,76.2,76.59,75.33,75.42,642559,12211,75.67153
2021-06-03,75.07,78.12,74.85,77.96,995285,16866,77.375919
2021-06-04,77.73,78.33,77.34,77.9,923903,13348,77.796297
2021-06-07,78.24,78.57,77.26,77.3,647048,10799,77.673289
2021-06-08,77.17,77.89,76.575,77.7,483579,9930,77.365675
2021-06-09,77.81,78.16,77.21,77.6,436987,9872,77.700643
2021-06-10,78.56,78.9,77.92,78.58,516579,9510,78.609354
2021-06-11,78.71,78.99,78.5101,78.9,440388,9467,78.792355
2021-06-14,78.4579,78.95,77.06,77.43,561634,9288,77.399704
2021-06-15,77.6,78.57,77.2,78.4,496781,10738,78.217663
2021-06-16,78.15,78.21,76.99,77.42,683561,13279,77.561691
2021-06-17,77.81,78.07,75.47,76.69,1076442,17801,76.429384
2021-06-18,76.26,76.405,74.77,75.02,1494456,13898,75.201122
2021-06-21,75.42,76.66,75.35,76.39,566783,10432,76.382372
2021-06-22,76.46,76.62,75.84,76.42,502124,8545,76.385324
2021-06-23,75.63,75.7,74.29,74.47,1580007,18055,74.684567
2021-06-24,74.8,75.295,74.26,75.14,1006171,12887,74.92739
2021-06-25,75.2,75.68,74.89,75.01,1605831,13489,75.145336
2021-06-28,74.98,75.06,73.74,74.33,521189,10265,74.303662
2021-06-29,74.72,74.96,73.92,74.0,575375,10690,74.192556
2021-06-30,74.22,74.385,73.84,74.19,588457,8685,74.168775
2021-07-01,74.38,75.98,74.38,75.51,973552,16410,75.456489
2021-07-02,75.4,76.16,74.95,75.97,729532,11630,75.836591
2021-07-06,75.68,76.23,74.38,76.04,1133824,13497,75.721337
