Date,Estimate,Actual
2021-08-02,0.97,None
2021-05-04,0.84,1.24
2021-02-17,0.99,1
2020-11-02,0.79,1.03
2020-08-04,-0.12,0
2020-05-05,0.74,0.94
2020-02-20,0.91,0.97
2019-11-05,0.86,0.9
2019-08-06,0.83,0.84
2019-05-07,0.76,0.8
2019-02-20,1.11,1.12
2018-11-06,1.01,1.03
2018-08-06,1.01,1.04
2018-05-08,0.92,0.95
2018-02-20,0.97,0.97
2017-11-06,0.89,0.87
2017-08-08,0.87,0.88
2017-05-09,0.82,0.88
2017-02-21,0.92,0.94
2016-11-02,0.83,0.84
2016-08-04,0.82,0.82
2016-05-03,0.69,0.71
2016-02-10,0.82,0.84
2015-11-04,0.73,0.78
2015-07-29,1.46,1.46
2015-05-04,1.26,1.28
2015-02-11,1.51,1.56
2014-11-06,1.3,1.34
2014-08-04,0.67,0.68
2014-05-06,0.57,0.59
2014-02-11,0.7,0.72
2013-11-05,0.61,0.61
2013-08-06,0.61,0.62
2013-05-07,0.54,0.53
2013-02-13,0.6,0.63
2012-11-07,0.54,0.54
2012-08-02,0.55,0.56
2012-05-08,0.46,0.49
2012-02-15,0.56,0.57
2011-11-01,0.5,0.5
2011-08-02,0.5,0.51
2011-05-03,0.4,0.41
2011-02-22,0.48,0.5
2010-10-29,0.44,0.47
2010-08-02,0.43,0.45
2010-05-04,0.35,0.38
2010-02-23,0.45,0.47
2009-11-04,0.41,0.4
2009-08-04,0.38,0.41
2009-05-04,0.29,0.32
2009-02-24,0.44,0.45
2008-11-05,0.37,0.39
2008-08-05,0.34,0.36
2008-05-06,0.28,0.28
2008-02-25,0.41,0.42
2007-11-01,0.31,0.33
2007-08-07,0.29,0.3
2007-05-08,0.24,0.24
2007-02-21,0.34,0.35
2006-11-02,0.26,0.22
2006-07-27,0.24,0.25
2006-04-27,0.2,0.2
2006-02-22,0.29,0.3
2005-10-25,0.21,0.21
2005-07-26,0.22,0.23
2005-05-03,0.18,0.19
2005-03-01,0.21,0.22
2004-10-26,0.18,0.18
2004-07-27,0.21,0.22
2004-04-27,0.16,0.16
2004-03-02,0.2,0.2
2003-11-04,0.23,0.26
2003-08-05,0.18,0.19
2003-05-06,0.13,0.14
2003-03-04,0.16,0.17
2002-11-05,0.18,0.22
2002-08-06,0.15,0.16
2002-05-07,0.11,0.11
2002-03-05,0.15,0.16
2001-11-06,0.13,0.14
2001-08-07,0.12,0.12
2001-05-08,0.08,0.08
2001-03-06,0.12,0.13
2000-10-31,0.11,0.12
2000-08-01,0.1,0.1
2000-05-01,0.07,0.07
2000-02-29,0.1,0.1
1999-10-21,0.11,0.1
1999-08-02,0.1,0.1
1999-05-03,0.06,0.07
1999-03-01,0.12,0.13
1998-11-02,0.1,0.1
1998-08-03,0.09,0.09
1998-05-04,0.06,0.06
1998-03-02,0.1,0.1
1997-11-03,0.07,0.08
1997-08-04,0.07,0.07
1997-05-05,0.04,0.04
1997-02-26,0.08,0.08
1996-11-04,0.06,0.06
