Date,Open,High,Low,Close,Volume,OpenInterest
2020-04-29,12.4,13.93,12.33,13.89,3785002,0.0
2020-04-30,13.56,13.65,12.81,13.08,2584402,0.0
2020-05-01,12.92,12.96,12.2,12.56,2231683,0.0
2020-05-04,12.3,12.36,11.42,11.96,2561329,0.0
2020-05-05,12.45,13.04,12.16,12.19,2906300,0.0
2020-05-06,12.27,12.35,11.45,11.49,1909046,0.0
2020-05-07,11.5,12.3,11.5,11.88,2548977,0.0
2020-05-08,11.96,12.64,11.96,12.61,1981256,0.0
2020-05-11,12.26,12.48,11.71,11.76,1489888,0.0
2020-05-12,11.85,12.1,11.11,11.11,1714393,0.0
2020-05-13,11,11.06,10.51,10.65,1964364,0.0
2020-05-14,10.4,11.3,9.87,11.25,3049257,0.0
2020-05-15,11.06,11.2,10.74,10.77,1481595,0.0
2020-05-18,11.3,12.42,11.295,12.33,3163835,0.0
2020-05-19,12.29,12.47,11.9,12.05,1437941,0.0
2020-05-20,12.28,13,12.26,12.74,2397985,0.0
2020-05-21,12.62,12.97,12.365,12.44,1935548,0.0
2020-05-22,12.45,12.67,12.07,12.36,1119701,0.0
2020-05-26,13.17,13.4,12.94,13.06,2359104,0.0
2020-05-27,13.33,14.16,12.9,14.02,5901569,0.0
2020-05-28,14.35,14.36,13.27,13.28,2512749,0.0
2020-05-29,13.23,13.435,12.8,13.07,4229855,0.0
2020-06-01,13.16,13.76,13.1,13.415,1920474,0.0
2020-06-02,13.41,14.2,13.36,13.99,2508179,0.0
2020-06-03,14.44,15.19,14.31,15.18,2169349,0.0
2020-06-04,15.17,15.65,15.01,15.53,3401748,0.0
2020-06-05,16.81,17.26,16.33,17.165,3621296,0.0
2020-06-08,18.02,18.38,17.66,17.715,4208736,0.0
2020-06-09,17.03,17.2,16.055,16.235,2719823,0.0
2020-06-10,16.03,16.03,14.73,14.9641,2982897,0.0
2020-06-11,13.87,14.27,12.99,12.99,2661018,0.0
2020-06-12,14.05,14.16,13.445,13.445,517731,0.0
2020-06-15,13.14,14.66,13.08,14.52,2671887,0.0
2020-06-16,15.38,15.6267,14.8,15.24,2842728,0.0
2020-06-17,15.4,15.46,14.79,14.8,2375814,0.0
2020-06-18,14.53,14.92,14.42,14.59,1969159,0.0
2020-06-19,15,15.25,13.82,13.96,4590492,0.0
2020-06-22,13.91,14.7,13.565,14.65,2844242,0.0
2020-06-23,14.66,15.16,14.09,15.04,4362347,0.0
2020-06-24,14.77,14.96,14.33,14.62,4760184,0.0
2020-06-25,14.29,15.26,14.19,15.22,3578098,0.0
2020-06-26,15.36,15.49,14.971,15.43,5791176,0.0
2020-06-29,15.78,16.305,15.5101,16.22,3154727,0.0
2020-06-30,16.02,16.285,15.74,15.85,4516021,0.0
2020-07-01,15.93,16.24,15.24,15.28,3540604,0.0
2020-07-02,15.63,15.87,15.16,15.3,3628415,0.0
2020-07-06,15.77,15.88,15.415,15.75,1646933,0.0
2020-07-07,15.56,15.62,15.06,15.13,2104962,0.0
2020-07-08,15.04,15.43,14.96,15.34,2408169,0.0
2020-07-09,15.05,15.22,14.74,14.78,2399765,0.0
2020-07-10,14.77,15.35,14.64,15.32,1233857,0.0
2020-07-13,15.38,15.7,15.0625,15.22,2055590,0.0
2020-07-14,15.08,15.7,15.05,15.69,1706843,0.0
2020-07-15,16.12,16.73,15.97,16.71,2533843,0.0
