Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,124.22,126.03,123.99,125.88,3574696,37099,125.113949
2021-01-04,125.85,125.9174,123.04,123.94,5179161,60011,124.015951
2021-01-05,124.98,126.68,124.61,126.14,6114619,56970,125.735916
2021-01-06,126.86,131.88,126.72,129.29,7969740,84912,130.009123
2021-01-07,129.81,130.46,128.26,128.99,4507459,47300,129.284699
2021-01-08,128.06,129.32,126.98,128.53,4677663,51617,128.143964
2021-01-11,127.95,129.675,127.66,128.58,5602466,43137,128.566106
2021-01-12,129.09,129.85,127.94,129.21,3749363,44138,129.072272
2021-01-13,129.19,129.75,126.455,126.92,8125449,66969,127.252929
2021-01-14,128.02,130.16,127.55,128.97,7503230,62759,129.073033
2021-01-15,128.21,129.24,127.67,128.39,4905651,49419,128.38328
2021-01-19,129.39,129.59,128.0885,129.02,5397991,53380,128.964486
2021-01-20,129.7,131.06,128.56,130.08,5598805,57316,129.807361
2021-01-21,130.12,132.24,130.05,131.65,12819740,116808,129.321909
2021-01-22,120.7,120.7,117.36,118.61,38064224,342400,118.590754
2021-01-25,118.77,119.538,117.45,118.58,13686391,143927,118.377539
2021-01-26,119.18,122.59,118.42,122.49,10694708,98458,120.749909
2021-01-27,121.74,124.79,121.6214,122.47,12146541,132393,123.204566
2021-01-28,122.8,123.2,120.07,120.08,8084051,88192,120.799228
2021-01-29,120.22,121.3,118.9,119.11,11826610,89052,119.676604
2021-02-01,119.8,120.95,118.73,120.54,6250508,67886,119.892046
2021-02-02,119.36,121.0,119.28,119.44,6349592,65830,119.839825
2021-02-03,119.0,119.8,118.12,119.12,6715496,73882,118.888012
2021-02-04,119.86,121.1,118.87,121.02,4562387,48117,120.397413
2021-02-05,121.0,121.81,120.52,121.79,4565727,48047,121.400329
2021-02-08,122.68,123.9767,122.4,123.61,5888449,59572,123.222708
2021-02-09,121.8,122.5953,121.05,122.1,4717032,49619,122.002235
2021-02-10,123.03,123.41,121.2138,122.24,4866768,53908,122.283124
2021-02-11,122.0,122.205,120.63,120.91,5381557,46716,121.055421
2021-02-12,121.0,121.36,120.09,120.8,3871195,38900,120.643862
2021-02-16,120.15,120.6,119.36,120.07,6639790,58358,119.93401
2021-02-17,119.04,120.56,119.02,119.97,3976306,46533,119.780144
2021-02-18,120.5,120.94,119.7,120.73,5399445,46776,120.49472
2021-02-19,120.75,120.76,118.38,118.99,6578741,65264,119.328347
2021-02-22,118.5,121.125,118.44,120.86,5879249,61251,120.229829
2021-02-23,121.24,121.35,119.8,120.71,4530170,58428,120.735184
2021-02-24,120.8,123.49,120.52,123.21,5819983,64662,122.712267
2021-02-25,123.37,124.35,122.335,122.47,5691855,71927,123.274256
2021-02-26,122.25,122.25,118.88,118.93,9050990,90904,119.706701
2021-03-01,120.35,122.32,119.8649,120.74,5715767,60866,121.051863
2021-03-02,120.74,121.9,120.26,120.33,4524299,48758,120.907642
2021-03-03,120.5,122.634,119.98,122.36,7404269,66793,121.596841
2021-03-04,122.0,123.22,118.755,120.11,8067822,98358,120.62654
2021-03-05,120.64,123.75,120.25,122.83,6949266,80680,122.387954
2021-03-08,123.1,126.85,122.88,124.81,7239191,81356,125.243939
2021-03-09,125.4,126.43,124.16,124.18,5704286,63194,125.13849
2021-03-10,125.05,128.24,124.61,127.87,7247807,78725,127.115909
2021-03-11,128.09,128.64,126.78,127.14,5146939,59305,127.606629
2021-03-12,127.19,127.68,126.61,127.61,4010100,45847,127.278432
2021-03-15,127.77,128.75,127.5401,128.58,3459292,43457,128.19173
2021-03-16,128.28,128.52,127.34,128.24,4660293,46962,128.088919
2021-03-17,128.46,129.49,127.49,129.03,4291352,48001,128.686112
2021-03-18,128.94,130.995,127.79,130.06,5835669,66857,130.212857
2021-03-19,130.02,130.44,128.53,128.9,9845729,60219,129.276852
2021-03-22,128.5,130.72,127.89,130.55,4164935,50241,129.962348
2021-03-23,130.44,131.56,129.8,130.46,4356359,51265,130.805489
2021-03-24,130.95,132.11,130.57,130.62,4005129,47127,131.175056
2021-03-25,130.33,133.24,129.77,133.07,5553966,58289,132.371222
2021-03-26,133.29,136.48,133.12,136.38,5581869,69897,135.12282
2021-03-29,135.98,137.07,135.51,135.86,4625928,58611,136.143861
2021-03-30,135.86,136.27,134.02,134.72,4790366,50677,134.790558
2021-03-31,134.54,134.71,132.71,133.26,4945345,56776,133.418201
2021-04-01,133.76,133.93,132.27,133.23,4065120,53517,132.879031
2021-04-05,133.64,136.69,133.4,135.93,5466604,58829,135.596106
2021-04-06,135.58,135.64,134.09,134.22,3616929,50300,134.477419
2021-04-07,133.84,134.94,133.78,134.93,2967290,40510,134.567129
2021-04-08,134.57,135.6299,134.16,135.12,4077515,46821,134.852989
2021-04-09,134.87,135.74,134.71,135.73,3003917,36291,135.292992
2021-04-12,135.02,135.37,133.85,134.59,3058364,53232,134.382295
2021-04-13,133.0,133.62,130.38,131.18,6996625,83153,131.223184
2021-04-14,131.02,132.78,130.52,132.63,5023826,56610,132.057858
2021-04-15,133.28,133.87,132.22,132.58,3236625,47770,132.609989
2021-04-16,133.0,134.1,132.95,133.59,4528728,52691,133.60508
2021-04-19,133.6,133.815,132.58,133.12,7390871,85924,134.270382
2021-04-20,137.07,139.77,136.7,138.16,14944726,144201,138.437454
2021-04-21,138.15,143.73,137.71,143.55,12006991,112561,141.798215
2021-04-22,143.7,144.74,141.0,141.28,7091570,78742,142.354625
2021-04-23,141.24,143.61,140.95,142.43,4549987,54705,142.680641
2021-04-26,142.42,143.63,141.48,141.57,4702487,47724,142.319864
2021-04-27,141.69,142.56,140.75,142.01,3863070,43867,141.981484
2021-04-28,142.92,143.4,142.1,143.0,3753774,49075,142.954373
2021-04-29,144.13,148.74,142.98,144.24,4305881,53025,143.876952
2021-04-30,143.7,143.83,140.55,141.88,8852076,75921,141.614358
2021-05-03,143.81,145.75,143.55,144.75,5717744,65046,144.751148
2021-05-04,144.41,146.59,144.33,145.75,6284925,71641,145.478582
2021-05-05,145.94,146.0,144.3592,145.22,4977532,55330,145.221665
2021-05-06,145.26,148.515,145.18,148.42,7002933,91561,147.482539
2021-05-07,145.58,146.14,144.57,145.46,6996077,80632,145.447247
2021-05-10,145.8,148.38,145.8,146.11,6335582,70644,147.084657
2021-05-11,145.19,145.19,142.9,144.22,7100779,82773,144.063553
2021-05-12,143.84,144.15,141.14,141.3,5922471,71392,142.227483
2021-05-13,141.45,144.9,141.28,144.17,4518211,62547,143.866309
