Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-17,155.77,156.49,154.15,154.62,219565,0.0
2020-06-18,153.89,155.12,152.32,153.11,210512,0.0
2020-06-19,156.23,156.23,151.79,153.36,326517,0.0
2020-06-22,151.76,154.58,150.63,153.44,300426,0.0
2020-06-23,155.01,155.95,154.19,154.3,364132,0.0
2020-06-24,152.81,152.81,148.42,148.76,318580,0.0
2020-06-25,148.7,152.3,145.85,152.18,465745,0.0
2020-06-26,151.6,155.58,151.5,154.66,554449,0.0
2020-06-29,155.84,156.05,153.49,154.44,328117,0.0
2020-06-30,153.86,159.03,153.43,158.03,289147,0.0
2020-07-01,158.25,158.47,155.275,155.88,209951,0.0
2020-07-02,157.45,160,156.88,157.88,276189,0.0
2020-07-06,160.35,160.69,158.24,160.13,216355,0.0
2020-07-07,158.9,160.62,157.62,158.38,182147,0.0
2020-07-08,158.41,159.1,156.69,157.82,127277,0.0
2020-07-09,156.94,158.39,155.16,157.19,224897,0.0
2020-07-10,157.24,157.7,155.825,156.91,206778,0.0
2020-07-13,157.99,161.55,157.99,159.42,275115,0.0
2020-07-14,159.08,163.295,159.03,162.73,315507,0.0
2020-07-15,164.33,168.47,163.31,168.13,503740,0.0
2020-07-16,167.76,169.145,167,168.85,233649,0.0
2020-07-17,169.68,170.33,168.16,169.58,221958,0.0
2020-07-20,169.2,170.25,167.13,169.03,242589,0.0
2020-07-21,169.46,171.88,169.01,170.14,360864,0.0
2020-07-22,170.15,171.725,169.28,169.35,362403,0.0
2020-07-23,170.32,172.36,169.64,171.09,276545,0.0
2020-07-24,170.34,170.34,165.04,167.68,549184,0.0
2020-07-27,168.54,171.03,167.11,169.71,428295,0.0
2020-07-28,169.22,169.52,165.35,165.38,356949,0.0
2020-07-29,166.38,167.795,165.905,166.61,453248,0.0
2020-07-30,164.94,165.65,162.605,164.61,526006,0.0
2020-07-31,164.3,165.12,162.78,164.87,407800,0.0
2020-08-03,165.58,167.46,165.36,166.37,384003,0.0
2020-08-04,165.44,166.03,164.33,165.05,380040,0.0
2020-08-05,165.96,167.36,165.82,166.11,440374,0.0
2020-08-06,166.07,166.6208,164.58,166.52,323224,0.0
2020-08-07,166.66,167.56,165.705,167.56,582994,0.0
2020-08-10,167.42,171.25,167.25,171.25,736273,0.0
2020-08-11,172,175.96,171.44,174.11,791154,0.0
2020-08-12,175.21,177.62,174.26,176.99,724672,0.0
2020-08-13,175.85,175.85,173.64,174.9,225233,0.0
2020-08-14,173.82,177.08,173.44,176.77,366576,0.0
2020-08-17,176.66,177.12,174.17,174.86,361408,0.0
2020-08-18,174.81,177.18,174.81,176.57,622026,0.0
2020-08-19,177.22,177.5707,175.38,175.73,492970,0.0
2020-08-20,174.49,176.31,173.58,176.28,503160,0.0
2020-08-21,176.38,179.58,175.84,178.79,1088461,0.0
2020-08-24,179.02,181.13,178.87,180.59,482236,0.0
2020-08-25,180.9,181.085,179.11,179.71,672913,0.0
2020-08-26,179.53,180.59,178.38,180,398114,0.0
2020-08-27,180.63,181.25,178.68,178.87,492503,0.0
2020-08-28,178.73,180.9,177.63,180.88,441448,0.0
2020-08-31,180.69,180.69,178.97,180.14,454873,0.0
2020-09-01,179.55,182.56,178.81,182.14,357290,0.0
2020-09-02,182.43,185.18,181.98,184.16,475328,0.0
2020-09-03,184.48,184.48,178.97,180.16,423888,0.0
2020-09-04,182.72,183.2,176.9,177.62,749118,0.0
2020-09-08,176.86,178.94,174.165,176.01,542223,0.0
2020-09-09,177.22,181.46,176.2,179.72,421424,0.0
2020-09-10,180.06,180.53,177.33,177.4,510863,0.0
2020-09-11,178.39,181.55,177.97,181.04,581541,0.0
2020-09-14,181.82,184.65,181.42,184.1,610788,0.0
2020-09-15,184.94,186.63,184.42,186.22,229470,0.0
2020-09-16,187.22,188.14,185.68,186.46,216714,0.0
2020-09-17,184.57,188.1289,183.13,186.44,239717,0.0
2020-09-18,186.46,187.5,184.88,186.04,201699,0.0
2020-09-21,184.16,184.16,176.5,178.24,237876,0.0
2020-09-22,178.23,180.785,177.53,180.35,244453,0.0
2020-09-23,180.12,181.59,176.4,176.4,170433,0.0
2020-09-24,175.585,179.82,175.585,177.74,166305,0.0
2020-09-25,176.83,179.86,175.92,179.03,172372,0.0
2020-09-28,180.87,183.47,180.83,181.49,138432,0.0
2020-09-29,180.68,182.665,180.68,181.73,306330,0.0
2020-09-30,182.87,183.81,180.34,182.41,668041,0.0
2020-10-01,184.1,185.21,177.1275,178.12,507113,0.0
2020-10-02,176.52,181.7,176.225,179.9,325939,0.0
2020-10-05,181.65,183.71,181.65,182.91,233289,0.0
2020-10-06,182.96,186.91,181.93,183.9,372561,0.0
2020-10-07,185.66,189.35,185.55,189.21,426490,0.0
2020-10-08,190.02,190.9589,189.105,190.04,532723,0.0
2020-10-09,190.47,191.36,188.91,190.41,312996,0.0
2020-10-12,190.76,190.76,184.94,189.205,884801,0.0
2020-10-13,188.27,189.17,184.85,186.13,499893,0.0
2020-10-14,185.15,189.32,184.81,188.15,709184,0.0
2020-10-15,186.66,189.77,185.43,189.65,656683,0.0
2020-10-16,190.54,193.14,190.54,192.73,951524,0.0
2020-10-19,193.36,193.8,188.47,189.74,466817,0.0
2020-10-20,190.72,194.3,190.67,190.98,474727,0.0
2020-10-21,191.14,193.59,190.38,190.42,359043,0.0
2020-10-22,190.91,192.34,188.99,189.24,419718,0.0
2020-10-23,190.46,191.805,189.02,191.62,479916,0.0
2020-10-26,190.16,190.49,186.84,190.08,398976,0.0
2020-10-27,189.37,190.105,185.95,185.99,698555,0.0
2020-10-28,176.54,180,172.29,172.76,1914313,0.0
2020-10-29,172.73,173.73,167.73,168.73,2119419,0.0
2020-10-30,169.17,170.41,166.51,170.21,1164541,0.0
2020-11-02,172.97,178.84,172.45,178.75,924017,0.0
2020-11-03,180.99,184.27,178.83,180.42,852907,0.0
2020-11-04,182.01,182.01,176.85,176.91,488570,0.0
2020-11-05,179.51,181.74,176.97,177.75,745698,0.0
2020-11-06,177.41,183.51,176.62,183.05,709392,0.0
2020-11-09,191.38,196.56,187.6,188.02,1207195,0.0
2020-11-10,188.92,197.5,187.39,195.96,1192549,0.0
2020-11-11,196.22,196.22,190.6,191.45,754338,0.0
2020-11-12,190.54,191.0065,186.73,189,599744,0.0
2020-11-13,190.78,193.87,189.42,192.595,298558,0.0
2020-11-16,195.61,197.25,193.6,196.545,218021,0.0
2020-11-17,196.41,197.85,194.115,197.08,474908,0.0
2020-11-18,196.63,199.5,195.16,197.62,585617,0.0
2020-11-19,196.9,197.61,194.17,196.06,426470,0.0
2020-11-20,195.92,195.92,192.49,193.99,469545,0.0
2020-11-23,195,195.64,192.76,193.42,345075,0.0
2020-11-24,194.64,195.94,192.61,194.4,835243,0.0
2020-11-25,194.78,194.78,189.89,191.63,913104,0.0
2020-11-27,192.8,193.4344,191,192.345,128990,0.0
2020-11-30,191.33,193.25,189.81,193.09,250612,0.0
2020-12-01,196.01,198.775,194.77,195.14,447483,0.0
2020-12-02,194.22,195.39,189.64,189.88,306486,0.0
2020-12-03,189.94,191.76,189.05,190.26,193287,0.0
2020-12-04,191.5,193.205,191.29,192.72,187212,0.0
2020-12-07,192.72,192.78,190.18,190.92,125355,0.0
2020-12-08,189.76,195.66,189.76,194.1,231426,0.0
2020-12-09,194.26,195.185,192.18,194.31,240725,0.0
2020-12-10,194.09,194.82,191.045,191.88,254619,0.0
2020-12-11,191.02,193.44,190.17,192.83,197134,0.0
2020-12-14,194.13,195.75,192.58,192.58,232304,0.0
2020-12-15,193.88,197.675,193.88,196.33,288206,0.0
2020-12-16,196.23,196.56,194.21,195.41,189165,0.0
2020-12-17,195.73,198.71,195.73,197.83,183880,0.0
2020-12-18,198.01,199.4,195.77,198.59,329404,0.0
2020-12-21,195.97,198.5,192.64,198.33,238603,0.0
2020-12-22,197.56,198.24,195.49,196.43,207119,0.0
2020-12-23,196.35,197.7,194.31,194.82,219575,0.0
2020-12-24,194.9,196.52,192.885,196.51,117560,0.0
