Date,Estimate,Actual
2021-10-28,None,None
2021-08-03,1.41,None
2021-05-04,1.1,1.26
2021-02-16,0.98,0.92
2020-10-30,0.89,0.66
2020-08-04,0.6,0.71
2020-05-05,0.26,0.68
2020-02-13,0.8,-0.08
2019-10-29,1.21,1.07
2019-07-30,1.38,1.34
2019-04-30,1.11,1.02
2019-02-12,1.41,1.4
2018-10-30,1.85,1.84
2018-07-31,2.26,2.21
2018-05-01,1.79,1.93
2018-02-16,1.72,1.86
2017-10-31,1.82,2.11
2017-08-01,1.64,1.91
2017-05-02,1.2,1.38
2017-02-14,1.4,1.39
2016-10-27,1.24,1.29
2016-07-28,1.19,1.25
2016-04-28,0.98,0.92
2016-02-12,1.09,1.14
2015-10-27,1.21,1.18
2015-07-28,1.11,1.15
2015-04-28,0.98,1.08
2015-02-20,1.04,1.07
2014-10-28,0.97,1.05
2014-07-29,0.85,0.92
2014-04-29,0.77,0.77
2014-02-14,0.75,0.7
2013-11-01,0.84,0.81
2013-07-30,0.78,0.8
2013-05-01,0.7,0.67
2013-02-15,0.72,0.67
2012-10-31,0.8,0.81
2012-07-31,0.66,0.72
2012-05-01,0.59,0.61
2012-02-10,0.65,0.64
2011-11-01,0.64,0.66
2011-08-02,0.55,0.63
2011-05-03,0.43,0.47
2011-02-25,0.53,0.56
2010-11-01,0.23,0.28
2010-08-03,0.13,0.22
2010-05-03,0.05,0.07
2010-02-23,0.07,0.07
2009-11-03,0,0.05
2009-08-04,-0.02,-0.03
2009-05-05,0.11,0.03
2009-02-24,0.2,0.2
2008-11-06,0.21,0.23
2008-08-05,0.18,0.19
2008-05-06,0.16,0.18
2008-02-28,0.19,0.18
2007-11-06,0.16,0.19
2007-08-07,0.15,0.14
2007-05-08,0.13,0.15
2007-03-06,0.14,0.17
