Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,28.23,29.16,28.13,29.15,4141817,0.0
2020-12-07,29.01,29.82,29,29.5,4497193,0.0
2020-12-08,29.4,30.28,29.36,30.16,5640072,0.0
2020-12-09,30.26,30.62,30.21,30.36,3863660,0.0
2020-12-10,30.22,30.425,29.98,30.29,2492366,0.0
2020-12-11,30.19,30.575,30.12,30.38,3033653,0.0
2020-12-14,29.9,30.07,29.21,29.27,2254835,0.0
2020-12-15,29.41,29.47,28.9311,29.37,2313736,0.0
2020-12-16,29.46,29.8,29.04,29.05,2036098,0.0
2020-12-17,29.25,29.63,29.12,29.58,2080086,0.0
2020-12-18,29.59,29.765,29.35,29.48,2243797,0.0
2020-12-21,29,29.155,28.78,29.14,2226538,0.0
2020-12-22,29.36,29.665,29.25,29.6,2314790,0.0
2020-12-23,29.76,29.87,29.3101,29.48,2660667,0.0
2020-12-24,29.64,29.69,29.33,29.51,978173,0.0
2020-12-28,29.6,29.93,29.27,29.53,2043508,0.0
2020-12-29,29.58,29.73,29.29,29.39,1486732,0.0
2020-12-30,29.44,29.51,29.14,29.29,1758554,0.0
2020-12-31,29.19,29.5,28.975,29.48,2179552,0.0
2021-01-04,30,30,28.4604,28.66,3985162,0.0
2021-01-05,28.68,29.13,28.6,28.9,1612963,0.0
2021-01-06,29.14,29.19,28.73,28.81,3004234,0.0
2021-01-07,28.81,28.91,28.21,28.545,2728519,0.0
2021-01-08,28.77,29.02,28.525,28.55,2182372,0.0
2021-01-11,28.42,28.55,27.83,28,3449359,0.0
2021-01-12,28,28.25,27.72,28.05,5946118,0.0
2021-01-13,28.21,28.5,28.1476,28.43,3535807,0.0
2021-01-14,28.56,30.195,28.55,30.19,4158568,0.0
2021-01-15,30.1,30.43,29.79,30.02,2805043,0.0
2021-01-19,30.01,30.25,29.46,29.52,2682979,0.0
2021-01-20,29.48,30.56,29.32,30.3,3032122,0.0
2021-01-21,30.19,30.32,29.75,30.26,1307025,0.0
2021-01-22,30.13,30.21,29.77,30.15,1568231,0.0
2021-01-25,30.15,35.55,30.15,32.11,13564413,0.0
2021-01-26,32.15,33.73,31.91,33.41,6575140,0.0
2021-01-27,33.74,41.32,33.53,37.05,22089758,0.0
2021-01-28,35.845,37.62,33.38,33.43,11120278,0.0
2021-01-29,33.53,35.17,33.33,33.67,5376485,0.0
2021-02-01,33.85,33.96,33.01,33.37,3641507,0.0
2021-02-02,33.19,33.24,31.21,32.14,3689778,0.0
2021-02-03,32,32.66,31.56,32.41,2160330,0.0
2021-02-04,32.5,32.58,31.46,31.94,3662888,0.0
2021-02-05,32,32.705,31.83,32.4,2979570,0.0
2021-02-08,32.47,33.2,32.3,33.09,1997905,0.0
2021-02-09,33.19,33.75,33.13,33.38,1975425,0.0
2021-02-10,33.78,34.41,33.68,34.39,2013648,0.0
2021-02-11,34.38,34.38,32.79,33.24,3497093,0.0
2021-02-12,33.24,33.41,32.95,33.17,1443628,0.0
2021-02-16,33.34,33.38,32.62,32.97,1390596,0.0
2021-02-17,32.91,32.917,32.56,32.74,1529745,0.0
2021-02-18,32.63,33,32.42,32.44,1434575,0.0
2021-02-19,32.53,32.799,32.13,32.18,2317711,0.0
2021-02-22,32.13,32.15,31.71,31.81,2847419,0.0
2021-02-23,32.08,32.28,31.58,32.09,2381103,0.0
2021-02-24,32.6,34.93,32.4073,34.71,5675179,0.0
2021-02-25,34.5,36.09,34.09,34.59,5068930,0.0
2021-02-26,34.42,35.1,34.0016,34.78,2389834,0.0
2021-03-01,35.2,35.85,34.7,34.75,2277440,0.0
2021-03-02,34.8,35.5472,34.6,35.15,2074009,0.0
2021-03-03,35.34,35.6399,34.28,34.29,3227772,0.0
2021-03-04,34.55,35.3,34.19,34.91,3362988,0.0
2021-03-05,34.98,35.98,34.8385,35.79,2414108,0.0
2021-03-08,36,37.17,35.9,36.55,2968660,0.0
2021-03-09,36.55,37.33,36.53,36.68,2822115,0.0
2021-03-10,36.77,37.29,36.59,36.88,1886576,0.0
2021-03-11,36.8,37.42,36.73,37.02,2109294,0.0
2021-03-12,36.41,36.88,36.13,36.87,1758023,0.0
2021-03-15,36.85,37.01,36.31,36.8,1823233,0.0
2021-03-16,36.76,36.76,35.62,35.79,1910972,0.0
2021-03-17,35.77,36.4987,35.72,36.19,1612289,0.0
2021-03-18,36.14,36.27,35.6,35.81,1258580,0.0
2021-03-19,35.82,36.17,35.68,35.8,1641131,0.0
2021-03-22,35.8,36.605,35.53,36.58,1165191,0.0
2021-03-23,36.51,36.6388,36.03,36.28,1553154,0.0
2021-03-24,36.25,36.935,36.11,36.48,2149859,0.0
2021-03-25,36.14,36.95,35.695,36.88,1820584,0.0
2021-03-26,37.1,37.3,36.75,37.28,1619974,0.0
2021-03-29,37.36,37.48,36.68,36.68,1253743,0.0
2021-03-30,36.74,37.39,36.465,37.18,1287184,0.0
2021-03-31,37.16,37.449,36.91,37.03,1084142,0.0
