Date,Estimate,Actual
2022-01-19,None,None
2021-10-13,3.52,None
2021-07-20,3.07,3.92
2021-04-20,2.63,3.52
2021-01-21,3.12,3.58
2020-10-15,2.07,2.77
2020-07-21,0.56,1.11
2020-04-16,2.54,2.69
2020-01-23,3.38,3.48
2019-10-17,2.99,3.43
2019-07-18,2.87,3.25
2019-04-18,2.7,2.61
2019-01-24,3.07,2.96
2018-10-18,2.66,2.83
2018-07-19,2.5,2.76
2018-04-17,2.07,2.44
2018-01-25,2.27,2.54
2017-10-19,1.99,2.77
2017-07-20,1.93,1.98
2017-04-18,1.66,1.7
2017-01-24,2,2.03
2016-10-18,1.72,2.06
2016-07-19,1.66,1.87
2016-04-19,1.44,1.47
2016-01-21,1.68,1.96
2015-10-20,1.41,1.75
2015-07-21,3.98,4.57
2015-04-21,3.87,3.57
2015-01-22,4.38,4.92
2014-10-21,3.8,3.92
2014-07-22,0.94,1
2014-04-22,1.09,0.89
2014-01-23,1.28,1.43
2013-10-17,1.13,1.33
2013-07-18,1.35,1.3
2013-04-18,1.33,1.52
2013-01-22,1.35,1.42
2012-10-16,1.17,1.18
2012-07-19,1.19,1.25
2012-04-17,1.05,1.17
2012-01-19,1.12,1.25
2011-10-18,0.92,1.02
2011-07-19,0.9,0.97
2011-04-19,0.83,0.86
2011-01-20,0.75,1.01
2010-10-19,0.7,0.71
2010-07-21,0.68,0.73
2010-04-15,0.56,0.71
2010-01-21,0.57,0.65
2009-10-20,0.49,0.55
2009-07-22,0.42,0.54
2009-04-16,0.34,0.24
2009-01-22,0.42,0.42
2008-10-16,0.42,0.48
2008-07-22,0.39,0.43
2008-04-17,0.33,0.37
2008-01-31,0.35,0.41
2007-10-18,0.27,0.35
2007-07-19,0.22,0.26
2007-04-19,0.18,0.21
2007-02-01,0.17,0.21
2006-10-26,0.14,0.15
2006-07-26,0.13,0.15
2006-04-27,0.07,0.13
2006-02-02,0.16,0.44
2005-10-25,0.1,0.18
2005-07-26,0.07,0.13
2005-04-21,0.06,0.08
2005-02-08,0.06,0.11
2004-10-26,0.03,0.06
2004-07-27,0.02,0.05
2004-04-29,0,0.01
2004-02-12,0,0.01
2003-10-27,-0.05,-0.04
2003-08-07,-0.01,0.02
2003-04-24,-0.08,-0.04
2003-02-07,-0.08,-0.05
2002-10-24,-0.09,-0.12
2002-07-30,-0.09,-0.07
2002-04-25,-0.11,-0.1
2002-02-07,-0.07,-0.06
2001-10-24,-0.1,-0.09
2001-07-27,-0.08,-0.08
2001-04-24,-0.08,-0.07
2001-02-01,-0.08,-0.07
2000-10-26,-0.11,-0.08
2000-07-27,-0.23,-0.15
