Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-01,117.1,117.52,114.01,114.92,1202972,0.0
2020-05-04,113.91,116.42,112.11,116.28,811096,0.0
2020-05-05,117.99,119.32,115.71,115.87,850780,0.0
2020-05-06,116.54,117.02,113.57,114.64,1119634,0.0
2020-05-07,120.85,129.715,120.56,123.8,1915706,0.0
2020-05-08,125.81,126.4798,120.23,122.61,1518786,0.0
2020-05-11,122.1,122.1,117.94,118.85,1232762,0.0
2020-05-12,119.13,119.31,116.1,116.18,1216994,0.0
2020-05-13,115.11,115.11,106.57,109.88,1590354,0.0
2020-05-14,108.31,111.26,106.6,110.61,875628,0.0
2020-05-15,109.29,111.89,108.5,111.43,646274,0.0
2020-05-18,114.55,119.57,114.55,118.79,835754,0.0
2020-05-19,118.24,119.439,115.27,115.39,1008288,0.0
2020-05-20,117.27,119.27,116.79,118.21,723024,0.0
2020-05-21,118.21,120.67,116.08,116.31,542558,0.0
2020-05-22,116.98,118.36,114.43,117.71,760482,0.0
2020-05-26,119.87,124.79,119.87,121.11,757300,0.0
2020-05-27,122.77,123.72,120.34,122.88,541912,0.0
2020-05-28,123.88,124.21,121.59,121.75,561158,0.0
2020-05-29,121.09,123.02,119.445,121.64,682676,0.0
2020-06-01,120.57,123.1,120.39,122.3,893694,0.0
2020-06-02,123.63,126.73,122.3,126.73,769234,0.0
2020-06-03,128.18,132.915,127.73,132.09,854900,0.0
2020-06-04,131.39,132.6,129.28,130.58,711276,0.0
2020-06-05,134.21,137.005,132.96,135.01,790526,0.0
2020-06-08,136.51,138.715,135.41,137.69,1140080,0.0
2020-06-09,136.36,136.36,130.82,131.22,709840,0.0
2020-06-10,130.64,130.79,126.58,127,1165105,0.0
2020-06-11,123.4,123.42,116.5,116.8,1239739,0.0
2020-06-12,120.55,121.275,118.405,118.405,178764,0.0
2020-06-15,115.66,120.93,114.36,120.86,1346804,0.0
2020-06-16,124.74,125.79,121.61,122.16,900002,0.0
2020-06-17,123.5,123.5,120.53,121.17,916300,0.0
2020-06-18,119.9,122.505,119.08,122,746858,0.0
2020-06-19,125.27,125.27,119.13,120.07,1074876,0.0
2020-06-22,119.78,122.21,118.1513,122.06,387774,0.0
2020-06-23,123.94,123.94,121.47,122.13,331413,0.0
2020-06-24,120.22,121.2,114.825,115.66,455534,0.0
2020-06-25,115.59,119.43,115.47,119.22,592255,0.0
2020-06-26,118.35,118.84,115.84,117.85,1018819,0.0
2020-06-29,118.45,120.58,117.185,119.27,323159,0.0
2020-06-30,118.64,122.02,118.08,121.31,369433,0.0
2020-07-01,121.12,122.5,119.57,120.03,290485,0.0
2020-07-02,121.69,122.82,119.74,120.33,273775,0.0
2020-07-06,122.39,123.43,121.71,122.55,496215,0.0
2020-07-07,121.59,122.97,120.92,121.02,726369,0.0
2020-07-08,121.35,122.925,120.51,121.86,240993,0.0
2020-07-09,120.77,121.55,116.51,118.17,282704,0.0
2020-07-10,117.73,119.1,117.09,118.9,269059,0.0
2020-07-13,120.18,122.01,119.16,119.51,418509,0.0
2020-07-14,119.12,120.06,117.375,119.89,523028,0.0
2020-07-15,122.16,126.86,122.14,126.75,416846,0.0
2020-07-16,126.13,126.68,123.94,124.87,214622,0.0
2020-07-17,125.02,125.02,122.55,123.14,393775,0.0
2020-07-20,122.64,123.68,121.79,123.45,271289,0.0
2020-07-21,124.63,125.7,122.985,123.38,177906,0.0
2020-07-22,123,124.765,123,124.71,158112,0.0
2020-07-23,124.2,127.36,124.2,125.89,312831,0.0
2020-07-24,125.77,126.06,123.7853,124.69,265470,0.0
2020-07-27,124.6,125.99,123.45,125.36,239181,0.0
2020-07-28,124.75,125.735,123.65,123.87,323740,0.0
2020-07-29,124.24,127.02,124.23,126.82,375358,0.0
2020-07-30,125.11,125.78,123.23,125.65,398550,0.0
2020-07-31,125.51,126.19,123.785,124.63,990326,0.0
2020-08-03,125.77,126.74,123.87,125.72,1351677,0.0
2020-08-04,130.88,132.48,125.205,126.34,2078932,0.0
2020-08-05,127.79,131.24,127.59,129.39,781139,0.0
2020-08-06,129.4,131.66,128.815,130.55,555210,0.0
2020-08-07,129.5,131.6,128.74,131.6,783722,0.0
2020-08-10,131.3,132.72,131.04,132.57,506184,0.0
2020-08-11,133.1,134.4,131.24,131.5999,700393,0.0
2020-08-12,132.19,132.63,130.46,130.79,623638,0.0
2020-08-13,130.3,132.66,130.3,131.09,161086,0.0
2020-08-14,130.21,131.01,128.94,129.51,112813,0.0
2020-08-17,129.73,129.95,127.81,128.03,549016,0.0
2020-08-18,128.09,128.41,127.18,127.57,408550,0.0
2020-08-19,128.08,128.22,126.62,127.62,455638,0.0
2020-08-20,127.51,128.935,127.07,127.76,410282,0.0
2020-08-21,127.64,128.3,126.65,128.14,446359,0.0
2020-08-24,129.01,132.395,128.725,131.68,763808,0.0
2020-08-25,132.5,134.26,130.5,132.08,648054,0.0
2020-08-26,132.1,132.1,129.96,131.52,333960,0.0
