Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,46.32,46.65,45.99,46.59,1934242,16147,46.441957
2021-01-04,46.61,47.23,45.905,46.18,5389256,45422,46.496646
2021-01-05,46.02,47.55,46.02,47.52,5563962,48146,47.213489
2021-01-06,48.0,50.26,47.84,49.75,10215886,62808,49.758854
2021-01-07,50.3,51.385,49.49,51.18,5068784,41147,50.866137
2021-01-08,51.4,51.57,50.56,51.3,5098636,35884,51.087375
2021-01-11,49.15,51.285,49.002,50.99,3905989,36397,50.883432
2021-01-12,51.22,51.96,50.39,51.84,3982207,34217,51.550058
2021-01-13,51.99,52.32,51.435,52.01,5697050,40348,51.960917
2021-01-14,52.15,52.915,52.02,52.45,3010570,29839,52.559389
2021-01-15,52.09,52.15,51.06,51.81,3855581,32149,51.681317
2021-01-19,52.28,52.83,51.61,51.63,3135940,31095,52.029223
2021-01-20,51.82,52.41,51.45,52.39,5056877,33030,52.095562
2021-01-21,52.14,52.35,51.63,52.16,3968857,36475,52.098689
2021-01-22,51.72,52.7,51.59,52.35,5810934,36567,52.288453
2021-01-25,51.94,52.18,51.1501,51.46,4047301,38251,51.555258
2021-01-26,51.53,51.92,50.29,50.36,3667550,37137,50.76695
2021-01-27,49.61,49.92,48.11,48.4,4766029,47668,48.72953
2021-01-28,49.13,50.0,48.55,49.34,4501621,34975,49.553521
2021-01-29,49.01,50.11,48.2238,49.82,6002068,48470,49.504082
2021-02-01,50.24,51.53,50.22,50.91,5785559,51101,50.986425
2021-02-02,51.22,51.63,50.71,50.71,3190015,31375,51.006863
2021-02-03,50.55,50.84,50.0644,50.62,4290087,36191,50.544041
2021-02-04,50.62,51.51,50.62,51.2,3335168,23432,51.219184
2021-02-05,51.41,51.62,50.82,51.05,3890447,27909,51.143321
2021-02-08,51.11,51.76,50.975,51.71,2741052,26263,51.500306
2021-02-09,51.38,52.02,51.29,51.6,3657650,27671,51.729227
2021-02-10,51.89,52.27,51.36,52.04,3303317,27835,51.974336
2021-02-11,52.18,52.93,51.59,52.89,4821406,31576,52.433455
2021-02-12,52.6,53.66,52.41,53.58,5962862,43167,53.30452
2021-02-16,53.82,54.06,52.99,53.0,4050630,30732,53.41196
2021-02-17,52.85,55.33,52.66,55.2,5815545,39672,54.604248
2021-02-18,55.3,55.925,54.81,55.67,4851058,41038,55.427073
2021-02-19,56.17,56.828,55.88,56.02,4800340,41034,56.158149
2021-02-22,56.0,56.7,55.41,56.32,5938236,36814,56.333144
2021-02-23,56.48,56.48,55.32,55.98,3752422,36993,55.833201
2021-02-24,56.0,56.56,55.46,56.1,3965118,32655,56.096721
2021-02-25,56.15,56.6,55.33,55.6,3617296,35812,55.755345
2021-02-26,55.65,56.44,55.14,55.79,6865014,51217,55.831963
2021-03-01,56.36,57.575,56.36,57.18,3275338,30225,57.131036
2021-03-02,57.3,57.56,56.43,57.45,4509767,29971,57.298216
2021-03-03,57.49,58.3,57.2,57.95,5193676,36179,57.92056
2021-03-04,57.63,58.21,55.83,57.27,5967578,48545,57.191972
2021-03-05,57.8,59.31,56.97,59.2,5304330,46559,58.485274
2021-03-08,59.38,60.94,59.01,60.22,5113242,44942,60.189834
2021-03-09,60.08,60.3,59.21,59.22,3699617,31189,59.602253
2021-03-10,59.25,60.55,58.9601,60.23,3991874,32230,59.947616
2021-03-11,60.46,61.41,60.2,61.09,6168434,36814,60.985603
2021-03-12,61.08,61.91,60.84,61.81,5318321,33696,61.514694
2021-03-15,61.52,62.4,60.72,62.29,3680350,32234,61.706117
2021-03-16,62.07,62.27,60.05,60.57,5524168,48040,60.620798
2021-03-17,60.74,60.85,59.9,60.52,5740570,57620,60.364463
2021-03-18,60.53,62.15,60.53,61.52,4627745,38236,61.555848
2021-03-19,60.96,61.07,59.42,60.0,8224902,41983,60.119453
2021-03-22,59.8,60.47,59.41,59.96,6027098,38769,59.986166
2021-03-23,59.39,59.93,58.2,58.44,4325749,36126,58.931006
2021-03-24,59.22,59.52,58.47,58.59,4981737,43325,58.986293
2021-03-25,58.62,59.685,58.15,59.38,5505816,42286,59.157236
2021-03-26,60.0,60.13,59.39,59.99,5218964,33597,59.858096
2021-03-29,60.84,61.1,59.89,60.47,5501335,44686,60.517461
2021-03-30,60.25,60.855,60.12,60.73,2535483,25337,60.628099
2021-03-31,60.56,60.86,59.63,59.67,5172376,39379,59.96013
2021-04-01,59.95,60.07,59.53,59.9,3042472,31682,59.8369
2021-04-05,60.49,61.36,60.33,60.89,2721343,27105,60.915155
2021-04-06,60.95,61.37,60.75,60.97,2615580,25519,61.008184
2021-04-07,60.75,61.01,60.055,60.15,3211791,25881,60.269163
2021-04-08,60.08,60.52,59.53,60.45,3403664,25348,60.307833
2021-04-09,61.11,61.915,60.485,61.76,4059196,29918,61.367485
2021-04-12,61.75,62.07,61.58,62.03,2327924,26280,61.831398
2021-04-13,62.03,62.11,61.05,61.46,2331237,25133,61.483331
2021-04-14,61.33,61.89,61.27,61.41,1927031,21190,61.578509
2021-04-15,61.7,62.165,61.24,62.14,1858121,29061,61.832651
2021-04-16,62.58,62.85,62.11,62.49,2864360,26335,62.469145
2021-04-19,62.34,62.63,62.03,62.32,2145049,24191,62.288664
2021-04-20,62.25,62.29,60.86,61.2,3739452,36152,61.539867
2021-04-21,61.23,61.96,60.97,61.88,3311742,34676,61.523948
2021-04-22,62.4,63.52,62.11,62.29,4073738,37332,62.611571
2021-04-23,62.28,63.25,62.1,62.9,2114400,23904,62.913237
2021-04-26,63.22,63.8,62.525,62.81,3702655,36005,62.860077
2021-04-27,62.87,63.7,62.65,63.4,4256958,36201,63.372353
2021-04-28,63.44,64.085,62.97,63.1,4804149,28228,63.395546
2021-04-29,63.19,63.49,62.49,63.28,4433433,38746,63.05553
2021-04-30,61.05,62.54,60.11,62.34,8689003,65134,61.762118
2021-05-03,62.97,64.09,62.36,63.89,4841771,38256,63.597778
2021-05-04,63.6,64.31,63.33,63.64,6139916,45926,63.682648
2021-05-05,63.84,64.695,63.16,64.47,5158607,36284,64.059644
2021-05-06,64.78,65.18,64.55,64.87,5232328,37403,64.790104
2021-05-07,64.43,65.97,63.87,65.7,5662647,43914,65.10998
2021-05-10,65.9,66.695,65.78,65.76,4713234,39422,66.202849
2021-05-11,65.31,65.33,63.5,64.13,8983195,68662,64.141407
2021-05-12,64.08,64.4099,62.855,63.07,4966798,42140,63.471435
2021-05-13,63.13,64.78,62.9,64.31,3817822,39550,64.147496
2021-05-14,64.71,65.8,64.4,65.55,4244930,35934,65.398957
2021-05-17,65.23,66.22,65.06,65.91,3182035,33564,65.763286
2021-05-18,66.0,66.19,63.77,63.83,5348276,47539,64.413672
2021-05-19,63.12,63.51,62.34,63.25,5458693,57935,63.091446
2021-05-20,63.65,64.375,63.24,64.23,5448773,50716,63.969797
2021-05-21,64.58,65.25,64.3,64.5,3223275,33561,64.7103
2021-05-24,64.88,65.055,64.5,64.74,2743109,28003,64.855149
2021-05-25,64.87,65.67,64.65,64.94,5131335,43366,65.20303
2021-05-26,65.7,66.24,65.4,65.94,5103754,38533,65.925541
2021-05-27,66.18,66.39,65.67,66.22,9009016,47773,66.130736
