Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-09,148.25,149.33,145.65,146.03,14099518,0.0
2020-06-10,146.6,150.03,146.6,147.72,18049500,0.0
2020-06-11,148.58,149.17,140.75,141.01,20388372,0.0
2020-06-12,142.84,143.7067,142.06,142.1,5183620,0.0
2020-06-15,141,142.397,139.3914,141.29,13241120,0.0
2020-06-16,144.09,145.4219,142.77,144.61,11760516,0.0
2020-06-17,144.9,145.42,143.5,143.97,7995672,0.0
2020-06-18,142.52,144.115,141.87,143.37,8065052,0.0
2020-06-19,145.79,145.88,143.25,144.01,17822748,0.0
2020-06-22,143.47,143.66,142.03,143.39,4168102,0.0
2020-06-23,143.74,144.08,142.68,142.86,5096097,0.0
2020-06-24,141.49,142.19,138.72,139.89,6888520,0.0
2020-06-25,140.57,140.57,137.54,139.55,6308811,0.0
2020-06-26,139.53,139.6,137.02,137.84,6625588,0.0
2020-06-29,138.74,139.7,137.98,139.16,3669183,0.0
2020-06-30,139.4,141.02,137.84,140.35,4445371,0.0
2020-07-01,140.69,141.39,140.06,140.38,4461197,0.0
2020-07-02,141.25,141.8386,140.33,141.06,4511340,0.0
2020-07-06,142.17,143.77,141.88,142.98,5039075,0.0
2020-07-07,141.39,143.97,141.23,142.94,4246944,0.0
2020-07-08,142.87,143.39,141.7,143.28,5335843,0.0
2020-07-09,142.76,144.425,140.58,142.56,5001838,0.0
2020-07-10,142.75,142.87,141.425,142.45,3516980,0.0
2020-07-13,143.61,146.639,143.28,145.22,5976135,0.0
2020-07-14,145.32,148.39,145.26,147.91,5373061,0.0
2020-07-15,149.73,150.205,148.23,148.32,6457254,0.0
2020-07-16,148.68,149.34,146.68,149.31,7864677,0.0
2020-07-17,150,150.5776,148.69,149.36,6761217,0.0
2020-07-20,150.23,150.32,148.43,149.6,5181918,0.0
2020-07-21,149.6,151.6695,149.5,149.74,4803452,0.0
2020-07-22,149.93,150.405,147.85,150,5087371,0.0
2020-07-23,150.21,150.85,149.28,149.7,5487049,0.0
2020-07-24,149.03,149.08,147.03,148.15,4143371,0.0
2020-07-27,147.37,148.92,146.86,147.19,4353668,0.0
2020-07-28,147.4,147.99,146.75,146.93,6404152,0.0
2020-07-29,146.39,147.47,146.07,146.54,7773724,0.0
2020-07-30,147.44,147.5,146.14,146.91,9763807,0.0
2020-07-31,146.66,147.45,143.96,145.83,9768418,0.0
2020-08-03,146.39,147.79,146.15,147.35,6688411,0.0
2020-08-04,146.99,147.22,145.8247,147.21,6513500,0.0
2020-08-05,149.1,149.31,147.8,148.39,9076497,0.0
2020-08-06,148.4,149.25,146.5,147.55,8226692,0.0
2020-08-07,147.51,148.65,147.15,148.6,5693288,0.0
2020-08-10,148.86,149.01,147.72,148.05,5855343,0.0
2020-08-11,149.14,149.23,146.37,146.98,11322235,0.0
2020-08-12,147.54,150.24,147.49,149.62,8667514,0.0
2020-08-13,148.54,149.19,147.53,148,4195098,0.0
2020-08-14,147.61,149.34,147.58,148.22,3434096,0.0
2020-08-17,148.32,150.23,148.23,149,6642360,0.0
2020-08-18,149.26,150.1,148.57,150.09,6422235,0.0
2020-08-19,149.58,151.58,149.32,150.4,9760449,0.0
2020-08-20,149.75,151.58,149.5457,151.44,7770558,0.0
2020-08-21,151.78,153.65,150.5901,152.78,11203318,0.0
2020-08-24,151.43,152.66,150.35,152.15,7272972,0.0
2020-08-25,152.78,153.07,151.535,152.06,6655830,0.0
2020-08-26,151.86,152.65,150.64,152.3,10923898,0.0
2020-08-27,152.42,153.26,151.89,152.95,9046355,0.0
2020-08-28,152.74,153.7,151.9,153.58,8877513,0.0
2020-08-31,153,154.4,152.2605,153.3,9268129,0.0
2020-09-01,153.87,154.08,150.07,151.52,10457756,0.0
2020-09-02,150.79,154.33,149.245,153.78,11736482,0.0
2020-09-03,154.83,155.47,148.3,149.43,14047167,0.0
2020-09-04,150.17,150.95,147.13,148.59,11106676,0.0
2020-09-08,150.28,150.89,146.9,147.27,13407128,0.0
2020-09-09,148.15,151.1,148.12,149.7,9407511,0.0
2020-09-10,148.32,148.94,146.52,146.91,8665830,0.0
2020-09-11,147.05,148.53,146.63,147.72,6298616,0.0
2020-09-14,148.12,149.47,148.01,148.32,6085023,0.0
2020-09-15,149.45,150.59,148.52,148.78,2968656,0.0
2020-09-16,149.39,150.06,148.3501,148.42,2790045,0.0
2020-09-17,148.04,148.63,146.05,147.1,3763083,0.0
2020-09-18,146.51,149.65,146.2,149.17,8813304,0.0
2020-09-21,147.53,147.93,142.96,145.1,4756396,0.0
2020-09-22,144.69,145.35,143.72,144.18,3215795,0.0
2020-09-23,147.48,147.55,144.38,144.38,6059217,0.0
2020-09-24,144.56,145.25,143.34,144.67,4966796,0.0
2020-09-25,144,146.25,143.89,145.64,4130520,0.0
2020-09-28,146.73,148.29,146.42,147.34,4099138,0.0
2020-09-29,147.6,147.92,146.06,147.06,9609099,0.0
2020-09-30,147.45,149.73,146.84,148.7,11922800,0.0
2020-10-01,149.31,149.65,146.46,147.32,9136075,0.0
2020-10-02,146.21,148.41,145.83,146.29,7551873,0.0
2020-10-05,147,148.38,146.42,148.22,6892133,0.0
2020-10-06,148.28,148.61,145.87,146.06,7015017,0.0
2020-10-07,146.49,148.23,145.81,147.83,7653966,0.0
2020-10-08,148.5,149.85,148.04,148.85,6641580,0.0
2020-10-09,149.67,151.48,149.445,150.93,7666967,0.0
2020-10-12,151.6,153.142,151.02,151.84,11732393,0.0
2020-10-13,148.45,150.12,147.77,148.3,17493466,0.0
2020-10-14,148.9,149.03,147.39,148.1,12307815,0.0
2020-10-15,147.48,147.9,146.33,147.24,9347035,0.0
2020-10-16,147.6,148.76,147.01,148.1,9952480,0.0
2020-10-19,148.53,148.9,144.13,144.53,10228197,0.0
2020-10-20,144.66,145.75,144.12,144.56,6791802,0.0
2020-10-21,144.12,145.34,143.91,143.91,6014774,0.0
2020-10-22,144.16,145.69,143.84,145.23,6158280,0.0
2020-10-23,145.88,147.47,144.37,145.31,6430064,0.0
2020-10-26,144.43,144.77,142.75,143.99,9890018,0.0
2020-10-27,143.74,144.29,142.92,143.15,7628354,0.0
2020-10-28,141.425,141.98,138.18,138.51,12120192,0.0
2020-10-29,138,138.7,136.05,137.13,9630251,0.0
2020-10-30,136.68,137.54,133.65,137.13,9031042,0.0
2020-11-02,138.98,139.01,137.49,138.69,10852951,0.0
2020-11-03,140.19,140.96,137.78,138.4,9570050,0.0
2020-11-04,139.49,142.54,138.7,139.4,15062808,0.0
2020-11-05,140.555,141.83,139.26,139.82,11073827,0.0
2020-11-06,140.4,143.19,139.65,142.25,9788347,0.0
2020-11-09,148.425,148.99,144.92,146.08,20019457,0.0
2020-11-10,147.25,148.75,146.26,148.37,12427602,0.0
2020-11-11,149.17,149.2,146.86,147.81,10680775,0.0
2020-11-12,147.61,148.65,146.7536,148.3,6990987,0.0
2020-11-13,149.09,150.15,148.41,149.67,6138975,0.0
2020-11-16,150.92,151.3,149.801,151.01,10114654,0.0
2020-11-17,150,150.63,149.12,149.36,10211566,0.0
2020-11-18,148.87,149.76,147.37,147.37,9561461,0.0
2020-11-19,147.3,147.46,145.5869,147.04,12355138,0.0
2020-11-20,147.05,147.94,146.13,146.45,11238117,0.0
2020-11-23,146.01,146.01,143.04,143.85,12494100,0.0
2020-11-24,144,144.765,143.61,143.86,16625092,0.0
2020-11-25,144.06,144.17,142.86,143.77,10396346,0.0
2020-11-27,144.5,144.6583,143.22,144.15,5415990,0.0
2020-11-30,144.23,144.86,143.06,144.69,7749426,0.0
2020-12-01,146.29,149.13,145.86,147.46,8365819,0.0
2020-12-02,147.85,149.71,147.7,148.14,6397339,0.0
2020-12-03,148.04,149.58,147.69,148.97,5008946,0.0
2020-12-04,149.79,150.31,149.27,150.29,5799752,0.0
2020-12-07,149.35,149.91,148.51,148.97,4777963,0.0
2020-12-08,150,152.14,149.55,151.55,6649930,0.0
2020-12-09,152.83,153.5,151.755,152.97,6394237,0.0
2020-12-10,152.82,152.98,151.68,152.26,5332916,0.0
2020-12-11,151.53,153.41,151.23,152.93,4765687,0.0
2020-12-14,153.25,153.48,149,149.02,5916345,0.0
2020-12-15,150,150.75,149.53,150.62,6116004,0.0
2020-12-16,150.2,150.92,149.55,149.75,6452325,0.0
2020-12-17,150.09,153.885,149.955,153.62,7272574,0.0
2020-12-18,153.65,155.1,151.67,154.515,9996594,0.0
2020-12-21,152.01,153.41,150.05,153.06,6271853,0.0
2020-12-22,152.4,153.9,151.86,152.78,3754320,0.0
2020-12-23,152.8,153.603,151.9,151.94,3541154,0.0
2020-12-24,151.85,153.04,151.82,152.53,1877946,0.0
2020-12-28,153.32,153.87,152.3,153.24,3094164,0.0
2020-12-29,154.11,154.93,153.8,154.24,4146333,0.0
2020-12-30,154.74,156.38,154.6,156.11,4397226,0.0
2020-12-31,156.53,157.66,155.1098,157.23,3633511,0.0
2021-01-04,157.24,157.38,154.13,156.51,8339719,0.0
2021-01-05,156.25,158.76,155.07,158.3683,7327865,0.0
2021-01-06,157.24,160.23,156.72,159.96,6778123,0.0
2021-01-07,159,161.03,158.35,160.37,5996313,0.0
2021-01-08,160.51,161.1,159.88,160.03,6664564,0.0
2021-01-11,160.56,161.32,158.77,159.38,5624523,0.0
2021-01-12,159.15,159.66,157.33,158.13,11299335,0.0
2021-01-13,158.23,158.455,156.75,157.89,8877839,0.0
2021-01-14,160.45,161.95,159.61,160.6,8489789,0.0
2021-01-15,160.3,161.4058,159.1058,160.26,7191604,0.0
2021-01-19,162,163.04,161.1,162.78,6381117,0.0
2021-01-20,163.2,164.14,161.8,162.41,5360237,0.0
2021-01-21,161.32,162.48,160.06,161.77,5510056,0.0
2021-01-22,162.36,165.155,161.87,163.66,6794482,0.0
2021-01-25,165.01,166.09,163.66,165.87,8498070,0.0
2021-01-26,169.7,173.65,169.39,170.48,13023034,0.0
2021-01-27,169.12,170.92,167.45,167.99,11681738,0.0
2021-01-28,168.2,170.86,167.8,168.94,7624585,0.0
2021-01-29,164.26,166,160.5527,162.9,18249843,0.0
2021-02-01,165.31,165.31,162.6,162.6,8235258,0.0
2021-02-02,163.38,163.66,161.18,161.19,8677389,0.0
2021-02-03,160.94,161.52,159.57,160.48,6772020,0.0
2021-02-04,161,162.09,159.76,161.99,5279331,0.0
2021-02-05,164.86,165.44,163.8601,164.48,8272661,0.0
2021-02-08,165.03,165.9206,163.88,164.91,5348695,0.0
2021-02-09,165.2,166.59,164.97,166.21,4886896,0.0
2021-02-10,167.89,167.94,165.7,166.84,4626595,0.0
2021-02-11,167,167.38,165.6,166,4019213,0.0
2021-02-12,164.4,166.85,164,166.61,3652012,0.0
2021-02-16,166.58,167.05,164.64,165.21,4457628,0.0
2021-02-17,164.97,166.09,164.36,165.62,6190398,0.0
2021-02-18,164.96,166.16,164.3,165.86,3939931,0.0
2021-02-19,165.6,165.96,162.91,162.97,6908241,0.0
2021-02-22,161.87,162.54,160.29,161.79,5540453,0.0
2021-02-23,161.48,163.19,160.4,160.45,6235159,0.0
2021-02-24,162.4,164.39,160.92,162.57,8449794,0.0
2021-02-25,163.13,163.7,161.99,162.7,8394442,0.0
2021-02-26,162,162.41,157.97,158.27,11061767,0.0
2021-03-01,161.45,161.53,159.09,159.34,9193217,0.0
2021-03-02,159.78,160.78,158.6,159.14,6230512,0.0
2021-03-03,158.25,158.9,156.0604,156.165,6713930,0.0
2021-03-04,155.99,156.1,151.47,153.15,9314409,0.0
2021-03-05,153.98,156.69,153.13,156.09,6776907,0.0
2021-03-08,157,159.33,155.98,157.29,5352772,0.0
2021-03-09,156.89,160.75,156.89,157.7,5858977,0.0
2021-03-10,158.82,159.895,157.36,159.09,5258270,0.0
2021-03-11,159.54,160.63,158.92,159.15,5292622,0.0
2021-03-12,159.28,160.31,159.19,159.63,4474248,0.0
2021-03-15,159.75,160.66,158.5,160.38,4651985,0.0
2021-03-16,160.46,161.68,160.24,161.31,4348904,0.0
2021-03-17,160.83,161.73,159.53,160.9,4723885,0.0
2021-03-18,160.21,161.49,159.96,160.44,4105849,0.0
2021-03-19,160.69,161.5,159.47,159.98,9232062,0.0
2021-03-22,158.31,160.65,158,160.55,4663194,0.0
2021-03-23,159.89,161.2004,158.88,160.34,5036713,0.0
2021-03-24,160.1,162.48,159.82,161.91,5148478,0.0
2021-03-25,162.44,162.45,160.64,161.99,4733485,0.0
2021-03-26,162.09,165.1,161.38,164.81,5300023,0.0
2021-03-29,164.14,167.03,163.6314,166.03,5873853,0.0
2021-03-30,165.02,165.66,164.23,165.12,5601649,0.0
2021-03-31,164.79,165.39,163.7,164.23,5059096,0.0
2021-04-01,162.38,163.84,162.26,162.8,5516384,0.0
2021-04-05,163.55,164.75,162.66,163.29,6161871,0.0
2021-04-06,164.16,164.52,163,163.44,3577927,0.0
2021-04-07,163.55,164.28,163.316,163.63,3255469,0.0
2021-04-08,163.78,164.1116,162.85,162.94,3505167,0.0
2021-04-09,162.14,162.93,159.78,161.25,6854238,0.0
2021-04-12,161.1,162.08,160.34,161.69,4089998,0.0
2021-04-13,156.92,159.93,156.53,159.52,15711153,0.0
2021-04-14,157.91,160.1,157.54,160.04,6236806,0.0
