Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-04,92.02,92.67,90.8,92.15,27430836,0.0
2020-05-05,93.65,94.21,91.9,91.95,32614228,0.0
2020-05-06,92.16,92.76,89.9306,90.28,33802095,0.0
2020-05-07,91.34,92.91,90.58,91.2,31015568,0.0
2020-05-08,92.8,94.08,92.11,92.49,36726172,0.0
2020-05-11,91.11,91.11,89.33,89.93,51757134,0.0
2020-05-12,90.15,90.79,87,87.01,50281360,0.0
2020-05-13,86.38,86.86,83.4,84.06,63139001,0.0
2020-05-14,82.72,88.11,82.4,87.55,62692202,0.0
2020-05-15,86.85,87.28,85.3,85.9,46370628,0.0
2020-05-18,88.69,91.15,87.88,90.29,53528658,0.0
2020-05-19,90.05,91.1987,88.59,88.65,36752836,0.0
2020-05-20,90.71,92.385,90.37,91.36,37499294,0.0
2020-05-21,90.27,91.76,89.67,90.17,26376387,0.0
2020-05-22,90.01,90.36,88.72,89.47,24610854,0.0
2020-05-26,92.89,97.5,92.61,95.83,71457134,0.0
2020-05-27,102.07,102.58,98.8,101.34,70053978,0.0
2020-05-28,102.94,102.95,99.4,99.88,44061682,0.0
2020-05-29,98.66,99.18,96.775,97.375,37682818,0.0
2020-06-01,97.75,99.5115,97.38,98.59,26784176,0.0
2020-06-02,100.28,100.42,97.9276,98.98,36718252,0.0
2020-06-03,101.58,104.92,101.06,104.29,46984922,0.0
2020-06-04,103.82,106.61,102.79,106.48,49603094,0.0
2020-06-05,114.93,115.77,109.53,111.3,78479574,0.0
2020-06-08,113.41,114.19,111.94,113.4,40559200,0.0
2020-06-09,110.65,111.63,109.01,110.7,31078213,0.0
2020-06-10,110.46,110.505,105.85,106.16,41903686,0.0
2020-06-11,100.03,101.58,96.54,97.33,65195950,0.0
2020-06-12,100.71,101.13,98,98.01,16022898,0.0
2020-06-15,96.42,101.43,95.87,101.32,38807974,0.0
2020-06-16,105.37,105.68,99.31,102.12,39954813,0.0
2020-06-17,102.53,102.54,99.21,99.45,27161051,0.0
2020-06-18,98.67,100.52,98.13,98.99,30146062,0.0
2020-06-19,100.53,100.6,96.73,97.935,56050304,0.0
2020-06-22,97.25,97.95,96.54,96.75,13660400,0.0
2020-06-23,98.97,99.97,97.85,97.93,13576708,0.0
2020-06-24,96.75,96.84,94.31,94.72,20725600,0.0
2020-06-25,94.35,98.21,94.2622,97.87,23603063,0.0
2020-06-26,95.11,95.37,92,92.6,32429871,0.0
2020-06-29,93.4,94.49,92.18,93.01,17023132,0.0
2020-06-30,92.83,94.6598,92.57,93.98,15995356,0.0
2020-07-01,94.89,95.705,93.0301,93.27,17559773,0.0
2020-07-02,94.74,94.96,91.931,92.69,22994399,0.0
2020-07-06,94.43,95.2,93.48,94.99,16018921,0.0
2020-07-07,93.82,94.1,92,92.32,18421204,0.0
2020-07-08,92.29,93.34,91.8,93.31,15572193,0.0
2020-07-09,93.52,94.128,90.7764,91.31,23646457,0.0
2020-07-10,92,96.84,91.8706,96.28,26545062,0.0
2020-07-13,98.7303,99.2663,96.225,97.62,28796706,0.0
2020-07-14,98.37,99.95,96.64,98.21,36206321,0.0
2020-07-15,100.89,101.29,98.65,99.74,20782747,0.0
2020-07-16,98.78,101.22,98.55,100.03,15749012,0.0
2020-07-17,100,100.08,98.14,98.16,15714139,0.0
2020-07-20,97.43,98.39,97.26,97.29,12698172,0.0
2020-07-21,97.71,100.05,97.64,99.42,15678396,0.0
2020-07-22,99.65,100.13,97.53,98.69,13343724,0.0
