Date,Estimate,Actual
2022-01-14,None,None
2021-10-13,2.88,None
2021-07-13,3.21,3.78
2021-04-14,3.1,4.5
2021-01-15,2.62,3.79
2020-10-13,2.23,2.92
2020-07-14,1.04,1.38
2020-04-14,1.84,0.78
2020-01-14,2.35,2.57
2019-10-15,2.45,2.68
2019-07-16,2.5,2.82
2019-04-12,2.35,2.65
2019-01-15,2.2,1.98
2018-10-12,2.25,2.34
2018-07-13,2.22,2.29
2018-04-13,2.28,2.37
2018-01-12,1.69,1.76
2017-10-12,1.65,1.76
2017-07-14,1.58,1.82
2017-04-13,1.52,1.65
2017-01-13,1.44,1.71
2016-10-14,1.39,1.58
2016-07-14,1.43,1.55
2016-04-13,1.26,1.35
2016-01-14,1.25,1.32
2015-10-13,1.37,1.68
2015-07-14,1.44,1.54
2015-04-14,1.4,1.45
2015-01-14,1.31,1.19
2014-10-14,1.38,1.36
2014-07-15,1.29,1.46
2014-04-11,1.4,1.28
2014-01-14,1.35,1.4
2013-10-11,1.17,1.42
2013-07-12,1.44,1.6
2013-04-12,1.39,1.59
2013-01-16,1.16,1.39
2012-10-12,1.24,1.51
2012-07-13,0.71,1.09
2012-04-13,1.18,1.28
2012-01-13,0.9,0.9
2011-10-13,0.91,1.02
2011-07-14,1.21,1.27
2011-04-13,1.16,1.28
2011-01-14,1,1.12
2010-10-13,0.9,1.01
2010-07-15,0.67,0.73
2010-04-14,0.64,0.74
2010-01-15,0.61,0.74
2009-10-14,0.52,0.82
2009-07-16,0.04,0.28
2009-04-16,0.32,0.4
2009-01-15,0,0.07
2008-10-15,-0.21,0.11
2008-07-17,0.44,0.54
2008-04-16,0.64,0.68
2008-01-16,0.92,0.86
2007-10-17,0.9,0.97
2007-07-18,1.09,1.2
2007-04-18,1.02,1.34
2007-01-17,0.95,1.09
2006-10-18,0.86,0.92
2006-07-19,0.87,0.99
2006-04-19,0.84,0.86
2006-01-18,0.72,0.73
2005-10-19,0.72,0.75
2005-07-20,0.64,0.66
2005-04-20,0.69,0.81
2005-01-19,0.68,0.64
2004-10-20,0.74,0.6
2004-07-21,0.83,0.85
2004-04-21,0.87,0.92
2004-01-21,0.77,0.89
2003-10-22,0.76,0.78
2003-07-16,0.63,0.89
2003-04-16,0.51,0.69
2003-01-22,-0.09,-0.07
2002-10-16,0.07,0.16
2002-07-17,0.65,0.58
2002-04-17,0.53,0.57
2002-01-16,0.34,0.12
2001-10-17,0.5,0.51
2001-07-18,0.65,0.64
2001-04-18,0.67,0.7
2001-03-12,0.45,0.37
2000-10-18,0.94,0.68
2000-07-19,0.85,0.95
2000-04-19,1.02,1.06
2000-01-19,0.87,1.32
1999-10-20,0.88,0.91
1999-07-21,0.9,1.03
1999-04-20,0.83,0.91
1999-01-19,0.79,0.87
1998-10-20,0.52,0.55
1998-07-21,0.79,0.83
1998-04-21,0.75,0.78
1998-01-20,0.64,0.63
1997-10-21,0.72,0.75
1997-07-15,0.69,0.7
1997-04-15,0.66,0.67
