Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,34.65,34.715,34.205,34.66,3353624,26070,34.492022
2021-01-04,34.59,34.68,33.91,34.23,5824099,45461,34.240009
2021-01-05,34.33,34.42,33.225,33.57,9053227,60017,33.593677
2021-01-06,33.72,34.2,33.41,33.94,6756966,49816,33.885719
2021-01-07,34.03,34.0576,33.445,33.695,6487799,41175,33.69642
2021-01-08,33.52,33.65,33.21,33.62,6234037,43805,33.491907
2021-01-11,33.53,33.665,32.75,32.85,8799508,50821,33.019923
2021-01-12,32.85,32.98,31.72,32.18,11000626,72975,32.181694
2021-01-13,32.16,32.35,31.985,32.01,6137664,44793,32.120655
2021-01-14,32.1,32.3,31.7228,32.08,8530311,48073,32.033679
2021-01-15,31.99,32.29,31.6,31.99,6975158,46862,31.945649
2021-01-19,32.16,32.595,31.855,32.36,6148581,44055,32.293677
2021-01-20,32.33,32.91,32.17,32.86,6556344,43950,32.645898
2021-01-21,32.85,32.9,32.38,32.78,5138389,38065,32.73566
2021-01-22,32.55,33.03,32.432,32.91,4949056,30216,32.829041
2021-01-25,32.84,33.79,32.74,33.75,6447330,49908,33.495069
2021-01-26,33.89,34.41,33.835,34.39,4664540,34002,34.167278
2021-01-27,34.07,35.295,34.07,34.74,7207278,61406,34.914653
2021-01-28,34.4,34.99,33.94,33.96,6627799,60759,34.360175
2021-01-29,33.73,34.35,33.265,33.51,6544551,44086,33.660402
2021-02-01,33.46,33.82,33.22,33.25,5619327,41078,33.471621
2021-02-02,33.25,34.89,32.73,33.16,8621271,57470,33.246971
2021-02-03,33.14,33.27,32.77,33.01,4327301,31193,33.024025
2021-02-04,33.1,33.39,32.85,32.92,9149394,60225,33.05097
2021-02-05,33.33,34.14,33.15,33.8,8080982,55637,33.825849
2021-02-08,33.92,34.02,33.61,33.91,5085112,36817,33.8608
2021-02-09,33.91,34.1,33.44,33.71,4674887,34746,33.651717
