Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-09,17.48,17.51,17.15,17.315,34258596,0.0
2020-06-10,17.13,17.25,16.82,16.95,35173086,0.0
2020-06-11,16.06,16.26,15.45,15.525,49895714,0.0
2020-06-12,15.99,16,15.3527,15.355,9819748,0.0
2020-06-15,14.97,16.035,14.84,15.86,25719408,0.0
2020-06-16,16.34,16.3798,15.61,15.98,23068154,0.0
2020-06-17,15.92,16.01,15.67,15.68,16506542,0.0
2020-06-18,15.56,15.91,15.51,15.76,16367044,0.0
2020-06-19,16.14,16.14,15.52,15.525,28628562,0.0
2020-06-22,15.45,15.62,15.31,15.6,7297761,0.0
2020-06-23,15.82,15.86,15.41,15.44,7453065,0.0
2020-06-24,15.26,15.278,14.61,14.81,12042715,0.0
2020-06-25,14.75,15.08,14.68,14.95,8841178,0.0
2020-06-26,14.89,14.89,14.37,14.48,9996435,0.0
2020-06-29,14.54,14.79,14.47,14.66,10293976,0.0
2020-06-30,14.55,15.23,14.5,15.16,10627763,0.0
2020-07-01,15.2,15.385,14.89,14.91,8077128,0.0
2020-07-02,15.15,15.32,15.07,15.13,8135239,0.0
2020-07-06,15.44,15.58,14.965,15.2,11056702,0.0
2020-07-07,14.78,15.06,14.57,14.67,13423573,0.0
2020-07-08,14.7,14.86,14.47,14.54,9765250,0.0
2020-07-09,14.53,14.53,13.9,13.91,15563296,0.0
2020-07-10,13.94,14.25,13.85,14.25,13243895,0.0
2020-07-13,14.27,14.42,14.0928,14.19,9010862,0.0
2020-07-14,14.17,14.59,14.07,14.55,11662124,0.0
2020-07-15,14.84,15.04,14.7,14.96,7502109,0.0
2020-07-16,14.9,15.08,14.73,14.99,8358669,0.0
2020-07-17,15.08,15.27,14.79,14.925,9053047,0.0
2020-07-20,14.85,14.87,14.5,14.505,8778335,0.0
2020-07-21,14.65,15.215,14.6,15.085,10153489,0.0
2020-07-22,14.87,14.95,14.7,14.88,11746188,0.0
2020-07-23,14.32,14.58,14.06,14.49,22430725,0.0
2020-07-24,14.41,14.465,14.2,14.25,10275531,0.0
2020-07-27,14.31,14.33,14.08,14.2,10887119,0.0
2020-07-28,14.18,14.26,14.1,14.12,12932736,0.0
2020-07-29,14.05,14.55,14.02,14.52,16998684,0.0
2020-07-30,14.33,14.385,14.1598,14.32,20407743,0.0
2020-07-31,14.04,14.12,13.8,14.1,20444840,0.0
2020-08-03,14.04,14.21,13.925,14.03,20931115,0.0
2020-08-04,14.08,14.515,14,14.5,29365522,0.0
2020-08-05,14.73,14.7479,14.36,14.44,19582482,0.0
2020-08-06,14.39,14.569,14.26,14.305,15998342,0.0
2020-08-07,14.2,14.34,14.06,14.32,18499041,0.0
2020-08-10,14.32,14.59,14.32,14.54,20431684,0.0
2020-08-11,14.75,14.815,14.375,14.42,31677622,0.0
2020-08-12,14.65,14.735,14.41,14.49,19857643,0.0
2020-08-17,14.43,14.47,14.27,14.44,15425669,0.0
2020-08-18,14.43,14.61,14.32,14.38,18945388,0.0
2020-08-19,14.4,14.47,14.07,14.12,17145032,0.0
2020-08-20,14.01,14.18,14,14.06,15369642,0.0
2020-08-21,14.07,14.13,13.88,14.12,19127032,0.0
2020-08-24,14.21,14.38,14.175,14.25,17239713,0.0
2020-08-25,14.33,14.33,13.91,13.96,23834308,0.0
2020-08-26,14.02,14.02,13.72,13.73,22328490,0.0
2020-08-27,13.73,13.93,13.7,13.86,21314442,0.0
2020-08-28,13.96,14.21,13.85,14.19,21044669,0.0
2020-08-31,14.17,14.21,13.81,13.81,18557954,0.0
2020-09-01,13.78,13.96,13.63,13.87,19603796,0.0
2020-09-02,13.8,13.97,13.765,13.83,17868409,0.0
2020-09-03,13.86,13.98,13.515,13.63,21456165,0.0
2020-09-04,13.75,13.82,13.26,13.51,23608956,0.0
