Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,96.62,97.085,95.65,96.5,797368,0.0
2020-12-07,96.43,97.3,95.58,96.07,844061,0.0
2020-12-08,95.18,95.766,93.9,94.36,1109746,0.0
2020-12-09,92.87,95.09,92.16,94.85,1355091,0.0
2020-12-10,94.24,95.22,93.55,94.34,601615,0.0
2020-12-11,93.9,94.95,93.39,93.93,612380,0.0
2020-12-14,94.94,95.41,92.3,92.56,1194681,0.0
2020-12-15,93.88,96.38,93.81,96.14,934265,0.0
2020-12-16,96.54,99.55,96.1601,99.09,1282071,0.0
2020-12-17,98.72,99.9,97.01,99.79,1394111,0.0
2020-12-18,99.37,100.44,97.94,98.45,2196069,0.0
2020-12-21,97.52,100.68,97.21,100.6,2449856,0.0
2020-12-22,96.62,98.83,91.83,92.33,8276662,0.0
2020-12-23,92.94,94.01,92,93.14,2203289,0.0
2020-12-24,93.28,93.4699,91.25,92.31,983535,0.0
2020-12-28,92.84,92.84,90.8801,91.01,1226210,0.0
2020-12-29,91.01,92.45,90.295,92.25,1156339,0.0
2020-12-30,91.79,94.85,91.75,94.62,1172703,0.0
2020-12-31,94.18,95,92.89,94.4,913470,0.0
2021-01-04,94.3,94.37,92.13,93.28,1465446,0.0
2021-01-05,93.24,94.31,92.36,94.23,1333849,0.0
2021-01-06,94.05,98.34,94.05,97.97,1442777,0.0
2021-01-07,98.62,100.61,97.43,100.3,1544009,0.0
2021-01-08,100.33,103.15,100.33,102.07,1446977,0.0
2021-01-11,101.04,104.71,100.88,104.64,959832,0.0
2021-01-12,104.26,106.64,103.86,106.44,2443235,0.0
2021-01-13,106.66,108.22,105.44,105.49,2363740,0.0
2021-01-14,105.93,107.2299,105.23,106.35,879877,0.0
2021-01-15,105.38,107,104.86,106.37,930008,0.0
2021-01-19,108.97,116.7,107.3,116.44,2633035,0.0
2021-01-20,117.06,124.91,116.77,122.76,3091306,0.0
2021-01-21,122.93,123.7,119.86,120.31,1821619,0.0
2021-01-22,119.78,120.48,117.7,118.65,1170922,0.0
2021-01-25,119.02,122.11,118.65,120.96,1506873,0.0
2021-01-26,121.26,128.5799,121.0775,127.79,2255248,0.0
2021-01-27,125.81,126.2,120.324,121.45,2464995,0.0
2021-01-28,121.49,123.53,120.21,121.27,1511051,0.0
2021-01-29,120.34,120.98,116.765,117.71,1291627,0.0
2021-02-01,119.61,120,116.74,116.9,1463547,0.0
2021-02-02,118.16,123.56,117.555,123.05,1124620,0.0
2021-02-03,122.82,124.09,121.29,123.28,789911,0.0
2021-02-04,123.76,126,123.47,125.67,826931,0.0
2021-02-05,126.91,127.49,125.5491,126.15,852644,0.0
2021-02-08,126.53,128.55,126.53,126.84,628148,0.0
2021-02-09,126.44,126.44,125.03,125.5,611055,0.0
2021-02-10,125.54,127.13,125.15,125.49,738525,0.0
2021-02-11,125.55,127.8,125.0501,126.89,398128,0.0
2021-02-12,125.53,126.64,124.7636,125.06,589260,0.0
2021-02-16,125.87,127.03,122.27,122.44,1075546,0.0
2021-02-17,121.75,123.16,119.53,122.58,850177,0.0
2021-02-18,121.71,122.47,119.37,120.23,879944,0.0
2021-02-19,120.8,122.77,120.69,121.32,856039,0.0
2021-02-22,120.78,121.58,119.32,119.38,657539,0.0
2021-02-23,118.81,119.54,115.57,119.28,699465,0.0
2021-02-24,119.26,121.99,119,121.85,695180,0.0
2021-02-25,121.85,124.185,118.26,118.95,820703,0.0
2021-02-26,119.29,122.02,118.48,119.51,1046292,0.0
2021-03-01,120.81,122.61,120.503,121.41,1224854,0.0
2021-03-02,121.59,121.91,119.62,120.94,860146,0.0
2021-03-03,120.09,123.09,119.54,121.81,873300,0.0
2021-03-04,121.09,122.49,117.3,120.31,738633,0.0
2021-03-05,122.14,123.63,118.62,123.09,1448899,0.0
2021-03-08,123.66,129.9578,123.38,129.13,1699581,0.0
2021-03-09,129.84,132.54,128.53,128.66,1575278,0.0
2021-03-10,130.13,135.12,129.64,133.55,972821,0.0
2021-03-11,134.04,136.34,132.77,132.97,1030557,0.0
2021-03-12,133.22,135.075,132.24,133.75,652964,0.0
2021-03-15,133.47,134.544,132.55,134.35,919789,0.0
2021-03-16,133.85,133.85,130.31,131.1,925229,0.0
2021-03-17,131.5,132.35,130.19,132.09,517644,0.0
2021-03-18,131.89,136.43,130.9105,134.57,977060,0.0
2021-03-19,134.41,134.41,131.24,133.24,1096459,0.0
2021-03-22,133.49,133.99,130.41,132.33,583206,0.0
2021-03-23,131.56,132.38,130.56,131.03,441551,0.0
2021-03-24,131.02,132.7,128.16,128.305,816345,0.0
2021-03-25,127.39,131.44,126.37,130.56,980879,0.0
2021-03-26,132.3,133.94,130.98,133.76,541296,0.0
2021-03-29,135.33,136.4451,133.09,134.63,838439,0.0
2021-03-30,135.23,136.54,134.42,135.71,855700,0.0
2021-03-31,133.41,135.42,132.5,132.73,1402418,0.0
2021-04-01,128,129.25,122.56,123.35,4316786,0.0
2021-04-05,125.568,128.52,122.855,128.1,1824930,0.0
2021-04-06,127.28,127.83,124.685,126.27,1093178,0.0
2021-04-07,126.04,127.44,124.84,126.09,692820,0.0
2021-04-08,126.08,128.24,124.69,128.13,793286,0.0
2021-04-09,128.9,132.12,128.15,131.64,1001210,0.0
2021-04-12,131.25,132.35,130.48,132.14,1016659,0.0
2021-04-13,131.5,131.5,128.84,130.175,1087541,0.0
2021-04-14,130.68,131.89,129.4394,129.57,676787,0.0
2021-04-15,129.03,129.79,127.79,129.23,629952,0.0
2021-04-16,130.31,130.6,129.19,129.96,542499,0.0
2021-04-19,130,130.38,128.82,130.09,477397,0.0
2021-04-20,130.5,130.89,126.4,127.8,593379,0.0
2021-04-21,127.53,129.53,126.86,128.97,435299,0.0
2021-04-22,129.79,130.83,128.3,129.03,596083,0.0
2021-04-23,129.69,131.6,128.36,131.09,458403,0.0
2021-04-26,131.99,132.33,130.31,131.44,775988,0.0
2021-04-27,131.43,134.19,131.2269,133.08,540921,0.0
