Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-22,146.43,147.93,144.7902,147.34,1405224,0.0
2020-05-26,153.09,154.37,150.77,153.54,1516946,0.0
2020-05-27,155.32,157.74,152.97,154.75,2153734,0.0
2020-05-28,156.4,156.95,151.925,152.16,1813978,0.0
2020-05-29,151.22,151.865,149.5,150.61,2063610,0.0
2020-06-01,150.94,150.99,148.08,149.27,1369976,0.0
2020-06-02,150.5,152.227,149.2,149.29,1772592,0.0
2020-06-03,151.45,155.42,151.36,154.43,1994670,0.0
2020-06-04,153.02,156.28,152.885,155.38,1332324,0.0
2020-06-05,159.45,164.27,159.03,162.64,2549652,0.0
2020-06-08,162.03,163.96,158.17,159.29,2043612,0.0
2020-06-09,155.65,159.95,154.5,158.43,1391252,0.0
2020-06-10,158.05,158.61,155.19,157.12,1683444,0.0
2020-06-11,152.04,152.04,145.19,145.57,1728717,0.0
2020-06-12,150.04,151.23,145.51,145.52,331916,0.0
2020-06-15,143.48,149.29,140.01,148.13,1411842,0.0
2020-06-16,153.92,153.92,147.68,148.63,1322100,0.0
2020-06-17,149.38,149.52,146.71,147.24,1480136,0.0
2020-06-18,146.38,146.98,144.54,144.97,1495302,0.0
2020-06-19,147.5,147.5,142.45,144.18,2407382,0.0
2020-06-22,143.71,146.04,141.7,145.58,784131,0.0
2020-06-23,145.5,150.62,143.5,147.65,2429040,0.0
2020-06-24,146.49,146.49,141.43,142.59,885108,0.0
2020-06-25,142.23,147.46,140.86,147.3,1128765,0.0
2020-06-26,147.16,148.62,145.41,145.66,1097516,0.0
2020-06-29,146.94,148.66,144.59,147.65,750038,0.0
2020-06-30,147.42,150.03,146.75,149.28,588879,0.0
2020-07-01,149.91,151.24,144.15,144.6,1126994,0.0
2020-07-02,146.92,149.29,146.2039,147.15,648729,0.0
2020-07-06,149.7,150.51,147.53,148.58,681059,0.0
2020-07-07,147.3,148.66,144.78,145.13,771951,0.0
2020-07-08,145.57,147.25,144.68,146.9,667800,0.0
2020-07-09,146.18,146.34,142.4,142.85,785529,0.0
2020-07-10,143.07,144.83,142.0299,143.74,606082,0.0
2020-07-13,144.83,150.03,144.79,147.94,1078617,0.0
2020-07-14,147.11,153.58,147.1,152.85,787770,0.0
2020-07-15,155.36,156.28,153.05,155.63,811370,0.0
2020-07-16,155.43,158.79,154.88,158.67,1154148,0.0
2020-07-17,160.69,163.6,155.76,160.38,1731230,0.0
2020-07-20,159.65,160.44,153.83,156.13,966719,0.0
2020-07-21,156.8,158.3399,155.45,156.07,607786,0.0
2020-07-22,155.67,158.1,155.67,156.26,499094,0.0
2020-07-23,155.86,156.61,154.361,155.05,415846,0.0
2020-07-24,155.33,156.89,154.3,154.74,520342,0.0
2020-07-27,154.54,157.88,153.93,156.49,503324,0.0
2020-07-28,156.2,156.53,154.09,154.86,809075,0.0
2020-07-29,154.6,159.23,154.6,158.88,968832,0.0
2020-07-30,156.8,157.83,155.04,156.61,1343062,0.0
2020-07-31,155.76,184.16,152.18,171.82,8058460,0.0
2020-08-03,177.27,178.9999,173.74,176.6,4034741,0.0
2020-08-04,174.72,176.57,170.42,172.79,2936216,0.0
2020-08-05,171.83,176.83,171.83,176.6,1746540,0.0
2020-08-06,175.83,195.47,175.83,185.32,7152186,0.0
2020-08-07,184.68,189.4,183.12,187.05,2411201,0.0
2020-08-10,185.65,185.68,182.325,184.45,2087538,0.0
2020-08-11,185.44,187.53,184.01,184.5,1994943,0.0
2020-08-12,184.79,187.8,183.55,184.03,1862871,0.0
2020-08-13,183.98,184.75,181.7201,183.11,1455200,0.0
2020-08-14,182.97,185.26,182.395,183.94,577304,0.0
2020-08-17,183.23,186.5999,182.42,184.55,1057013,0.0
2020-08-18,184.69,185.46,181.62,182.353,1103218,0.0
2020-08-19,182.94,183.87,180.57,180.75,1079218,0.0
2020-08-20,179.78,182.11,178.56,180.81,720717,0.0
2020-08-21,181.35,183.81,180.62,182.78,1333140,0.0
2020-08-24,182.5,183.75,181.47,183.59,734385,0.0
2020-08-25,184.56,184.56,182.055,183.9,765144,0.0
