Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-07,30.03,31.71,29.9,30.34,2130596,0.0
2020-05-08,30.99,31.34,30.36,30.99,1561738,0.0
2020-05-11,30.55,30.55,29.5,29.99,2194142,0.0
2020-05-12,30.1,30.13,29.33,29.61,2648098,0.0
2020-05-13,29.16,29.42,28.24,28.81,4044468,0.0
2020-05-14,28.25,29.44,27.325,29.08,2665358,0.0
2020-05-15,28.71,29.89,28.16,29.79,3581788,0.0
2020-05-18,31.45,32.09,31.26,31.64,2851406,0.0
2020-05-19,31.53,31.73,31.05,31.05,2071144,0.0
2020-05-20,31.54,32.44,31.54,32.19,1903556,0.0
2020-05-21,32.07,32.46,31.83,32.12,1797780,0.0
2020-05-22,32.24,32.28,31.31,31.91,1272474,0.0
2020-05-26,33.28,33.65,32.91,33.04,1475490,0.0
2020-05-27,34.38,34.75,33.81,34.25,1874206,0.0
2020-05-28,34.69,34.8,33.6,33.81,1506322,0.0
2020-05-29,33.27,33.64,32.66,33.24,2364532,0.0
2020-06-01,33.16,33.89,32.75,33.76,1760258,0.0
2020-06-02,34.23,35.09,34.02,34.63,2873352,0.0
2020-06-03,35.36,35.9,35.28,35.48,1730044,0.0
2020-06-04,35.31,36.52,34.55,36.5,1547490,0.0
2020-06-05,38.73,39.82,38.18,39.07,2414536,0.0
2020-06-08,39.79,40.07,39.105,39.94,2041552,0.0
2020-06-09,38.69,38.91,37.85,38.32,1889324,0.0
2020-06-10,37.88,37.88,36.01,36.15,2316192,0.0
2020-06-11,34.22,34.56,32.145,32.19,4428006,0.0
2020-06-12,33.75,33.77,31.91,31.98,764076,0.0
2020-06-15,31.34,33.82,31.18,33.59,2458272,0.0
2020-06-16,35.4,35.4,33.33,33.91,2198138,0.0
2020-06-17,34.03,34.03,33.14,33.4,2274004,0.0
2020-06-18,32.93,34.03,32.51,33.9,2205529,0.0
2020-06-19,34.63,34.85,33.89,34.81,4937760,0.0
2020-06-22,34.36,34.36,33.55,34.05,1019884,0.0
2020-06-23,34.65,35,34.3,34.34,840972,0.0
2020-06-24,33.78,33.78,32.42,33.18,867669,0.0
2020-06-25,32.88,33.9,32.71,33.81,829385,0.0
2020-06-26,33.32,33.49,32.29,32.81,1204798,0.0
2020-06-29,33.2,33.82,32.84,33.69,639280,0.0
2020-06-30,33.54,34.55,33.34,34.29,701902,0.0
2020-07-01,34.18,34.49,33.46,33.55,825491,0.0
2020-07-02,34.44,34.97,33.56,33.69,793501,0.0
2020-07-06,34.53,35.17,34.37,34.52,619983,0.0
2020-07-07,34.17,34.3,33.56,33.67,599629,0.0
2020-07-08,33.38,34.25,33.38,33.91,582227,0.0
2020-07-09,33.66,33.97,32.35,32.81,838205,0.0
2020-07-10,32.92,34.53,32.73,34.51,773917,0.0
2020-07-13,34.71,35.23,34.45,34.64,717064,0.0
2020-07-14,34.98,35.65,34.54,35.54,645338,0.0
2020-07-15,36.36,36.7,35.655,36.06,629815,0.0
2020-07-16,35.83,36.77,35.57,36.22,365590,0.0
2020-07-17,36.3,36.42,35.95,36.17,678828,0.0
2020-07-20,35.91,36.01,35.24,35.45,587583,0.0
2020-07-21,35.7,36.83,35.5366,36.45,725318,0.0
2020-07-22,35.97,36.73,35.83,36.69,497200,0.0
2020-07-23,36.63,37.27,36.57,37.04,420500,0.0
2020-07-24,37.43,37.47,36.77,36.87,520282,0.0
2020-07-27,36.67,36.67,35.94,36.29,349230,0.0
2020-07-28,36.13,36.63,36.04,36.4,1024302,0.0
2020-07-29,36.4,37.4624,36.4,37.36,765996,0.0
2020-07-30,36.35,36.9,35.8,36.52,993577,0.0
2020-07-31,36.51,36.58,35.75,36.4,854602,0.0
2020-08-03,33.98,36.045,33.7,35.59,2685130,0.0
2020-08-04,35.5,35.7838,35.1,35.38,1559454,0.0
2020-08-05,36.03,36.88,35.81,36.5,1220642,0.0
2020-08-06,36.25,37.18,36.25,36.52,994826,0.0
2020-08-07,36.38,37.79,36.375,37.76,1037923,0.0
2020-08-10,37.96,38.8,37.86,38.6,1306622,0.0
2020-08-11,39.58,40.18,38.58,38.61,1975010,0.0
2020-08-12,39.4,39.44,38.01,38.14,1244015,0.0
2020-08-13,37.58,38.33,37.29,37.87,408122,0.0
2020-08-14,37.49,38.06,37.32,37.62,481398,0.0
2020-08-17,37.61,37.73,36.75,36.8,962654,0.0
2020-08-18,36.86,37.49,36.23,36.37,2262527,0.0
2020-08-19,36.57,36.94,36.02,36.21,1322953,0.0
2020-08-20,35.75,36.25,35.6,35.61,1006072,0.0
2020-08-21,35.64,35.97,35.1618,35.32,1424186,0.0
2020-08-24,36.055,36.6,35.83,36.6,1450598,0.0
2020-08-25,37.07,37.14,36.19,36.49,1078784,0.0
2020-08-26,36.32,36.46,35.63,35.89,1504745,0.0
2020-08-27,36.09,37.05,35.93,36.78,1060814,0.0
2020-08-28,37,37,36.08,36.93,1001870,0.0
2020-08-31,36.71,36.78,35.84,35.84,1402496,0.0
2020-09-01,35.58,36.64,35.31,36.17,1541914,0.0
2020-09-02,36.01,36.78,35.86,36.58,2217286,0.0
2020-09-03,37.03,37.9,36.34,36.61,1749103,0.0
2020-09-04,37.25,37.57,36.57,36.87,1320718,0.0
2020-09-08,36.44,36.53,35.25,35.61,1705773,0.0
2020-09-09,36.03,36.35,35.61,35.81,1572823,0.0
2020-09-10,36.305,36.41,35.13,35.16,1345248,0.0
2020-09-11,34.97,35.6,34.67,35.26,1596140,0.0
2020-09-14,35.56,36.47,35.3325,36.1,1544948,0.0
2020-09-15,36.17,36.57,35.35,35.39,996286,0.0
2020-09-16,35.65,37.5,35.44,37.08,1982261,0.0
2020-09-17,36.51,37.25,36.4,37,500483,0.0
2020-09-18,36.83,37.28,36.62,36.69,979708,0.0
2020-09-21,35.84,35.9141,34.13,34.83,838563,0.0
2020-09-22,34.62,35.31,34.38,34.72,548224,0.0
2020-09-23,34.92,35.15,33.51,33.53,526150,0.0
2020-09-24,33.53,34.18,32.83,33.53,671837,0.0
2020-09-25,33.06,33.79,32.9,33.67,436905,0.0
2020-09-28,34.46,35.19,34.12,34.73,563844,0.0
2020-09-29,34.46,34.7,33.83,34.19,1029280,0.0
2020-09-30,34.49,35.06,34.33,34.75,1364180,0.0
2020-10-01,34.91,35.12,34.37,34.86,1158755,0.0
2020-10-02,34.27,35.7976,34,35.49,783271,0.0
2020-10-05,36.09,36.45,35.54,36.15,676567,0.0
2020-10-06,36.55,36.59,35.48,35.51,815914,0.0
2020-10-07,35.78,36.26,35.73,36.1,627048,0.0
2020-10-08,36.48,37.06,36.32,36.99,593020,0.0
2020-10-09,37.31,37.44,36.67,36.97,608853,0.0
2020-10-12,36.86,37.49,36.77,37.36,634348,0.0
2020-10-13,36.91,37.26,35.77,35.87,945941,0.0
2020-10-14,35.77,36.28,35.32,35.35,716338,0.0
2020-10-15,34.8,35.68,34.72,35.65,524251,0.0
2020-10-16,35.62,36.21,35.29,35.75,624663,0.0
2020-10-19,35.68,35.98,34.89,34.95,545123,0.0
2020-10-20,35.32,35.94,35.17,35.24,978484,0.0
2020-10-21,35.24,35.87,35.12,35.59,918792,0.0
2020-10-22,35.46,36.1399,35.33,35.94,810994,0.0
2020-10-23,36.26,36.56,35.97,36.23,686083,0.0
2020-10-26,35.72,35.7422,34.89,35.14,1047570,0.0
2020-10-27,34.96,35.18,34.15,34.15,1209074,0.0
2020-10-28,33.19,33.9,33.115,33.27,1377310,0.0
2020-10-29,33.05,34.545,32.75,34.23,1172937,0.0
2020-10-30,34.17,34.88,34.07,34.74,1080982,0.0
2020-11-02,36.14,37.57,35.39,37.33,1896669,0.0
2020-11-03,38.03,38.26,37.56,37.89,1152142,0.0
2020-11-04,36.75,37.8,36.25,36.41,1375608,0.0
2020-11-05,36.62,38.2,36.61,37.9,1216153,0.0
2020-11-06,38.03,38.59,37.64,37.69,1179199,0.0
2020-11-09,41.38,43.46,41.035,42.54,1700315,0.0
2020-11-10,42.97,43.43,42.21,42.35,1705443,0.0
2020-11-11,42.58,42.585,41.05,41.35,1390711,0.0
2020-11-12,40.985,41.595,40.58,41.07,1046927,0.0
