Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,37.95,38.045,37.14,37.19,2515438,19658,37.330867
2021-01-04,38.05,40.62,37.8,39.6,6734110,54736,39.499131
2021-01-05,39.63,40.725,39.31,40.43,4653778,36124,40.224735
2021-01-06,40.75,43.86,40.75,43.55,5161342,41156,42.984732
2021-01-07,43.97,47.28,43.94,46.17,5683510,48778,45.923487
2021-01-08,46.17,47.77,45.61,46.75,3126553,29358,46.611469
2021-01-11,46.22,47.53,45.95,46.91,2890650,22760,47.020486
2021-01-12,47.45,48.295,47.0,47.29,5730451,25630,47.404573
2021-01-13,47.01,47.14,45.84,46.16,3826255,29359,46.257111
2021-01-14,46.86,47.9,44.72,44.98,5033025,35632,45.880746
2021-01-15,44.7,45.68,43.88,45.2,3952917,29763,44.916723
2021-01-19,45.56,46.245,45.02,45.73,2719296,24149,45.685193
2021-01-20,45.57,46.39,45.28,45.56,1569085,14372,45.573688
2021-01-21,45.67,46.76,45.29,45.9,2220048,15865,46.206585
2021-01-22,46.14,46.245,44.7,45.28,2765876,23192,45.216773
2021-01-25,45.38,45.98,40.43,43.93,7642272,69736,43.514318
2021-01-26,45.06,45.87,42.9,43.0,5143686,46059,44.176009
2021-01-27,39.81,41.0,36.095,37.54,16883368,128236,38.271717
2021-01-28,38.23,42.32,38.0,41.43,15716656,104849,40.905272
2021-01-29,40.62,41.97,39.31,40.76,6443974,51945,40.751018
2021-02-01,41.23,42.0,40.16,41.86,9679297,62962,41.125363
2021-02-02,42.3,44.36,42.28,44.11,5799986,53826,43.703451
2021-02-03,44.2,44.9136,43.23,43.96,4779457,33842,43.87793
2021-02-04,45.5,49.12,45.0,48.07,6966445,56281,47.840282
2021-02-05,48.55,49.6697,47.86,49.39,2773804,28004,49.013405
2021-02-08,49.99,51.04,49.2106,50.78,3303771,28411,50.355921
2021-02-09,50.12,50.63,48.9,48.97,3627956,30951,49.440188
2021-02-10,48.7,49.26,47.56,48.4,2752330,25386,48.32336
2021-02-11,48.49,49.62,47.56,48.25,1993023,20113,48.434876
2021-02-12,47.79,48.3,47.13,47.22,2040547,19627,47.459677
2021-02-16,48.08,49.3896,47.86,49.21,2561073,20833,48.738128
2021-02-17,48.63,49.16,47.71,48.58,2941540,22854,48.33626
2021-02-18,48.63,49.02,47.44,48.81,2313976,21516,48.410148
2021-02-19,49.03,50.71,48.99,50.33,2396578,21829,50.120204
2021-02-22,50.33,51.8,50.0,50.75,2969164,28360,50.983487
2021-02-23,50.63,51.73,49.13,51.08,3569091,37988,50.825985
2021-02-24,51.54,52.75,50.95,51.65,4940362,37818,51.881606
2021-02-25,54.1,57.19,51.37,52.36,7908946,73420,53.51116
2021-02-26,54.29,57.19,52.09,54.66,5497110,46522,54.878388
2021-03-01,55.57,57.56,55.47,56.75,4468469,45744,56.746173
2021-03-02,57.08,57.63,55.59,55.82,2313697,26932,56.233783
2021-03-03,55.85,56.54,54.65,54.88,2719288,31594,55.527383
2021-03-04,54.75,55.645,52.63,54.08,3650798,36104,54.024121
2021-03-05,54.63,56.08,52.74,55.68,3473319,38769,55.078039
2021-03-08,56.15,56.54,54.78,55.24,3560406,38080,55.500617
2021-03-09,55.37,55.65,54.05,54.51,3568247,33711,54.641548
2021-03-10,54.18,55.35,53.44,54.75,2860222,35850,54.507504
2021-03-11,55.42,56.27,55.07,55.85,3339664,25024,55.817393
2021-03-12,60.0,61.43,59.34,60.81,6575937,62236,60.516176
2021-03-15,60.99,62.08,60.55,60.74,3350178,37385,61.173444
2021-03-16,61.07,61.12,59.71,60.27,2686477,26741,60.489529
2021-03-17,59.11,61.2,58.93,61.12,2215788,26728,60.446716
2021-03-18,61.21,61.89,59.74,60.16,2372061,27213,60.746501
2021-03-19,59.86,61.28,59.43,60.54,5097624,39834,60.501379
2021-03-22,60.98,61.93,59.891,60.01,3334506,32162,60.457258
2021-03-23,58.58,59.17,56.76,57.48,4852636,45491,57.664772
2021-03-24,58.54,59.19,57.11,57.29,3422223,36509,58.260271
2021-03-25,56.32,59.88,56.01,59.43,3780207,35565,57.995654
2021-03-26,62.88,64.12,60.37,61.6,5467754,51952,62.319151
2021-03-29,61.97,62.65,59.26,59.76,3881834,44342,60.240267
2021-03-30,60.46,63.1625,60.0,62.87,4137964,39068,62.230756
2021-03-31,63.0,63.28,61.31,61.86,3345918,33730,62.058797
2021-04-01,62.14,62.305,59.87,61.8,4285478,43600,61.256915
2021-04-05,62.45,62.87,61.01,61.76,3848855,37140,61.848041
2021-04-06,61.8,62.27,61.14,62.04,6418529,43803,61.746662
2021-04-07,62.8,65.16,62.5,64.29,4983027,44399,64.272636
2021-04-08,64.15,65.25,63.03,65.2,3814188,35550,64.609397
2021-04-09,65.16,66.84,65.06,66.78,3025813,35112,66.416937
2021-04-12,66.48,67.23,65.865,66.61,2241054,26653,66.373764
2021-04-13,66.75,67.27,65.22,65.76,2431321,23663,65.929928
2021-04-14,65.63,67.91,65.63,66.8,3215716,28702,67.189996
2021-04-15,67.05,67.77,66.63,66.78,3020696,27416,67.041318
2021-04-16,67.46,67.91,66.21,66.84,2764974,25053,66.89607
2021-04-19,66.41,66.64,65.6,65.9,2178772,20874,66.069845
2021-04-20,65.52,65.725,62.85,64.12,3285006,37608,63.863263
2021-04-21,63.41,65.64,63.41,65.31,1949654,26350,65.136291
2021-04-22,65.67,66.56,65.25,66.07,2141070,23452,66.021481
2021-04-23,66.14,67.66,65.4606,67.38,2068825,23677,66.929057
2021-04-26,67.48,68.0,65.48,66.45,2014733,23977,66.616221
2021-04-27,66.58,68.29,66.49,67.59,2271599,23591,67.626987
2021-04-28,67.4,68.08,66.87,67.44,1945396,22395,67.612615
2021-04-29,67.6,68.06,66.36,66.65,2529618,25326,66.95049
2021-04-30,65.84,66.62,65.48,65.9,2605286,27222,65.976847
2021-05-03,66.43,68.25,66.05,67.63,4042196,36385,67.580484
2021-05-04,66.56,66.84,64.48,65.85,3236964,37454,65.466589
2021-05-05,66.42,66.51,65.1,65.69,3183144,27845,65.795022
2021-05-06,65.75,66.0,64.971,65.94,2774263,27539,65.522293
2021-05-07,65.61,67.629,65.34,67.29,7228450,48266,67.017872
2021-05-10,67.91,71.345,67.91,68.79,4797924,43919,69.839641
2021-05-11,67.56,67.85,64.78,67.57,6473674,52805,66.384936
2021-05-12,68.01,68.16,64.52,64.8,4953119,47776,65.614312
2021-05-13,65.43,67.01,64.69,65.75,2796635,34916,65.837979
2021-05-14,66.53,69.76,66.53,69.23,3380852,33782,68.885275
