Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,44.06,44.44,43.51,44.3,1167486,11213,44.156462
2021-01-04,44.23,44.61,43.2265,43.34,1802519,17584,43.624897
2021-01-05,43.01,43.9187,42.56,42.94,1104646,14617,43.068064
2021-01-06,43.14,45.14,43.12,44.82,1584508,17484,44.486334
2021-01-07,45.02,45.21,44.31,44.96,813392,8945,44.919203
2021-01-08,45.33,45.33,43.72,44.13,803568,10381,44.221515
2021-01-11,43.53,44.64,43.365,43.88,881918,9955,44.066965
2021-01-12,43.95,44.89,43.64,44.61,1215629,13782,44.468416
2021-01-13,44.85,44.9,43.58,43.87,958656,9063,43.893556
2021-01-14,44.24,44.65,43.68,43.99,841369,9808,44.111923
2021-01-15,43.74,44.16,43.01,43.71,750645,9211,43.761696
2021-01-19,44.25,44.33,43.0,43.62,752278,9050,43.514281
2021-01-20,43.75,44.61,43.4,44.22,743924,10101,44.172134
2021-01-21,44.24,45.12,44.12,44.63,827747,9408,44.781365
2021-01-22,44.21,44.41,43.44,44.19,926828,10658,44.017873
2021-01-25,43.82,43.95,42.69,43.09,797721,9852,43.212161
2021-01-26,43.53,44.06,42.31,42.95,867735,9849,42.852774
2021-01-27,42.25,42.68,41.53,42.17,1325197,16417,41.965663
2021-01-28,42.43,42.85,42.02,42.35,862720,10263,42.421664
2021-01-29,42.44,42.44,40.87,41.0,2664680,13916,41.134802
2021-02-01,41.21,41.65,40.7513,41.49,1164143,13202,41.302548
2021-02-02,41.82,42.51,41.21,42.32,729556,9586,42.233909
2021-02-03,42.24,42.8,41.69,42.45,800530,8591,42.404219
2021-02-04,42.45,43.24,42.18,42.6,1044133,11895,42.712052
2021-02-05,42.84,43.14,42.41,43.02,1012823,9802,42.84784
2021-02-08,43.47,44.28,43.44,43.66,1447223,13960,43.777428
2021-02-09,43.1,43.815,42.125,43.03,1367912,13874,43.044921
2021-02-10,41.75,42.61,41.09,42.28,1257810,13406,41.99668
2021-02-11,42.78,43.35,42.37,42.88,886540,9895,42.815259
2021-02-12,42.68,43.19,41.97,42.35,525218,5360,42.394791
2021-02-16,42.52,42.57,41.9021,42.17,784052,7917,42.200701
2021-02-17,41.87,42.43,41.56,41.75,661186,8887,41.899117
2021-02-18,41.75,41.99,41.22,41.85,510424,6950,41.659118
2021-02-19,42.04,43.01,41.93,42.96,683191,7147,42.779038
2021-02-22,42.55,43.7,42.47,43.21,614889,7019,43.270393
2021-02-23,43.44,43.44,42.37,43.37,846614,12359,43.077135
2021-02-24,43.29,44.51,43.09,44.47,738959,9193,44.03677
2021-02-25,44.65,44.65,42.76,42.9,855171,10099,43.380209
2021-02-26,43.0,43.77,42.2,43.27,1183604,12778,43.178548
2021-03-01,43.78,44.65,43.66,44.05,960973,11517,44.18008
2021-03-02,44.15,45.16,44.06,44.92,1019902,12849,44.894847
2021-03-03,45.0,47.02,44.8,45.9,1233133,14073,46.090062
2021-03-04,46.0,46.11,43.115,44.2,1438403,17352,44.495103
2021-03-05,44.63,47.55,44.09,47.34,1167848,14049,46.447539
2021-03-08,47.71,50.0,47.55,48.77,1733856,18801,48.607075
2021-03-09,48.79,49.055,47.61,47.63,1287217,14832,48.267918
2021-03-10,47.43,49.61,47.35,49.32,938018,12089,48.870573
2021-03-11,49.2,49.79,48.38,48.38,1041183,12378,48.946106
2021-03-12,48.22,49.355,48.21,49.19,954978,9628,49.012629
2021-03-15,49.25,49.38,47.8837,49.12,920555,12892,48.787868
2021-03-16,49.16,49.185,47.22,47.68,1157713,13456,47.840981
2021-03-17,47.82,48.48,47.485,48.34,908787,10750,47.984001
2021-03-18,48.34,49.18,47.68,47.86,828544,11983,48.194449
2021-03-19,47.65,47.89,47.26,47.38,3281748,12693,47.440351
2021-03-22,47.66,47.66,45.93,46.3,1118639,15178,46.372645
2021-03-23,45.66,46.14,43.97,44.13,1205457,15351,44.578281
2021-03-24,44.51,45.24,44.05,44.05,1148556,12948,44.611886
2021-03-25,43.68,46.11,43.53,45.97,1359591,13735,45.180179
2021-03-26,46.57,47.05,45.53,46.5,820855,9167,46.231244
2021-03-29,46.22,46.54,45.19,45.51,1001022,10212,45.710578
2021-03-30,45.55,46.34,45.455,46.19,787096,9948,45.992392
2021-03-31,46.2,46.56,45.6,45.65,752292,7585,45.835069
2021-04-01,46.03,46.5,45.58,46.45,550973,8364,46.167726
2021-04-05,46.94,47.0599,46.34,46.85,577493,9394,46.790035
2021-04-06,46.89,47.08,46.0,46.34,903739,11777,46.335416
2021-04-07,46.45,46.88,46.2,46.51,774349,10361,46.626502
2021-04-08,46.45,46.87,45.41,46.5,712516,9023,46.170446
2021-04-09,46.82,47.4,46.51,47.39,571182,9415,47.137625
2021-04-12,47.39,47.64,47.1,47.55,364692,7398,47.424861
2021-04-13,47.55,47.55,46.7,47.12,797661,9136,47.2764
2021-04-14,47.0,48.3,47.0,47.95,603615,11266,47.973982
2021-04-15,48.37,48.52,47.885,48.38,646238,10308,48.213252
2021-04-16,48.56,49.28,48.48,48.79,568421,8636,48.750206
2021-04-19,48.87,49.195,48.19,49.12,664403,9208,48.934153
2021-04-20,49.01,49.32,48.36,48.79,676398,10316,48.703469
2021-04-21,48.97,50.42,48.7717,50.26,877779,9754,50.076381
2021-04-22,50.07,50.79,49.54,49.68,1167302,10707,49.993558
2021-04-23,49.9,50.68,49.38,50.5,633640,8345,50.410612
2021-04-26,50.76,50.95,50.49,50.65,679938,8396,50.687939
2021-04-27,50.69,51.13,50.3,50.91,639913,8000,50.861288
2021-04-28,51.1,51.36,50.68,50.93,437909,6729,50.996044
2021-04-29,51.38,51.56,50.33,50.54,714042,8957,50.729344
2021-04-30,50.58,50.64,49.22,49.67,1199840,12150,49.66482
