Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-17,64.95,65.27,63.06,63.43,6232704,0.0
2020-06-18,62.72,63.37,61.64,61.9,5060490,0.0
2020-06-19,63.38,63.38,59.93,60.17,6428614,0.0
2020-06-22,60.31,61.38,59.25,61.17,2190364,0.0
2020-06-23,61.86,62.11,60.43,61.19,2651446,0.0
2020-06-24,60.41,60.44,57.46,59.03,3832372,0.0
2020-06-25,57.65,59.83,57.125,59.74,4068249,0.0
2020-06-26,59.36,59.44,58.005,58.97,2704060,0.0
2020-06-29,59.26,61,57.89,60.96,2237514,0.0
2020-06-30,61.16,61.92,60.12,61.6,1918316,0.0
2020-07-01,61.57,61.92,59.3,59.76,2358273,0.0
2020-07-02,61.29,61.47,59.71,60.17,2554797,0.0
2020-07-06,61.32,62.1741,60.93,61.96,1811969,0.0
2020-07-07,61.44,63.44,61.2,62.16,3031411,0.0
2020-07-08,63.01,65.87,62.67,65.49,4089472,0.0
2020-07-09,65.55,65.76,63.02,63.25,3147910,0.0
2020-07-10,63.51,65.97,63.46,65.23,3310775,0.0
2020-07-13,65.25,66.31,62.32,62.56,3633950,0.0
2020-07-14,62.35,66.33,62.24,66.29,3422869,0.0
2020-07-15,67.97,68.87,66.66,68.32,3556372,0.0
2020-07-16,67.86,70.05,67.61,69.82,3049889,0.0
2020-07-17,70.62,71.68,69.25,69.59,2949227,0.0
2020-07-20,69.12,69.25,67.8648,68.85,1856474,0.0
2020-07-21,69.02,69.44,67.37,68.35,2331544,0.0
2020-07-22,68.32,71.19,68.24,70.92,2655063,0.0
2020-07-23,71.83,73.75,69,70.05,3568823,0.0
2020-07-24,68.77,70.39,68.62,69.78,1882529,0.0
2020-07-27,70.31,73.12,69.93,73.04,3114158,0.0
2020-07-28,73.55,74.32,70.22,70.38,5355027,0.0
2020-07-29,70.79,72.94,70.73,72.68,4095088,0.0
2020-07-30,71.26,73.06,71.13,72.27,2667553,0.0
2020-07-31,72.38,72.4885,70.81,72.35,2895755,0.0
2020-08-03,72.86,73.8,72.26,73.63,3508458,0.0
2020-08-04,73.2,73.93,72.51,72.72,2812950,0.0
2020-08-05,73.17,74.05,72.41,73.57,2043318,0.0
2020-08-06,73.8,74.35,73.06,73.31,2491779,0.0
2020-08-07,72.98,73.41,71.93,73.23,3172895,0.0
2020-08-10,73.42,76.69,73.36,74.51,5778824,0.0
2020-08-11,75.18,75.47,73.33,73.56,4858464,0.0
2020-08-12,74.29,74.42,73.28,74.32,4978829,0.0
2020-08-13,73.97,75.03,73.47,74.58,1307091,0.0
2020-08-14,74.1,74.64,73.75,74.24,941229,0.0
2020-08-17,75,77.518,74.57,77.07,4856384,0.0
2020-08-18,78.46,78.59,77.03,77.14,4433266,0.0
2020-08-19,76.85,77.275,76.14,76.81,2703102,0.0
2020-08-20,76.12,78.15,75.61,76.92,2575892,0.0
2020-08-21,76.85,79.64,76.2468,79.38,6263890,0.0
2020-08-24,78.5368,79.08,78.11,78.76,2370105,0.0
2020-08-25,79.27,79.27,77.22,77.97,2940507,0.0
2020-08-26,78.39,78.92,77.12,77.15,2925532,0.0
2020-08-27,77.52,78.28,75.76,75.81,3371433,0.0
2020-08-28,76.09,77.36,75.65,75.92,2770610,0.0
2020-08-31,75.52,75.9699,74.22,74.8,3124286,0.0
2020-09-01,74.9,78.17,74.31,78.13,4061202,0.0
2020-09-02,78.51,78.74,76.36,78.33,4335991,0.0
2020-09-03,77.88,78.22,73.8,75.33,4202481,0.0
2020-09-04,75.73,76.49,71.34,73.61,3770913,0.0
2020-09-08,72,75.1,71.78,73.33,3828157,0.0
2020-09-09,74.31,76.35,73.5,75.79,2940205,0.0
2020-09-10,77.085,77.36,74.93,75.48,2377933,0.0
2020-09-11,76.6,77.91,76.25,77.49,4368814,0.0
2020-09-14,79.46,79.47,77.52,78.99,8499010,0.0
2020-09-15,75.6,79.3599,74.65,75.9,6818632,0.0
2020-09-16,77.44,79.84,77.11,78.92,4038406,0.0
2020-09-17,78.6,79.28,77.27,78.16,2018353,0.0
2020-09-18,78.03,79.88,77.76,79.18,3831743,0.0
2020-09-21,77.38,78.1,74.75,76.76,1823220,0.0
2020-09-22,77.15,80.06,76.46,79.85,2263491,0.0
2020-09-23,80,80.055,76.1166,76.29,2337128,0.0
2020-09-24,76.34,79.09,75.21,77.57,2346257,0.0
2020-09-25,76.51,77.68,75.83,76.7,2019978,0.0
2020-09-28,78.19,79.735,77.275,79.66,1714247,0.0
2020-09-29,79.63,80.34,78.41,78.95,3618686,0.0
2020-09-30,79.25,82.72,79.13,81.61,7786029,0.0
2020-10-01,82.46,83.1999,81.3,82.94,5217130,0.0
2020-10-02,81.1,84.19,80.801,83.85,3749172,0.0
2020-10-05,84.35,85.57,80.82,83.005,4906418,0.0
2020-10-06,83.41,83.69,80.02,80.62,4044530,0.0
2020-10-07,81.84,82.35,79.72,80.47,4482367,0.0
2020-10-08,81.35,84.04,81.35,84.01,3831793,0.0
2020-10-09,84.61,85.155,83.38,84.06,2590927,0.0
2020-10-12,84.45,84.57,83,83.95,2365811,0.0
2020-10-13,82.895,83.805,81.72,83,2004182,0.0
2020-10-14,83.25,83.76,82.305,83.37,2046683,0.0
2020-10-15,81.9,84.88,81.75,84.69,2968205,0.0
2020-10-16,85.41,86.7994,84.5,84.68,5369434,0.0
2020-10-19,84.93,84.9599,81.97,82.56,2886905,0.0
2020-10-20,82.82,84.33,82.4,83.29,2576525,0.0
2020-10-21,83.08,83.315,79.7664,80.09,3411293,0.0
2020-10-22,80,80,75.72,76.54,7507463,0.0
2020-10-23,76.85,78.48,76.04,78.27,4760450,0.0
2020-10-26,77,77.4,74.2,75.02,4774250,0.0
2020-10-27,75.2,75.2,72.2,72.51,5498902,0.0
2020-10-28,71.07,73.72,70.75,72.35,4540436,0.0
2020-10-29,72.79,73.56,71.32,71.59,3505098,0.0
2020-10-30,71.18,72.17,69.41,70.24,4232520,0.0
2020-11-02,71.84,73.61,70.97,72.53,4594924,0.0
2020-11-03,73.87,74.83,72.43,74.37,4090359,0.0
2020-11-04,76.91,80.93,76.87,79.48,9752424,0.0
2020-11-05,80.27,80.91,78.57,78.73,4085403,0.0
2020-11-06,78.72,78.72,75.34,75.67,3793952,0.0
2020-11-09,76.9,77.74,70.29,70.41,8013905,0.0
2020-11-10,70.94,75.91,69.69,75.33,10033509,0.0
2020-11-11,75.47,76.26,74.59,76.22,3006786,0.0
2020-11-12,76.53,77.335,73.5,73.98,3716795,0.0
2020-11-13,74.87,76.27,74.05,76.05,1627451,0.0
2020-11-16,75.89,76.685,74.13,75.79,3198920,0.0
2020-11-17,75.46,76.99,74.75,75.75,2917414,0.0
2020-11-18,75.36,77.66,75.2,76.49,3799560,0.0
2020-11-19,76.82,77.85,75.89,76.3,4151909,0.0
2020-11-20,76.83,77.46,75.69,75.76,2450740,0.0
2020-11-23,75.93,78.75,75.895,78.26,2938234,0.0
2020-11-24,78.73,78.95,76.2601,76.55,3715595,0.0
2020-11-25,76.72,77.6,75.64,77.05,2722798,0.0
2020-11-27,76.94,78.62,76.75,77.65,1418716,0.0
