Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-17,249.64,250.58,247.49,248.43,1600122,0.0
2020-08-18,249.74,250.25,246.01,246.8803,1625823,0.0
2020-08-19,248.27,249.32,246.6,247.17,1793708,0.0
2020-08-20,244.33,245.7,243.79,245.31,3460077,0.0
2020-08-21,240.44,244.93,240.24,244.3,3136527,0.0
2020-08-24,249.98,250.78,248.63,248.91,1606744,0.0
2020-08-25,250.44,251.38,249.26,250.06,1574942,0.0
2020-08-26,249.71,254.25,249.04,252.88,1369082,0.0
2020-08-27,253.76,254.01,250.14,250.94,1819094,0.0
2020-08-28,251.51,254.08,250.75,253.56,1582312,0.0
2020-08-31,251.66,253.255,249.17,249.73,2352648,0.0
2020-09-01,249.97,257.05,248.55,256.89,3341126,0.0
2020-09-02,257.44,260.49,255.66,260.09,4273337,0.0
2020-09-03,259.12,259.14,247.3623,250.45,3816071,0.0
2020-09-04,251.1,251.96,243.49,247.65,3792083,0.0
2020-09-08,243.64,245.95,241.89,242.9,2588818,0.0
2020-09-09,245.85,253.58,245.85,251.32,2940693,0.0
2020-09-10,253.85,254.22,247,247.27,1502010,0.0
2020-09-11,249.9,251.43,248.71,250.14,1660187,0.0
2020-09-14,251.76,253.64,250.58,251.25,1823451,0.0
2020-09-15,252.1,254.265,250.71,250.73,880514,0.0
2020-09-16,250.3,251.885,248.44,248.84,1190871,0.0
2020-09-17,246.64,250.53,245.9,250.53,944807,0.0
2020-09-18,249.32,250.61,245.25,245.96,2044328,0.0
2020-09-21,239.29,240.61,234.87,238.29,1502792,0.0
2020-09-22,237.84,238.675,236.17,238.3899,1629451,0.0
2020-09-23,237.87,238.37,232.87,233.16,1097426,0.0
2020-09-24,233.41,235.48,231.7,234.38,1157164,0.0
2020-09-25,229.13,233.67,228.51,232.74,1744610,0.0
2020-09-28,237.91,238.9,236.44,237.24,911286,0.0
2020-09-29,237.76,239.29,236.27,236.43,1697090,0.0
2020-09-30,236.04,240.02,235.92,238.02,3005203,0.0
2020-10-01,236.69,238.365,232.09,232.82,3311038,0.0
2020-10-02,229.27,234.98,229.14,232.33,2877652,0.0
2020-10-05,234.43,236.65,234.24,235.09,2345094,0.0
2020-10-06,236.13,237.81,231.78,232.07,2167981,0.0
2020-10-07,234.64,240.005,234.36,239.14,2801755,0.0
2020-10-08,238.87,240.38,237.09,237.85,2604464,0.0
2020-10-09,239.16,241.33,238.815,239.91,2638229,0.0
2020-10-12,241.8,242.83,239.94,240.22,1704789,0.0
2020-10-13,238.04,239.09,234.87,235.95,2283979,0.0
2020-10-14,236.49,236.61,234.1,234.85,1568755,0.0
2020-10-15,229.08,230.685,228,229.65,3381379,0.0
2020-10-16,231.1,234.43,230.56,233.08,3115867,0.0
2020-10-19,233.91,234.42,229.43,230.05,1470607,0.0
2020-10-20,231.5,234.14,230.98,233.315,2163347,0.0
2020-10-21,232.48,235.55,230.72,230.97,1704595,0.0
2020-10-22,229.67,234.08,228.46,233.21,2285105,0.0
2020-10-23,236.4,236.93,233.76,234.28,2027651,0.0
2020-10-26,231.14,231.49,226.28,227.96,2091050,0.0
2020-10-27,226.43,228.55,225.18,225.56,2162427,0.0
2020-10-28,217.86,220.5,216.14,217.09,3623954,0.0
2020-10-29,215.69,221.59,214.14,219.85,3135785,0.0
2020-10-30,219.13,220.9,217.28,220.21,2809052,0.0
2020-11-02,225.12,230.21,224.05,228.53,2922725,0.0
2020-11-03,232.64,235.37,231.85,234.17,2361959,0.0
