Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,53.41,54.79,53.04,54.74,1479802,0.0
2020-12-07,53.68,53.99,52.67,53.19,1851475,0.0
2020-12-08,52.31,53.7,52.0125,53.06,1013844,0.0
2020-12-09,53.9,54.69,52.32,52.59,1170786,0.0
2020-12-10,51.55,52.93,51.23,52.65,903254,0.0
2020-12-11,51.31,51.915,50.67,51.34,1115178,0.0
2020-12-14,52.44,52.46,49.88,50.04,1066096,0.0
2020-12-15,50.9,50.9,48.88,50.36,1090413,0.0
2020-12-16,50.77,50.8,49.87,50.24,803854,0.0
2020-12-17,49.12,49.69,48.82,49.46,1160315,0.0
2020-12-18,49.22,49.89,47.74,48.61,1666897,0.0
2020-12-21,48.15,48.77,47.25,48.43,854610,0.0
2020-12-22,48.77,49.03,47.95,47.96,791682,0.0
2020-12-23,48.8,50.185,48.69,49.95,896565,0.0
2020-12-24,49.89,49.95,49.04,49.73,429052,0.0
2020-12-28,50.25,51.38,49.69,49.91,792450,0.0
2020-12-29,50,50.36,48.82,49.17,655317,0.0
2020-12-30,49.5,50,49.31,49.57,463612,0.0
2020-12-31,49.49,50.47,49.04,50.31,524179,0.0
2021-01-04,50.79,50.96,48.29,48.83,1196460,0.0
2021-01-05,48.84,49.85,48.69,49.12,1007457,0.0
2021-01-06,50.94,53.585,50.84,52.55,1888158,0.0
2021-01-07,53.54,53.86,52.29,52.63,1677381,0.0
2021-01-08,52.65,52.72,50.45,51.41,1074342,0.0
2021-01-11,51.26,52.1,50.58,51.49,907190,0.0
2021-01-12,51.87,52.88,51.35,52.28,2124161,0.0
2021-01-13,51.94,52.4,51.25,51.67,2415463,0.0
2021-01-14,52.15,53.07,51.83,52.76,1162205,0.0
2021-01-15,51.79,52.23,51.085,51.4,1198809,0.0
2021-01-19,51.88,53.14,51.41,52.61,1019612,0.0
2021-01-20,52.69,53.29,52.34,52.47,855180,0.0
2021-01-21,52.35,52.73,51.19,51.21,876994,0.0
2021-01-22,50.31,51.08,49.99,50.69,638576,0.0
2021-01-25,49.72,50.42,49.16,50.15,1065473,0.0
2021-01-26,50.74,51.08,49.025,49.11,846637,0.0
2021-01-27,47.74,48.12,46.41,46.85,1465534,0.0
2021-01-28,47.85,49.08,47.48,48.55,959451,0.0
2021-01-29,46.38,47.125,44.59,45.48,2493651,0.0
2021-02-01,46.18,46.43,44.81,46.29,1231982,0.0
2021-02-02,47,48.04,46.94,47.41,1294411,0.0
2021-02-03,47.38,48.8,47.268,48.64,1320946,0.0
2021-02-04,47.33,50.58,47.11,49.99,2275248,0.0
2021-02-05,50.74,51.285,50.01,51.09,1338145,0.0
2021-02-08,51.6,52.59,51.17,52.55,1640899,0.0
2021-02-09,52.2,52.48,51.38,51.39,1096770,0.0
2021-02-10,51.71,52.98,51.13,52.38,1534869,0.0
2021-02-11,52.05,52.74,51.05,51.79,1188305,0.0
2021-02-12,51.74,53.2501,51.655,52.35,1117521,0.0
2021-02-16,52.99,54.92,52.99,54.15,1533640,0.0
2021-02-17,53.88,54.98,53.68,54.52,1587341,0.0
2021-02-18,53.8,54.355,53.11,53.54,1289013,0.0
2021-02-19,54.31,56.11,54.07,55.56,1394633,0.0
2021-02-22,55.44,57.92,55.44,57.07,1609829,0.0
2021-02-23,57.72,57.83,55.71,56.92,1452930,0.0
2021-02-24,57.39,60.12,57.39,59.4,2166467,0.0
2021-02-25,60.35,60.6364,56.85,57.18,2157160,0.0
2021-02-26,56.69,57.69,55.33,56.86,1333841,0.0
2021-03-01,58.5,59.005,58,58.17,1008878,0.0
2021-03-02,58.25,58.93,57.41,57.52,1058884,0.0
2021-03-03,57.79,59.92,57.62,58.6,1383803,0.0
2021-03-04,58.21,59.33,55.01,56.73,1755414,0.0
2021-03-05,58.09,58.88,55.43,58.57,1367900,0.0
2021-03-08,59.4,62.28,59.35,59.96,1662893,0.0
2021-03-09,59.55,61.42,58.69,60.13,1465501,0.0
2021-03-10,60.42,62.07,59.98,61.52,1228608,0.0
2021-03-11,61,62.62,60.7,61.71,1169393,0.0
2021-03-12,62.72,63.14,61.965,62.81,935564,0.0
