Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,157.98,159.62,155.2,159.59,2791570,0.0
2020-09-22,160.03,161.79,159.64,161.54,2570604,0.0
2020-09-23,162.44,162.91,157.755,158.6,2285714,0.0
2020-09-24,158.77,160.8497,156.81,158.49,2536879,0.0
2020-09-25,157.9,160.2,156.6,159.535,2103445,0.0
2020-09-28,161.59,163.1,160.51,162.56,2179701,0.0
2020-09-29,163.48,163.97,162.21,162.26,3634423,0.0
2020-09-30,162.98,167.62,162.48,165.83,6617399,0.0
2020-10-01,167.34,168.28,165.3698,167.21,4046457,0.0
2020-10-02,164.47,167.46,164.05,166.44,3283243,0.0
2020-10-05,168.11,168.97,167.01,168.53,4092749,0.0
2020-10-06,168.48,168.98,164.42,164.86,4222767,0.0
2020-10-07,167.72,169.81,166.635,168.42,4009829,0.0
2020-10-08,169.49,171.61,168.2441,170.92,5166902,0.0
2020-10-09,171.37,175,171.37,173.23,7158512,0.0
2020-10-12,174.84,174.84,172.37,172.73,5321346,0.0
2020-10-13,172.86,175.94,172.6318,175.27,5372357,0.0
2020-10-14,175.12,175.9,171.21,173.61,5205684,0.0
2020-10-15,171.56,176.4,171.01,176.03,5295655,0.0
2020-10-16,176.79,180.67,176.73,177.74,7157157,0.0
2020-10-19,178.23,179.91,174.82,175.13,5787033,0.0
2020-10-20,175.5,179.27,174.51,177.1,5525752,0.0
2020-10-21,177.04,179.61,174.32,174.5,4251663,0.0
2020-10-22,174.94,175.25,170.71,171.28,5115688,0.0
2020-10-23,171.46,172.17,169.22,172.14,4700628,0.0
2020-10-26,169.97,171.23,165.855,168.13,6963250,0.0
2020-10-27,169.05,169.45,165.013,165.24,6721002,0.0
2020-10-28,161.29,164.47,159.42,161.42,6828858,0.0
2020-10-29,162.26,164.05,160.64,160.77,4679203,0.0
2020-10-30,159.87,160.7,155.77,158.1,5221722,0.0
2020-11-02,159.89,162.71,158.14,160.18,4601622,0.0
2020-11-03,162.37,165.47,161.3,164.67,4578856,0.0
2020-11-04,165.41,171.44,165.25,168.11,8081929,0.0
2020-11-05,171.49,173.56,168.4,169.13,5650278,0.0
2020-11-06,169.4,169.51,167.438,168.67,4547452,0.0
2020-11-09,169.5,170.25,152.93,153.45,19556970,0.0
2020-11-10,155.6,157.34,153.01,155.71,10688803,0.0
2020-11-11,157.77,159.62,157,157.95,7671485,0.0
2020-11-12,159.28,160,156.635,157.975,5962052,0.0
2020-11-13,158.43,159.98,157.76,159.19,4553266,0.0
2020-11-16,159.07,162,158.66,161.93,7671473,0.0
2020-11-17,159.8,161.5,156.56,159.78,10291664,0.0
2020-11-18,150.37,154.31,146.719,146.72,33581734,0.0
2020-11-19,148.59,151.25,148,149.59,17623564,0.0
2020-11-20,149.33,150.96,148.89,149.93,11086593,0.0
2020-11-23,150.28,154.14,150.11,153.67,12393443,0.0
2020-11-24,154.45,156,153.71,154.96,11685755,0.0
2020-11-25,155.33,156.46,154.01,154.88,8964277,0.0
2020-11-27,155.69,157.3713,154.06,154.89,3843478,0.0
2020-11-30,154.46,155.86,151.39,155.77,5364751,0.0
2020-12-01,155.82,156.78,152.72,153.39,5136261,0.0
2020-12-02,152.4,153,150.44,151.8,4453340,0.0
2020-12-03,151.99,153.15,151.36,151.99,3617857,0.0
2020-12-04,151.75,152.4,149.83,150,4212641,0.0
2020-12-07,150.11,152.58,149.31,151.96,5858084,0.0
2020-12-08,152.66,153.03,150.46,151.24,4813718,0.0
2020-12-09,159.5,160.98,157.22,160.12,8939408,0.0
2020-12-10,159.49,161.45,158,160.24,5986673,0.0
2020-12-11,159.77,160.11,157.48,157.87,4034008,0.0
2020-12-14,158.77,162.44,158.37,160.01,3701390,0.0
2020-12-15,161.13,164.2931,160.94,163.35,3899941,0.0
2020-12-16,164.12,166.19,162.57,163.19,3527649,0.0
2020-12-17,164.64,165.405,163.08,163.52,3594189,0.0
2020-12-18,163.14,165.32,161.8901,163.39,5779828,0.0
2020-12-21,162.02,165.8636,161.27,164.32,3470450,0.0
2020-12-22,164.02,165.86,163.6201,164.57,2669417,0.0
2020-12-23,165,165.63,162.3,162.44,3031358,0.0
2020-12-24,162.43,163.2,162.1,162.76,980824,0.0
2020-12-28,163.25,163.83,161.61,162.03,2357609,0.0
2020-12-29,162.95,163.3,159.48,160.595,2884550,0.0
2020-12-30,160.6,161.6899,160.175,160.54,2262017,0.0
2020-12-31,160.61,160.86,159.255,160.5,1857147,0.0
2021-01-04,160.77,161.38,157.13,160.385,5433931,0.0
2021-01-05,159.44,162.08,159.1249,160.98,2816370,0.0
2021-01-06,158.37,165.15,158,162.98,4343269,0.0
2021-01-07,163.45,164.84,162.7861,163.67,3109968,0.0
2021-01-08,163.74,166.25,163.04,165.05,3833307,0.0
2021-01-11,164.91,167.4,164.3,166.33,2588850,0.0
2021-01-12,166.29,170.24,165.16,168.99,7306970,0.0
2021-01-13,170.13,171.69,169.22,169.84,5732402,0.0
2021-01-14,170.35,172.58,169.97,170.39,3371810,0.0
2021-01-15,168.49,172.01,168,171.3,3533904,0.0
2021-01-19,172.9,173.81,170.64,170.72,2845949,0.0
2021-01-20,171.24,174.05,169.65,172.39,3120061,0.0
2021-01-21,173.59,175.07,172.26,172.34,3470936,0.0
2021-01-22,171.89,174.12,171.0301,172.35,2980416,0.0
2021-01-25,172.91,175.145,171.44,174.1,3230646,0.0
2021-01-26,174.29,174.9,173,173.7,2223691,0.0
2021-01-27,171.04,171.86,167.04,167.6,4376110,0.0
2021-01-28,168.89,173.73,167.76,172.27,3082544,0.0
2021-01-29,171.55,171.8,166.8,166.88,2460334,0.0
2021-02-01,167.12,168.19,162.14,163.37,3315657,0.0
2021-02-02,163.88,167.79,163.44,166.64,2642929,0.0
2021-02-03,166.26,170.22,166.11,169.88,2661990,0.0
2021-02-04,170.53,173.14,169.81,173.03,2257609,0.0
2021-02-05,174.68,175.2,173.19,175.03,1888810,0.0
2021-02-08,175.98,179.21,175.51,179.17,2360359,0.0
2021-02-09,178.83,179.46,177.38,177.82,2211283,0.0
2021-02-10,179,179,175.14,177.24,2356529,0.0
2021-02-11,176.99,177.6386,174.88,175.73,2235679,0.0
2021-02-12,175.77,177.67,175.41,177.2,1708416,0.0
2021-02-16,176.27,177.3,173.93,173.98,2238896,0.0
2021-02-17,173.85,177.47,173.4962,177.11,2079764,0.0
2021-02-18,175.96,178.05,175.345,177.23,2542011,0.0
2021-02-19,177.51,179.095,176.78,177.54,2375737,0.0
2021-02-22,176.22,176.485,172.22,172.41,3364159,0.0
2021-02-23,170.75,170.91,165,168.57,4836939,0.0
2021-02-24,168.66,169.61,160.11,162.285,9427987,0.0
2021-02-25,163.49,163.5,157.95,158.5,6134905,0.0
2021-02-26,160.34,162.42,159.13,159.86,4123415,0.0
2021-03-01,160.76,163.5,160.76,161.94,3023967,0.0
2021-03-02,162.43,164.79,162.4,163.05,2934513,0.0
2021-03-03,162.19,162.83,158.23,158.26,4376696,0.0
2021-03-04,157.17,158.28,150.84,153.73,7112177,0.0
2021-03-05,154.95,159.09,151.07,158.56,4528473,0.0
2021-03-08,159.74,165.3,159.29,162.92,4173630,0.0
2021-03-09,165.74,169.2199,165,165.99,3838170,0.0
2021-03-10,167,170.395,166.46,168.41,3055022,0.0
2021-03-11,170.82,173.13,170.3608,170.77,4365590,0.0
2021-03-12,170.08,171.83,169.23,171.55,3106966,0.0
2021-03-15,172.56,175.31,172.56,174.195,3122898,0.0
2021-03-16,174.02,176.52,173.97,175.33,2978702,0.0
2021-03-17,174.81,175.9199,173.88,174.48,2765960,0.0
2021-03-18,172.91,176.63,172.31,174.89,3199044,0.0
2021-03-19,174.24,180.55,174.24,179.35,4993784,0.0
2021-03-22,179.55,183.6,178.34,181.86,3761449,0.0
2021-03-23,181,183.8,179.94,180.45,2959202,0.0
2021-03-24,181.12,184.15,180.65,180.68,3192633,0.0
2021-03-25,179.68,186.17,179.5195,185.17,3940577,0.0
2021-03-26,185.84,191.85,185.34,191.615,3789640,0.0
2021-03-29,192,192.91,187.79,188.61,3199149,0.0
2021-03-30,186.97,191.02,186.7,189.77,2864654,0.0
2021-03-31,190.99,192.18,189.17,190.34,2690617,0.0
2021-04-01,190.56,191.88,189.69,191.26,2687972,0.0
2021-04-05,191.86,194.67,191.25,193.67,3118537,0.0
2021-04-06,192.89,194.97,192.49,194.2,2545504,0.0
2021-04-07,194.25,194.7499,192.68,193.61,2545346,0.0
2021-04-08,194.27,195.11,193.285,194.19,2121748,0.0
2021-04-09,195.4,198.67,194.3,198.53,2687097,0.0
2021-04-12,198.16,200.9772,198.16,200.58,3053281,0.0
2021-04-13,200.71,201.22,199.02,199.73,2462350,0.0
2021-04-14,201.05,204.18,200.72,201.71,2936262,0.0
2021-04-15,200.77,205.07,200.61,204.44,3169865,0.0
2021-04-16,205.8,208.9807,205.27,208.31,4210680,0.0
