Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,59.16,60.12,58.85,60.11,3844483,0.0
2020-12-07,59.87,59.9,58.545,58.95,3676666,0.0
2020-12-08,58.25,59.5,58.21,58.58,2373001,0.0
2020-12-09,58.73,58.9,57.36,57.99,2321445,0.0
2020-12-10,57.05,58.27,57.05,57.3,2733414,0.0
2020-12-11,57.35,57.8,56.31,56.75,2577288,0.0
2020-12-14,57.54,57.54,56.285,56.53,2909838,0.0
2020-12-15,57.27,58.17,56.26,57.88,3399142,0.0
2020-12-16,57.85,57.85,57.01,57.64,2342386,0.0
2020-12-17,58.34,58.41,56.76,57.34,3275314,0.0
2020-12-18,57.3,57.77,56.45,57.44,3748636,0.0
2020-12-21,55.68,57.45,55.215,56.87,3019515,0.0
2020-12-22,56.66,56.83,55.875,56.25,2051593,0.0
2020-12-23,56.29,57.7,56.29,57.16,1915033,0.0
2020-12-24,57.22,57.49,56.71,57.03,815063,0.0
2020-12-28,58.05,59.05,57.36,58.99,3742694,0.0
2020-12-29,59.35,59.63,58.07,58.11,2867775,0.0
2020-12-30,58.4,59.39,58.13,58.75,1947887,0.0
2020-12-31,58.86,59.8999,58.32,59.6,2686359,0.0
2021-01-04,59.8,60.29,57.32,57.97,3707528,0.0
2021-01-05,57.79,59.69,57.72,59.45,2493945,0.0
2021-01-06,59.05,60.25,57.98,58.51,3742711,0.0
2021-01-07,58.5,58.93,57.63,58.16,4066978,0.0
2021-01-08,58.28,59.79,57.01,57.93,6576694,0.0
2021-01-11,56.88,57,56.0611,56.43,3826775,0.0
2021-01-12,56.9,57.25,55.75,56.63,8359341,0.0
2021-01-13,56.33,56.55,54.08,55.27,15892714,0.0
2021-01-14,55.8,56.17,54.12,55.68,7454013,0.0
2021-01-15,55.37,55.73,53.33,53.48,9048764,0.0
2021-01-19,53.9,54.71,52.325,54.44,7659228,0.0
2021-01-20,54.62,55.36,54.09,54.43,5396506,0.0
2021-01-21,54.25,55.88,54.13,55.37,4665266,0.0
2021-01-22,54.49,54.75,53.52,54.16,4619338,0.0
2021-01-25,53.52,53.52,51.62,52.97,8368543,0.0
2021-01-26,52.98,53.59,52.39,52.42,6657619,0.0
2021-01-27,51.59,51.99,47.5,49.15,14565043,0.0
2021-01-28,49.18,50.65,47.81,49.09,14200177,0.0
2021-01-29,49.01,49.34,47.4425,48.11,10433607,0.0
2021-02-01,49,49.99,48.5,49.07,7822103,0.0
2021-02-02,49.75,52.69,49.42,52.16,9709655,0.0
2021-02-03,52.27,54.34,52.03,53.8,13097283,0.0
2021-02-04,54.07,54.3,52.36,52.94,5670639,0.0
2021-02-05,55.2,56.62,54.72,55.57,12737505,0.0
2021-02-08,55.45,55.58,54.0332,55.27,7162652,0.0
2021-02-09,55.25,55.25,54.11,54.41,4168758,0.0
2021-02-10,54.6,56.28,54.535,55.51,5578599,0.0
2021-02-11,55.45,55.82,54.55,55,3655221,0.0
2021-02-12,54.45,56.28,54.22,56.02,4444708,0.0
2021-02-16,56.66,57.6858,55.865,57.44,6637751,0.0
2021-02-17,57.13,59,56.65,57.99,5588473,0.0
2021-02-18,57.69,58.59,56.79,58.24,5574808,0.0
2021-02-19,58.46,60.58,58.41,60.19,7858024,0.0
2021-02-22,61.18,63.56,60.87,61.75,10896197,0.0
2021-02-23,64.25,64.94,60.86,64.35,14114350,0.0
2021-02-24,64.5,64.99,63.39,64.81,6983883,0.0
2021-02-25,64.73,65.15,62.1605,62.53,5976398,0.0
2021-02-26,62.51,63.5,61.53,62.61,4812067,0.0
2021-03-01,64.49,64.49,62.74,63.04,4016064,0.0
2021-03-02,63.09,65.1992,63.05,64.94,5238176,0.0
2021-03-03,66.29,66.765,64.64,65.82,9684532,0.0
2021-03-04,65.75,66.14,61.2,62.38,8602852,0.0
2021-03-05,62.76,63.18,59.1331,62.42,8917063,0.0
2021-03-08,63.02,64.39,62.27,63.26,4516110,0.0
2021-03-09,63.57,63.59,61.91,62.11,3822774,0.0
2021-03-10,62.19,62.84,61.52,62.03,3241442,0.0
2021-03-11,62.46,64.29,61.8801,63.17,4125674,0.0
2021-03-12,62.92,63.61,62.34,62.44,3684487,0.0
2021-03-15,64.1,66.225,63.8,66.2,6975062,0.0
2021-03-16,66.26,66.62,64.49,64.96,3659027,0.0
2021-03-17,64.35,66,64.35,65.93,2542404,0.0
2021-03-18,65.9,66.21,64.5751,64.79,2847400,0.0
2021-03-19,64.58,65.02,63.7,63.75,5114348,0.0
2021-03-22,63.58,63.87,62.53,62.87,2791696,0.0
2021-03-23,61.8,62.49,59.05,59.34,7444422,0.0
2021-03-24,59.72,61.18,59.11,59.16,4261860,0.0
2021-03-25,58.47,60.8,57.77,60.72,3936318,0.0
2021-03-26,61,61.17,59.35,60.99,3151469,0.0
2021-03-29,60.62,61.085,59.25,59.72,2865708,0.0
2021-03-30,59.95,61.72,59.782,61.18,3232144,0.0
2021-03-31,61.24,61.395,60.275,60.78,3252419,0.0
2021-04-01,61.29,62.23,60.91,61.86,3507631,0.0
2021-04-05,62.78,63.48,62.52,62.6,2763215,0.0
2021-04-06,62.82,64.33,62.65,63.6,3542509,0.0
2021-04-07,63.6,63.77,61.735,62.13,3147511,0.0
2021-04-08,62.26,62.76,61.76,62.6,2029004,0.0
2021-04-09,62.03,62.3042,61.28,61.94,2879283,0.0
2021-04-12,61.73,61.88,61.17,61.62,2304330,0.0
2021-04-13,60.7,61.41,59.7283,60.99,3496793,0.0
2021-04-14,61.04,62.12,60.835,61.31,3109536,0.0
2021-04-15,61.46,61.91,60.95,61.29,2222175,0.0
2021-04-16,61.7,62.17,60.815,61,3831906,0.0
2021-04-19,61.27,61.43,60.314,60.62,2624373,0.0
2021-04-20,60.35,60.35,58.15,59.04,5268107,0.0
2021-04-21,59.61,61.06,58.79,60.95,4326457,0.0
2021-04-22,58.44,60.06,57.75,58.32,11441049,0.0
2021-04-23,58.7,59.87,58.41,59.76,4956903,0.0
2021-04-26,60.21,60.7,59.14,59.3,2866291,0.0
2021-04-27,59.3,61.15,58.93,60.72,6027120,0.0
2021-04-28,60.88,61.91,60.34,61.72,3265850,0.0
2021-04-29,62.4,62.85,60.35,61.19,3988666,0.0
2021-04-30,61,61.33,60.135,61.27,3390198,0.0
2021-05-03,61.32,61.81,60.715,61.06,2774068,0.0
2021-05-04,60.6,60.84,58.655,59.34,3663361,0.0
2021-05-05,59.99,60.34,59.1,59.47,5251098,0.0
2021-05-06,59.08,59.13,56.5536,57.27,6889563,0.0
2021-05-07,57.43,58.37,57.25,57.69,3837777,0.0
2021-05-10,57.96,58.75,57.1,57.14,4945663,0.0
2021-05-11,56.94,57.1799,55.8,56.23,5629644,0.0
2021-05-12,55.99,56.82,54.85,54.95,4944461,0.0
2021-05-13,55.17,56.2498,54.65,55.75,9919554,0.0
2021-05-14,56.06,58.32,55.52,57.9,6874808,0.0
2021-05-17,56.93,57.2,55.5446,56.76,4524766,0.0
2021-05-18,57.09,58.045,56.68,56.71,3177220,0.0
2021-05-19,55.49,56.2,55.29,56.14,2880617,0.0
2021-05-20,56.47,57.82,56.15,57.76,5408596,0.0
2021-05-21,58.3,58.67,57.68,57.73,3554864,0.0
2021-05-24,57.94,58.14,57.15,57.74,4360784,0.0
