Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-26,63.69,63.69,61.77,62.53,1490720,0.0
2020-06-29,63.24,64.115,61.95,63.22,604879,0.0
2020-06-30,63.42,64.54,62.87,63.92,614640,0.0
2020-07-01,63.87,64.51,62.95,63.42,701954,0.0
2020-07-02,64.71,64.71,63.28,63.42,659831,0.0
2020-07-06,64.86,65,63.45,64.05,695652,0.0
2020-07-07,63.58,63.7,62.46,63.09,976532,0.0
2020-07-08,62.65,63.08,60.73,61.8,1130304,0.0
2020-07-09,61.28,61.36,58.98,59.97,1490188,0.0
2020-07-10,59.94,63.09,59.76,63.01,770561,0.0
2020-07-13,63.68,64.64,63.005,63.79,794196,0.0
2020-07-14,63.63,66.23,63.09,66.16,961529,0.0
2020-07-15,67.78,68.8,66.97,68.25,1115232,0.0
2020-07-16,67.84,68.36,66.69,67,960670,0.0
2020-07-17,67.26,67.43,66.08,66.39,909475,0.0
2020-07-20,66.23,66.535,64.76,64.97,727849,0.0
2020-07-21,65.29,67.26,65.29,65.93,819183,0.0
2020-07-22,65.76,68.28,65.345,68.17,654091,0.0
2020-07-23,67.94,69.44,67.94,68.72,351390,0.0
2020-07-24,68.38,68.83,67.42,67.79,897939,0.0
2020-07-27,67.86,71.03,67.62,70.49,1397007,0.0
2020-07-28,65.26,68.48,62.205,62.42,5911609,0.0
2020-07-29,62.22,62.88,59.61,59.82,5723436,0.0
2020-07-30,59.04,60.47,58.675,59.35,1805606,0.0
2020-07-31,59.87,60.08,58.82,60.08,1679054,0.0
2020-08-03,60.24,60.92,59.25,60.11,1350097,0.0
2020-08-04,60.21,62.115,60.21,61.74,1579903,0.0
2020-08-05,62.12,63.03,61.51,62.83,1597208,0.0
2020-08-06,61.9,63.7,61.7827,63.5,2279342,0.0
2020-08-07,63.12,63.46,62.54,62.85,1490130,0.0
2020-08-10,63.2,64.93,63,64.57,1070278,0.0
2020-08-11,65.41,65.49,63.885,64.23,1325949,0.0
2020-08-12,64.87,64.87,63.45,64.38,1404012,0.0
2020-08-13,64.03,65.59,63.72,64.69,518105,0.0
2020-08-14,64.21,64.95,63.43,64.65,409779,0.0
2020-08-17,64.92,65.15,63.32,63.42,1584220,0.0
2020-08-18,63.46,63.57,62.04,63.29,1906452,0.0
2020-08-19,63.4,64.74,63.02,64.07,1356346,0.0
2020-08-20,63.17,63.7,62.15,62.28,1182594,0.0
2020-08-21,62.39,62.56,61.3,61.49,1217644,0.0
2020-08-24,61.82,63.66,61.59,63.58,1523904,0.0
2020-08-25,63.97,63.97,62.18,62.94,844091,0.0
2020-08-26,62.46,62.77,61,61.46,1909656,0.0
2020-08-27,62.06,63.57,61.77,62.45,2147870,0.0
2020-08-28,62.62,64.345,61.86,64.22,1801162,0.0
2020-08-31,63.97,64.48,62.83,62.84,1336218,0.0
2020-09-01,62.55,62.79,61.12,61.35,1587302,0.0
2020-09-02,61.37,63.23,61.16,62.77,1652241,0.0
2020-09-03,63.26,65.2,62.64,63.28,1859146,0.0
2020-09-04,63.44,63.91,61.77,62.45,941758,0.0
2020-09-08,62.19,62.4,60.86,61.11,1270807,0.0
2020-09-09,61.78,62.6,60.65,61.42,1436311,0.0
2020-09-10,62.34,62.785,61.4,62,1696186,0.0
2020-09-11,62,63.62,61.72,63.35,1557804,0.0
2020-09-14,63.54,65.87,63.27,65.6,1322610,0.0
2020-09-15,65.65,67.33,65.47,67.33,1378862,0.0
2020-09-16,67.04,68.89,66.407,68.2,1059968,0.0
2020-09-17,67.39,70.24,66.22,70.11,1152043,0.0
2020-09-18,69.85,70.42,68.22,68.33,913956,0.0
2020-09-21,67.09,67.145,64.64,65.02,885010,0.0
2020-09-22,64.77,66.11,63.3,63.56,1156928,0.0
2020-09-23,64.53,65.15,63.085,63.49,743307,0.0
2020-09-24,63.71,64.54,62.13,62.67,553170,0.0
2020-09-25,62.61,65.23,62.33,64.87,652547,0.0
2020-09-28,65.74,67.81,65.74,66.82,571403,0.0
2020-09-29,66.45,67.07,65.08,65.3,1259696,0.0
2020-09-30,66.03,67.15,65.67,66.27,1312616,0.0
2020-10-01,66.84,67.33,66.02,66.69,1159706,0.0
2020-10-02,65.6,68.22,65.35,67.94,1077969,0.0
2020-10-05,68.35,69.93,68.21,69.54,1589830,0.0
2020-10-06,70,71.705,69.38,70.16,3019235,0.0
2020-10-07,72,74.25,71.22,72.22,4555940,0.0
2020-10-08,72.63,74.68,72.36,74.33,1809057,0.0
2020-10-09,74.56,75,72.66,73.21,1284878,0.0
2020-10-12,73.45,73.57,72.59,72.62,1033738,0.0
2020-10-13,71.95,72.17,71.48,71.92,1275483,0.0
2020-10-14,71.91,73.05,71.745,72.15,875647,0.0
2020-10-15,71.03,73.5,70.691,73.25,1002937,0.0
2020-10-16,73.28,73.68,72.14,72.72,1748503,0.0
2020-10-19,72.66,73.02,71.46,71.66,1300818,0.0
2020-10-20,72.34,73.109,71.48,71.89,1538317,0.0
2020-10-21,72.02,72.35,71.25,71.33,3471782,0.0
2020-10-22,71.73,72.92,71.03,72.88,2887438,0.0
2020-10-23,73.3,73.58,71.55,72.11,1060288,0.0
2020-10-26,71.06,71.21,67.23,67.77,2031309,0.0
2020-10-27,67.68,68.105,66.17,66.23,1042040,0.0
2020-10-28,64.45,65.1,63.21,63.38,1853606,0.0
2020-10-29,63.22,64.87,62.835,64.09,1760950,0.0
2020-10-30,64.09,64.435,62.62,63.44,989531,0.0
2020-11-02,64.52,65.99,64.12,65.66,1741247,0.0
2020-11-03,66.75,68.44,66.59,67.18,1167234,0.0
2020-11-04,67.7,68.905,67.09,67.18,2004230,0.0
2020-11-05,67.91,68.71,67.14,67.76,1276022,0.0
2020-11-06,67.78,68.305,65.89,66.39,1166414,0.0
2020-11-09,72.86,82.39,72.71,75.9,4145104,0.0
2020-11-10,76.46,76.92,75.24,76.46,1867567,0.0
2020-11-11,76.48,76.725,73.69,73.78,1675052,0.0
2020-11-12,73.1,73.1,70.79,71.42,1207616,0.0
2020-11-13,72,72.55,71.07,71.61,575505,0.0
2020-11-16,74.26,74.62,72.2,73.98,1121481,0.0
2020-11-17,73.44,74.77,73.07,74.5,1252416,0.0
2020-11-18,74.62,75.4835,73.23,73.24,1952762,0.0
2020-11-19,72.49,72.62,70.46,71.55,1778798,0.0
2020-11-20,71.21,71.385,69.31,69.66,2210519,0.0
2020-11-23,70.04,70.42,69.35,70.04,2313732,0.0
2020-11-24,71.53,73.38,71.01,72,2633945,0.0
2020-11-25,71.96,74.1249,71.11,73.27,1911194,0.0
2020-11-27,73.02,73.63,72.315,73.2,1220412,0.0
2020-11-30,73,73,71.755,72.31,1252538,0.0
2020-12-01,73.29,73.78,71.58,72.68,853972,0.0
2020-12-02,71.77,73.12,71.75,72.66,658397,0.0
2020-12-03,73,76.22,72.64,75.68,682166,0.0
2020-12-04,75.42,76.39,75.03,76.34,1081333,0.0
2020-12-07,78.5,79.7,76.28,76.6,636164,0.0
2020-12-08,75.79,77.95,75.69,77.5,466251,0.0
2020-12-09,77.8,78.5117,76.75,77.38,472846,0.0
2020-12-10,76.58,77.48,75.63,76.4,468355,0.0
2020-12-11,75.93,77.61,75.61,77.25,501886,0.0
2020-12-14,77.83,78.78,76.42,76.54,883542,0.0
2020-12-15,76.98,77.315,75.87,76.87,459951,0.0
2020-12-16,76.7,77,75.52,76.11,330759,0.0
2020-12-17,76.59,78.67,76.35,78.65,660356,0.0
2020-12-18,78.88,80,78.08,78.68,767420,0.0
2020-12-21,77.01,77.63,75.625,77.48,537749,0.0
2020-12-22,77.98,78.47,77.06,77.31,428601,0.0
2020-12-23,77.6,79.35,77.38,78.6,446964,0.0
2020-12-24,78.44,78.44,76.75,77.77,239034,0.0
2020-12-28,78.35,78.5,77.2,77.4,296986,0.0
2020-12-29,77.65,77.737,76.6,76.84,440387,0.0
2020-12-30,76.77,77.62,76.6,77.38,347636,0.0
2020-12-31,77.59,79.22,76.94,78.74,284224,0.0
2021-01-04,78.38,78.85,74.49,75.68,1018983,0.0
2021-01-05,75.83,76.085,74.72,75.45,774546,0.0
2021-01-06,76.29,78,75.75,76.55,1074325,0.0
2021-01-07,77.12,79.78,74.22,75.71,1303714,0.0
2021-01-08,75.3,77.15,73.61,76.84,850533,0.0
2021-01-11,76.1,76.75,75.05,76.02,819871,0.0
2021-01-12,75.63,76.24,74.36,75.07,2189427,0.0
2021-01-13,74.81,77.58,74.27,76.68,1489682,0.0
2021-01-14,77.17,79.45,76.87,78.13,772298,0.0
2021-01-15,77.73,79.09,76.93,78.52,824374,0.0
2021-01-19,79.22,79.38,77.01,77.09,765548,0.0
2021-01-20,76.95,77.97,76.45,77.38,585723,0.0
2021-01-21,77.33,77.44,76.135,77.06,443779,0.0
2021-01-22,77.08,78.59,76.68,78.15,593113,0.0
2021-01-25,77.55,78.53,76.14,78.02,716351,0.0
2021-01-26,78.61,78.78,76.78,76.95,720523,0.0
2021-01-27,75.64,75.995,72.615,73.54,1204252,0.0
2021-01-28,74.34,77.41,73.875,76.92,793075,0.0
2021-01-29,76.29,76.33,73.32,74.645,694307,0.0
2021-02-01,75.16,75.87,74.086,75.61,643270,0.0
2021-02-02,76.5,78.27,76.11,77.83,403268,0.0
2021-02-03,77.17,79.48,77.17,78.54,447553,0.0
2021-02-04,78.79,79.79,78.26,79.2,349640,0.0
2021-02-05,80,81.17,79.08,79.5,274779,0.0
2021-02-08,79.53,80.16,78.34,79.72,413478,0.0
2021-02-09,79.8,79.8,78.52,78.75,525618,0.0
2021-02-10,79.49,79.62,76.74,77.09,518448,0.0
2021-02-11,76.67,77.3,76.24,77.28,353301,0.0
