Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,54.58,54.99,54.0,54.93,1157934,10588,54.74111
2021-01-04,53.98,54.66,53.2,53.68,3107319,28303,53.752448
2021-01-05,53.19,53.69,52.65,52.89,2224331,25167,52.994646
2021-01-06,52.86,55.75,52.525,55.2,5647048,47477,54.417162
2021-01-07,55.22,55.71,54.3,55.04,1873225,20336,54.921143
2021-01-08,55.18,55.54,53.78,54.16,1743226,20074,54.352069
2021-01-11,53.89,56.07,53.84,55.85,3093796,24313,55.60497
2021-01-12,55.85,56.78,55.48,56.52,1577905,17692,56.38252
2021-01-13,56.55,57.25,56.06,56.06,1747228,17167,56.429847
2021-01-14,56.3,57.28,55.77,56.61,2042915,20622,56.625744
2021-01-15,55.86,56.26,54.96,56.09,2152331,20017,55.868589
2021-01-19,56.6,57.23,56.34,56.4,1680753,16779,56.572943
2021-01-20,56.65,58.555,56.4,58.43,2264625,23900,58.019999
2021-01-21,58.62,59.15,57.87,58.02,1960021,20946,58.287647
2021-01-22,57.87,58.19,57.16,57.52,1713142,18521,57.632147
2021-01-25,57.78,58.3,57.05,57.62,2110445,22003,57.543682
2021-01-26,57.32,57.69,55.265,55.28,2317486,23794,55.914875
2021-01-27,54.56,54.82,53.25,54.36,2282197,29237,54.23154
2021-01-28,54.9,56.0,54.51,55.02,2721204,26860,55.177032
2021-01-29,54.48,54.905,53.66,54.31,2291778,20034,54.349467
2021-02-01,54.86,55.43,54.08,55.08,1696373,20977,54.956281
2021-02-02,55.46,55.99,55.14,55.37,1464828,15189,55.561642
2021-02-03,55.32,55.98,55.01,55.48,1232409,14536,55.537118
2021-02-04,55.49,56.42,55.21,55.92,1487686,17060,55.982758
2021-02-05,56.21,56.79,55.83,56.42,1546686,16845,56.439804
2021-02-08,56.99,57.83,56.94,57.33,1911600,18824,57.404601
2021-02-09,55.72,57.13,55.02,56.29,3083713,28793,56.267302
2021-02-10,55.72,55.87,54.07,55.28,3546082,30415,55.139052
2021-02-11,55.66,55.98,54.31,55.01,2320129,21356,54.948492
2021-02-12,54.8,55.72,54.495,54.95,1917341,19789,54.944729
2021-02-16,54.91,55.1,53.15,53.48,2144667,23079,53.580473
2021-02-17,53.28,54.345,53.03,54.22,2186953,24561,53.835491
2021-02-18,54.26,54.66,53.8,53.95,1218780,14920,54.091242
2021-02-19,54.08,54.94,54.08,54.6,2501292,22375,54.597925
2021-02-22,54.62,54.82,53.85,54.36,1504318,16856,54.344745
2021-02-23,54.13,54.22,52.8,53.73,2416590,23360,53.292935
2021-02-24,53.7,54.4,53.2,53.81,1905050,21030,53.938249
2021-02-25,53.67,54.21,52.69,52.93,1709337,19698,53.397162
2021-02-26,53.2,54.06,52.95,53.22,2145559,19301,53.40921
2021-03-01,53.8,55.18,53.72,54.48,1675843,17369,54.596759
2021-03-02,54.48,54.66,53.5,53.99,1845078,18963,54.034864
2021-03-03,53.7,54.085,53.02,53.22,1822917,19815,53.562918
2021-03-04,53.12,54.37,51.97,52.84,2933957,30503,53.063022
2021-03-05,53.27,54.39,52.41,54.29,2063365,21707,53.709116
2021-03-08,54.31,55.73,54.03,54.85,1691664,20707,55.077954
2021-03-09,55.33,55.74,55.05,55.36,2121663,21365,55.413477
2021-03-10,55.85,57.28,55.48,56.83,2554511,25076,56.708038
2021-03-11,56.83,57.48,56.61,57.05,1384571,16884,57.129836
2021-03-12,56.79,57.085,56.39,56.84,1628727,20436,56.745879
2021-03-15,56.87,57.55,56.395,57.48,3087756,26695,57.072869
2021-03-16,57.49,57.8931,56.7,56.94,2022866,17835,57.063856
2021-03-17,56.85,57.45,56.18,57.02,1731375,18982,56.92813
2021-03-18,56.75,57.51,56.62,57.1,1566057,18263,57.08715
2021-03-19,57.18,57.8012,56.68,57.32,3308387,17604,57.345124
2021-03-22,57.27,57.9,56.73,57.79,1706734,14775,57.492983
2021-03-23,57.72,58.47,56.53,56.88,1684656,18505,57.248244
2021-03-24,57.11,58.1,57.085,57.3,1320270,16620,57.591761
2021-03-25,57.54,58.3,56.58,58.03,1498411,18732,57.739892
2021-03-26,58.31,60.12,58.205,60.05,1728475,18973,59.632001
2021-03-29,60.14,60.82,59.67,60.13,1735552,18133,60.166988
2021-03-30,60.0,60.44,59.79,60.01,1921539,17801,60.000541
2021-03-31,60.45,60.76,59.57,59.9,1707249,17716,60.03162
2021-04-01,60.0,61.01,59.62,60.99,1875401,18870,60.565559
2021-04-05,61.47,61.97,61.3,61.8,1223168,12519,61.709529
2021-04-06,62.59,62.8584,61.75,62.43,2579940,29040,62.400961
2021-04-07,62.24,62.24,60.75,61.1,2356890,24885,61.162957
2021-04-08,61.06,61.6,61.0,61.52,2096416,20024,61.378107
2021-04-09,61.69,63.04,61.54,62.98,1297618,14568,62.666588
2021-04-12,62.89,63.3402,62.815,63.19,1527671,14050,63.134151
2021-04-13,63.1,63.195,62.26,62.79,1505027,13246,62.835107
2021-04-14,62.82,62.86,62.09,62.48,1380437,16961,62.506186
2021-04-15,62.51,63.31,62.185,63.21,1809169,18292,62.932906
2021-04-16,63.82,65.29,63.53,64.59,2979581,27636,64.611946
2021-04-19,64.58,64.83,63.97,64.55,1384087,13083,64.393647
