Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,136.63,138.19,135.63,138.11,797060,14529,137.657808
2021-01-04,138.95,142.26,136.4201,137.18,2148511,31598,138.315463
2021-01-05,137.55,140.34,137.29,140.19,1919792,22350,139.471994
2021-01-06,141.82,146.9,140.2,142.88,2908653,39840,143.497505
2021-01-07,144.73,149.36,144.63,148.7,3330380,33565,147.345886
2021-01-08,151.67,152.85,146.36,147.4,2612774,35570,148.386537
2021-01-11,145.04,148.48,144.67,147.81,2871196,32532,147.191161
2021-01-12,147.28,150.41,145.44,149.32,2998258,36867,149.024931
2021-01-13,149.79,151.56,148.77,150.7,1383336,22649,150.637065
2021-01-14,151.63,154.27,151.385,153.28,1535100,25536,153.36059
2021-01-15,152.34,152.6,148.37,148.56,1560697,23487,149.56188
2021-01-19,150.41,153.76,149.65,153.25,1245543,21539,152.144318
2021-01-20,154.81,155.36,152.0,152.38,1314103,19471,152.928995
2021-01-21,153.01,153.6,150.56,152.32,1125489,18476,151.971364
2021-01-22,151.3,152.17,149.83,150.13,984094,17179,150.412769
2021-01-25,150.77,151.68,146.83,149.18,1382899,23078,149.056325
2021-01-26,149.05,149.18,144.54,144.98,1700533,23463,145.668501
2021-01-27,139.45,139.63,132.54,133.04,3537673,46902,135.078322
2021-01-28,136.76,140.415,135.02,138.65,3000232,36557,138.450774
2021-01-29,137.32,138.6,134.39,136.11,1737627,26196,136.288869
2021-02-01,139.7,142.72,137.62,142.25,1982966,28300,140.99611
2021-02-02,145.23,146.88,141.9,143.92,1589572,24934,143.656272
2021-02-03,142.82,144.47,139.62,139.87,2480402,30781,140.519524
2021-02-04,140.31,145.84,138.63,143.74,4163882,49080,143.147346
2021-02-05,146.5,147.0,140.25,145.44,2979970,38852,144.34183
2021-02-08,146.84,152.69,146.34,152.47,2492279,34904,150.543432
2021-02-09,151.8,153.69,150.67,152.05,2709616,26798,152.400842
2021-02-10,152.44,154.52,149.44,151.64,1881900,22540,151.580631
2021-02-11,153.17,157.78,151.64,157.63,1914686,26845,156.418626
2021-02-12,156.57,159.9,155.8,159.55,1694734,21312,159.208304
2021-02-16,161.19,162.8746,159.8358,162.24,2176880,27739,161.663768
2021-02-17,166.5,166.67,160.99,163.05,4591748,66128,163.222019
2021-02-18,160.05,160.93,154.92,156.54,2696114,38908,156.851483
2021-02-19,159.54,162.9,158.1,162.35,1800950,28698,161.522698
2021-02-22,159.2,161.07,154.52,155.19,1976528,28902,157.027124
2021-02-23,153.0,156.15,147.2,154.93,2354958,41890,152.647554
2021-02-24,152.55,157.75,151.835,157.25,2748130,38593,155.74731
2021-02-25,155.58,156.43,146.73,147.72,2473184,35127,149.759742
2021-02-26,150.24,154.71,146.43,152.63,3110113,37340,152.041582
2021-03-01,154.99,158.36,153.64,158.1,2020735,28110,156.990361
2021-03-02,156.05,157.57,151.88,152.09,1659228,28758,153.586617
2021-03-03,151.46,154.04,147.63,148.37,2821676,42470,150.121984
2021-03-04,147.6,149.21,138.7,140.09,2549097,43609,142.160616
2021-03-05,144.04,145.96,135.5244,145.44,3321918,53460,142.481348
2021-03-08,144.34,146.44,136.5,136.75,2285239,40579,139.715053
2021-03-09,142.03,146.68,141.07,145.46,2450126,37796,145.030687
2021-03-10,148.38,148.395,141.27,141.32,1965051,30162,143.063257
2021-03-11,145.85,149.45,145.0,148.21,2758458,29706,148.008199
2021-03-12,144.91,147.82,143.73,147.45,1517310,22385,146.413848
2021-03-15,146.37,149.91,146.05,149.56,1639746,25736,148.270453
2021-03-16,150.7,153.52,148.6,149.9,2188231,37148,151.005941
2021-03-17,147.62,154.32,146.68,153.82,1791592,31331,152.200276
2021-03-18,149.6,151.59,145.26,145.49,2060507,34209,147.17799
2021-03-19,146.0,152.29,143.25,150.06,5234020,36474,149.646568
2021-03-22,152.76,156.57,152.64,154.86,2408284,36818,154.819841
2021-03-23,158.24,158.24,148.43,149.98,2466761,34115,151.223694
2021-03-24,152.65,153.08,146.69,146.76,1754725,30351,149.268293
2021-03-25,144.42,148.2,142.31,147.16,1729697,35804,145.535957
2021-03-26,146.71,155.71,146.27,155.42,2171506,35654,152.698248
2021-03-29,153.05,154.27,148.81,150.85,1712656,31563,151.121417
2021-03-30,150.12,151.28,148.6745,150.11,1397112,25756,150.082344
2021-03-31,152.2,156.22,151.64,155.22,2051678,31014,154.758272
2021-04-01,157.5,160.38,156.8,160.17,2067809,33945,159.150276
2021-04-05,163.24,164.48,160.91,163.82,2095263,32973,163.250716
2021-04-06,162.5,164.28,160.08,160.74,1420906,28184,161.459545
2021-04-07,161.2,161.95,158.86,159.71,1117992,23658,160.238247
2021-04-08,161.31,161.9,158.73,161.79,1458987,23738,160.778929
2021-04-09,160.73,162.51,159.9336,161.73,1322901,20526,161.466049
2021-04-12,159.96,160.73,157.04,158.83,1181434,25248,158.680733
2021-04-13,159.7,160.56,154.29,157.33,1307229,25477,156.308055
2021-04-14,156.51,159.48,155.4,156.32,1065568,22534,157.001642
2021-04-15,158.79,160.82,157.16,160.52,1097316,25027,159.676364
2021-04-16,160.1574,160.59,158.11,158.27,850033,18235,158.955962
2021-04-19,157.9,158.06,152.7,154.02,1180769,25759,154.099568
2021-04-20,152.75,153.49,148.6851,149.61,1319820,25584,150.144024
2021-04-21,149.38,154.94,147.9012,154.65,1878127,28748,152.787484
2021-04-22,154.3,155.15,150.47,151.37,1649535,26641,152.174801
2021-04-23,152.97,157.22,152.76,156.38,2334463,26437,156.120156
2021-04-26,156.18,159.96,155.72,159.16,1915337,19808,159.029977
2021-04-27,159.4,161.415,157.3,157.49,1836364,23431,158.233391
2021-04-28,156.68,156.68,154.02,154.62,1475386,24577,154.940508
2021-04-29,156.08,156.67,153.57,155.91,995210,21780,155.360403
2021-04-30,153.46,154.88,149.56,150.29,1996733,27565,151.150947
2021-05-03,152.45,152.82,147.321,148.13,1608863,26287,148.861551
2021-05-04,146.59,146.74,143.21,144.88,2865099,38962,145.017338
2021-05-05,147.1,149.2707,144.21,145.64,2072249,33182,146.869798
2021-05-06,145.38,146.75,143.32,146.25,2264303,37854,145.098848
2021-05-07,152.0,152.4172,148.08,149.75,2440625,42447,149.696328
2021-05-10,148.72,149.12,143.2,143.31,2192160,36638,144.941663
2021-05-11,140.21,145.85,138.62,145.51,2182064,37098,143.901839
2021-05-12,141.95,143.08,138.54,139.14,2511489,41565,139.861749
2021-05-13,141.12,143.93,139.71,142.12,1583962,32672,141.66532
2021-05-14,144.2,147.06,142.39,145.48,1524506,27452,145.1581
2021-05-17,143.7,144.52,140.8,143.52,1112933,24408,142.717408
2021-05-18,142.54,145.7399,142.28,142.43,1375710,25945,143.51772
2021-05-19,139.85,147.56,139.36,146.99,2004028,36792,145.310553
2021-05-20,147.55,151.95,147.55,151.15,1953047,33860,150.747626
2021-05-21,151.33,151.88,148.59,149.81,1692656,29466,150.029774
2021-05-24,151.15,154.87,151.15,154.1,1408098,24967,153.85605
2021-05-25,155.49,156.126,152.41,154.75,1343079,25480,154.411563
2021-05-26,154.76,156.25,153.38,155.54,1891323,23560,155.203877
2021-05-27,155.25,157.31,154.44,155.75,1676855,27728,155.957377
2021-05-28,156.23,157.65,155.32,156.95,1161913,23878,156.838574
2021-06-01,158.0,159.68,155.21,155.32,1316683,25422,156.308447
2021-06-02,154.54,156.37,153.68,155.49,1438751,25089,155.277157
2021-06-03,153.01,153.72,150.765,151.71,1863102,31765,152.148993
2021-06-04,153.37,155.61,152.6849,155.38,1434212,27776,154.971085
2021-06-07,154.5,155.39,153.03,153.57,1084865,24790,153.718049
2021-06-08,155.5,156.05,151.21,152.61,881719,21332,152.764406
2021-06-09,153.28,153.97,151.47,151.81,1020353,17866,152.142368
2021-06-10,152.43,154.54,151.42,153.44,1179396,23375,153.125799
2021-06-11,154.17,154.21,152.65,154.09,711280,16853,153.657431
2021-06-14,154.52,155.89,152.26,155.76,1449734,28707,154.737411
2021-06-15,155.48,156.47,153.46,153.95,1132512,23135,154.353859
2021-06-16,154.64,155.74,150.75,152.39,1618421,33862,153.217032
2021-06-17,151.38,152.85,148.46,150.23,2246754,37126,150.878756
2021-06-18,148.62,149.32,144.07,145.62,3859364,41659,145.879731
2021-06-21,146.61,148.27,145.435,147.75,1680547,28980,147.565825
2021-06-22,147.7,147.72,145.72,145.88,2310083,29554,146.285295
2021-06-23,145.81,147.64,145.47,146.46,939185,19905,146.775841
2021-06-24,147.85,149.92,147.35,149.12,1982435,24832,149.049559
2021-06-25,149.83,151.25,147.99,148.77,2244238,27842,149.211791
2021-06-28,150.08,153.35,149.78,152.32,1877757,26167,152.243929
2021-06-29,152.02,153.2,150.71,152.82,1086203,24911,152.268786
2021-06-30,152.59,152.735,148.99,149.74,2065607,30570,150.312932
2021-07-01,149.85,150.88,147.47,147.7,1483810,28547,148.291345
2021-07-02,148.86,149.05,146.7401,148.25,1500115,25366,147.921257
2021-07-06,147.55,148.03,143.6,146.13,2005197,28074,145.768699
2021-07-07,147.38,147.47,141.9,143.51,1858474,29779,143.688477
2021-07-08,141.01,142.225,138.31,141.02,1737907,35181,140.743148
2021-07-09,141.68,144.5,140.3,144.02,1637682,28349,143.670676
2021-07-12,144.05,146.27,143.37,146.19,1402962,24346,145.299507
2021-07-13,145.15,145.8,143.78,143.93,1427517,25163,144.555625
2021-07-14,145.11,146.78,143.25,143.54,2014229,28519,144.35214
2021-07-15,141.34,141.71,135.98,137.45,2873063,44211,138.108119
2021-07-16,138.1,139.2,133.47,133.76,1811041,34042,135.177531
2021-07-19,131.69,132.0,129.06,131.98,4261433,58575,130.916407
2021-07-20,132.34,138.31,131.83,137.03,3205465,48615,135.9103
