Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,31.19,31.87,30.72,31.51,15717620,42210,31.513248
2021-01-04,31.69,32.38,29.58,29.7,23558573,116133,30.132187
2021-01-05,29.52,30.48,29.41,30.36,10127334,74366,30.094734
2021-01-06,31.0,31.74,30.525,31.18,12357627,78217,31.100853
2021-01-07,31.31,31.41,30.27,30.6,9925169,58029,30.770843
2021-01-08,30.7,31.855,30.39,31.36,15359813,89282,31.204797
2021-01-11,30.66,31.12,30.41,30.79,8426406,57739,30.795193
2021-01-12,30.89,30.95,30.16,30.29,8129859,53757,30.408402
2021-01-13,30.18,30.22,29.47,30.04,6504153,48168,29.827325
2021-01-14,30.06,30.47,29.72,30.28,6496552,48278,30.121693
2021-01-15,30.09,30.185,29.34,29.8,8736485,55270,29.805987
2021-01-19,30.65,31.25,30.48,30.53,11015328,70691,30.770311
2021-01-20,30.63,31.27,30.52,31.06,7528567,48999,30.955935
2021-01-21,31.0,31.68,30.83,31.53,6958845,46399,31.427862
2021-01-22,31.0,31.8,30.75,31.39,8525949,54999,31.417165
2021-01-25,31.18,31.24,29.73,29.98,15248142,95134,30.221583
2021-01-26,30.16,30.31,29.54,29.59,8887953,61936,29.776148
2021-01-27,28.96,29.13,27.8138,28.36,10023434,82556,28.576425
2021-01-28,29.04,29.91,28.7916,29.56,7619741,70360,29.508593
2021-01-29,29.38,29.54,28.44,28.56,7835573,68546,28.80651
2021-02-01,28.88,29.4,28.78,29.27,6642825,47077,29.213909
2021-02-02,29.87,31.1398,29.76,30.64,10453049,64598,30.722053
2021-02-03,30.83,31.129,30.55,30.89,5718800,40630,30.914869
2021-02-04,31.16,32.54,31.1,32.48,8759827,62792,32.070007
2021-02-05,33.0,34.66,32.945,34.25,11557894,81438,34.227926
2021-02-08,34.93,35.7,34.51,35.6,9361466,65627,35.193015
2021-02-09,35.35,36.195,34.88,35.82,8988450,57383,35.722001
2021-02-10,36.04,36.7,35.58,36.47,13842859,91465,36.293827
2021-02-11,35.68,36.35,34.69,35.3,10213949,67318,35.292695
2021-02-12,35.41,35.99,34.8201,35.93,6933125,52788,35.607257
2021-02-16,35.7,36.04,34.97,34.99,12121745,67754,35.45361
2021-02-17,35.0,36.0,34.3076,34.96,10592527,70078,35.083349
2021-02-18,34.55,35.44,34.11,35.04,7616183,52984,34.836265
2021-02-19,35.25,36.51,35.11,36.42,8713439,58688,36.062433
2021-02-22,36.54,38.8,36.47,37.52,12294879,85544,37.878766
2021-02-23,38.5,39.91,37.3,39.59,15120092,120454,38.916912
2021-02-24,39.0,39.24,38.39,38.63,15574118,108144,38.881836
2021-02-25,38.84,38.95,36.445,36.7,13529162,111538,37.247698
2021-02-26,37.67,38.47,36.77,37.79,14262615,97517,37.799495
2021-03-01,38.52,38.6597,37.29,38.3,7466934,60529,38.144418
2021-03-02,37.69,38.9,37.65,38.54,9428415,75821,38.521284
2021-03-03,39.03,39.64,38.34,38.83,8278518,68045,39.091138
2021-03-04,38.9,39.3,35.85,37.29,12387077,111316,37.379898
2021-03-05,37.47,37.55,34.14,37.14,10842675,100586,36.055246
2021-03-08,37.57,38.64,36.78,37.85,10148611,80915,38.037667
2021-03-09,38.43,38.43,37.295,37.48,6687314,54994,37.631359
2021-03-10,37.57,38.09,37.08,37.62,6444203,56186,37.555457
2021-03-11,37.83,40.4864,37.69,39.19,14136508,91901,39.349351
2021-03-12,38.91,39.65,38.63,38.98,8074732,62684,39.093338
2021-03-15,40.98,42.04,40.35,40.96,13908263,101899,41.027336
2021-03-16,40.82,40.92,39.445,39.91,8766915,69048,39.962105
2021-03-17,39.63,41.36,39.63,41.23,8566285,60046,40.733322
2021-03-18,40.99,41.29,39.5,39.51,9267402,69673,40.307126
2021-03-19,39.45,40.45,38.81,40.03,8932779,60182,39.975037
2021-03-22,40.09,40.1,38.76,39.03,7273474,63485,39.189584
2021-03-23,38.55,38.98,37.0911,37.34,9826794,84319,37.633668
2021-03-24,37.98,38.6,36.8,36.9,9598577,87156,37.662454
2021-03-25,35.94,38.03,35.57,37.96,9601522,88132,37.027687
2021-03-26,38.18,38.24,36.52,37.68,7816949,74726,37.347948
2021-03-29,37.55,37.69,36.65,37.16,7809718,71545,37.298855
2021-03-30,37.2,38.38,37.17,38.21,5668536,45876,37.966793
2021-03-31,38.18,38.45,37.815,37.99,7029878,55355,38.115498
2021-04-01,38.25,39.86,37.98,39.7,8821941,67945,39.17029
2021-04-05,41.1,42.629,41.0,41.7,13873029,96373,41.821137
2021-04-06,41.85,42.74,41.42,41.52,10306885,74611,41.938636
2021-04-07,41.45,41.61,40.73,41.09,6745699,52392,41.179486
2021-04-08,41.03,42.24,40.51,42.14,8158662,67821,41.610008
2021-04-09,42.0,42.1099,41.14,41.77,4862441,43572,41.606879
2021-04-12,41.58,41.6,40.67,41.16,5146854,45383,41.009236
2021-04-13,40.59,41.34,39.8437,40.99,8568808,54621,40.800688
2021-04-14,41.19,42.015,41.0,41.26,5809659,48567,41.46816
2021-04-15,41.5,41.5,39.69,39.69,6883125,62631,40.245075
2021-04-16,40.01,40.32,39.8,40.26,9035490,51377,40.169726
2021-04-19,40.17,40.27,39.57,39.75,5129116,44690,39.871245
2021-04-20,39.33,39.65,38.0,39.55,10259169,83422,38.9404
2021-04-21,39.28,41.26,38.67,41.2,10850720,73366,40.587419
2021-04-22,40.94,42.1,40.37,40.75,8833722,68646,41.282985
2021-04-23,41.05,41.5499,40.84,41.51,4289519,35681,41.304072
2021-04-26,41.76,42.3,41.385,41.47,4839362,42228,41.609723
2021-04-27,41.56,42.4455,41.3,42.2,6969731,53594,42.156922
2021-04-28,42.38,42.56,41.37,42.02,8135027,60549,41.977017
2021-04-29,42.7,42.74,39.99,40.42,9659359,82118,40.82618
2021-04-30,40.1,40.98,39.92,40.72,6012001,51575,40.496184
2021-05-03,40.92,41.55,40.68,41.26,4629718,42060,41.171803
2021-05-04,41.0,41.05,39.53,40.51,5872640,50666,40.213754
2021-05-05,41.15,42.225,40.931,41.75,7112423,53692,41.675361
2021-05-06,41.01,41.34,38.89,38.91,12148745,92025,39.470153
2021-05-07,39.25,40.24,39.14,39.92,7340223,60540,39.964504
2021-05-10,39.93,40.11,39.13,39.42,6935219,54017,39.629976
2021-05-11,38.5,39.36,38.05,38.76,6840469,59256,38.819421
2021-05-12,38.5,38.905,36.99,37.14,8616353,64671,37.656357
2021-05-13,37.4,38.13,36.66,37.47,7678165,70099,37.444833
2021-05-14,37.77,39.18,37.71,39.11,6543623,51339,38.786324
2021-05-17,38.7,38.82,37.815,38.75,7678788,52456,38.55022
2021-05-18,39.72,40.83,39.45,39.48,15354391,111376,40.123335
2021-05-19,38.25,39.47,38.25,39.28,9087874,68489,38.817277
2021-05-20,39.38,39.965,38.7,39.91,7512664,54473,39.337705
2021-05-21,40.16,40.63,39.64,39.7,6244642,48209,39.959787
2021-05-24,40.0,42.12,39.75,41.74,10773978,76590,41.527832
2021-05-25,42.13,43.25,41.79,42.21,10601928,78457,42.462187
2021-05-26,42.33,43.111,42.2,42.86,9286287,72187,42.746595
2021-05-27,42.81,43.9,42.25,43.79,11986435,65741,43.245206
2021-05-28,43.65,43.65,42.58,42.87,6299283,51037,42.994766
2021-06-01,43.24,43.56,43.13,43.39,6748268,53065,43.414825
2021-06-02,43.55,43.62,43.05,43.23,5023404,38933,43.262543
2021-06-03,43.03,43.13,42.275,42.55,4177589,38899,42.543695
2021-06-04,43.02,43.23,42.36,42.77,3639152,35781,42.765985
2021-06-07,42.5,43.48,42.49,43.41,5211320,43045,43.103933
2021-06-08,43.0,44.395,42.96,44.16,7660471,57197,43.898122
2021-06-09,44.0,44.1,43.265,43.54,5275828,39389,43.752403
2021-06-10,43.63,43.89,42.51,42.67,5685366,43263,42.952688
2021-06-11,42.7,43.22,42.51,43.21,4240934,33827,42.969353
