Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,563.41,572.11,558.83,570.56,215086,6462,565.362202
2021-01-04,575.39,583.805,559.07,562.78,281025,9180,566.554863
2021-01-05,562.84,565.15,545.3,554.25,232268,8753,552.540366
2021-01-06,545.67,553.88,535.93,545.08,370035,12801,545.631695
2021-01-07,543.74,557.99,540.46,549.21,250048,8063,548.598711
2021-01-08,549.86,560.58,546.75,552.09,174749,7541,551.704411
2021-01-11,548.77,549.81,541.4,543.72,166570,6643,545.416415
2021-01-12,540.6,545.59,524.77,528.68,385180,11834,530.872755
2021-01-13,528.18,537.9275,520.96,536.32,244105,8883,532.949483
2021-01-14,536.1,536.1,510.42,512.08,270464,9401,517.85008
2021-01-15,512.53,529.815,510.01,523.0,422804,11125,523.266708
2021-01-19,533.51,533.51,509.18,515.89,419674,10135,515.742747
2021-01-20,515.96,518.5,507.99,517.37,287409,9001,515.678178
2021-01-21,519.34,519.34,509.11,514.13,220487,8195,514.198858
2021-01-22,516.98,519.47,509.03,509.7,323469,9237,511.377465
2021-01-25,510.55,516.14,502.18,509.35,286766,8974,509.760698
2021-01-26,509.9,513.0,503.25,509.81,352097,10453,509.587194
2021-01-27,509.56,537.92,501.0,534.43,702927,18308,526.009057
2021-01-28,530.0,545.975,530.0,536.55,422523,12602,538.475346
2021-01-29,532.72,542.69,527.335,540.76,306780,11158,537.7837
2021-02-01,549.55,575.38,544.965,568.73,368512,12552,566.962649
2021-02-02,568.0,589.25,568.0,580.11,292497,9848,580.552259
2021-02-03,580.57,587.89,562.21,563.81,265427,9029,568.494837
2021-02-04,563.99,572.84,558.8,566.2,173752,6610,564.626527
2021-02-05,570.95,574.99,564.89,571.66,176677,6184,570.46805
2021-02-08,572.32,576.13,563.33,569.72,175754,6680,568.682073
2021-02-09,567.07,572.1843,552.05,557.76,201888,7809,557.612167
2021-02-10,561.35,561.35,549.93,553.99,172085,6863,553.655799
2021-02-11,557.97,560.6,541.35,545.72,197737,8359,547.197971
2021-02-12,547.52,553.44,544.46,552.55,163991,7014,549.747346
2021-02-16,556.58,556.58,532.21,537.52,271146,9107,539.388702
2021-02-17,531.54,541.89,527.53,535.71,244552,8902,532.627188
2021-02-18,532.75,543.83,531.33,543.69,167885,6930,540.268676
2021-02-19,548.41,557.99,545.73,550.21,243748,6243,550.639677
2021-02-22,547.13,547.13,529.235,541.07,241016,8023,539.099659
2021-02-23,537.86,552.91,530.09,549.14,403558,13619,543.921674
2021-02-24,544.14,548.725,536.0,545.46,225857,8389,543.928643
2021-02-25,545.72,557.06,544.09,551.77,224089,9047,552.229412
2021-02-26,551.67,561.21,543.125,555.94,282797,10543,555.130304
