Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-09,208.53,209.75,202.51,206.71,446412,0.0
2020-07-10,207.08,211.19,205.93,210.19,323292,0.0
2020-07-13,212.06,216.64,209.97,210.45,428369,0.0
2020-07-14,210.61,215.08,208.3,214.91,327698,0.0
2020-07-15,218.97,223.66,218.66,221.85,522657,0.0
2020-07-16,221.1,223.945,219.467,223.12,286977,0.0
2020-07-17,225.3,226.37,222.415,223.54,348997,0.0
2020-07-20,222.51,223.31,219.31,221.55,376105,0.0
2020-07-21,221.92,227.18,221.92,225.74,303988,0.0
2020-07-22,225.64,228.09,223.68,224.33,593079,0.0
2020-07-23,223.74,227.39,222.41,223.47,323025,0.0
2020-07-24,223.99,225.35,219.89,223.8,506148,0.0
2020-07-27,222.68,228.37,221.98,228.18,703770,0.0
2020-07-28,225.88,230,211.27,212.41,1959336,0.0
2020-07-29,214.03,215.785,209.585,214.18,1224318,0.0
2020-07-30,212.79,213.4565,207.68,209.23,1193079,0.0
2020-07-31,208.43,209.15,201.71,207.14,921564,0.0
2020-08-03,208.94,209.32,204.3,208.12,638208,0.0
2020-08-04,208.37,212.73,207.33,212.25,736550,0.0
2020-08-05,213.82,219.95,212.8,216.83,951814,0.0
2020-08-06,212.13,217.36,212.13,213.09,754044,0.0
2020-08-07,213.38,220.52,212.74,219.99,644016,0.0
2020-08-10,221.31,224.48,220.4397,223.41,594408,0.0
2020-08-11,228.52,230.425,224.74,225.41,950290,0.0
2020-08-12,226.45,226.9106,220.075,221.12,1082750,0.0
2020-08-13,219.44,222.32,218.03,219.47,585281,0.0
2020-08-14,218.71,221.55,217.21,219.33,330873,0.0
2020-08-17,220.87,221.13,216.16,216.55,1201660,0.0
2020-08-18,217.6,218.125,213.81,214.84,719944,0.0
2020-08-19,215.72,216.3999,211.55,212.19,710326,0.0
2020-08-20,210,211.0199,208.075,209.16,641602,0.0
2020-08-21,208.72,211.32,207.95,209.75,596520,0.0
2020-08-24,211.85,214.19,210.43,212.04,762036,0.0
2020-08-25,212.14,213.19,208.28,211.31,528040,0.0
2020-08-26,210.37,210.37,205.72,208.47,791948,0.0
2020-08-27,209.36,212.55,208.48,209.08,684703,0.0
2020-08-28,209.73,209.73,204.57,207.31,1040784,0.0
2020-08-31,207.05,207.05,202.64,202.79,906404,0.0
2020-09-01,203.03,207.89,201.29,207.77,629776,0.0
2020-09-02,206.5,214.24,205.05,212.57,789110,0.0
2020-09-03,212.69,215.96,208.48,211.05,1193890,0.0
2020-09-04,213.65,216.98,212,215.1,1735266,0.0
2020-09-08,211.65,212.17,205.135,206.88,1353594,0.0
2020-09-09,205.28,206.67,201.04,203.4,1093435,0.0
2020-09-10,204.46,209.27,204.29,207.22,684482,0.0
2020-09-11,207.97,216.33,206.18,209.92,942822,0.0
2020-09-14,210.54,217.58,210.15,216.48,764204,0.0
2020-09-15,217.65,222.765,217.54,218.02,400335,0.0
2020-09-16,219.74,227.92,217.17,224.95,581351,0.0
2020-09-17,221.73,228.1,220.24,227.1,470110,0.0
2020-09-18,227.45,229.735,224.1,225.29,645550,0.0
2020-09-21,219.06,220.342,215.74,218.27,1099003,0.0
2020-09-22,219.25,221.88,217.37,221.47,358411,0.0
2020-09-23,221.65,225.43,218.955,220.06,653491,0.0
2020-09-24,218.7,223.955,216.69,220.92,479761,0.0
2020-09-25,218.65,226.89,217.99,225.95,378335,0.0
2020-09-28,229.29,234.29,228.58,231.89,474530,0.0
2020-09-29,231.13,232.26,227.24,231.06,805865,0.0
2020-09-30,232.72,238.6306,231.81,235.37,996915,0.0
2020-10-01,237.28,241.24,233.13,234.89,1121299,0.0
2020-10-02,230.59,244.79,230.59,240.55,1310894,0.0
2020-10-05,243.75,252.76,242.82,249.18,1747252,0.0
2020-10-06,251.78,261.64,248.74,249.64,1873909,0.0
2020-10-07,253.46,268.36,252.64,264.86,2384138,0.0
2020-10-08,270,276.29,269.35,275.82,1587608,0.0
2020-10-09,276.4,277.43,266.885,273.05,1755446,0.0
2020-10-12,274.65,275.11,269.17,270.19,980934,0.0
2020-10-13,260.51,263.69,257.525,261.02,1045439,0.0
2020-10-14,262.26,264.59,258.5,259.97,767647,0.0
2020-10-15,256.78,259.28,254.19,256.99,1398562,0.0
2020-10-16,258.63,262.52,256.58,259.12,872071,0.0
2020-10-19,259.01,259.3446,254.035,256.79,491252,0.0
2020-10-20,260.16,261.18,254.72,257.07,626022,0.0
2020-10-21,256.18,260.71,254.57,256.07,388526,0.0
2020-10-22,254.02,261.82,254,259.1,526385,0.0
2020-10-23,261.94,262.93,258.48,262.47,420473,0.0
2020-10-26,258.15,259.02,252.07,254.28,586152,0.0
2020-10-27,254.88,258.64,253.7383,255.53,455373,0.0
2020-10-28,249.14,252.17,243.75,247.79,967993,0.0
2020-10-29,250.91,269.03,250,263.67,1882728,0.0
2020-10-30,260.76,269.78,259.29,266.35,958529,0.0
2020-11-02,269.84,275.49,268.4,270.98,1221664,0.0
2020-11-03,275.5,278,271.61,276.29,817371,0.0
2020-11-04,252.64,266.39,239.7,253.77,3479970,0.0
2020-11-05,256.12,266.06,255.04,260.26,1335568,0.0
2020-11-06,256.92,265.7,253.35,256.17,960789,0.0
2020-11-09,270.97,275.965,257.01,261.43,1099099,0.0
2020-11-10,263.45,277.42,263.25,266.02,1076027,0.0
2020-11-11,266.69,266.69,258.32,265.98,752229,0.0
2020-11-12,263.88,263.99,258.83,260.73,811251,0.0
2020-11-13,262.46,269.995,260.59,264.675,554672,0.0
2020-11-16,270.82,274.71,266.675,271.41,761325,0.0
2020-11-17,268.81,270.665,265.97,269.42,461828,0.0
2020-11-18,270.74,274.63,268.11,269.56,540747,0.0
2020-11-19,268.05,274.23,266.41,269.57,498599,0.0
2020-11-20,266.56,266.81,259.115,265.6,716897,0.0
2020-11-23,269,271.1829,265.985,266.66,483965,0.0
2020-11-24,270.15,277.56,267.335,274.65,943479,0.0
2020-11-25,272.56,274.09,265.25,272.82,434142,0.0
2020-11-27,272.45,272.915,268.17,270.88,269028,0.0
2020-11-30,269.28,269.28,261.82,265.39,335885,0.0
2020-12-01,270.46,278.9,268.17,275.47,603355,0.0
2020-12-02,273.46,275.46,270.01,273.41,305302,0.0
2020-12-03,271.94,282.84,268.08,280.96,482307,0.0
2020-12-04,282,287.15,281.38,284.94,383175,0.0
2020-12-07,283.01,286.42,281.08,284.94,246267,0.0
2020-12-08,282.27,287.505,280.41,282.82,329156,0.0
2020-12-09,281,281.605,274.55,276.81,484490,0.0
2020-12-10,274.67,274.67,264.58,266.74,637876,0.0
2020-12-11,266.71,268.92,264.18,267.16,360108,0.0
2020-12-14,270.16,270.42,258.18,259.57,505034,0.0
2020-12-15,262.11,266.85,259.2648,266.64,505287,0.0
2020-12-16,266.67,267.32,261.64,262.24,383069,0.0
2020-12-17,263.86,266.36,262.45,265.91,378590,0.0
2020-12-18,267.6,277.375,267.06,276.47,711698,0.0
2020-12-21,270.72,278.85,269.08,275.66,356250,0.0
2020-12-22,277.39,278.77,272.98,273.38,311080,0.0
2020-12-23,273.11,275.61,270.76,273.8,214207,0.0
2020-12-24,274.94,275.7499,271.07,275.5,62125,0.0
2020-12-28,276.34,281.97,274.25,278.78,225096,0.0
2020-12-29,279.5,281.18,273.215,273.86,306203,0.0
2020-12-30,276.03,282.405,275.5,280.94,223031,0.0
2020-12-31,279.65,284.61,278.11,283.96,239867,0.0
2021-01-04,284,288.85,276.33,277.93,599992,0.0
2021-01-05,277.54,283.39,274.64,281,606522,0.0
2021-01-06,300,307.4,297.03,302.65,2411542,0.0
2021-01-07,309.46,309.8738,302.0601,307.83,629116,0.0
2021-01-08,307.21,311.45,304.85,310.42,443625,0.0
2021-01-11,305.74,311.46,303.79,310.06,322840,0.0
2021-01-12,310.06,319.01,308.26,314.72,794314,0.0
2021-01-13,312.14,313.81,303,305.02,1092280,0.0
2021-01-14,307.09,308.36,301.18,302.83,602185,0.0
2021-01-15,300.83,304.43,296.44,303.54,429799,0.0
2021-01-19,305,309.48,302.58,306.72,511520,0.0
2021-01-20,307.41,311.03,306.52,309.82,466930,0.0
2021-01-21,308.39,314.68,307.08,310,481974,0.0
2021-01-22,307.59,311.925,305.61,309.6,392634,0.0
2021-01-25,309,310.08,303.49,307.36,773910,0.0
2021-01-26,309.94,310,292.93,293.09,558836,0.0
2021-01-27,287.73,292.74,280.38,285.07,610016,0.0
2021-01-28,288.94,291.58,286.285,288.9,357238,0.0
