Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-06,158.87,159.96,157.05,158.11,1740159,0.0
2020-07-07,156.08,157.1,154.69,154.75,1353751,0.0
2020-07-08,155.07,155.6,153.8679,154.58,1362680,0.0
2020-07-09,153.92,154.72,151.04,151.43,1925713,0.0
2020-07-10,151.69,153.25,150.99,152.83,1680443,0.0
2020-07-13,154.35,156.93,154.16,154.81,1927853,0.0
2020-07-14,154.8,159.23,153.9205,158.61,2555268,0.0
2020-07-15,159.98,161.375,159.25,159.34,2612919,0.0
2020-07-16,159.25,160.9091,158.04,160.46,1541491,0.0
2020-07-17,160.86,161.56,159.51,159.89,1980104,0.0
2020-07-20,158.85,158.87,156.37,156.38,1521121,0.0
2020-07-21,157,159.625,156.99,157.85,1961765,0.0
2020-07-22,157.43,159.93,157.02,158.71,1564125,0.0
2020-07-23,159,159.65,158.36,159.35,1605778,0.0
2020-07-24,160.05,161.6,158.7249,159.82,2069949,0.0
2020-07-27,159.53,163.38,159.33,163.35,2836896,0.0
2020-07-28,155.47,157.48,153.8,155.34,10900285,0.0
2020-07-29,156.5,157.53,154.92,156.35,5930490,0.0
2020-07-30,154.31,154.72,151.361,152.2,5258542,0.0
2020-07-31,151.68,151.75,148.8,150.53,5054428,0.0
2020-08-03,151.09,151.415,149.31,150.41,3022762,0.0
2020-08-04,149.9,151.24,149.66,151.24,3324899,0.0
2020-08-05,152.16,155.4,152.1,155.25,4870383,0.0
2020-08-06,155.93,156.49,154.68,156.02,4376006,0.0
2020-08-07,155.99,158.42,155.07,158.32,3640001,0.0
2020-08-10,159.7163,161.6,159.51,161.45,3459520,0.0
2020-08-11,164.13,166.64,163.04,163.43,7204623,0.0
2020-08-12,165,165.95,163.35,164.26,3659894,0.0
2020-08-13,165.52,167.49,164.75,165.88,5342907,0.0
2020-08-14,164.65,166.3,164.52,166.09,2530034,0.0
2020-08-17,165.17,166.37,163.65,164.71,3544010,0.0
2020-08-18,164.43,165.44,163.76,164.33,2489294,0.0
2020-08-19,164.94,165.6898,163.78,163.98,2765957,0.0
2020-08-20,163.02,163.6634,162.38,162.98,3254648,0.0
2020-08-21,160.93,162.69,160.74,161.71,3098227,0.0
2020-08-24,161.55,163.95,161.15,163.54,4524244,0.0
2020-08-25,164.86,165.25,162.42,163.11,3324717,0.0
2020-08-26,162.87,164.77,161.69,163.9,4178938,0.0
2020-08-27,164.5,165.36,163.18,164.08,3971261,0.0
2020-08-28,164.64,166.17,163.92,165.66,4897784,0.0
2020-08-31,165.16,165.75,162.09,162.87,4161836,0.0
2020-09-01,162.17,165.55,161.64,164.8,5241408,0.0
2020-09-02,165.16,170,165.14,169.5,6705012,0.0
2020-09-03,170,170.42,164.99,166.25,5970760,0.0
2020-09-04,168.18,169.11,163.9,165.77,5213778,0.0
2020-09-08,165.58,165.63,161.8801,163.17,4616813,0.0
2020-09-09,164,167.29,164,165.7,3851257,0.0
2020-09-10,165.91,166.155,162.75,163.16,2752171,0.0
2020-09-11,163.44,166.6965,163.06,166.17,2739947,0.0
2020-09-14,167.66,169.425,166.425,168.45,4093713,0.0
2020-09-15,169.87,169.93,166.1701,166.57,1711154,0.0
2020-09-16,167.87,171.09,167.51,169.52,1985260,0.0
2020-09-17,168,173.18,167.185,172.38,1994047,0.0
2020-09-18,172.06,172.78,169.47,169.52,3487712,0.0
2020-09-21,165.89,166.6699,159.64,161.34,2679538,0.0
2020-09-22,161.06,163.67,160.42,162.38,1829286,0.0
2020-09-23,162.52,164.24,159.12,159.5,1282912,0.0
2020-09-24,159.4,161.955,158.07,160.43,1059771,0.0
2020-09-25,159.56,160.98,158.86,160.34,1272493,0.0
2020-09-28,162,164.14,161.33,161.75,1650274,0.0
2020-09-29,161.67,161.95,158.78,159.82,3533750,0.0
2020-09-30,160.93,163.103,158.61,160.18,4090688,0.0
2020-10-01,160.67,161.9,157.72,158.79,3180323,0.0
2020-10-02,156.47,161.94,156.25,160.37,2971140,0.0
2020-10-05,162.25,163.5,161.76,162.74,2345718,0.0
2020-10-06,163.44,165.7,161.83,162.16,2968003,0.0
2020-10-07,165.1,167.75,164.41,166.48,3525841,0.0
2020-10-08,167.3,168.15,166.125,167.72,2943486,0.0
2020-10-09,168.88,170.48,167.95,169.3,3252083,0.0
2020-10-12,169.47,170.61,168.1201,168.65,2272896,0.0
2020-10-13,168.3,169.45,166,166.63,2714565,0.0
2020-10-14,167.01,169.54,166.79,168.4,2465292,0.0
2020-10-15,166.05,169.68,165.8,169.05,2759672,0.0
2020-10-16,169.94,172.07,169.215,170.98,4038348,0.0
2020-10-19,171.02,172.35,168.87,169.69,2915862,0.0
2020-10-20,170.5,173.19,169.99,170.91,3054922,0.0
2020-10-21,170.34,172.11,169.07,169.14,2362111,0.0
2020-10-22,169.64,170.99,168.3901,170.81,2522854,0.0
2020-10-23,171.92,172.175,169.045,169.81,2972805,0.0
2020-10-26,167.68,168.09,164.39,166.2,5283032,0.0
2020-10-27,164.5,164.98,160.65,161.04,6860748,0.0
2020-10-28,159.81,162.85,158.12,158.46,5038040,0.0
2020-10-29,158.11,160.18,156.13,158.5,3581747,0.0
2020-10-30,158.33,159.96,156.995,159.95,2812784,0.0
2020-11-02,162.19,163.42,160.93,162.92,3239279,0.0
2020-11-03,164.86,166.83,163.7355,165.41,3181953,0.0
2020-11-04,162.75,165.3,159.9,160.2,4694575,0.0
2020-11-05,162.16,164.41,162.02,163.21,3521164,0.0
2020-11-06,163.66,164.3,161.57,162.99,2613763,0.0
2020-11-09,174.13,175.43,163.15,163.42,7747221,0.0
