Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,363.38,367.05,358.96,366.23,277268,6995,365.28704
2021-01-04,371.7,381.78,361.23,364.82,513953,12395,367.53995
2021-01-05,361.54,371.41,361.54,370.56,355767,10308,368.530243
2021-01-06,363.2,377.99,356.9,358.6,632763,13335,363.119211
2021-01-07,365.41,382.22,364.195,381.25,348092,9313,377.646376
2021-01-08,386.97,392.74,382.535,387.41,413084,10647,386.872738
2021-01-11,384.43,396.085,382.5,392.46,527884,10639,392.084742
2021-01-12,397.39,397.39,386.09,391.52,330867,9020,390.852674
2021-01-13,391.24,396.19,387.81,388.22,216220,6019,390.22176
2021-01-14,389.93,393.6915,385.12,386.2,278042,7887,388.468642
2021-01-15,386.8,387.075,375.33,379.23,476986,10177,378.773947
2021-01-19,386.28,395.25,383.27,391.32,416208,9949,390.841148
2021-01-20,396.33,401.17,394.27,396.42,282118,7434,396.987502
2021-01-21,401.0,404.31,395.02,403.18,208122,6472,401.069306
2021-01-22,398.8,406.33,393.58,396.91,164498,6474,397.392714
2021-01-25,405.31,406.75,383.49,391.32,195585,8119,392.248023
2021-01-26,391.25,391.72,380.9948,383.25,266060,6935,385.880987
2021-01-27,375.02,377.29,351.0,351.75,524031,13924,360.313567
2021-01-28,361.24,372.2523,354.78,367.98,373611,9749,365.093402
2021-01-29,370.89,376.67,354.98,355.29,434968,10813,359.335451
2021-02-01,363.48,368.7,358.7372,367.93,283155,7403,365.384279
2021-02-02,374.48,378.2591,368.0,374.57,289877,6865,373.137461
2021-02-03,375.54,379.495,363.929,366.02,356084,9183,367.289466
2021-02-04,366.75,372.77,360.67,367.6,510192,11045,368.069002
2021-02-05,388.1,392.49,357.0,359.51,775508,13165,364.791633
2021-02-08,364.04,370.3866,358.9,368.62,549932,16349,367.533645
2021-02-09,367.07,382.84,365.01,379.16,1092248,20099,375.519011
2021-02-10,379.97,383.705,370.57,373.74,657143,13065,375.035192
2021-02-11,379.83,386.0,371.02,384.665,10003530,18781,384.338
2021-02-12,384.49,388.85,377.31,385.92,421966,13165,385.025483
2021-02-16,387.74,398.89,386.35,387.96,492485,11869,390.583438
2021-02-17,383.13,384.9577,371.8501,380.28,385431,10759,378.597257
2021-02-18,375.74,377.74,367.45,375.88,316978,10192,373.386114
2021-02-19,379.93,394.5,378.16,393.75,470634,11757,389.616549
2021-02-22,384.14,388.9699,370.65,372.66,506440,13115,375.584182
2021-02-23,359.1,376.0,351.65,371.66,531184,13282,366.737455
2021-02-24,365.64,388.42,363.9933,387.86,438931,11708,380.779614
2021-02-25,381.71,386.24,360.68,362.59,377624,11784,369.306579
2021-02-26,368.41,377.24,364.14,374.52,448289,12177,372.43752
2021-03-01,380.95,391.77,379.03,389.05,444933,11981,387.637539
2021-03-02,390.44,390.44,369.29,370.58,354741,11108,374.771102
2021-03-03,370.29,373.38,354.41,354.81,367511,12520,361.421292
2021-03-04,350.55,352.14,325.96,327.97,808781,19591,335.293844
2021-03-05,334.36,338.47,309.12,332.91,659129,17708,327.950225
2021-03-08,330.05,333.65,301.51,302.05,723026,16705,310.389551
2021-03-09,314.83,334.02,313.13,323.86,1054583,20209,324.232468
2021-03-10,330.29,334.36,322.74,323.41,572216,15965,326.961863
2021-03-11,339.64,344.73,336.165,337.6,571065,12219,338.745
2021-03-12,330.58,333.29,325.04,331.0,426844,11359,329.586766
2021-03-15,332.49,342.28,330.49,341.64,340655,9721,339.436063
2021-03-16,345.04,351.91,340.366,342.65,262422,9919,345.964701
2021-03-17,335.47,356.74,330.8,352.2,694036,13606,349.371568
2021-03-18,345.2,350.455,335.59,335.76,506710,12316,340.661452
2021-03-19,342.51,349.79,336.84,343.18,1149931,11623,343.422029
2021-03-22,347.65,355.92,343.77,348.24,410240,10807,349.599526
2021-03-23,348.34,349.9,333.495,336.7,446936,11995,338.634115
2021-03-24,338.73,338.95,330.87,330.99,255027,11780,334.253216
2021-03-25,326.66,332.895,317.955,331.58,271276,11409,327.497618
2021-03-26,317.34,351.19,317.34,350.97,386938,10999,342.197078
2021-03-29,350.34,350.835,336.0,340.54,536930,12367,340.49221
