Date,Estimate,Actual
2022-05-04,None,None
2022-02-02,None,None
2021-10-27,None,None
2021-08-04,1.92,None
2021-05-06,1.62,1.87
2021-02-04,2.74,2.86
2020-10-29,1.78,1.95
2020-08-06,1.21,1.39
2020-05-07,1.28,1.49
2020-02-06,2.79,2.94
2019-10-30,1.95,2.04
2019-08-01,1.6,1.69
2019-05-02,1.14,1.28
2019-02-07,2.53,2.63
2018-11-01,1.72,1.94
2018-08-02,1.37,1.46
2018-05-03,0.87,1.1
2018-02-01,2.04,2.1
2017-11-02,1.4,1.53
2017-08-03,1.04,1.12
2017-05-04,0.57,0.71
2017-02-02,1.85,2.03
2016-11-03,1.2,1.37
2016-08-04,0.86,1.03
2016-05-05,0.4,0.52
2016-02-22,1.42,1.58
2015-11-04,0.73,0.82
2015-08-05,0.54,0.68
2015-05-06,0.25,0.38
2015-02-04,1.12,1.25
2014-11-04,0.41,0.62
2014-08-05,0.63,0.47
2014-05-01,0.5,0.5
2014-01-22,1.62,1.67
2013-10-23,1.02,1.32
2013-07-24,1.04,1.12
2013-04-24,0.66,0.66
2013-01-23,1.02,1.1
2012-10-24,0.73,0.84
2012-07-25,0.69,0.7
2012-04-25,0.54,0.59
2012-01-25,0.82,0.87
2011-10-27,0.59,0.65
2011-07-28,0.51,0.57
2011-04-28,0.32,0.54
2011-01-27,1.06,1.2
2010-10-28,0.8,1.12
2010-07-29,0.55,0.63
2010-04-29,-0.06,0.42
2010-01-28,0.59,0.63
2009-10-29,0.03,0.14
2009-07-30,-0.27,-0.07
2009-04-30,-0.75,-0.56
2009-02-03,-0.03,-0.07
2008-10-30,0.11,0.35
2008-07-31,-0.23,0.14
2008-04-24,-0.46,-0.35
2008-01-23,0.9,0.98
2007-10-25,0.26,0.42
2007-07-19,0.03,0.14
2007-04-18,0.13,0.14
2007-01-19,1.78,1.82
2006-10-17,2.39,2.38
2006-07-19,2.13,2.31
2006-04-18,2.02,1.96
2006-01-19,2.38,2.45
2005-10-18,1.98,2.1
2005-07-19,1.73,1.82
2005-04-20,1.36,1.54
2005-01-18,1.67,1.89
2004-10-19,1.31,1.4
2004-07-20,1.23,1.47
2004-04-20,0.49,1.26
2004-01-20,0.93,1.19
2003-10-13,0.23,0.42
2003-07-15,0.02,0.07
2003-04-15,0.09,0.07
2003-01-21,0.69,0.91
2002-10-15,0.35,0.42
2002-07-16,-0.25,0.14
2002-04-16,-0.86,-0.56
2002-01-22,-0.32,-0.28
2001-10-09,-0.52,-0.49
2001-07-11,-0.86,-0.77
2001-04-10,-0.42,-0.63
2001-01-10,1.05,1.05
2000-10-10,1.82,1.82
2000-07-12,1.58,1.61
2000-04-10,1.36,1.38
2000-01-17,1.89,1.91
1999-10-12,1.23,1.24
1999-07-13,0.95,1.03
1999-04-13,0.56,0.65
1999-01-13,0.54,0.61
1998-10-05,0.02,0.16
1998-07-07,0.02,0.02
1998-04-06,0.58,0.54
1998-01-12,1.6,1.52
1997-10-06,1.19,1.26
1997-07-08,1.35,1.45
