Date,Estimate,Actual
2022-02-02,None,None
2021-11-03,None,None
2021-07-29,7.62,None
2021-05-06,5.61,6.56
2021-02-04,8.72,9.26
2020-11-05,5.95,7.02
2020-07-30,4.2,5.29
2020-05-07,3.89,4
2020-02-06,7.68,7.78
2019-11-07,5.71,5.77
2019-08-01,5.08,5.16
2019-05-09,4.05,4.1
2019-02-07,6.75,6.85
2018-11-08,5,5.12
2018-07-26,4.58,4.65
2018-05-03,3.73,3.74
2018-02-08,5.93,5.97
2017-11-02,4.33,4.36
2017-07-27,3.9,3.92
2017-05-04,3.09,3.34
2017-02-02,5.12,5.28
2016-11-03,3.66,3.89
2016-07-28,3.13,3.22
2016-05-05,2.44,2.46
2016-02-04,4.61,4.65
2015-11-05,3.18,3.26
2015-07-30,2.79,2.8
2015-05-07,2.17,2.25
2015-02-05,4.15,4.24
2014-11-06,2.86,2.95
2014-07-24,2.57,2.57
2014-05-08,1.97,2
2014-02-05,3.74,3.82
2013-11-07,2.59,2.6
2013-07-25,2.34,2.35
2013-05-02,1.8,1.84
2013-02-06,3.19,3.47
2012-11-01,2.25,2.4
2012-07-26,2.14,2.15
2012-05-03,1.62,1.66
2012-02-08,2.79,2.88
2011-11-03,1.92,2.01
2011-07-28,1.86,1.9
2011-05-04,1.39,1.45
2011-02-10,2.3,2.56
2010-11-04,1.56,1.71
2010-07-22,1.33,1.55
2010-04-29,1.04,1.13
2010-02-04,1.97,2.09
2009-10-29,1.18,1.36
2009-07-23,1.12,1.17
2009-04-30,0.81,0.95
2009-02-05,1.89,2
2008-11-06,1.36,1.44
2008-07-24,1.29,1.4
2008-04-24,0.97,1.01
2008-02-07,1.53,1.73
2007-11-01,1.06,1.15
2007-07-26,1.03,1.07
2007-04-26,0.68,0.78
2007-02-08,1.2,1.31
2006-11-02,0.81,0.91
2006-07-27,0.81,0.84
2006-05-03,0.52,0.57
2006-02-10,0.9,1.04
2005-11-03,0.64,0.72
2005-07-28,0.71,0.72
2005-05-03,0.46,0.47
2005-02-09,0.77,0.81
2004-11-04,0.52,0.54
2004-08-09,0.61,0.62
2004-04-29,0.39,0.41
2004-02-05,0.71,0.72
2003-10-30,0.52,0.53
2003-07-24,0.58,0.57
2003-04-24,0.37,0.37
2003-02-06,0.68,0.69
2002-11-07,0.5,0.51
2002-07-16,0.56,0.54
2002-04-24,0.41,0.41
2002-02-07,0.67,0.69
2001-11-01,0.48,0.48
2001-07-26,0.49,0.5
2001-04-26,0.33,0.34
2001-02-08,0.56,0.58
2000-11-02,0.39,0.41
2000-07-27,0.41,0.43
2000-04-27,0.26,0.28
2000-02-03,0.46,0.5
1999-11-04,0.3,0.33
1999-07-22,0.33,0.35
1999-04-22,0.2,0.22
1999-02-04,0.39,0.41
1998-11-05,0.25,0.31
1998-07-23,0.28,0.3
1998-04-23,0.15,0.17
1998-02-10,0.23,0.24
