Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,72.39,75.68,72.3654,75.18,23207327,158139,74.803242
2021-01-04,76.56,78.61,73.75,74.05,31155994,225575,75.671304
2021-01-05,76.35,78.69,76.03,77.26,33418227,228602,77.495312
2021-01-06,76.21,78.45,76.1,77.11,22390877,174714,77.523919
2021-01-07,78.06,80.08,78.05,79.11,27945322,198777,79.192171
2021-01-08,82.54,84.16,77.07,77.42,51272079,349026,79.710753
2021-01-11,76.5,79.7913,76.4231,78.67,19941576,152271,78.601385
2021-01-12,79.24,79.62,77.82,79.46,18231059,141892,78.838629
2021-01-13,79.01,80.39,78.55,79.91,15067876,119440,79.532309
2021-01-14,80.0,82.21,79.55,81.3,17639331,132824,81.260171
2021-01-15,81.06,81.88,79.53,80.72,14322563,111917,80.855254
2021-01-19,81.18,85.6763,80.96,85.5,26602543,171274,83.986728
2021-01-20,86.0,87.25,83.23,83.5,21191673,149289,84.495624
2021-01-21,84.0,85.095,82.51,85.01,14703299,112725,83.903801
2021-01-22,84.0,84.95,82.225,82.28,14229642,106533,82.992144
2021-01-25,83.5,83.5,78.89,81.28,19282672,164428,80.975877
2021-01-26,81.87,81.98,79.01,79.51,13677912,106232,80.336332
2021-01-27,77.065,77.59,74.33,75.09,23513735,232176,75.904644
2021-01-28,77.2,80.18,76.7221,78.39,18351408,155323,78.509121
2021-01-29,78.1,79.37,76.95,78.27,17934352,176654,78.162088
2021-02-01,79.59,81.09,78.48,80.43,14901520,133422,79.846892
2021-02-02,81.34,81.74,79.9237,81.62,11389703,108759,81.046805
2021-02-03,81.85,82.53,78.97,79.11,17706045,121386,79.885754
2021-02-04,79.19,81.34,78.96,81.25,11519721,96425,80.410087
2021-02-05,81.79,82.02,80.72,81.1,10958008,77126,81.165612
2021-02-08,81.77,84.06,81.64,84.01,12395353,98419,83.145461
2021-02-09,83.43,84.0,82.4,83.32,10362534,88958,83.174001
2021-02-10,83.99,84.44,81.3,82.35,9869151,91945,82.681878
2021-02-11,84.45,86.64,84.0,86.48,18750448,149649,85.746464
2021-02-12,86.06,88.315,85.46,88.01,14273930,101202,87.487485
2021-02-16,89.0,89.22,87.05,87.74,10312768,100981,87.960501
2021-02-17,86.6,87.32,84.9038,86.05,10039202,92357,86.088536
2021-02-18,86.69,88.73,85.96,88.535,19168058,153058,87.782106
2021-02-19,90.0,91.49,88.81,90.96,21886532,160374,90.212347
2021-02-22,89.56,90.52,85.915,86.28,16077033,133876,88.009875
2021-02-23,85.17,89.2,82.44,88.23,23203201,195796,86.409167
2021-02-24,88.28,92.6,87.73,92.52,21281678,159564,90.669128
2021-02-25,91.52,93.1,87.58,88.12,22546157,210265,89.948902
2021-02-26,89.76,92.94,88.23,91.53,22792303,205770,91.279009
2021-03-01,94.5,95.75,92.57,94.76,19908856,169726,94.262244
2021-03-02,93.56,94.9,90.9,91.09,18679626,169251,92.733169
2021-03-03,90.6,93.33,88.39,89.11,26424120,239138,90.925089
2021-03-04,88.75,89.75,81.85,84.33,31991097,302847,85.084188
2021-03-05,87.53,89.32,83.295,88.93,30329128,279541,86.780763
2021-03-08,88.5,89.72,84.87,85.05,22708421,202327,86.900546
2021-03-09,87.91,90.18,86.3,89.3,22301358,181234,88.394522
2021-03-10,89.84,90.01,85.31,85.41,23407756,213837,86.880983
2021-03-11,88.05,90.22,86.85,89.31,20716466,161600,88.941413
2021-03-12,87.57,88.53,86.43,87.77,21916381,171282,87.535305
2021-03-15,87.78,88.91,86.14,88.85,16155423,120295,87.75718
2021-03-16,90.81,94.68,90.11,91.43,28539023,214342,92.581308
2021-03-17,91.23,95.485,90.1,94.76,24616721,215540,93.375931
2021-03-18,92.87,93.48,89.4099,89.82,27100966,213544,91.086166
2021-03-19,90.41,92.68,88.8893,90.51,24969537,185103,91.107118
2021-03-22,91.87,92.42,89.65,91.28,19365773,145021,91.180477
2021-03-23,91.02,91.27,84.9698,85.4,32043864,257478,87.002599
2021-03-24,87.1,87.15,82.92,83.0,24232794,213196,84.793843
2021-03-25,80.95,84.43,80.49,84.09,23630211,199652,83.085332
2021-03-26,84.23,88.14,84.03,87.99,23955294,177994,86.723637
2021-03-29,87.75,88.2499,85.77,86.59,21776348,163257,86.857531
2021-03-30,86.3,87.22,85.25,86.54,13896963,121360,86.37577
2021-03-31,87.45,89.08,86.71,88.21,25372290,186077,88.537335
2021-04-01,92.89,94.38,91.25,92.41,39689684,293470,92.625485
2021-04-05,93.81,94.67,92.47,93.75,19781788,149303,93.693093
2021-04-06,93.7,96.1018,92.66,93.49,22838246,169902,94.228852
2021-04-07,94.19,95.07,92.54,93.96,17326833,130905,93.75571
