Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-09,421.65,434.73,420.31,434.01,12152418,0.0
2020-06-10,436,439.69,430.55,434.28,4327076,0.0
2020-06-11,428.2,445.57,424.1601,425.25,13330626,0.0
2020-06-12,429,434.06,423.04,423.11,1491300,0.0
2020-06-15,421.4,426.49,415.4238,425.63,3742202,0.0
2020-06-16,425.76,437.96,425.18,436.14,4801834,0.0
2020-06-17,441.82,450.46,439.22,447.77,5565164,0.0
2020-06-18,448.73,452.76,442.8,449.71,7790596,0.0
2020-06-19,449.12,453.97,445.6,453.3961,8588759,0.0
2020-06-22,455.01,468.59,454.21,468.08,5761554,0.0
2020-06-23,466.5,474.01,464.5,465.94,5089073,0.0
2020-06-24,468.54,472.36,454,457.65,4411545,0.0
2020-06-25,458.86,467.01,454,466.14,3573784,0.0
2020-06-26,466.39,468.03,442.24,443.39,5810024,0.0
2020-06-29,445.23,447.67,432.14,447.42,3981095,0.0
2020-06-30,450.02,457.59,447,454.75,3510310,0.0
2020-07-01,454,488.23,454,485.58,9186237,0.0
2020-07-02,485.64,492.28,475.5258,477.22,5986249,0.0
2020-07-06,480.77,499.5,479.8,493.81,7335742,0.0
2020-07-07,497.3105,504.82,490.83,493.05,5386598,0.0
2020-07-08,498.5755,505.1,493.81,502.68,5299138,0.0
2020-07-09,508.4,510,495.78,507.62,5478061,0.0
2020-07-10,519.73,555.8799,511.28,548.7,20937484,0.0
2020-07-13,567.98,575.37,520.96,525.5,17158906,0.0
2020-07-14,517.08,525.5,490.49,525.12,14428338,0.0
2020-07-15,516.3,529,510.18,523.45,9648810,0.0
2020-07-16,526.48,535.54,504.3627,527.49,18970790,0.0
2020-07-17,494.87,503.59,484.14,493.18,23341613,0.0
2020-07-20,489.14,504.5,484.2001,502.35,11562048,0.0
2020-07-21,506,506.22,488.61,490.1,8595439,0.0
2020-07-22,492.19,497.2,487.2,489.63,6226091,0.0
2020-07-23,491.13,491.9,472.0201,477.69,6887934,0.0
2020-07-24,476.3399,487.17,473,480.45,6456456,0.0
2020-07-27,484.51,496.92,482.31,495.7,7363295,0.0
2020-07-28,496.02,497.7927,487.7601,488.45,5585123,0.0
2020-07-29,492.25,494.92,484.13,484.48,5853532,0.0
2020-07-30,480.7072,488.35,477.5101,485.69,6058624,0.0
2020-07-31,488.29,494.8,484.5,489.27,5338372,0.0
2020-08-03,490.86,503.09,490.23,498.62,5537569,0.0
2020-08-04,498.65,510.4436,498.65,509.87,5110171,0.0
2020-08-05,508.68,510.1021,501.2,502.11,3904291,0.0
2020-08-06,504.11,510.82,498.7,509.05,3452740,0.0
2020-08-07,505.45,508.29,486.68,494.98,5673738,0.0
2020-08-10,493.35,497.4584,478.6269,483,4321987,0.0
2020-08-11,479.75,480.92,466.55,466.63,6586575,0.0
2020-08-12,471.34,482.49,470.18,475.47,4893258,0.0
2020-08-13,481.635,484.45,478.47,481.23,1889346,0.0
2020-08-14,482.82,488.325,480.21,482.57,2704864,0.0
2020-08-17,484.19,486.24,479.1,482.58,2093747,0.0
2020-08-18,484.35,495.3,482.8,492.1,3287233,0.0
2020-08-19,493.93,494.4985,483.5,484.54,2851384,0.0
2020-08-20,484.69,498.94,483.89,498.26,5014602,0.0
2020-08-21,496.46,498.13,490,492.31,3410275,0.0
2020-08-24,493.43,494.24,483.16,488.92,2805518,0.0
2020-08-25,488.19,492.47,485.09,490.58,4616390,0.0
2020-08-26,492.5,549.04,492.075,547.37,19786489,0.0
2020-08-27,537.775,541,521.2471,526.59,8789964,0.0
2020-08-28,532,539,522,523.89,4126445,0.0
2020-08-31,521.16,531.99,517.58,529.05,4364749,0.0
2020-09-01,532.6,557.3895,532.45,556.99,9170004,0.0
2020-09-02,553.78,556.5,537.369,552.85,5500649,0.0
2020-09-03,545,554,521.32,525.75,8261759,0.0
2020-09-04,520.18,527.36,485.98,515.77,7617227,0.0
2020-09-08,498.4,522,495,507.02,4624054,0.0
2020-09-09,519.21,520,492.5743,500.19,6300234,0.0
2020-09-10,502.09,506.29,478.84,480.78,5097467,0.0
2020-09-11,486.485,493.73,476.81,482.44,4636480,0.0
2020-09-14,480.62,488.99,471.3001,476.1,6625958,0.0
2020-09-15,484,497.47,481.63,496.3,4972637,0.0
2020-09-16,499.99,504.66,483.31,483.51,4103531,0.0
2020-09-17,475.16,478.4,463.27,470.245,4854789,0.0
2020-09-18,472.51,479.4,458.6,469.97,5844176,0.0
2020-09-21,467.6923,487.775,466.32,487.51,5037102,0.0
2020-09-22,489.01,491.82,479.26,491.16,3173183,0.0
2020-09-23,491.04,491.04,469,470.6,3250429,0.0
2020-09-24,470.53,477,467.82,473.09,3385139,0.0
2020-09-25,474.39,484.87,468.0258,482.65,2608185,0.0
2020-09-28,489.1094,492,477.88,490.64,3804961,0.0
2020-09-29,489.51,496.2868,486.53,493.56,3144252,0.0
2020-09-30,492.74,504.63,489.2704,499.72,3581680,0.0
2020-10-01,506.03,529.55,503.6,527.71,7365007,0.0
2020-10-02,516.32,526.3714,502.7,503.32,5328182,0.0
2020-10-05,506.62,520.99,501.6997,520.7,3482259,0.0
2020-10-06,518.305,521.82,504.16,505.87,3328556,0.0
2020-10-07,518,536.49,515.815,534.545,7219646,0.0
2020-10-08,533.48,535,524.15,531.79,4887090,0.0
2020-10-09,537.8339,544.28,535,539.45,4297249,0.0
2020-10-12,548.81,551.81,538.24,539.7,4584154,0.0
2020-10-13,541.98,557.65,539.5,554.08,4521565,0.0
