Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,14.54,14.55,13.88,14.07,2954051,0.0
2020-09-22,14.01,14.22,13.6,13.81,3104056,0.0
2020-09-23,13.83,14.005,13.49,13.545,2699700,0.0
2020-09-24,13.49,13.88,13.295,13.71,2691825,0.0
2020-09-25,13.56,13.965,13.48,13.87,1759158,0.0
2020-09-28,14.12,14.255,14.015,14.16,2307089,0.0
2020-09-29,14.12,14.275,13.92,14,2619869,0.0
2020-09-30,14.15,14.57,14.08,14.17,5102610,0.0
2020-10-01,14.26,14.47,14.02,14.17,3654287,0.0
2020-10-02,13.99,14.37,13.87,14.29,3930106,0.0
2020-10-05,14.44,14.54,14.29,14.5,2295439,0.0
2020-10-06,14.67,14.785,14.16,14.25,3766380,0.0
2020-10-07,14.22,14.5,14.21,14.41,4495301,0.0
2020-10-08,14.54,14.6,14.35,14.44,4580096,0.0
2020-10-09,14.58,14.597,13.66,13.76,9716865,0.0
2020-10-12,13.81,13.99,13.71,13.95,8914729,0.0
2020-10-13,13.81,14.19,13.76,13.9,6805777,0.0
2020-10-14,13.94,14.14,13.77,13.84,6170344,0.0
2020-10-15,13.68,14.02,13.41,13.93,6836514,0.0
2020-10-16,13.96,14.11,13.805,13.96,2605715,0.0
2020-10-19,14.02,14.135,13.48,13.62,3580591,0.0
2020-10-20,13.76,13.83,13.61,13.61,3027655,0.0
2020-10-21,13.42,13.85,13.37,13.74,3465211,0.0
2020-10-22,13.77,14.145,13.75,14.08,5410866,0.0
2020-10-23,14.25,14.28,13.965,14.18,5272254,0.0
2020-10-26,14.04,14.12,13.455,13.66,3627815,0.0
2020-10-27,13.58,14.55,13.125,14.38,18398772,0.0
2020-10-28,13.94,14.165,13.77,13.92,15827163,0.0
2020-10-29,13.82,14.09,13.67,13.87,8525260,0.0
2020-10-30,13.71,13.91,13.305,13.515,5782609,0.0
2020-11-02,14.6,14.75,13.91,14.04,14932994,0.0
2020-11-03,14.13,14.465,14.095,14.24,8216192,0.0
2020-11-04,14.08,14.48,13.88,14.03,6246622,0.0
2020-11-05,14.21,14.37,13.93,14.14,6090675,0.0
2020-11-06,14.12,14.355,14.05,14.18,4957079,0.0
2020-11-09,14.9,16.07,14.6,15.64,10451084,0.0
2020-11-10,15.62,15.78,15.15,15.32,6381925,0.0
2020-11-11,15.34,15.62,15.24,15.58,9720874,0.0
2020-11-12,15.46,15.46,14.7101,14.81,13329657,0.0
2020-11-13,14.94,15.62,14.94,15.54,6534029,0.0
2020-11-16,16.07,16.7,16,16.68,10731807,0.0
2020-11-17,16.33,16.78,16.1316,16.65,4503423,0.0
2020-11-18,16.6,16.68,16.16,16.21,4412062,0.0
2020-11-19,16.07,16.17,15.84,16.06,10443585,0.0
2020-11-20,16.08,16.245,15.68,15.74,8628271,0.0
2020-11-23,15.8,16.25,15.62,16.16,8129438,0.0
2020-11-24,16.57,16.68,16.31,16.61,6005765,0.0
2020-11-25,16.51,16.6,16.19,16.35,8242723,0.0
2020-11-27,16.31,16.34,15.68,16.24,5953718,0.0
2020-11-30,16.25,16.55,16.08,16.17,6972455,0.0
2020-12-01,16.49,16.76,16.12,16.12,3114257,0.0
2020-12-02,16.07,16.45,16.02,16.37,2327445,0.0
2020-12-03,16.4,17.31,16.29,17.25,4060023,0.0
2020-12-04,17.33,18,17.25,17.96,4643388,0.0
2020-12-07,17.83,17.84,17.155,17.25,2887126,0.0
2020-12-08,17.2,17.685,17.03,17.52,2213619,0.0
2020-12-09,17.67,19.15,17.56,19.12,9476751,0.0
2020-12-10,18.94,19.075,18.69,18.96,4869916,0.0
2020-12-11,18.77,19.11,18.585,19.1,3405599,0.0
2020-12-14,19.23,19.5,19.16,19.29,3616997,0.0
2020-12-15,19.38,19.73,19.01,19.65,4780930,0.0
2020-12-16,19.66,19.79,19.33,19.49,2156013,0.0
2020-12-17,19.6,19.7,19.45,19.62,1866150,0.0
2020-12-18,19.59,20.11,19.51,20.09,3723214,0.0
2020-12-21,19.6,19.86,19.285,19.73,2849466,0.0
2020-12-22,19.84,19.99,19.55,19.74,2012782,0.0
2020-12-23,19.91,20.29,19.865,20.22,1956989,0.0
2020-12-24,20.37,20.4,20.23,20.32,793842,0.0
2020-12-28,20.48,20.835,20.36,20.58,8119915,0.0
2020-12-29,20.69,21.285,20.4304,20.75,10725980,0.0
2020-12-30,20.77,20.95,20.41,20.55,2235762,0.0
2020-12-31,20.53,20.935,20.4531,20.87,2380752,0.0
2021-01-04,20.86,20.93,20.185,20.26,2685217,0.0
2021-01-05,20.26,20.61,20.205,20.58,3411083,0.0
2021-01-06,20.8,21.21,20.71,20.92,3485797,0.0
2021-01-07,21.26,21.28,20.8,20.84,1637274,0.0
2021-01-08,20.95,21.16,20.71,20.94,3290326,0.0
2021-01-11,20.66,21.24,20.551,21.23,1672171,0.0
2021-01-12,21.28,21.75,21.25,21.64,5635903,0.0
2021-01-13,21.58,21.8495,21.45,21.81,6852982,0.0
2021-01-14,21.85,22.525,21.715,22.36,3410838,0.0
2021-01-15,22.22,22.42,21.85,22.13,2783166,0.0
2021-01-19,22.3,22.47,22.15,22.27,4237267,0.0
2021-01-20,22.39,22.44,22.05,22.28,2388553,0.0
2021-01-21,22.14,22.25,21.72,21.78,2936517,0.0
2021-01-22,21.62,21.84,21.445,21.73,2112206,0.0
2021-01-25,21.62,21.95,21.41,21.51,2357785,0.0
2021-01-26,21.68,23.99,21.54,22.99,8495373,0.0
2021-01-27,22.56,23.515,22.4,23.19,5169847,0.0
2021-01-28,23.5,23.98,22.72,22.95,3881185,0.0
2021-01-29,22.9,23.12,22.3,22.32,1522157,0.0
2021-02-01,22.56,22.92,22.4,22.82,2123677,0.0
2021-02-02,22.99,23,21.97,22.11,3571998,0.0
2021-02-03,22.09,22.62,21.98,22.535,1405089,0.0
2021-02-04,22.53,22.77,22.5,22.69,1670044,0.0
2021-02-05,22.77,22.96,22.46,22.69,1030471,0.0
2021-02-08,22.77,22.87,22.54,22.81,1704512,0.0
2021-02-09,22.92,23.33,22.53,23.33,2038452,0.0
2021-02-10,23.47,23.54,23.1,23.29,1970012,0.0
2021-02-11,23.3,23.575,22.98,23.14,1549557,0.0
2021-02-12,23.12,23.8,23.09,23.77,2533063,0.0
2021-02-16,23.8,23.97,23.375,23.415,1189841,0.0
2021-02-17,23.31,23.45,23.11,23.35,1266267,0.0
2021-02-18,23.3,23.38,23.09,23.09,1783291,0.0
2021-02-19,23.21,23.455,23.11,23.38,2200066,0.0
2021-02-22,23.3,23.775,23.17,23.6,1785238,0.0
2021-02-23,23.74,23.75,23.07,23.47,1693240,0.0
2021-02-24,23.44,24.38,23.4,24.3,3720934,0.0
2021-02-25,24.21,24.21,22.37,22.71,3972665,0.0
2021-02-26,22.76,22.9,22.05,22.41,2440512,0.0
2021-03-01,22.76,23.28,22.66,23.15,2372036,0.0
2021-03-02,23.96,25.05,23.9,24.9,5400537,0.0
2021-03-03,24.69,24.85,24.065,24.1,2266580,0.0
2021-03-04,25,25.1,23.59,23.87,4024350,0.0
2021-03-05,24.06,24.97,23.61,24.94,7789783,0.0
2021-03-08,25.1,26.54,25,26.26,5532028,0.0
2021-03-09,26.04,26.34,25.69,25.81,4012660,0.0
2021-03-10,25.99,26.09,25.64,25.97,1832922,0.0
2021-03-11,26.15,26.25,25.96,26.07,2406995,0.0
2021-03-12,26.28,26.44,26.1,26.14,1884994,0.0
2021-03-15,26.03,26.69,26,26.61,1931907,0.0
2021-03-16,26.59,26.59,26.01,26.33,3033280,0.0
2021-03-17,26.36,26.72,26.01,26.61,2776897,0.0
2021-03-18,26.57,26.74,25.92,26.02,2017814,0.0
2021-03-19,26.03,26.43,25.7,26.23,2411174,0.0
2021-03-22,26.26,26.26,25.88,26.18,1160745,0.0
2021-03-23,26.02,26.11,25.205,25.29,1305753,0.0
2021-03-24,25.35,25.625,24.91,24.995,1821758,0.0
2021-03-25,24.83,25.49,24.62,25.41,1741385,0.0
2021-03-26,25.68,25.8,25.19,25.5,2942669,0.0
2021-03-29,25.44,25.55,24.255,24.53,4736200,0.0
2021-03-30,24.59,25.34,24.53,25.25,2308857,0.0
2021-03-31,25.18,25.365,25.02,25.16,1351673,0.0
2021-04-01,25.28,25.4,25.05,25.32,1372878,0.0
2021-04-05,25.5,25.6,25.31,25.53,1173661,0.0
2021-04-06,25.57,25.75,25.46,25.55,3000279,0.0
2021-04-07,25.48,25.59,24.87,25.08,1968824,0.0
2021-04-08,25.08,25.555,24.93,25.54,1929612,0.0
2021-04-09,25.65,25.72,25.3106,25.57,1188209,0.0
2021-04-12,25.53,25.71,25.36,25.59,1042110,0.0
2021-04-13,25.4,25.585,25.26,25.27,1874320,0.0
2021-04-14,25.32,25.695,25.24,25.32,1638494,0.0
2021-04-15,25.52,25.6899,25.32,25.58,2179992,0.0
2021-04-16,25.74,25.9,25.51,25.7,1026116,0.0
2021-04-19,25.57,25.6,25.21,25.32,859663,0.0
2021-04-20,25.18,25.1899,24.54,24.81,1139661,0.0
2021-04-21,24.78,25.34,24.62,25.31,1314505,0.0
2021-04-22,25.45,25.58,25.03,25.12,1320272,0.0
2021-04-23,25.26,25.75,25.06,25.595,905297,0.0
2021-04-26,25.62,25.725,25.41,25.44,1514346,0.0
2021-04-27,25.44,25.63,25.26,25.54,1628966,0.0
2021-04-28,25.64,25.825,25.51,25.59,1278721,0.0
2021-04-29,25.79,26.225,25.705,26.19,1309999,0.0
2021-04-30,26.08,26.08,25.59,25.65,1394595,0.0
2021-05-03,25.82,25.91,25.55,25.73,1518421,0.0
2021-05-04,25.73,25.94,25.41,25.77,1741423,0.0
2021-05-05,25.83,26.11,25.57,26,1558723,0.0
2021-05-06,26.14,26.74,25.99,26.63,1977988,0.0
2021-05-07,26.71,27.68,26.71,27.64,3404672,0.0
2021-05-10,27.74,28.42,27.66,28.08,3875465,0.0
2021-05-11,27.86,28.095,27.3999,27.99,4059517,0.0
2021-05-12,27.96,28.0762,27.31,27.32,4877434,0.0
2021-05-13,27.33,27.94,27.23,27.62,2311839,0.0
2021-05-14,27.67,28.085,27.67,28.01,1795211,0.0
2021-05-17,27.94,28.18,27.69,28.11,1483024,0.0
2021-05-18,28.11,28.21,27.44,27.44,1555403,0.0
2021-05-19,27.2,27.2,26.7,27.19,1413956,0.0
2021-05-20,27.18,27.42,26.88,27.23,1174521,0.0
2021-05-21,26.72,27.26,26.65,27.16,1612334,0.0
2021-05-24,27.42,27.54,27.1,27.43,1097816,0.0
2021-05-25,27.43,27.52,26.91,26.96,1441269,0.0
2021-05-26,26.98,27.18,26.82,27.11,1607181,0.0
2021-05-27,27.44,27.57,27.29,27.48,1235105,0.0
2021-05-28,27.59,27.59,27.09,27.21,1592107,0.0
2021-06-01,27.58,27.64,27.31,27.55,1972218,0.0
