Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-01,76.94,77.98,74.34,75.49,1142306,0.0
2020-05-04,74.66,75.59,73.27,74.91,1839574,0.0
2020-05-05,75.88,75.91,73.04,73.14,911958,0.0
2020-05-06,73.77,73.93,71.29,72.12,1537102,0.0
2020-05-07,73.82,75.96,73.15,73.92,1922094,0.0
2020-05-08,75.55,76.13,74.42,75.92,1120664,0.0
2020-05-11,74.89,75.28,74.21,74.74,1606130,0.0
2020-05-12,75.7,76.23,72.81,72.85,1036308,0.0
2020-05-13,71.71,72.23,69.29,70.24,2245738,0.0
2020-05-14,69,72.34,67.43,72.27,2160378,0.0
2020-05-15,71.03,71.96,70.35,71.12,1537723,0.0
2020-05-18,73.92,76.39,73.11,75.94,1004800,0.0
2020-05-19,75.42,75.92,73.32,73.36,783198,0.0
2020-05-20,74.1,75.28,73.47,74.76,1855234,0.0
2020-05-21,74.06,74.91,73.62,73.94,894078,0.0
2020-05-22,74.21,74.21,72.91,73.92,968040,0.0
2020-05-26,77.28,80.72,76.38,79.06,1687429,0.0
2020-05-27,82.45,84.36,80.155,82.79,1364085,0.0
2020-05-28,84.08,84.08,79.76,79.93,1895002,0.0
2020-05-29,78.75,80.16,78.28,79.02,950728,0.0
2020-06-01,79.65,81.52,79.22,80.7,731843,0.0
2020-06-02,81.75,82.56,80.36,80.83,1800682,0.0
2020-06-03,82.55,85.55,82.01,85.15,938883,0.0
2020-06-04,84.58,88.09,84.28,87.98,2348735,0.0
2020-06-05,92.34,92.86,90.27,90.7,4220840,0.0
2020-06-08,92.25,92.72,89.86,91.17,2941200,0.0
2020-06-09,89.75,92.93,89.19,91.98,2126910,0.0
2020-06-10,90.99,91.11,87.54,87.63,1195437,0.0
2020-06-11,84.39,85.39,81.85,82.05,2858762,0.0
2020-06-12,84.82,84.96,82.555,82.555,202233,0.0
2020-06-15,80.53,84.57,80.53,83.53,1172246,0.0
2020-06-16,86.75,86.795,83.53,85,951035,0.0
2020-06-17,84.6,85.385,83.69,83.79,916812,0.0
2020-06-18,82.38,84.05,82.24,82.64,2040028,0.0
2020-06-19,83.36,83.495,80.81,82.58,2974015,0.0
2020-06-22,81.73,83.06,80.64,81.71,885215,0.0
2020-06-23,82.95,83.78,81.08,81.09,1229724,0.0
2020-06-24,79.46,79.99,77.13,77.18,1421758,0.0
2020-06-25,76.97,78.72,76.37,78.44,1286734,0.0
2020-06-26,77.17,77.4,75.11,76.2,1330266,0.0
2020-06-29,77.33,77.575,75.77,76.25,923390,0.0
2020-06-30,76.39,79.69,76.09,79.24,1243218,0.0
2020-07-01,78.86,79.32,76.63,76.94,744640,0.0
2020-07-02,78.885,79.57,77.41,77.73,725388,0.0
2020-07-06,79.64,80,77.8,78.69,748672,0.0
2020-07-07,78.31,78.66,77.62,77.85,1187482,0.0
2020-07-08,80.15,80.26,78.17,80.17,1247353,0.0
2020-07-09,79.07,79.66,75.63,76.41,1191803,0.0
2020-07-10,76.87,80.44,76.74,80.16,963229,0.0
2020-07-13,80.78,82.73,79.97,81.55,1249526,0.0
2020-07-14,81.76,82.28,80.31,81.59,906529,0.0
2020-07-15,82.82,82.82,79.81,80.56,1439415,0.0
2020-07-16,79.71,81.59,79.02,80.03,949998,0.0
2020-07-17,80.27,80.27,77.55,77.73,1271204,0.0
2020-07-20,76.97,78.18,76.97,77.76,1327437,0.0
2020-07-21,77.64,80.54,77.5,79.94,1286423,0.0
2020-07-22,82.28,82.28,72.64,75.59,2784198,0.0
