Date,Estimate,Actual
2022-07-20,None,None
2022-04-20,None,None
2021-07-22,4.79,5.15
2021-04-22,3.09,3.12
2021-01-28,1.18,1.29
2020-10-22,0.51,0.65
2020-07-23,0.14,0.37
2020-04-28,0.95,0.99
2020-01-28,0.31,0.52
2019-10-22,0.8,0.9
2019-07-18,1.29,1.26
2019-04-23,1.5,1.55
2019-01-29,1.94,2.07
2018-10-18,2.35,2.33
2018-07-19,2.09,2.07
2018-04-19,1.1,1.17
2018-01-30,0.55,0.65
2017-10-19,0.78,0.79
2017-07-20,1.06,1
2017-04-20,1.13,1.13
2017-01-31,0.34,0.43
2016-10-20,0.9,0.88
2016-07-21,0.7,0.73
2016-04-21,0.27,0.22
2016-01-28,0.23,0.46
2015-10-22,0.49,0.71
2015-07-23,0.26,0.39
2015-04-23,0.15,0.21
2015-01-27,0.55,0.65
2014-10-23,0.74,0.76
2014-07-24,0.4,0.46
2014-04-24,0.36,0.41
2014-01-28,0.4,0.46
2013-10-17,0.39,0.49
2013-07-18,0.3,0.27
2013-04-18,0.24,0.26
2013-01-29,0.31,0.45
2012-10-18,0.43,0.45
2012-07-19,0.48,0.46
2012-04-19,0.39,0.42
2012-01-26,0.28,0.37
2011-10-20,0.53,0.57
2011-07-21,0.81,0.94
2011-04-21,0.36,0.5
2011-01-27,-0.1,-0.02
2010-10-21,0.11,0.07
2010-07-22,0.26,0.29
2010-04-22,0.06,0.1
2010-01-26,0.07,0.18
2009-10-22,-0.15,-0.1
2009-07-23,-0.59,-0.43
2009-04-23,-0.57,-0.6
2009-01-27,0.13,0.34
2008-10-16,2.19,2.31
2008-07-17,1.83,1.94
2008-04-17,1.33,1.41
2008-01-24,1.22,1.26
2007-10-18,1.15,1.29
2007-07-19,1.17,1.14
2007-04-19,1.24,1.26
2007-01-25,1.13,1.35
2006-10-19,1.56,1.68
2006-07-21,1.33,1.45
2006-04-20,1.17,1.21
2006-01-27,0.94,1.09
2005-10-20,0.84,0.93
2005-07-21,0.98,1.01
2005-04-21,1.03,1.1
2005-01-27,1,1.06
2004-10-21,1.15,1.3
2004-07-22,0.73,0.79
2004-04-22,0.22,0.36
2004-01-29,0.04,0.06
2003-10-23,0.04,0.04
2003-07-25,0.06,0.03
2003-04-24,0.05,0.05
2003-02-06,0.11,0.14
2002-10-17,0.12,0.13
2002-07-17,0.13,0.14
2002-04-18,0.05,0.07
2002-01-31,0.04,0.05
2001-10-18,0.06,0.07
2001-07-19,0.11,0.11
2001-04-19,0.1,0.11
2001-02-01,0.18,0.26
2000-10-18,0.22,0.21
2000-07-20,0.26,0.25
2000-04-20,0.24,0.24
2000-02-09,0.22,0.28
1999-10-21,0.18,0.2
1999-07-22,0.13,0.14
1999-04-22,0.07,0.08
1999-02-03,0.17,0.18
1998-10-22,0.15,0.19
1998-07-22,0.21,0.21
1998-04-22,0.19,0.19
1998-03-23,0.22,0.25
1997-10-21,0.22,0.23
1997-07-23,0.21,0.21
1997-04-23,0.18,0.19
