Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-07,11.78,12.38,11.75,12.05,5305068,0.0
2020-05-08,12.23,12.49,12.06,12.42,2343882,0.0
2020-05-11,12.15,12.28,11.9,12.03,4820158,0.0
2020-05-12,12.11,12.35,12.06,12.17,3089119,0.0
2020-05-13,12.03,12.075,11.44,11.73,13728552,0.0
2020-05-14,11.48,11.7,11.05,11.61,4961844,0.0
2020-05-15,11.53,11.78,11.34,11.7,3559518,0.0
2020-05-18,12.24,12.705,12.24,12.655,2681610,0.0
2020-05-19,12.66,12.97,12.42,12.64,3205826,0.0
2020-05-20,12.84,12.95,12.45,12.57,5790741,0.0
2020-05-21,12.43,12.92,12.36,12.865,2687915,0.0
2020-05-22,12.98,12.98,12.655,12.77,1690091,0.0
2020-05-26,13.11,13.74,13.04,13.545,3001780,0.0
2020-05-27,13.88,14.41,13.85,14.38,3590209,0.0
2020-05-28,14.37,14.37,13.53,13.59,6837302,0.0
2020-05-29,13.43,13.43,13.06,13.15,2972239,0.0
2020-06-01,13.0963,13.51,13.06,13.46,2780498,0.0
2020-06-02,13.6,13.91,13.5,13.85,5096102,0.0
2020-06-03,13.99,15.11,13.9595,15,4517529,0.0
2020-06-04,14.96,15.75,14.83,15.465,9540530,0.0
2020-06-05,16,16.79,15.99,16.39,9995660,0.0
2020-06-08,16.7,17.48,16.635,17.42,8918747,0.0
2020-06-09,16.83,17.07,16.44,16.66,7803770,0.0
2020-06-10,16.69,16.69,15.92,15.92,3018200,0.0
2020-06-11,15.08,15.45,14.815,14.88,5882670,0.0
2020-06-12,15.5,15.605,15.005,15.01,638974,0.0
2020-06-15,14.8,15.11,14.61,14.92,3763327,0.0
2020-06-16,15.5,15.98,15.21,15.75,4067279,0.0
2020-06-17,15.76,15.968,15.41,15.81,2525960,0.0
2020-06-18,15.58,15.9,15.42,15.45,4002092,0.0
2020-06-19,15.64,15.87,15.28,15.87,8724079,0.0
2020-06-22,15.73,15.88,15.48,15.65,2399681,0.0
2020-06-23,15.79,15.96,15.535,15.58,2554921,0.0
2020-06-24,15.39,15.43,14.9,15.1,3119875,0.0
2020-06-25,14.96,15.265,14.855,15.2,1580524,0.0
2020-06-26,15.05,15.19,14.81,15.05,2263754,0.0
2020-06-29,15.35,15.68,15.21,15.59,2558032,0.0
2020-06-30,15.56,15.945,15.34,15.87,2302961,0.0
2020-07-01,15.81,16.155,15.75,15.76,1828963,0.0
2020-07-02,16.19,16.49,15.94,15.97,1977534,0.0
2020-07-06,16.31,16.36,15.98,15.99,2168708,0.0
2020-07-07,15.78,16.02,15.76,15.84,2171298,0.0
2020-07-08,15.76,15.88,15.58,15.8,2012800,0.0
2020-07-09,15.77,15.81,14.95,15.02,3799504,0.0
2020-07-10,15.19,15.87,15.11,15.8,2116345,0.0
2020-07-13,15.91,16.07,15.7,15.73,2282782,0.0
