Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,17.9,17.92,17.73,17.77,558766,6408,17.822608
2021-01-04,17.95,18.1301,17.59,17.96,1033616,11681,17.898413
2021-01-05,17.98,18.19,17.83,18.06,616243,7936,18.065471
2021-01-06,18.2,19.12,18.13,18.81,1161022,14008,18.745992
2021-01-07,18.7,18.89,18.28,18.28,723037,9031,18.452405
2021-01-08,18.36,18.4,17.95,18.16,803319,10653,18.135846
2021-01-11,18.05,18.37,17.95,18.27,650547,8288,18.213396
2021-01-12,18.25,18.35,17.985,18.07,585425,8210,18.136749
2021-01-13,17.99,18.235,17.89,17.96,624784,7366,18.040741
2021-01-14,18.0,18.51,18.0,18.33,659522,8601,18.307208
2021-01-15,18.2,18.37,18.02,18.32,821219,10683,18.222091
2021-01-19,18.49,18.49,18.15,18.33,1248682,12652,18.311622
2021-01-20,18.4,18.7,18.385,18.63,955135,9574,18.606678
2021-01-21,18.59,18.93,18.52,18.74,585803,7989,18.780516
2021-01-22,18.63,18.6922,18.22,18.24,1374376,7008,18.177006
2021-01-25,18.14,18.49,17.98,18.35,1705447,8565,17.874499
2021-01-26,18.51,18.81,18.44,18.75,711825,8888,18.667617
2021-01-27,18.86,19.42,18.63,19.02,1781134,18805,19.087896
2021-01-28,19.12,19.225,18.67,18.9,757336,9857,18.942884
2021-01-29,19.02,19.26,18.76,18.88,1205399,9922,18.939922
2021-02-01,18.59,19.01,18.3,18.79,721557,7635,18.742786
2021-02-02,18.92,19.4,18.84,19.23,557225,7612,19.236581
2021-02-03,19.22,19.33,19.075,19.26,397903,5086,19.231981
2021-02-04,19.24,19.86,19.19,19.62,768085,8478,19.580069
2021-02-05,20.79,21.58,20.72,20.82,853331,9546,21.011453
2021-02-08,20.83,21.45,20.83,21.4,715592,8156,21.279984
2021-02-09,21.58,22.125,21.505,21.97,692558,8477,21.887815
2021-02-10,22.17,23.05,22.0,22.61,2209367,16996,22.582803
2021-02-11,22.67,23.01,22.51,22.97,601609,8459,22.821687
2021-02-12,23.41,23.9,23.21,23.5,551474,6680,23.451864
2021-02-16,23.46,23.49,23.13,23.2,916952,8343,23.254245
2021-02-17,24.03,24.108,22.77,22.9,901325,8917,23.101555
2021-02-18,22.82,23.02,22.53,22.59,696244,8132,22.72872
2021-02-19,22.78,22.78,22.3255,22.41,367707,5805,22.514982
2021-02-22,22.5,23.33,22.37,23.105,362041,4809,23.037057
2021-02-23,22.97,23.18,22.71,23.08,497573,7959,22.990533
2021-02-24,23.04,23.6,22.93,23.24,465847,6192,23.341927
2021-02-25,23.35,23.54,22.63,22.65,383188,4271,22.841868
2021-02-26,22.67,23.18,22.53,22.92,596176,5591,22.903867
2021-03-01,23.21,23.865,23.11,23.73,349476,5178,23.652355
2021-03-02,23.72,23.78,23.09,23.1,335563,4472,23.289225
2021-03-03,23.15,23.58,23.03,23.05,548728,6197,23.189478
2021-03-04,23.02,23.33,22.39,22.77,346071,5632,22.808111
2021-03-05,23.06,23.545,22.51,23.5,515707,8191,23.139473
2021-03-08,23.5,23.76,22.98,23.23,756353,8866,23.357565
2021-03-09,24.0,24.46,23.39,23.8,632629,8014,24.018106
2021-03-10,23.86,24.77,23.69,24.37,797253,8979,24.270553
2021-03-11,24.33,24.63,24.14,24.51,455748,5868,24.491201
2021-03-12,24.52,25.03,24.52,24.93,340809,4232,24.921074
2021-03-15,24.93,24.93,24.38,24.72,530646,7493,24.709672
2021-03-16,24.81,25.43,24.81,25.22,513495,6626,25.2054
2021-03-17,25.07,25.07,24.28,24.92,997154,10250,24.730842
2021-03-18,24.85,25.64,24.79,25.2,1714170,15528,25.299913
2021-03-19,25.13,25.44,24.75,25.13,1856040,11758,25.125509
2021-03-22,25.15,25.24,24.38,24.73,602118,7527,24.715739
2021-03-23,24.54,24.67,24.07,24.17,735511,7606,24.319453
2021-03-24,24.26,24.45,23.605,23.69,585144,6542,23.882407
2021-03-25,23.52,24.49,23.3,24.42,431837,5899,24.137291
2021-03-26,24.45,24.58,23.68,24.01,962766,12247,24.099247
2021-03-29,24.02,24.02,23.22,23.39,444582,6657,23.476082
2021-03-30,23.37,24.015,23.37,23.83,1002677,10076,23.733072
2021-03-31,23.9,24.06,23.43,23.46,1408871,12670,23.608846
2021-04-01,23.59,24.01,23.18,24.0,1081261,12276,23.673271
2021-04-05,24.07,24.68,23.9,24.52,593801,7320,24.440758
2021-04-06,24.54,24.94,24.4,24.54,622757,5996,24.56947
2021-04-07,24.34,24.72,24.27,24.36,369178,5525,24.415828
2021-04-08,24.4,24.75,24.1,24.7,821071,5206,24.582295
2021-04-09,24.68,24.765,24.35,24.63,294201,3786,24.587635
2021-04-12,24.6,24.92,24.465,24.78,474916,6168,24.775394
2021-04-13,24.78,24.78,24.17,24.26,454850,3502,24.321496
2021-04-14,24.19,24.67,24.12,24.56,679403,6504,24.55118
2021-04-15,24.87,24.96,24.5,24.79,341718,5141,24.742205
2021-04-16,24.9076,25.1,24.73,24.895,493169,5760,24.921946
2021-04-19,24.78,24.93,24.53,24.88,339039,5119,24.825141
2021-04-20,24.77,25.17,24.37,24.72,264192,4519,24.620897
2021-04-21,24.68,25.43,24.49,25.42,608166,4933,25.265595
2021-04-22,25.4,25.57,24.99,25.09,558381,5247,25.21997
2021-04-23,25.15,25.22,24.89,24.89,261560,3685,24.95474
2021-04-26,25.06,25.06,24.78,24.82,303838,3999,24.888593
2021-04-27,24.76,24.91,24.529,24.6,312314,4241,24.659301
2021-04-28,24.58,24.63,24.11,24.31,414172,4920,24.312528
2021-04-29,24.49,24.57,24.2,24.46,800295,7310,24.350549
2021-04-30,24.39,24.54,24.07,24.31,600089,8103,24.272547
2021-05-03,24.42,24.56,24.22,24.37,403419,4790,24.399153
2021-05-04,24.13,24.22,23.315,23.57,363167,5716,23.575056
2021-05-05,23.72,24.26,23.45,24.06,515421,7794,23.970828
2021-05-06,24.14,24.16,23.63,23.93,299673,4877,23.846569
2021-05-07,24.6,25.56,24.595,25.37,626338,7990,25.248885
2021-05-10,25.34,25.7942,24.91,25.26,369647,5439,25.371092
2021-05-11,25.11,25.69,24.72,25.64,596398,8387,25.371559
2021-05-12,25.42,25.45,24.19,24.24,531542,7740,24.613602
2021-05-13,24.29,24.88,24.1,24.37,333820,5985,24.458705
2021-05-14,24.44,24.96,24.43,24.92,301370,4958,24.828043
2021-05-17,24.93,25.41,24.84,25.11,389757,6556,25.063791
2021-05-18,25.12,25.28,24.91,24.91,437872,6420,25.050242
