Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,18.63,18.7,18.41,18.67,1386704,0.0
2020-12-07,18.52,18.63,18.39,18.5,1608694,0.0
2020-12-08,18.3,18.5,18.235,18.38,2131565,0.0
2020-12-09,18.43,18.465,18.18,18.27,1616318,0.0
2020-12-10,18.22,18.55,18.1,18.35,3029455,0.0
2020-12-11,18.28,18.4,17.92,17.965,1466242,0.0
2020-12-14,18.1,18.1,17.6,17.76,2278917,0.0
2020-12-15,18,18.195,17.87,18.065,3583019,0.0
2020-12-16,18.09,18.14,17.66,17.77,1630201,0.0
2020-12-17,17.88,17.96,17.47,17.72,1879650,0.0
2020-12-18,17.47,17.73,17.27,17.36,2172686,0.0
2020-12-21,17.18,17.71,17.15,17.65,2258496,0.0
2020-12-22,17.55,17.805,17.47,17.65,2118712,0.0
2020-12-23,17.65,17.82,17.62,17.6827,1755209,0.0
2020-12-24,17.82,17.9403,17.74,17.83,528170,0.0
2020-12-28,17.93,18.31,17.9,18.19,1467324,0.0
2020-12-29,18.13,18.23,17.945,18.03,1001152,0.0
2020-12-30,18.02,18.29,17.95,18.03,1150365,0.0
2020-12-31,17.98,18.1001,17.76,17.97,1496262,0.0
2021-01-04,18.04,18.3,17.75,18.16,2797691,0.0
2021-01-05,18.04,18.42,18,18.28,1530399,0.0
2021-01-06,18.42,19.43,18.22,19.23,2903118,0.0
2021-01-07,19.28,19.31,18.73,18.74,1531681,0.0
2021-01-08,18.77,18.91,18.38,18.64,1459670,0.0
2021-01-11,18.37,18.81,18.3,18.66,1273514,0.0
2021-01-12,18.61,18.74,18.34,18.4,1621658,0.0
2021-01-13,18.37,18.6,18.26,18.28,2044326,0.0
2021-01-14,18.35,18.89,18.35,18.7,1641532,0.0
2021-01-15,18.63,18.74,18.4,18.69,1569585,0.0
2021-01-19,18.79,18.85,18.52,18.75,1642192,0.0
2021-01-20,18.84,19.18,18.8,19.11,1928613,0.0
2021-01-21,19.07,19.45,19.015,19.21,1426306,0.0
2021-01-22,19.12,19.19,18.56,18.56,1422052,0.0
2021-01-25,18.42,18.865,18.2902,18.75,1845469,0.0
2021-01-26,18.94,19.175,18.56,19.13,1517719,0.0
2021-01-27,19.42,20.05,19.17,19.58,4690476,0.0
2021-01-28,19.72,19.81,19.225,19.5,2987767,0.0
2021-01-29,19.49,19.935,19.39,19.41,2134071,0.0
2021-02-01,19.33,19.5,18.715,19.38,2119372,0.0
2021-02-02,19.52,20,19.41,19.79,1641164,0.0
2021-02-03,19.62,19.94,19.585,19.85,1260300,0.0
2021-02-04,19.93,20.555,19.84,20.3,3009067,0.0
2021-02-05,21.99,22.25,21.08,21.22,6367737,0.0
2021-02-08,21.27,21.82,21.27,21.7,3107768,0.0
2021-02-09,21.89,22.38,21.75,22.18,3448840,0.0
2021-02-10,22.3,22.89,22.2,22.63,2618085,0.0
2021-02-11,22.6,23.08,22.5,23.05,2140778,0.0
2021-02-12,23.86,24.06,23.38,23.71,3873373,0.0
2021-02-16,23.61,23.86,23.4425,23.795,3063374,0.0
2021-02-17,24.04,24.22,23.08,23.17,3724183,0.0
2021-02-18,23.16,23.25,22.62,22.65,4262186,0.0
2021-02-19,22.67,22.815,22.43,22.49,4798425,0.0
2021-02-22,22.48,23.605,22.29,23.355,6825587,0.0
2021-02-23,23.2,23.605,23,23.43,3875846,0.0
2021-02-24,23.38,24.15,23.07,23.82,5533099,0.0
2021-02-25,23.78,24.085,23.195,23.2,2266561,0.0
2021-02-26,23.24,23.76,23.1,23.46,3353809,0.0
2021-03-01,23.8,24.5,23.63,24.35,3572738,0.0
2021-03-02,24.34,24.38,23.61,23.64,3265164,0.0
2021-03-03,23.64,24.18,23.56,23.78,2892151,0.0
2021-03-04,23.74,24.02,23.14,23.53,3315487,0.0
2021-03-05,25.06,25.06,23.31,24.37,4030493,0.0
2021-03-08,25.015,25.015,23.945,24.235,3994247,0.0
2021-03-09,24.4,25.58,24.28,24.86,6801633,0.0
2021-03-10,25.06,25.66,24.59,25.53,4262551,0.0
2021-03-11,25.48,25.849,25.29,25.73,2392970,0.0
2021-03-12,25.86,26.23,25.5,26.21,3379386,0.0
2021-03-15,26.24,26.24,25.7,26.11,3225584,0.0
2021-03-16,26.25,26.835,26.16,26.49,3743376,0.0
2021-03-17,26.44,26.47,25.83,26.35,3589621,0.0
2021-03-18,26.49,27.445,26.35,27.17,5965141,0.0
2021-03-19,27.06,27.68,26.75,27.3,5846603,0.0
2021-03-22,27.4,27.53,26.495,26.715,3244693,0.0
2021-03-23,26.65,26.72,25.98,26.1,3672218,0.0
2021-03-24,26.22,26.43,25.41,25.45,2962904,0.0
2021-03-25,25.33,26.32,25.01,26.21,3009860,0.0
2021-03-26,26.31,26.42,25.4012,25.73,4535036,0.0
2021-03-29,26.02,26.03,24.825,25.02,3018270,0.0
2021-03-30,25.11,25.83,24.93,25.69,2599431,0.0
2021-03-31,25.59,26.1,25.41,25.43,3184613,0.0
2021-04-01,25.51,26.07,25.25,26.06,2299552,0.0
2021-04-05,26.14,26.55,25.86,26.42,2711103,0.0
2021-04-06,26.22,26.8,26.22,26.56,2423783,0.0
2021-04-07,26.52,26.8199,26.31,26.42,1931116,0.0
2021-04-08,26.17,26.79,26.12,26.72,1807425,0.0
2021-04-09,26.83,26.95,26.45,26.68,1921639,0.0
2021-04-12,26.97,26.97,26.5,26.75,3215738,0.0
2021-04-13,26.84,26.92,26.07,26.14,3536336,0.0
2021-04-14,26.19,26.66,26.175,26.42,4489480,0.0
2021-04-15,26.62,26.86,26.35,26.61,3080937,0.0
2021-04-16,26.79,26.91,26.56,26.7,3073186,0.0
2021-04-19,26.65,26.84,26.39,26.74,2661068,0.0
2021-04-20,26.8,27.055,26.15,26.48,1899631,0.0
2021-04-21,26.255,27.34,26.01,27.32,2539163,0.0
2021-04-22,27.32,27.47,26.85,26.9,3318991,0.0
2021-04-23,27.06,27.23,26.68,26.71,2669120,0.0
2021-04-26,26.89,26.96,26.57,26.66,2903753,0.0
2021-04-27,26.57,26.83,26.445,26.54,1992657,0.0
2021-04-28,26.53,26.63,26.02,26.18,2743206,0.0
2021-04-29,26.41,26.63,26.16,26.52,2469528,0.0
2021-04-30,26.35,26.41,25.96,26.2,2987959,0.0
2021-05-03,26.31,26.54,26.13,26.35,2591259,0.0
2021-05-04,26.12,26.16,25.22,25.51,2391881,0.0
2021-05-05,25.77,26.35,25.51,26.13,2875783,0.0
2021-05-06,26.26,26.4,25.67,25.98,2288057,0.0
2021-05-07,26,27.7,26.51,27.45,4039092,0.0
2021-05-10,27.3,27.965,27.005,27.43,4012641,0.0
2021-05-11,27.4,27.66,26.77,27.65,3304937,0.0
2021-05-12,27.41,27.555,26.045,26.13,3419169,0.0
2021-05-13,26.17,26.785,25.915,26.25,2098666,0.0
2021-05-14,26.43,26.78,25.7576,26.7,1452654,0.0
2021-05-17,26.91,27.47,26.59,26.91,2227515,0.0
2021-05-18,26.89,27.24,26.48,26.49,2438944,0.0
2021-05-19,26.07,26.3,25.815,26.01,3344311,0.0
2021-05-20,26.16,27.155,26.065,27.0283,3326112,0.0
2021-05-21,26.66,27.17,26.47,26.49,2752978,0.0
2021-05-24,26.68,26.92,26.4701,26.83,2769234,0.0
2021-05-25,26.97,27.135,26.62,26.65,2721863,0.0
2021-05-26,27.19,27.19,26.76,26.77,2964119,0.0
2021-05-27,26.8,27.51,26.8,27.1,5074411,0.0
