Date,Estimate,Actual
2021-07-28,2.12,None
2021-04-22,1.58,1.7
2021-02-04,1.57,1.61
2020-10-27,1.53,1.71
2020-07-30,1.08,1.25
2020-04-23,1.12,1.11
2020-02-06,1.18,1.2
2019-10-24,1.41,1.37
2019-07-25,1.41,1.44
2019-04-25,1.05,1.09
2019-02-07,1.16,1.3
2018-10-25,1.32,1.41
2018-07-26,1.22,1.33
2018-04-26,0.86,0.89
2018-02-08,1.12,2.39
2017-10-26,1.16,1.24
2017-07-27,1.1,1.19
2017-04-27,0.79,0.8
2017-02-02,0.86,0.83
2016-10-27,0.97,1.03
2016-07-28,0.95,0.98
2016-04-28,0.76,0.72
2016-02-04,0.84,0.85
2015-10-29,1.01,0.99
2015-07-30,0.98,1
2015-04-30,0.71,0.73
2015-02-05,0.72,0.81
2014-10-30,0.87,0.9
2014-07-31,0.55,0.57
2014-04-24,0.33,0.35
2014-02-06,0.39,0.37
2013-10-24,0.46,0.47
2013-07-25,0.43,0.45
2013-04-25,0.28,0.31
2013-02-07,0.34,0.31
2012-10-25,0.36,0.39
2012-08-02,0.34,0.37
2012-04-26,0.24,0.24
2012-02-02,0.26,0.31
2011-10-27,0.28,0.3
2011-07-28,0.25,0.31
2011-04-27,0.13,0.17
2011-02-02,0.17,0.17
2010-10-27,0.18,0.2
2010-07-28,0.14,0.17
2010-04-28,0.05,0.06
2010-01-28,0.07,0.08
2009-10-22,0.1,0.08
2009-07-22,0.09,0.09
2009-04-23,0.03,0.03
2009-01-29,0.06,0.09
2008-10-23,0.15,0.19
2008-07-24,0.18,0.19
2008-04-22,0.09,0.08
2008-01-31,0.12,0.12
2007-10-25,0.16,0.16
2007-07-26,0.16,0.18
2007-04-26,0.1,0.11
2007-02-01,0.12,0.14
2006-10-26,0.16,0.16
2006-07-27,0.15,0.17
2006-04-27,0.09,0.1
2006-01-27,0.11,0.12
2005-10-21,0.12,0.13
2005-07-22,0.1,0.11
2005-04-22,0.07,0.08
2005-01-27,0.08,0.08
2004-10-21,0.1,0.1
2004-07-15,0.08,0.08
2004-04-22,0.05,0.05
2004-01-29,0.06,0.06
2003-10-30,0.08,0.08
2003-07-24,0.05,0.05
2003-04-24,0.04,0.04
2003-01-30,0.04,0.05
2002-10-17,0.06,0.07
2002-07-25,0.03,0.05
2002-04-25,0.02,0.02
2002-01-31,0.02,0.03
2001-10-25,0.04,0.04
2001-04-26,0.02,0.01
2001-01-25,0.04,0.03
2000-10-19,0.05,0.05
2000-07-20,0.05,0.05
2000-04-20,0.03,0.02
2000-01-27,0.03,0.04
1999-10-21,0.04,0.04
1999-07-22,0.04,0.04
1999-04-22,0.02,0.03
1999-01-28,0.02,0.02
1998-10-22,0.04,0.04
1998-07-23,0.04,0.04
1998-04-23,0.02,0.02
1998-01-22,0.02,0.02
1997-10-23,0.03,0.04
1997-07-24,0.03,0.03
1997-04-17,0.02,0.01
1997-01-23,0.02,0.02
1996-10-17,0.02,0.02
1996-07-18,0.02,0.02
