Date,Open,High,Low,Close,volume,trade_count,vwap
2021-06-03,34.15,38.24,32.22,37.0,22363101,74174,36.023105
2021-06-04,36.0,36.17,33.71,34.15,7502385,67158,34.544271
2021-06-07,33.31,33.88,30.85,31.42,11513434,84171,31.838648
2021-06-08,30.22,30.91,28.53,28.91,18500415,115762,29.512875
2021-06-09,28.3,29.44,27.25,28.45,14563601,91235,28.407422
2021-06-10,28.46,31.16,28.4,30.33,11205217,77669,30.260791
2021-06-11,30.37,30.38,29.4,29.65,5726831,47133,29.808105
2021-06-14,30.1,30.63,29.27,30.28,6970831,54120,30.199098
2021-06-15,30.0,32.09,29.8,31.81,6338765,50107,30.928669
2021-06-16,31.6,31.65,30.27,30.7,5280860,44747,30.786711
2021-06-17,30.35,31.73,30.1,31.46,5085688,35542,31.082474
2021-06-18,31.51,31.71,29.96,29.98,10209435,34970,30.267628
2021-06-21,30.2,30.67,29.36,29.41,3540709,31712,29.837142
2021-06-22,29.25,29.87,28.845,29.53,4217609,35264,29.336098
2021-06-23,29.53,30.08,29.1,29.5,3878887,30033,29.485912
2021-06-24,29.35,30.07,29.3,29.77,2767020,26390,29.666268
2021-06-25,29.58,30.87,29.21,30.19,13621537,32121,30.062589
2021-06-28,29.6,31.03,29.41,30.94,3105354,26577,30.569418
2021-06-29,31.1,31.32,30.46,30.55,2256680,21109,30.687435
2021-06-30,30.42,30.83,30.25,30.26,2010467,20232,30.482842
2021-07-01,30.11,31.24,30.06,30.82,2426160,21265,30.648762
2021-07-02,30.61,31.12,30.3,30.86,1812202,18848,30.780696
2021-07-06,30.6,31.1,29.9,31.0,2852565,25095,30.643009
2021-07-07,31.0,31.0399,29.87,30.12,2935082,28191,30.185616
2021-07-08,29.65,30.18,29.26,29.65,1930278,21156,29.740156
2021-07-09,30.0,30.28,29.59,30.1,2339451,26081,29.905062
2021-07-12,29.77,30.38,29.57,29.74,1855651,21150,29.824886
2021-07-13,29.5,29.885,28.96,29.1,2044419,21657,29.375549
2021-07-14,28.98,29.4,28.84,29.34,2002972,20259,29.111427
2021-07-15,28.84,29.49,28.69,28.91,2110115,22967,28.97958
2021-07-16,28.77,29.0,28.42,28.87,1757711,18332,28.733449
2021-07-19,28.58,29.17,28.54,29.14,2253728,20725,28.861895
2021-07-20,29.23,29.78,29.06,29.61,1917684,18648,29.543229
2021-07-21,29.71,30.5,29.53,30.46,2064799,19067,30.237016
2021-07-22,30.25,31.06,30.25,30.92,2220166,19203,30.836149
2021-07-23,30.9,30.92,29.712,29.8,1616771,17542,29.975672
2021-07-26,29.65,30.21,29.18,29.66,1526576,14954,29.587397
2021-07-27,29.36,29.64,28.825,29.12,2004423,19164,29.137358
2021-07-28,29.13,29.87,29.0,29.74,1849701,18313,29.402209
2021-07-29,29.59,29.86,29.21,29.23,1775531,17960,29.414882
2021-07-30,29.07,29.4,28.91,29.01,1504350,15209,29.102736
2021-08-02,29.15,29.635,29.04,29.53,1761621,18801,29.399848
2021-08-03,29.28,29.58,29.01,29.51,1386129,16018,29.338236
2021-08-04,29.25,29.32,28.61,28.63,1851876,18080,28.840468
2021-08-05,28.7,29.58,28.5,29.56,2189642,21550,29.164513
2021-08-06,29.49,29.78,29.17,29.5,1298531,14934,29.525821
2021-08-09,29.77,30.0,28.9199,29.1,1981233,21777,29.159543
2021-08-10,29.08,30.485,28.92,30.35,2979845,25375,29.998667
2021-08-11,30.4,30.4,29.7201,29.93,1868384,19332,30.032643
2021-08-12,31.02,34.0,31.0,33.5,7829569,55632,32.795049
2021-08-13,33.37,34.49,32.86,34.21,3441274,28578,33.935978
2021-08-16,34.27,34.79,33.91,34.33,2744687,25024,34.332672
2021-08-17,34.7,35.8197,34.44,35.38,4680124,38582,35.195523
2021-08-18,35.88,36.49,33.5419,33.59,4680949,42246,34.881554
2021-08-19,33.4,34.5668,33.015,34.1,2500177,23756,33.949794
2021-08-20,34.28,34.46,33.15,33.22,2354321,21966,33.502568
2021-08-23,33.51,33.79,32.86,33.24,2473183,21317,33.172955
2021-08-24,33.24,33.82,32.96,33.16,2117657,18670,33.410178
2021-08-25,33.0,33.61,32.37,33.3,1927919,18116,33.232987
2021-08-26,33.43,34.36,33.22,33.96,1607092,20603,33.980411
2021-08-27,34.02,34.32,33.73,34.25,1164520,13851,34.151466
2021-08-30,34.09,34.24,33.66,33.72,1069016,15040,33.910766
2021-08-31,33.54,34.0981,33.42,33.89,1693923,18314,33.857807
2021-09-01,34.45,35.37,34.26,34.56,2738275,27420,34.832952
2021-09-02,35.02,35.64,34.35,35.61,2560691,20913,35.214177
2021-09-03,35.49,35.65,34.86,35.61,1466389,16492,35.310299
2021-09-07,35.28,35.75,34.87,35.64,2247658,21194,35.333913
2021-09-08,35.53,35.53,34.75,34.97,2172632,21349,35.031016
2021-09-09,34.99,35.0,34.24,34.68,1573287,16557,34.565274
2021-09-10,34.91,35.0,33.87,33.88,1658053,16355,34.157665
2021-09-13,34.18,34.18,33.531,33.83,1948390,20252,33.844505
2021-09-14,33.8,33.88,33.25,33.42,1568594,19052,33.466529
2021-09-15,33.5,34.26,33.24,33.72,1952503,19788,33.845551
2021-09-16,33.89,34.09,33.02,33.76,1279136,15118,33.558065
2021-09-17,34.01,34.08,33.26,34.03,4337370,18705,33.928093
2021-09-20,33.24,33.6999,32.77,32.94,1933541,20839,33.129906
2021-09-21,33.19,33.39,32.75,32.89,1162809,13557,32.944323
