Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,39.47,40.71,39.43,40.63,3602895,0.0
2020-12-07,40.16,40.61,39.2153,40.31,4195017,0.0
2020-12-08,39.93,41.56,39.81,40.79,2916864,0.0
2020-12-09,41.46,41.935,39.65,40.19,2984146,0.0
2020-12-10,40.33,41.95,40.2613,41.75,3351524,0.0
2020-12-11,41.08,41.66,40.74,41.58,2385086,0.0
2020-12-14,42,42.16,39.93,40.14,3541389,0.0
2020-12-15,40.61,41.46,39.93,41.31,2465688,0.0
2020-12-16,41.3,41.38,40.3,40.6489,2087661,0.0
2020-12-17,41.01,41.23,40.08,40.73,2674560,0.0
2020-12-18,40.68,40.91,39.63,39.91,4068617,0.0
2020-12-21,38.37,39.81,38.03,39.38,3183938,0.0
2020-12-22,39.42,39.945,38.605,38.62,2122873,0.0
2020-12-23,39,39.58,38.47,38.8,2120129,0.0
2020-12-24,38.82,38.85,37.9,38.77,1294134,0.0
2020-12-28,38.88,39.26,38.01,38.4,2295392,0.0
2020-12-29,38.65,38.74,37.67,38.13,2423268,0.0
2020-12-30,38.02,38.7437,37.95,38.13,2216320,0.0
2020-12-31,37.91,38.47,37.66,38.39,1745735,0.0
2021-01-04,39,39.11,37.3855,37.52,2995691,0.0
2021-01-05,37.85,40.3999,37.825,39.4,2959810,0.0
2021-01-06,40,40.48,39.132,39.83,2874623,0.0
2021-01-07,40.49,40.83,39.8,40.7,2610375,0.0
2021-01-08,41.05,41.1,39.5701,39.93,2780685,0.0
2021-01-11,39.08,41.38,38.6601,41.23,2720310,0.0
2021-01-12,41.72,43.62,41.4385,43.49,6166133,0.0
2021-01-13,43.4,44.44,43.05,43.71,4882279,0.0
2021-01-14,44.11,45.71,44.02,44.76,3116732,0.0
2021-01-15,44.5,44.71,43.0173,44.17,2557250,0.0
2021-01-19,44.46,44.54,43.7,44.11,2459004,0.0
2021-01-20,44.48,44.65,43.44,44.02,2128706,0.0
2021-01-21,44,44.1829,42.22,42.87,2626707,0.0
2021-01-22,41.78,42.96,41.43,42.83,2585019,0.0
2021-01-25,42.57,42.69,41.33,42.23,3053888,0.0
2021-01-26,42.69,44.21,42.03,42.11,3483060,0.0
2021-01-27,42,42,40.45,40.55,3789473,0.0
2021-01-28,40.93,42.29,40.71,42.11,3293155,0.0
2021-01-29,40.61,41.3,39.33,39.8,3350089,0.0
2021-02-01,40.36,40.75,38.9,40.02,2585361,0.0
2021-02-02,41.04,41.6,40.45,41.19,2185528,0.0
2021-02-03,41.39,42.85,41.28,42.48,2650815,0.0
2021-02-04,42.7,42.94,42.08,42.45,1630668,0.0
2021-02-05,43.4,43.73,42.71,42.84,2276597,0.0
2021-02-08,43.05,43.8,42.84,43.43,2252148,0.0
2021-02-09,43.4,43.545,42.65,43.36,1849056,0.0
2021-02-10,43.81,44.77,43.6,44.75,2658569,0.0
2021-02-11,44.61,45.2,43.54,44.27,2288574,0.0
2021-02-12,44.17,45.26,44.02,45.09,2750825,0.0
2021-02-16,46,46.6644,45.81,45.95,2684530,0.0
2021-02-17,46.15,46.345,45.06,46,1818881,0.0
2021-02-18,45.64,45.72,44.45,44.85,2072293,0.0
2021-02-19,44.92,45.99,44.7939,45.82,1702705,0.0
2021-02-22,45.93,46.8997,45.82,46.16,2380673,0.0
2021-02-23,45.5,45.88,42.546,45.67,5197175,0.0
2021-02-24,46.09,47.13,44.92,46.7,2773401,0.0
2021-02-25,47.1,47.19,45.1,45.4,2603719,0.0
2021-02-26,45.15,45.6,43.42,44.29,2689939,0.0
2021-03-01,45.51,47.99,45.3296,47.47,3312132,0.0
2021-03-02,47.3,47.63,46.73,46.86,1873362,0.0
2021-03-03,47.35,49.3999,47.29,47.77,2524851,0.0
2021-03-04,48.09,49.49,47.34,48.25,3010534,0.0
2021-03-05,49.5,49.79,47.32,49.58,2720767,0.0
2021-03-08,50,51.22,49.3,49.53,2770427,0.0
2021-03-09,49.48,50.72,48.42,48.64,2701475,0.0
2021-03-10,49,51.1,48.7,50.95,2562881,0.0
2021-03-11,50.95,51.66,50.35,50.41,2104592,0.0
2021-03-12,51.06,51.6,50.4,51.6,1744033,0.0
2021-03-15,51.6,51.91,50.1978,51.29,2239912,0.0
2021-03-16,50.57,50.71,49.39,49.54,2052898,0.0
2021-03-17,49.1,50.5,48.72,50.34,1471097,0.0
2021-03-18,50.07,50.22,47.97,48.19,2191068,0.0
2021-03-19,48.34,49.72,47.83,48.47,3520563,0.0
2021-03-22,49.09,49.3,48.31,48.5,2446629,0.0
2021-03-23,47.5,48.51,47.01,47.45,2768395,0.0
2021-03-24,48.25,49.5,48.2,48.74,2619703,0.0
2021-03-25,47.65,49.9,47.35,49.7,2121547,0.0
2021-03-26,50.38,51.24,49.92,51.18,2257257,0.0
2021-03-29,50.9,51.09,49.741,50.56,2044058,0.0
2021-03-30,50,50.5,49.75,50.32,1599531,0.0
2021-03-31,50.26,50.815,50.03,50.67,1488535,0.0
2021-04-01,50.82,51.36,49.85,51.33,2235430,0.0
2021-04-05,51.35,51.445,50.6,51.03,1791099,0.0
2021-04-06,51.31,52.1108,51.19,51.26,1792752,0.0
2021-04-07,51.63,51.8985,50.865,51.13,2117168,0.0
2021-04-08,50.8,50.8,49.71,50.44,3002543,0.0
2021-04-09,50.13,51.11,50.04,50.91,1756435,0.0
2021-04-12,51.1,51.487,50.64,50.91,1794494,0.0
2021-04-13,50.85,51.37,50.22,51.09,1653838,0.0
2021-04-14,51.45,52.38,51.31,51.53,2605951,0.0
2021-04-15,51.89,52.53,51.21,52.39,1857025,0.0
2021-04-16,52.75,52.77,51.4,51.6,1847517,0.0
2021-04-19,51.85,52.18,51.05,51.82,2087134,0.0
2021-04-20,51.66,51.75,49.97,50.63,2287643,0.0
2021-04-21,50.22,52.3,49.93,52.16,2044690,0.0
2021-04-22,52.22,52.3,51.02,51.05,2810180,0.0
2021-04-23,50.42,50.67,49.67,50.6,3440664,0.0
2021-04-26,50.41,50.76,50.21,50.44,2219956,0.0
2021-04-27,50.51,51.04,50.37,50.87,2351526,0.0
2021-04-28,51.19,52.5,51.0388,52.18,4011645,0.0
2021-04-29,52.64,53.67,51.845,52.6,2603217,0.0
2021-04-30,52.03,53.34,51.78,52.33,2209024,0.0
2021-05-03,52.89,53,52.16,52.72,1722879,0.0
2021-05-04,52.97,53.06,52.08,52.6,1835496,0.0
2021-05-05,53,53.9599,52.67,53.16,2228716,0.0
2021-05-06,53.27,53.55,52.33,53.41,1975612,0.0
2021-05-07,52.82,53.755,52.65,53.38,2296529,0.0
2021-05-10,53.94,54.78,53.79,53.96,2770547,0.0
2021-05-11,53.09,53.44,51.91,53.27,2248123,0.0
2021-05-12,53.42,54.57,52.38,52.56,2693430,0.0
2021-05-13,52.12,53.48,51.64,52.75,1957329,0.0
2021-05-14,53.75,54.51,53.53,54.35,1982308,0.0
2021-05-17,54.22,55.04,53.77,55.03,1899727,0.0
2021-05-18,54.83,55.1,53.96,53.98,1739667,0.0
2021-05-19,52.9,53.23,52.1,52.86,2558296,0.0
2021-05-20,52.56,53.92,52.14,53.69,1906719,0.0
2021-05-21,54.08,54.474,53.21,53.25,2860491,0.0
2021-05-24,53.87,54.4,53.27,54.14,2329307,0.0
2021-05-25,54.24,54.4,52.59,52.66,1878601,0.0
2021-05-26,52.89,52.945,51.78,52.52,3866773,0.0
2021-05-27,53,53.46,52.38,52.78,2608807,0.0
2021-05-28,53.25,53.25,52.45,52.75,2708844,0.0
2021-06-01,53.66,54.12,53.43,53.77,1915308,0.0
2021-06-02,53.76,54.71,53.66,54.26,1857110,0.0
2021-06-03,54.07,54.54,53.605,53.72,1651946,0.0
2021-06-04,54.05,54.31,53.3355,53.95,2094644,0.0
2021-06-07,54.01,55.46,54,55.18,3272717,0.0
2021-06-08,55.17,56.09,54.74,55.77,4103779,0.0
2021-06-09,55.95,56.18,54.82,54.84,1827732,0.0
2021-06-10,55.5,55.74,54.07,54.78,2448262,0.0
2021-06-11,55.05,55.2699,54.78,55.06,2399415,0.0
2021-06-14,55.7,56.19,54.87,55.45,3243874,0.0
2021-06-15,55.66,56.15,55.2,55.99,3204239,0.0
2021-06-16,56,57.19,55.78,57.02,2842481,0.0
2021-06-17,56.9,57.22,53.38,54.14,3786942,0.0
2021-06-18,53.5,54.1,53.02,53.02,3964156,0.0
2021-06-21,53.59,55.73,53.45,55.6,2390788,0.0
2021-06-22,55.41,55.5399,54.6969,55.47,1765175,0.0
2021-06-23,55.87,56.11,55.22,55.23,1134675,0.0
2021-06-24,55.42,55.925,54.88,55.91,1996717,0.0
2021-06-25,55.97,56.55,55.66,56.55,2092542,0.0
2021-06-28,56.48,56.29,54.63,55.44,2301593,0.0
2021-06-29,55.78,55.95,55.16,55.19,1729095,0.0
2021-06-30,55.3,56.42,55.25,55.63,2110805,0.0
2021-07-01,56.53,57.05,55.8946,56.94,2013095,0.0
2021-07-02,56.6,57.495,56.49,57.4,1414822,0.0
2021-07-06,57.36,57.39,55.96,56.48,2080629,0.0
2021-07-07,56.37,56.78,55.34,55.45,1798587,0.0
2021-07-08,54.35,56.11,54.22,55.38,1986527,0.0
2021-07-09,56.16,57.54,55.6129,57.53,2030325,0.0
2021-07-12,56.81,57.4299,56.54,56.92,1408424,0.0
2021-07-13,56.56,56.86,55.86,55.92,1795085,0.0
2021-07-14,56.18,56.559,54.54,54.88,1812725,0.0
2021-07-15,54.25,54.81,53.8999,54.47,2221325,0.0
2021-07-16,54.88,54.98,53.225,53.32,1667139,0.0
2021-07-19,51.65,51.96,49.7475,50.21,4349915,0.0
2021-07-20,50.56,52.84,50.2499,52.39,2941723,0.0
2021-07-21,53.4,54.45,53.16,53.45,2322010,0.0
2021-07-22,53.53,53.53,52.52,53.09,1432197,0.0
2021-07-23,52.87,53.06,52.06,52.95,1707783,0.0
2021-07-26,52.73,54.11,52.73,53.84,2165446,0.0
2021-07-27,53.26,53.345,52.22,52.93,2017901,0.0
2021-07-28,53,53.8312,52.32,53.34,1718822,0.0
2021-07-29,53.86,54.265,53.5,53.8,1814846,0.0
2021-07-30,53.38,53.95,51.66,51.97,2303563,0.0
2021-08-02,52.05,53.2609,51.26,51.34,1656492,0.0
2021-08-03,51.26,51.635,50.1201,51.43,2434636,0.0
2021-08-04,50.65,53.08,50.345,51.71,3881950,0.0
2021-08-05,52.05,52.92,51.75,52.2,2086650,0.0
2021-08-06,52.76,52.94,52.15,52.55,1328919,0.0
2021-08-09,52.04,52.285,51.49,51.75,1610506,0.0
2021-08-10,52.03,52.81,51.8584,52.7,1481287,0.0
