Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,66.86,67.69,66.57,67.55,1238174,13133,67.311232
2021-01-04,67.55,68.02,65.55,65.59,2569651,25757,66.306614
2021-01-05,65.82,66.42,64.7589,65.1,1366172,17368,65.302523
2021-01-06,65.84,67.33,65.25,66.91,1595951,20127,66.82824
2021-01-07,67.3,67.955,66.845,67.78,1542477,17591,67.531906
2021-01-08,67.47,67.97,65.85,66.83,1914207,19006,66.741309
2021-01-11,66.22,66.79,65.81,66.36,1506196,15694,66.377307
2021-01-12,66.27,66.8,65.07,65.23,1722042,17325,65.535072
2021-01-13,65.19,65.535,63.85,63.97,3172569,28614,64.204579
2021-01-14,64.2,65.37,63.8,64.94,3088409,25819,64.716118
2021-01-15,64.81,65.69,63.51,65.53,1841095,17734,65.038359
2021-01-19,66.0,66.45,64.92,65.37,2489215,17144,65.364943
2021-01-20,65.8,66.5,64.89,65.19,1737151,18358,65.354152
2021-01-21,65.24,65.24,63.45,63.52,3945603,21965,63.761772
2021-01-22,63.52,65.21,63.2,64.88,3546622,23568,64.645179
2021-01-25,64.0,64.61,62.0,64.22,4500206,41944,63.498834
2021-01-26,64.6,65.09,62.27,63.51,2742223,28652,63.33345
2021-01-27,62.68,63.01,61.28,62.24,3241607,31322,62.135762
2021-01-28,62.6,64.82,62.33,63.83,3235048,33225,63.965505
2021-01-29,65.11,65.99,63.45,64.65,10353184,54437,64.622479
2021-02-01,65.99,66.01,63.0,64.55,3731467,38296,64.510761
2021-02-02,65.05,66.78,64.5,64.64,4327752,33523,65.525011
2021-02-03,64.64,64.87,62.95,64.05,3542163,23163,63.955394
2021-02-04,63.69,64.13,63.0,63.29,2303907,19727,63.493788
2021-02-05,62.74,64.2,62.63,63.93,3697943,27683,63.659436
2021-02-08,63.75,64.53,63.15,63.73,1787294,17679,63.78815
2021-02-09,63.54,64.5929,63.21,64.36,2819347,17621,64.051591
2021-02-10,64.94,65.9,64.6,65.31,1934156,21130,65.408903
2021-02-11,65.04,65.2057,62.8852,63.43,4298887,29055,63.559445
2021-02-12,62.89,64.54,62.89,63.93,2021706,20322,63.728317
2021-02-16,64.31,64.34,62.58,63.19,3268598,24261,63.194843
2021-02-17,63.31,63.37,62.6188,62.69,2178566,21166,62.831106
2021-02-18,62.46,63.58,62.31,63.06,2258367,17897,63.048433
2021-02-19,63.32,63.455,62.94,63.04,3852745,24375,63.133828
2021-02-22,62.85,63.595,62.52,63.23,2559972,19017,63.161084
2021-02-23,63.15,63.57,62.56,63.23,2571475,23968,63.199799
2021-02-24,63.09,64.41,63.03,64.35,2257336,19508,64.144727
2021-02-25,64.28,64.91,64.01,64.46,2431957,27291,64.45759
2021-02-26,64.89,64.89,63.59,63.71,3278262,28052,63.916257
2021-03-01,64.12,65.75,64.07,64.93,1897938,20384,65.060207
2021-03-02,64.73,65.845,64.33,65.41,2657493,22153,65.267444
2021-03-03,65.51,67.65,65.07,67.0,3210772,28740,66.810828
2021-03-04,66.83,66.9,63.3396,63.95,3634416,28552,64.490701
2021-03-05,64.52,65.11,62.76,64.87,2168100,24142,64.267065
2021-03-08,64.97,66.33,64.59,65.22,1636711,17921,65.553312
2021-03-09,65.69,66.65,64.92,64.93,2547338,12498,65.205288
2021-03-10,64.67,66.495,64.61,66.25,1814937,17979,66.019634
2021-03-11,66.1,67.64,65.89,67.3,2214718,21817,67.176512
2021-03-12,67.65,67.65,65.99,66.0,1938196,19793,66.312497
2021-03-15,65.94,66.64,65.515,66.61,1495730,17265,66.123269
2021-03-16,67.12,67.97,66.58,67.7,2371798,23242,67.551046
2021-03-17,67.99,68.65,67.36,68.58,1729486,18988,68.151605
2021-03-18,68.15,68.64,67.46,68.15,2752857,17275,68.098103
2021-03-19,67.89,67.89,66.52,66.86,3149765,17699,67.021755
2021-03-22,66.81,66.94,65.64,66.82,1391532,12326,66.566015
2021-03-23,66.42,67.71,66.2,66.96,1364553,15473,67.16262
2021-03-24,66.88,67.96,66.88,67.17,1377996,19059,67.475882
2021-03-25,67.41,68.14,66.76,67.86,1738865,18143,67.451639
2021-03-26,68.16,69.38,67.62,69.04,1989386,18220,68.814964
2021-03-29,69.83,70.67,69.5,69.91,2038308,21063,70.076054
2021-03-30,70.07,70.49,69.42,69.74,2604772,18634,69.756903
2021-03-31,70.02,70.02,68.27,68.45,3783130,21723,68.586352
2021-04-01,68.89,69.64,68.32,69.26,1573584,16102,69.169151
2021-04-05,69.08,69.7,68.92,69.23,1124476,12836,69.226203
2021-04-06,69.5,70.465,68.89,69.72,1970376,21063,69.86815
2021-04-07,69.86,70.27,69.41,69.63,7216496,18929,69.63406
2021-04-08,69.49,69.645,68.92,69.41,1874541,15614,69.358902
2021-04-09,69.68,70.95,69.45,70.75,3544373,19582,70.471176
2021-04-12,70.62,71.105,70.32,70.65,1735560,16171,70.674828
2021-04-13,70.45,71.235,70.1919,71.12,1249769,15625,70.866197
2021-04-14,71.0,71.075,70.06,70.4,1304341,15023,70.428401
2021-04-15,70.64,71.24,70.11,70.97,1216924,15731,70.668583
2021-04-16,71.41,71.41,69.85,70.58,1716668,16117,70.691533
