Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-09,22.75,23.46,20.48,23.175,136792300,0.0
2020-06-10,22.02,22.35,20.75,20.76,97530455,0.0
2020-06-11,17.84,19.18,17.26,17.44,116153543,0.0
2020-06-12,18.88,19.6,18,18,35968066,0.0
2020-06-15,17.34,19.46,17.1,19.06,88974904,0.0
2020-06-16,20.47,20.95,19.13,20.29,110653758,0.0
2020-06-17,19.91,20.05,19.04,19.045,62457136,0.0
2020-06-18,18.82,20.32,18.65,19.665,60690456,0.0
2020-06-19,20.7,20.96,19.67,19.84,102897675,0.0
2020-06-22,19.85,20.115,19.39,19.91,22564603,0.0
2020-06-23,20.26,20.52,19.63,19.8,26881876,0.0
2020-06-24,19.24,19.32,17.67,18,31250697,0.0
2020-06-25,17.8,18.9,17.55,18.53,22345256,0.0
2020-06-26,18.2,18.345,17.35,17.69,21360698,0.0
2020-06-29,17.85,18.01,17.1,17.85,21559649,0.0
2020-06-30,17.77,18.35,17.27,18.3,23703159,0.0
2020-07-01,18.32,18.8321,17.41,17.41,30924985,0.0
2020-07-02,17.92,18.63,17.61,17.79,26259333,0.0
2020-07-06,18.21,18.5427,17.78,18.18,21280680,0.0
2020-07-07,17.9,17.94,17.14,17.155,18266017,0.0
2020-07-08,17.27,17.4684,16.71,17.28,19377872,0.0
2020-07-09,17.2,17.26,16.26,16.28,20716993,0.0
2020-07-10,16.06,16.745,15.95,16.71,16341616,0.0
2020-07-13,16.76,16.81,16.0018,16.17,19411003,0.0
2020-07-14,15.95,16.76,15.75,16.69,18316383,0.0
2020-07-15,17.29,17.73,16.9,17.19,21645617,0.0
2020-07-16,16.9,17.4,16.57,17.06,13814441,0.0
2020-07-17,17.04,17.35,16.16,16.28,19617072,0.0
2020-07-20,16.25,16.45,15.68,15.68,19749500,0.0
2020-07-21,16.12,18.03,16.07,17.4117,42694775,0.0
2020-07-22,17.12,17.14,16.65,16.93,16206462,0.0
2020-07-23,16.71,17.075,16.57,16.83,9809793,0.0
2020-07-24,16.82,17.28,16.63,16.75,12107990,0.0
2020-07-27,16.73,16.9,16.4123,16.7,13232948,0.0
2020-07-28,16.48,16.78,16.31,16.34,21093901,0.0
2020-07-29,16.53,17.04,16.4533,17.03,30577940,0.0
2020-07-30,16.55,16.63,15.75,15.77,55203540,0.0
2020-07-31,15.81,15.84,15.41,15.74,28618222,0.0
2020-08-03,15.75,15.76,15.1,15.25,33242005,0.0
2020-08-04,15.15,16,15.13,15.75,41179994,0.0
2020-08-05,16.42,16.4867,15.855,15.94,46248216,0.0
2020-08-06,15.91,16.01,15.385,15.455,36148664,0.0
2020-08-07,15.46,15.555,14.96,15.445,39932713,0.0
2020-08-10,15.975,16.48,15.84,16.47,39732804,0.0
2020-08-11,16.44,16.74,15.1,15.17,77182971,0.0
2020-08-12,15.5,15.5499,14.85,14.92,61245920,0.0
2020-08-13,14.95,15.2481,14.54,14.6,26146947,0.0
2020-08-14,14.5,14.7199,14.36,14.63,20295190,0.0
2020-08-17,14.47,14.51,13.73,13.91,59752754,0.0
2020-08-18,13.93,14.19,13.83,13.95,31551519,0.0
2020-08-19,13.93,14.12,13.75,13.81,35219058,0.0
2020-08-20,13.52,13.73,13.25,13.4,41012938,0.0
2020-08-21,13.39,13.42,12.93,13.16,42883220,0.0
2020-08-24,13.13,13.725,13.025,13.62,35469856,0.0
2020-08-25,13.81,14.03,13.31,13.52,29335731,0.0
2020-08-26,13.42,13.47,12.95,12.95,37943020,0.0
2020-08-27,13.02,13.14,12.72,13.03,38265218,0.0
2020-08-28,12.96,13.225,12.89,13.12,26686906,0.0
2020-08-31,13.16,13.17,12.73,12.74,32441704,0.0
2020-09-01,12.59,12.62,12.33,12.48,43527220,0.0
2020-09-02,12.32,12.66,12.28,12.4,32735272,0.0
2020-09-03,12.35,12.9,12.35,12.6,49339862,0.0
2020-09-04,12.72,12.84,12.12,12.25,42889626,0.0
2020-09-08,11.87,11.98,11.02,11.055,70404225,0.0
2020-09-09,11.21,11.21,10.9,11.0601,41846048,0.0
2020-09-10,10.8099,10.85,10.18,10.19,68845930,0.0
2020-09-11,10.19,10.36,9.83,10.225,67708092,0.0
2020-09-14,10.22,10.3801,9.93,10.16,45927198,0.0
2020-09-15,10.23,10.885,10.2,10.7,32788180,0.0
2020-09-16,10.87,12.03,10.655,11.63,48605195,0.0
2020-09-17,11.2,12.02,11.1734,11.86,23628775,0.0
2020-09-18,11.79,12.09,11.47,11.65,22838620,0.0
2020-09-21,11.09,11.32,10.9,11.28,20185618,0.0
2020-09-22,11.33,11.585,11.03,11.08,16141832,0.0
2020-09-23,11.09,11.27,10.39,10.41,21394578,0.0
2020-09-24,10.34,10.87,10.1618,10.63,21860536,0.0
2020-09-25,10.46,10.58,10.11,10.22,28197598,0.0
2020-09-28,10.42,10.65,10.31,10.35,20360238,0.0
2020-09-29,10.34,10.35,9.87,9.99,54841678,0.0
2020-09-30,10.02,10.27,9.94,10,39433482,0.0
2020-10-01,9.97,9.98,9.57,9.685,61531475,0.0
2020-10-02,9.25,9.9,9.23,9.86,47387609,0.0
2020-10-05,10.1,10.52,10.01,10.505,45066231,0.0
2020-10-06,10.67,10.78,10.04,10.12,54001180,0.0
2020-10-07,10.23,10.32,10.12,10.275,31606489,0.0
2020-10-08,10.41,11.2,10.3301,11.18,51117460,0.0
2020-10-09,11.2,11.335,10.74,10.81,48263642,0.0
2020-10-12,10.64,10.85,10.4,10.81,30216941,0.0
2020-10-13,10.76,10.96,10.435,10.51,28355839,0.0
2020-10-14,10.52,10.95,10.44,10.46,37472811,0.0
2020-10-15,10.23,10.61,10,10.61,34973619,0.0
2020-10-16,10.51,10.53,10.07,10.09,36001350,0.0
2020-10-19,10.19,10.21,9.81,9.82,37772510,0.0
2020-10-20,9.92,10.195,9.83,10.075,31210559,0.0
2020-10-21,9.86,9.96,9.66,9.66,39075885,0.0
