Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-27,289.01,291.8,285.92,290.29,173182,0.0
2020-07-28,288.66,292.39,286.55,286.81,363213,0.0
2020-07-29,293,295.06,290,294.43,579422,0.0
2020-07-30,288.57,289.08,278.03,286.7,960174,0.0
2020-07-31,289.94,290,277.23,284.36,953040,0.0
2020-08-03,286.13,290.32,283.24,288.16,855030,0.0
2020-08-04,286.83,288.73,281.45,285.7,1260768,0.0
2020-08-05,284.96,304.6699,283.19,302.0475,2386962,0.0
2020-08-06,296.67,302.49,289.3,298.67,1248770,0.0
2020-08-07,297.61,301.26,292.69,296.49,1366806,0.0
2020-08-10,287,291.285,282,289.37,1136489,0.0
2020-08-11,289.21,294.81,282.63,285.38,722220,0.0
2020-08-12,286.94,290.29,285.39,287.73,596186,0.0
2020-08-13,288.06,305.86,288.06,302.22,467496,0.0
2020-08-14,304.17,309.33,300.64,303.16,667123,0.0
2020-08-17,306.3,307.3247,298.79,299.06,746100,0.0
2020-08-18,299.82,301.06,291.13,292.17,642566,0.0
2020-08-19,293,295.1375,287.31,293,716024,0.0
2020-08-20,290.03,297.49,290.03,293.435,784958,0.0
2020-08-21,292.69,292.69,286.44,287.1,454212,0.0
2020-08-24,289.65,290,283.08,284.42,536282,0.0
2020-08-25,284.34,287.98,283.37,287.45,541329,0.0
2020-08-26,289.57,300.06,289.29,295.75,698614,0.0
2020-08-27,295.67,298.53,291.08,293.13,668962,0.0
2020-08-28,294.94,301.65,294.75,299.84,550159,0.0
2020-08-31,299.65,305.7163,299.43,299.56,825485,0.0
2020-09-01,302.95,311.89,300.79,307.52,694076,0.0
2020-09-02,311.48,311.48,301.475,305.3,810154,0.0
2020-09-03,300.65,300.65,280.06,283.88,1471557,0.0
2020-09-04,280.04,285.63,265.15,270.82,1166320,0.0
2020-09-08,259.1,280.21,257.87,272.51,1271838,0.0
2020-09-09,279.53,286.04,278.33,280.24,864655,0.0
2020-09-10,285.25,286.0701,273.77,275.12,446399,0.0
2020-09-11,278.64,279,263.35,265.46,865232,0.0
2020-09-14,269.04,274.52,268.725,272.65,470050,0.0
2020-09-15,275.39,280.7146,273.74,280.24,331993,0.0
2020-09-16,285.74,291.7197,280.4275,280.55,226822,0.0
2020-09-17,271.98,279.1,270.76,278.76,330961,0.0
2020-09-18,279.31,282.325,269.77,273.56,407854,0.0
2020-09-21,268.07,274.37,265,274.2,439606,0.0
2020-09-22,275.03,280.34,271.45,279.92,266876,0.0
2020-09-23,279.26,283.4999,273.4484,275.61,185477,0.0
2020-09-24,273.4697,278.9,265.71,273.47,292450,0.0
2020-09-25,273.28,285.36,270.21,283.7,233021,0.0
2020-09-28,288.68,291.65,286,290.82,244233,0.0
2020-09-29,292.57,304.93,292.23,303.87,1207196,0.0
2020-09-30,302.35,312.72,301.285,310.69,1297547,0.0
2020-10-01,315.56,321.29,313.53,320.46,1265649,0.0
2020-10-02,326,335.2,320.95,331.53,1443623,0.0
2020-10-05,331.89,344.65,327.02,342.99,1121630,0.0
2020-10-06,342.38,346.15,335.3,339.29,1127028,0.0
2020-10-07,341.99,353.15,335.61,351.83,978083,0.0
2020-10-08,359.7,361.92,354.635,359.53,880053,0.0
2020-10-09,361,368.43,360.8,366.15,961043,0.0
2020-10-12,368.48,370.32,358.07,366.81,731663,0.0
2020-10-13,366.23,376.39,365.1602,373.92,777135,0.0
2020-10-14,376.42,379.33,368.5747,372.94,484250,0.0
2020-10-15,365.13,378.2594,362,375.62,479629,0.0
2020-10-16,379,385.02,377.53,381.74,460157,0.0
2020-10-19,386.41,389.84,378.65,383.04,448385,0.0
2020-10-20,383.14,393.02,383.14,384.56,410709,0.0
2020-10-21,396,397.51,375.31,376.07,618169,0.0
2020-10-22,377.03,381.08,366.43,377.07,540982,0.0
2020-10-23,380.98,388.98,377.49,388.83,640216,0.0
2020-10-26,382.14,383.725,371.715,378.22,464424,0.0
2020-10-27,381.54,386.98,380.3,382.7,510759,0.0
2020-10-28,373.9,375.675,367.46,371.54,538480,0.0
2020-10-29,372.17,377.88,371.27,373.09,537582,0.0
2020-10-30,370.48,370.824,356.59,364.23,461705,0.0
2020-11-02,364.09,371.475,354.47,360.6,682792,0.0
2020-11-03,366,372.62,363.48,368.84,554824,0.0
2020-11-04,380,397.84,380,397.38,1023531,0.0
2020-11-05,393.87,399.75,368.7591,372.94,1624300,0.0
2020-11-06,372.75,390.64,365.06,387.96,870359,0.0
